General parameters:
Start time: 2023              8              9              1             11       47.18104
Finish time: 2023              8              9              7             43       40.25327
Raster type: raster_jump
Horizontal range (nm): 3000000.000000,-3000000.000000
Vertical range (nm): 3000000.000000,-3000000.000000
Horizontal pixel size (nm): 50000.000000
Vertical pixel size (nm): 50000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.83e-07
Sample chamber pressure: 4.76e-08
Initial position (nm): -1795537.000000,-18828.000000,-1000001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:3000000 -3000000
hori_res:50000
vert_range:3000000 -3000000
vert_res:50000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.306098
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-3000000,-3000000,1.2059e-10,64.8,21.25
-3000000,-2950000,1.2169e-10,64.8,21.25
-3000000,-2900000,1.2068e-10,64.8,21.25
-3000000,-2850000,1.2259e-10,64.8,21.25
-3000000,-2800000,1.2071e-10,64.8,21.25
-3000000,-2750000,1.2433e-10,64.8,21.25
-3000000,-2700000,1.2703e-10,64.8,21.25
-3000000,-2650000,1.3337e-10,64.8,21.25
-3000000,-2600000,1.3873e-10,64.8,21.25
-3000000,-2550000,1.4238e-10,64.8,21.25
-3000000,-2500000,1.4293e-10,64.8,21.25
-3000000,-2450000,1.4271e-10,64.8,21.25
-3000000,-2400000,1.2275e-10,64.8,21.25
-3000000,-2350000,1.23e-10,64.8,21.25
-3000000,-2300000,1.2931e-10,64.8,21.25
-3000000,-2250000,1.2904e-10,64.8,21.25
-3000000,-2200000,1.2932e-10,64.8,21.25
-3000000,-2150000,1.2754e-10,64.8,21.25
-3000000,-2100000,1.2924e-10,64.8,21.25
-3000000,-2050000,1.3444e-10,64.8,21.25
-3000000,-2000000,1.3114e-10,64.8,21.25
-3000000,-1950000,1.3417e-10,64.8,21.25
-3000000,-1900000,1.2901e-10,64.8,21.25
-3000000,-1850000,1.3201e-10,64.8,21.25
-3000000,-1800000,1.2964e-10,64.8,21.25
-3000000,-1750000,1.2931e-10,64.8,21.25
-3000000,-1700000,1.2902e-10,64.8,21.25
-3000000,-1650000,1.3037e-10,64.8,21.25
-3000000,-1600000,1.2602e-10,64.8,21.25
-3000000,-1550000,1.2902e-10,64.8,21.25
-3000000,-1500000,1.2772e-10,64.8,21.25
-3000000,-1450000,1.1474e-10,64.8,21.25
-3000000,-1400000,1.1664e-10,64.8,21.25
-3000000,-1350000,1.1514e-10,64.8,21.25
-3000000,-1300000,1.1204e-10,64.8,21.25
-3000000,-1250000,1.1649e-10,64.8,21.25
-3000000,-1200000,1.1452e-10,64.8,21.25
-3000000,-1150000,1.1806e-10,64.8,21.25
-3000000,-1100000,1.1856e-10,64.8,21.25
-3000000,-1050000,1.175e-10,64.8,21.25
-3000000,-1000000,1.1722e-10,64.8,21.25
-3000000,-950000,1.1865e-10,64.8,21.25
-3000000,-900000,1.129e-10,64.8,21.25
-3000000,-850000,1.1214e-10,64.8,21.25
-3000000,-800000,1.1102e-10,64.8,21.25
-3000000,-750000,1.1186e-10,64.8,21.25
-3000000,-700000,1.1279e-10,64.8,21.25
-3000000,-650000,1.1032e-10,64.8,21.25
-3000000,-600000,1.1081e-10,64.8,21.25
-3000000,-550000,1.1145e-10,64.8,21.25
-3000000,-500000,1.093e-10,64.8,21.25
