General parameters:
Start time: 2023              8              9              9              6      36.840358
Finish time: 2023              8              9             10             59        34.0572
Raster type: raster_jump
Horizontal range (nm): -1574008.000000,-5952008.000000
Vertical range (nm): 1890500.000000,-1780500.000000
Horizontal pixel size (nm): 50000.000000
Vertical pixel size (nm): 50000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.79e-07
Sample chamber pressure: 4.22e-08
Initial position (nm): 3000005.000000,3000000.000000,-999990.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-1574008 -5952008
hori_res:50000
vert_range:1890500 -1780500
vert_res:50000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.321146
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1780500,-5952008,5.7485e-11,64.8,21.25
-1780500,-5902008,6.0473e-11,64.8,21.25
-1780500,-5852008,5.817e-11,64.8,21.25
-1780500,-5802008,5.713e-11,64.8,21.25
-1780500,-5752008,5.6163e-11,64.8,21.25
-1780500,-5702008,5.7234e-11,64.8,21.25
-1780500,-5652008,5.6343e-11,64.8,21.25
-1780500,-5602008,5.5494e-11,64.8,21.25
-1780500,-5552008,5.6201e-11,64.8,21.25
-1780500,-5502008,5.6931e-11,64.8,21.25
-1780500,-5452008,5.6888e-11,64.8,21.25
-1780500,-5402008,5.7882e-11,64.8,21.25
-1780500,-5352008,5.5264e-11,64.8,21.25
-1780500,-5302008,5.6204e-11,64.8,21.25
-1780500,-5252008,8.523e-11,64.8,21.25
-1780500,-5202008,8.5754e-11,64.8,21.25
-1780500,-5152008,8.5525e-11,64.8,21.25
-1780500,-5102008,8.8425e-11,64.8,21.25
-1780500,-5052008,8.887e-11,64.8,21.25
-1780500,-5002008,8.9421e-11,64.8,21.25
-1780500,-4952008,8.6855e-11,64.8,21.25
-1780500,-4902008,8.6972e-11,64.8,21.25
-1780500,-4852008,8.7539e-11,64.8,21.25
-1780500,-4802008,8.9179e-11,64.8,21.25
-1780500,-4752008,8.7678e-11,64.8,21.25
-1780500,-4702008,8.7682e-11,64.8,21.25
-1780500,-4652008,8.6931e-11,64.8,21.25
-1780500,-4602008,8.8806e-11,64.8,21.25
-1780500,-4552008,9.0039e-11,64.8,21.25
