General parameters:
Start time: 2023              8              9             11              0      44.153342
Finish time: 2023              8              9             19             20      44.048531
Raster type: raster_jump
Horizontal range (nm): -1587030.000000,-5527030.000000
Vertical range (nm): 934000.000000,-2084000.000000
Horizontal pixel size (nm): 25000.000000
Vertical pixel size (nm): 25000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.79e-07
Sample chamber pressure: 4.16e-08
Initial position (nm): -2252010.000000,569500.000000,-1000009.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-1587030 -5527030
hori_res:25000
vert_range:934000 -2084000
vert_res:25000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.336878
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-2084000,-5527030,5.7972e-11,64.8,21.25
-2084000,-5502030,5.5801e-11,64.8,21.25
-2084000,-5477030,5.6197e-11,64.8,21.25
-2084000,-5452030,5.4379e-11,64.8,21.25
-2084000,-5427030,5.4513e-11,64.8,21.25
-2084000,-5402030,5.4219e-11,64.8,21.25
-2084000,-5377030,5.436e-11,64.8,21.25
-2084000,-5352030,5.3091e-11,64.8,21.25
-2084000,-5327030,5.4255e-11,64.8,21.25
-2084000,-5302030,5.4546e-11,64.8,21.25
-2084000,-5277030,5.454e-11,64.8,21.25
-2084000,-5252030,5.2749e-11,64.8,21.25
-2084000,-5227030,8.2637e-11,64.8,21.25
-2084000,-5202030,8.771e-11,64.8,21.25
-2084000,-5177030,8.5463e-11,64.8,21.25
-2084000,-5152030,8.7499e-11,64.8,21.25
-2084000,-5127030,8.7013e-11,64.8,21.25
-2084000,-5102030,8.5112e-11,64.7,21.25
-2084000,-5077030,8.619e-11,64.7,21.25
-2084000,-5052030,8.6373e-11,64.7,21.25
-2084000,-5027030,8.5443e-11,64.7,21.25
-2084000,-5002030,8.7645e-11,64.7,21.25
-2084000,-4977030,8.8113e-11,64.7,21.25
-2084000,-4952030,8.5978e-11,64.7,21.25
-2084000,-4927030,8.7203e-11,64.7,21.25
-2084000,-4902030,8.7651e-11,64.7,21.25
-2084000,-4877030,8.5828e-11,64.7,21.25
-2084000,-4852030,8.6199e-11,64.7,21.25
-2084000,-4827030,8.5563e-11,64.7,21.25
-2084000,-4802030,8.8651e-11,64.7,21.25
-2084000,-4777030,8.8178e-11,64.7,21.25
-2084000,-4752030,8.5825e-11,64.7,21.25
-2084000,-4727030,8.7581e-11,64.7,21.25
-2084000,-4702030,8.8312e-11,64.7,21.25
-2084000,-4677030,8.6281e-11,64.7,21.25
-2084000,-4652030,8.7387e-11,64.7,21.25
-2084000,-4627030,8.7857e-11,64.7,21.25
-2084000,-4602030,8.7848e-11,64.7,21.25
-2084000,-4577030,8.6212e-11,64.7,21.25
-2084000,-4552030,8.606e-11,64.7,21.25
-2084000,-4527030,8.87e-11,64.7,21.25
-2084000,-4502030,8.7916e-11,64.7,21.25
-2084000,-4477030,8.7421e-11,64.7,21.25
-2084000,-4452030,8.5148e-11,64.7,21.25
-2084000,-4427030,8.6878e-11,64.7,21.25
-2084000,-4402030,8.7278e-11,64.7,21.25
-2084000,-4377030,8.623e-11,64.7,21.25
-2084000,-4352030,8.961e-11,64.7,21.25
-2084000,-4327030,8.6964e-11,64.7,21.25
-2084000,-4302030,8.5594e-11,64.7,21.25
-2084000,-4277030,8.6843e-11,64.7,21.25
-2084000,-4252030,8.8361e-11,64.7,21.25
-2084000,-4227030,8.8115e-11,64.7,21.25
-2084000,-4202030,8.6406e-11,64.7,21.25
-2084000,-4177030,8.4873e-11,64.7,21.25
-2084000,-4152030,8.5455e-11,64.7,21.25
-2084000,-4127030,8.7267e-11,64.7,21.25
-2084000,-4102030,8.3481e-11,64.7,21.25
-2084000,-4077030,8.4885e-11,64.7,21.25
-2084000,-4052030,8.6358e-11,64.7,21.25
-2084000,-4027030,8.6773e-11,64.7,21.25
-2084000,-4002030,8.566e-11,64.7,21.25
-2084000,-3977030,8.7046e-11,64.7,21.25
-2084000,-3952030,8.5601e-11,64.7,21.25
-2084000,-3927030,8.5064e-11,64.7,21.25
-2084000,-3902030,8.5225e-11,64.7,21.25
-2084000,-3877030,8.4082e-11,64.7,21.25
-2084000,-3852030,8.6463e-11,64.7,21.25
-2084000,-3827030,8.4752e-11,64.7,21.25
-2084000,-3802030,8.7118e-11,64.7,21.25
-2084000,-3777030,8.346e-11,64.7,21.25
-2084000,-3752030,8.5048e-11,64.7,21.25
-2084000,-3727030,7.6807e-11,64.7,21.25
-2084000,-3702030,7.8173e-11,64.7,21.25
-2084000,-3677030,7.9499e-11,64.7,21.25
-2084000,-3652030,8.023e-11,64.7,21.25
-2084000,-3627030,8.0631e-11,64.7,21.25
-2084000,-3602030,9.6449e-11,64.7,21.25
-2084000,-3577030,9.5215e-11,64.7,21.25
-2084000,-3552030,9.5013e-11,64.7,21.25
-2084000,-3527030,9.4348e-11,64.7,21.25
-2084000,-3502030,9.4181e-11,64.7,21.25
-2084000,-3477030,9.6415e-11,64.7,21.25
-2084000,-3452030,8.6134e-11,64.7,21.25
-2084000,-3427030,8.8433e-11,64.7,21.25
-2084000,-3402030,8.5706e-11,64.7,21.25
-2084000,-3377030,8.364e-11,64.7,21.25
-2084000,-3352030,8.6304e-11,64.7,21.25
-2084000,-3327030,8.557e-11,64.7,21.25
-2084000,-3302030,8.8854e-11,64.7,21.25
-2084000,-3277030,8.557e-11,64.7,21.25
-2084000,-3252030,8.5524e-11,64.7,21.25
-2084000,-3227030,8.2099e-11,64.7,21.25
-2084000,-3202030,8.7921e-11,64.7,21.25
-2084000,-3177030,9.1887e-11,64.7,21.25
-2084000,-3152030,9.8234e-11,64.7,21.25
-2084000,-3127030,9.6276e-11,64.7,21.25
-2084000,-3102030,1.0028e-10,64.7,21.25
-2084000,-3077030,8.9049e-11,64.7,21.25
-2084000,-3052030,9.517e-11,64.7,21.25
-2084000,-3027030,9.157e-11,64.7,21.25
-2084000,-3002030,8.9052e-11,64.7,21.25
-2084000,-2977030,8.6e-11,64.7,21.25
-2084000,-2952030,7.4899e-11,64.7,21.25
-2084000,-2927030,7.839e-11,64.7,21.25
-2084000,-2902030,7.8776e-11,64.7,21.25
-2084000,-2877030,7.4607e-11,64.7,21.25
-2084000,-2852030,7.6376e-11,64.7,21.25
-2084000,-2827030,7.9246e-11,64.7,21.25
-2084000,-2802030,8.2367e-11,64.7,21.25
-2084000,-2777030,8.4542e-11,64.7,21.25
-2084000,-2752030,8.1315e-11,NaN,21.25
-2084000,-2727030,8.6019e-11,64.7,21.25
-2084000,-2702030,8.6042e-11,64.7,21.25
-2084000,-2677030,8.4373e-11,64.7,21.25
-2084000,-2652030,8.4976e-11,64.7,21.25
-2084000,-2627030,8.5533e-11,64.7,21.25
-2084000,-2602030,9.056e-11,64.7,21.25
-2084000,-2577030,8.8396e-11,64.7,21.25
-2084000,-2552030,8.8749e-11,64.7,21.25
-2084000,-2527030,8.7854e-11,64.7,21.25
-2084000,-2502030,8.6376e-11,64.7,21.25
-2084000,-2477030,8.7873e-11,64.7,21.25
-2084000,-2452030,8.6054e-11,64.7,21.25
-2084000,-2427030,8.6733e-11,64.7,21.25
-2084000,-2402030,8.7185e-11,64.7,21.25
-2084000,-2377030,8.8516e-11,64.7,21.25
-2084000,-2352030,8.7261e-11,64.7,21.25
-2084000,-2327030,8.7248e-11,64.7,21.25
-2084000,-2302030,8.9219e-11,64.7,21.25
-2084000,-2277030,8.8399e-11,64.7,21.25
-2084000,-2252030,8.6349e-11,64.7,21.25
-2084000,-2227030,8.5906e-11,64.7,21.25
-2084000,-2202030,8.5436e-11,64.7,21.25
-2084000,-2177030,8.4e-11,64.7,21.25
-2084000,-2152030,9.0969e-11,64.7,21.25
-2084000,-2127030,9.3634e-11,64.7,21.25
-2084000,-2102030,9.0763e-11,64.7,21.25
-2084000,-2077030,9.4519e-11,64.7,21.25
-2084000,-2052030,9.3185e-11,64.7,21.25
-2084000,-2027030,9.2982e-11,64.7,21.25
-2084000,-2002030,9.1761e-11,64.7,21.25
-2084000,-1977030,8.9093e-11,64.7,21.25
-2084000,-1952030,7.7776e-11,64.7,21.25
-2084000,-1927030,7.3242e-11,64.7,21.25
-2084000,-1902030,7.0651e-11,64.7,21.25
-2084000,-1877030,7.1313e-11,64.7,21.25
-2084000,-1852030,7.537e-11,64.7,21.25
-2084000,-1827030,7.6024e-11,64.7,21.25
-2084000,-1802030,7.6069e-11,64.7,21.25
-2084000,-1777030,7.566e-11,64.7,21.25
-2084000,-1752030,7.7246e-11,64.7,21.25
-2084000,-1727030,7.6167e-11,64.7,21.25
-2084000,-1702030,7.7163e-11,64.7,21.25
-2084000,-1677030,7.7276e-11,64.7,21.25
-2084000,-1652030,7.5061e-11,64.7,21.25
-2084000,-1627030,7.8015e-11,64.7,21.25
-2084000,-1602030,7.5001e-11,64.7,21.25
-2059000,-5527030,5.8721e-11,64.7,21.25
-2059000,-5502030,5.5591e-11,64.7,21.25
-2059000,-5477030,5.4113e-11,64.7,21.25
-2059000,-5452030,5.3916e-11,64.7,21.25
-2059000,-5427030,5.2046e-11,64.7,21.25
-2059000,-5402030,5.4078e-11,64.7,21.25
-2059000,-5377030,5.3425e-11,64.7,21.25
-2059000,-5352030,5.2979e-11,64.7,21.25
-2059000,-5327030,5.3376e-11,64.7,21.25
-2059000,-5302030,5.2119e-11,64.7,21.25
-2059000,-5277030,5.4161e-11,64.7,21.25
-2059000,-5252030,5.9367e-11,64.7,21.25
-2059000,-5227030,8.4676e-11,64.7,21.25
-2059000,-5202030,8.8122e-11,64.7,21.25
-2059000,-5177030,8.8864e-11,64.7,21.25
-2059000,-5152030,8.6581e-11,64.7,21.25
-2059000,-5127030,8.7821e-11,64.7,21.25
-2059000,-5102030,8.8748e-11,64.7,21.25
-2059000,-5077030,8.8221e-11,64.7,21.25
-2059000,-5052030,8.7175e-11,64.7,21.25
-2059000,-5027030,8.587e-11,64.7,21.25
-2059000,-5002030,8.7036e-11,64.7,21.25
-2059000,-4977030,8.6467e-11,64.7,21.25
-2059000,-4952030,8.6537e-11,64.7,21.25
-2059000,-4927030,8.7925e-11,64.7,21.25
-2059000,-4902030,8.6125e-11,64.7,21.25
-2059000,-4877030,8.6239e-11,64.7,21.25
-2059000,-4852030,8.7722e-11,64.7,21.25
-2059000,-4827030,8.7387e-11,64.7,21.25
-2059000,-4802030,8.7524e-11,64.7,21.25
-2059000,-4777030,8.7412e-11,64.7,21.25
-2059000,-4752030,8.4667e-11,64.7,21.25
-2059000,-4727030,8.821e-11,64.7,21.25
-2059000,-4702030,8.6528e-11,64.7,21.25
-2059000,-4677030,8.7028e-11,64.7,21.25
-2059000,-4652030,8.5343e-11,64.7,21.25
-2059000,-4627030,8.7628e-11,64.7,21.25
-2059000,-4602030,8.7916e-11,64.7,21.25
-2059000,-4577030,8.6954e-11,64.7,21.25
-2059000,-4552030,8.5466e-11,64.7,21.25
-2059000,-4527030,8.6031e-11,64.7,21.25
-2059000,-4502030,8.6287e-11,64.7,21.25
-2059000,-4477030,8.6742e-11,64.7,21.25
-2059000,-4452030,8.9169e-11,64.7,21.25
-2059000,-4427030,8.744e-11,64.7,21.25
-2059000,-4402030,8.5815e-11,64.7,21.25
-2059000,-4377030,8.591e-11,64.7,21.25
-2059000,-4352030,8.6681e-11,64.7,21.25
-2059000,-4327030,8.7201e-11,64.7,21.25
-2059000,-4302030,8.737e-11,64.7,21.25
-2059000,-4277030,8.5676e-11,64.7,21.25
-2059000,-4252030,8.6569e-11,64.7,21.25
-2059000,-4227030,8.6569e-11,64.7,21.25
-2059000,-4202030,8.4866e-11,64.7,21.25
-2059000,-4177030,8.5631e-11,64.7,21.25
-2059000,-4152030,8.5269e-11,64.7,21.25
-2059000,-4127030,8.55e-11,64.7,21.25
-2059000,-4102030,8.4366e-11,64.7,21.25
-2059000,-4077030,8.3896e-11,64.7,21.25
-2059000,-4052030,8.5573e-11,64.7,21.25
-2059000,-4027030,8.4258e-11,64.7,21.25
-2059000,-4002030,8.413e-11,64.7,21.25
-2059000,-3977030,8.527e-11,64.7,21.25
-2059000,-3952030,8.4128e-11,64.7,21.25
-2059000,-3927030,8.6081e-11,64.7,21.25
-2059000,-3902030,8.4133e-11,64.7,21.25
-2059000,-3877030,8.4936e-11,64.7,21.25
-2059000,-3852030,8.5585e-11,64.7,21.25
-2059000,-3827030,8.5801e-11,64.7,21.25
-2059000,-3802030,8.8031e-11,64.7,21.25
-2059000,-3777030,8.5836e-11,64.7,21.25
-2059000,-3752030,8.8497e-11,64.7,21.25
-2059000,-3727030,8.5281e-11,64.7,21.25
-2059000,-3702030,7.4461e-11,64.7,21.25
-2059000,-3677030,7.5818e-11,64.7,21.25
-2059000,-3652030,7.8788e-11,64.7,21.25
-2059000,-3627030,8.2691e-11,64.7,21.25
-2059000,-3602030,8.4919e-11,64.7,21.25
-2059000,-3577030,9.4642e-11,64.7,21.25
-2059000,-3552030,9.2345e-11,64.7,21.25
-2059000,-3527030,9.5449e-11,64.7,21.25
-2059000,-3502030,9.6152e-11,64.7,21.25
