General parameters:
Start time: 2023              8              9             20             38       18.13047
Finish time: 2023              8              9             22             47      56.068059
Raster type: raster_jump
Horizontal range (nm): -1938482.000000,-2463482.000000
Vertical range (nm): 822500.000000,287500.000000
Horizontal pixel size (nm): 7500.000000
Vertical pixel size (nm): 7500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.88e-07
Sample chamber pressure: 4.03e-08
Initial position (nm): -1602030.000000,916000.000000,-999999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-1938482 -2463482
hori_res:7500
vert_range:822500  287500
vert_res:7500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.389546
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
287500,-2463482,7.6218e-11,65.6,21.25
287500,-2455982,7.6828e-11,65.6,21.25
287500,-2448482,7.6922e-11,65.6,21.25
287500,-2440982,7.8727e-11,65.6,21.25
287500,-2433482,7.8482e-11,65.6,21.25
287500,-2425982,7.5224e-11,65.6,21.25
287500,-2418482,7.6927e-11,65.6,21.25
287500,-2410982,7.7101e-11,65.6,21.25
287500,-2403482,7.7918e-11,65.6,21.25
287500,-2395982,7.89e-11,65.6,21.25
287500,-2388482,7.7563e-11,65.6,21.25
287500,-2380982,7.629e-11,65.6,21.25
287500,-2373482,7.7439e-11,65.6,21.25
287500,-2365982,7.6042e-11,65.6,21.25
287500,-2358482,7.5125e-11,65.6,21.25
287500,-2350982,7.5339e-11,65.6,21.25
287500,-2343482,7.8188e-11,65.6,21.25
287500,-2335982,7.7857e-11,65.6,21.25
287500,-2328482,7.6303e-11,65.6,21.25
287500,-2320982,7.7358e-11,65.6,21.25
287500,-2313482,7.6539e-11,65.6,21.25
287500,-2305982,7.7221e-11,65.6,21.25
287500,-2298482,7.7419e-11,65.6,21.25
287500,-2290982,7.8427e-11,65.6,21.25
287500,-2283482,7.3393e-11,65.6,21.25
287500,-2275982,7.6506e-11,65.6,21.25
287500,-2268482,7.717e-11,65.6,21.25
287500,-2260982,7.6775e-11,65.6,21.25
287500,-2253482,7.6327e-11,65.6,21.25
287500,-2245982,7.7442e-11,65.7,21.25
287500,-2238482,7.6099e-11,65.7,21.25
287500,-2230982,7.9036e-11,65.7,21.25
287500,-2223482,8.0997e-11,NaN,21.25
287500,-2215982,7.7104e-11,65.7,21.25
287500,-2208482,7.711e-11,65.7,21.25
287500,-2200982,7.7294e-11,65.7,21.25
287500,-2193482,7.5228e-11,65.7,21.25
287500,-2185982,7.8127e-11,NaN,21.25
287500,-2178482,7.5239e-11,65.7,21.25
287500,-2170982,7.7828e-11,65.7,21.25
287500,-2163482,7.8381e-11,65.7,21.25
287500,-2155982,7.6599e-11,65.7,21.25
287500,-2148482,7.5294e-11,65.7,21.25
287500,-2140982,7.7212e-11,65.7,21.25
