General parameters:
Start time: 2023              8             10             17             23      46.740557
Finish time: 2023              8             11              2             34       3.577185
Raster type: raster_jump
Horizontal range (nm): -2651501.000000,-4508501.000000
Vertical range (nm): -819000.000000,-1973000.000000
Horizontal pixel size (nm): 10000.000000
Vertical pixel size (nm): 10000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.79e-07
Sample chamber pressure: 3.98e-08
Initial position (nm): -2286970.000000,671000.000000,-999991.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2651501 -4508501
hori_res:10000
vert_range:-819000 -1973000
vert_res:10000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.454184
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1973000,-4508501,8.8297e-11,64.8,21.25
-1973000,-4498501,8.5696e-11,64.8,21.25
-1973000,-4488501,8.2893e-11,64.8,21.25
-1973000,-4478501,8.5012e-11,64.8,21.25
-1973000,-4468501,8.3222e-11,64.8,21.25
-1973000,-4458501,8.5069e-11,64.8,21.25
-1973000,-4448501,8.2718e-11,64.8,21.25
-1973000,-4438501,8.3618e-11,64.8,21.25
-1973000,-4428501,8.3403e-11,64.8,21.25
-1973000,-4418501,8.3634e-11,64.8,21.25
-1973000,-4408501,8.1348e-11,64.8,21.25
-1973000,-4398501,8.3467e-11,64.8,21.25
-1973000,-4388501,8.3704e-11,64.8,21.25
-1973000,-4378501,8.4806e-11,64.8,21.25
-1973000,-4368501,8.2575e-11,64.8,21.25
-1973000,-4358501,8.4701e-11,64.8,21.25
-1973000,-4348501,8.5637e-11,64.8,21.25
-1973000,-4338501,8.2312e-11,64.8,21.25
-1973000,-4328501,8.3242e-11,64.8,21.25
-1973000,-4318501,8.4393e-11,64.8,21.25
-1973000,-4308501,8.3612e-11,64.8,21.25
-1973000,-4298501,8.2615e-11,64.8,21.25
-1973000,-4288501,8.4546e-11,64.8,21.25
-1973000,-4278501,8.2397e-11,64.8,21.25
-1973000,-4268501,8.3215e-11,64.8,21.25
-1973000,-4258501,8.1497e-11,64.8,21.25
-1973000,-4248501,8.1951e-11,64.8,21.25
-1973000,-4238501,8.047e-11,64.8,21.25
-1973000,-4228501,8.1175e-11,64.8,21.25
-1973000,-4218501,8.0699e-11,64.8,21.25
-1973000,-4208501,8.1385e-11,64.8,21.25
-1973000,-4198501,8.0288e-11,64.8,21.25
-1973000,-4188501,8.0272e-11,64.8,21.25
-1973000,-4178501,8.256e-11,64.8,21.25
-1973000,-4168501,8.051e-11,64.8,21.25
-1973000,-4158501,8.3285e-11,64.8,21.25
-1973000,-4148501,8.1815e-11,64.8,21.25
-1973000,-4138501,8.3107e-11,64.8,21.25
-1973000,-4128501,8.1824e-11,64.8,21.25
-1973000,-4118501,8.1303e-11,64.8,21.25
-1973000,-4108501,8.2536e-11,64.8,21.25
-1973000,-4098501,8.1604e-11,64.8,21.25
-1973000,-4088501,8.1676e-11,64.8,21.25
-1973000,-4078501,8.1151e-11,64.8,21.25
-1973000,-4068501,7.9585e-11,64.8,21.25
-1973000,-4058501,8.4928e-11,64.8,21.25
-1973000,-4048501,8.1503e-11,64.8,21.25
-1973000,-4038501,8.2839e-11,64.8,21.25
-1973000,-4028501,8.3918e-11,64.8,21.25
-1973000,-4018501,8.1851e-11,64.8,21.25
-1973000,-4008501,8.3243e-11,64.8,21.25
-1973000,-3998501,8.2039e-11,64.8,21.25
-1973000,-3988501,8.1155e-11,64.8,21.25
-1973000,-3978501,8.166e-11,64.8,21.25
-1973000,-3968501,8.0381e-11,64.8,21.25
-1973000,-3958501,8.204e-11,64.8,21.25
-1973000,-3948501,8.1657e-11,64.8,21.25
-1973000,-3938501,8.3652e-11,64.8,21.25
-1973000,-3928501,8.2869e-11,64.8,21.25
-1973000,-3918501,8.3524e-11,64.8,21.25
-1973000,-3908501,8.397e-11,64.8,21.25
-1973000,-3898501,8.393e-11,64.8,21.25
-1973000,-3888501,8.2233e-11,64.8,21.25
-1973000,-3878501,8.1378e-11,64.8,21.25
-1973000,-3868501,8.3042e-11,64.8,21.25
-1973000,-3858501,8.2769e-11,64.8,21.25
-1973000,-3848501,8.2391e-11,64.8,21.25
-1973000,-3838501,8.0134e-11,64.8,21.25
-1973000,-3828501,8.2218e-11,64.8,21.25
-1973000,-3818501,8.2397e-11,64.8,21.25
-1973000,-3808501,8.2303e-11,64.8,21.25
-1973000,-3798501,8.3363e-11,64.8,21.25
-1973000,-3788501,8.1206e-11,64.8,21.25
-1973000,-3778501,8.179e-11,64.8,21.25
-1973000,-3768501,8.4158e-11,64.8,21.25
-1973000,-3758501,8.1915e-11,64.8,21.25
-1973000,-3748501,8.0664e-11,64.8,21.25
-1973000,-3738501,8.0437e-11,64.8,21.25
-1973000,-3728501,8.2281e-11,64.8,21.25
-1973000,-3718501,8.2484e-11,64.8,21.25
-1973000,-3708501,8.3716e-11,64.8,21.25
-1973000,-3698501,8.2609e-11,64.8,21.25
-1973000,-3688501,8.1804e-11,64.8,21.25
-1973000,-3678501,8.4448e-11,64.8,21.25
-1973000,-3668501,8.1421e-11,64.8,21.25
-1973000,-3658501,8.1463e-11,64.8,21.25
-1973000,-3648501,8.1413e-11,64.8,21.25
-1973000,-3638501,8.177e-11,64.8,21.25
-1973000,-3628501,8.0937e-11,64.8,21.25
-1973000,-3618501,8.2964e-11,64.8,21.25
-1973000,-3608501,8.3043e-11,64.8,21.25
-1973000,-3598501,8.313e-11,64.8,21.25
-1973000,-3588501,8.0724e-11,64.8,21.25
-1973000,-3578501,8.1815e-11,64.8,21.25
-1973000,-3568501,8.1951e-11,64.8,21.25
-1973000,-3558501,8.3512e-11,64.8,21.25
-1973000,-3548501,8.4258e-11,64.8,21.25
-1973000,-3538501,8.366e-11,64.8,21.25
-1973000,-3528501,8.2894e-11,64.8,21.25
-1973000,-3518501,8.3087e-11,64.8,21.25
-1973000,-3508501,8.0976e-11,64.8,21.25
-1973000,-3498501,8.0443e-11,64.8,21.25
-1973000,-3488501,8.1357e-11,64.8,21.25
-1973000,-3478501,6.6936e-11,64.8,21.25
-1973000,-3468501,6.9594e-11,64.8,21.25
-1973000,-3458501,6.7001e-11,64.8,21.25
-1973000,-3448501,6.6136e-11,64.8,21.25
-1973000,-3438501,6.0612e-11,64.8,21.25
-1973000,-3428501,5.3678e-11,64.8,21.25
-1973000,-3418501,5.6297e-11,64.8,21.25
-1973000,-3408501,5.4093e-11,64.8,21.25
-1973000,-3398501,6.8812e-11,64.8,21.25
-1973000,-3388501,6.3582e-11,64.8,21.25
-1973000,-3378501,5.6784e-11,64.8,21.25
-1973000,-3368501,7.6051e-11,64.8,21.25
-1973000,-3358501,8.9299e-11,64.8,21.25
-1973000,-3348501,8.5234e-11,64.8,21.25
-1973000,-3338501,8.8739e-11,64.8,21.25
-1973000,-3328501,9.4013e-11,64.8,21.25
-1973000,-3318501,9.6404e-11,64.8,21.25
-1973000,-3308501,9.903e-11,64.8,21.25
-1973000,-3298501,9.2061e-11,64.8,21.25
-1973000,-3288501,9.6079e-11,64.8,21.25
-1973000,-3278501,9.6646e-11,64.8,21.25
-1973000,-3268501,9.4948e-11,64.8,21.25
-1973000,-3258501,8.8213e-11,64.8,21.25
-1973000,-3248501,8.5628e-11,64.8,21.25
-1973000,-3238501,8.4779e-11,64.8,21.25
-1973000,-3228501,8.2476e-11,64.8,21.25
-1973000,-3218501,8.5257e-11,64.8,21.25
-1973000,-3208501,8.6893e-11,64.8,21.25
-1973000,-3198501,7.6794e-11,64.8,21.25
-1973000,-3188501,8.2361e-11,64.8,21.25
-1973000,-3178501,7.9548e-11,64.8,21.25
-1973000,-3168501,7.8582e-11,64.8,21.25
-1973000,-3158501,7.1125e-11,64.8,21.25
-1973000,-3148501,8.1461e-11,64.8,21.25
-1973000,-3138501,8.8531e-11,64.8,21.25
-1973000,-3128501,8.5803e-11,64.8,21.25
-1973000,-3118501,8.4045e-11,64.8,21.25
-1973000,-3108501,8.3246e-11,64.8,21.25
-1973000,-3098501,8.3233e-11,64.8,21.25
-1973000,-3088501,8.3209e-11,64.8,21.25
-1973000,-3078501,8.4628e-11,64.8,21.25
-1973000,-3068501,8.1966e-11,64.8,21.25
-1973000,-3058501,7.836e-11,64.8,21.25
-1973000,-3048501,9.0001e-11,64.8,21.25
-1973000,-3038501,9.2115e-11,64.8,21.25
-1973000,-3028501,9.3451e-11,64.8,21.25
-1973000,-3018501,9.4351e-11,64.8,21.25
-1973000,-3008501,8.9457e-11,64.8,21.25
-1973000,-2998501,8.8455e-11,64.8,21.25
-1973000,-2988501,9.0524e-11,64.8,21.25
-1973000,-2978501,9.1616e-11,64.8,21.25
-1973000,-2968501,8.7245e-11,64.8,21.25
-1973000,-2958501,8.7625e-11,64.8,21.25
-1973000,-2948501,9.6069e-11,64.8,21.25
-1973000,-2938501,9.3121e-11,64.8,21.25
-1973000,-2928501,9.0181e-11,64.8,21.25
-1973000,-2918501,8.8676e-11,64.8,21.25
-1973000,-2908501,9.3642e-11,64.8,21.25
-1973000,-2898501,9.3228e-11,64.8,21.25
-1973000,-2888501,9.3746e-11,64.8,21.25
-1973000,-2878501,9.203e-11,64.8,21.25
-1973000,-2868501,8.0979e-11,64.8,21.25
-1973000,-2858501,7.7575e-11,64.8,21.25
-1973000,-2848501,7.4601e-11,64.8,21.25
-1973000,-2838501,7.5752e-11,64.8,21.25
-1973000,-2828501,7.5651e-11,64.8,21.25
-1973000,-2818501,7.7476e-11,64.8,21.25
-1973000,-2808501,7.8166e-11,64.8,21.25
-1973000,-2798501,7.8872e-11,64.8,21.25
-1973000,-2788501,8.0737e-11,64.8,21.25
-1973000,-2778501,8.1697e-11,64.8,21.25
-1973000,-2768501,8.4145e-11,64.8,21.25
-1973000,-2758501,8.2839e-11,64.8,21.25
-1973000,-2748501,8.3879e-11,64.8,21.25
-1973000,-2738501,8.4633e-11,64.8,21.25
-1973000,-2728501,8.2813e-11,64.8,21.25
-1973000,-2718501,8.3073e-11,64.8,21.25
-1973000,-2708501,8.4157e-11,64.8,21.25
-1973000,-2698501,8.2654e-11,64.8,21.25
-1973000,-2688501,8.5636e-11,64.8,21.25
-1973000,-2678501,8.3522e-11,64.8,21.25
-1973000,-2668501,8.3599e-11,64.8,21.25
-1973000,-2658501,8.4081e-11,64.8,21.25
-1963000,-4508501,8.4751e-11,64.8,21.25
-1963000,-4498501,8.4236e-11,64.8,21.25
-1963000,-4488501,8.2564e-11,64.8,21.25
-1963000,-4478501,8.4763e-11,64.8,21.25
-1963000,-4468501,8.4073e-11,64.8,21.25
-1963000,-4458501,8.3869e-11,64.8,21.25
-1963000,-4448501,8.706e-11,64.8,21.25
-1963000,-4438501,8.4694e-11,64.8,21.25
-1963000,-4428501,8.3106e-11,64.8,21.25
-1963000,-4418501,8.2764e-11,64.8,21.25
-1963000,-4408501,8.3313e-11,64.8,21.25
