General parameters:
Start time: 2023              8             11             11             56      14.838152
Finish time: 2023              8             12              2              7      31.905116
Raster type: raster_jump
Horizontal range (nm): -2830497.000000,-3719497.000000
Vertical range (nm): -919000.000000,-1865000.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.78e-07
Sample chamber pressure: 3.83e-08
Initial position (nm): -2658506.000000,-823000.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2830497 -3719497
hori_res:5000
vert_range:-919000 -1865000
vert_res:5000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.560888
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1865000,-3719497,9.6504e-11,64.8,21.25
-1865000,-3714497,9.5884e-11,64.8,21.25
-1865000,-3709497,9.559e-11,64.8,21.25
-1865000,-3704497,9.6048e-11,64.8,21.25
-1865000,-3699497,9.5636e-11,64.8,21.25
-1865000,-3694497,9.5478e-11,64.8,21.25
-1865000,-3689497,9.6206e-11,64.8,21.25
-1865000,-3684497,9.5651e-11,64.8,21.25
-1865000,-3679497,9.6985e-11,64.8,21.25
-1865000,-3674497,9.5399e-11,64.8,21.25
-1865000,-3669497,9.4493e-11,64.8,21.25
-1865000,-3664497,9.4799e-11,64.8,21.25
-1865000,-3659497,9.7909e-11,NaN,21.25
-1865000,-3654497,9.4934e-11,64.8,21.25
-1865000,-3649497,9.5993e-11,64.8,21.25
-1865000,-3644497,9.8887e-11,64.8,21.25
-1865000,-3639497,9.4242e-11,64.8,21.25
-1865000,-3634497,9.6366e-11,64.8,21.25
-1865000,-3629497,9.7493e-11,64.8,21.25
-1865000,-3624497,9.5442e-11,64.8,21.25
-1865000,-3619497,9.7422e-11,64.8,21.25
-1865000,-3614497,9.447e-11,64.8,21.25
-1865000,-3609497,9.4342e-11,64.8,21.25
-1865000,-3604497,9.5169e-11,64.8,21.25
-1865000,-3599497,9.5907e-11,64.8,21.25
-1865000,-3594497,9.5296e-11,64.8,21.25
