General parameters:
Start time: 2023              8             13             23             40      55.502917
Finish time: 2023              8             14              9             49      45.787881
Raster type: raster_jump
Horizontal range (nm): -3229991.000000,-4829991.000000
Vertical range (nm): 1197500.000000,-275500.000000
Horizontal pixel size (nm): 10000.000000
Vertical pixel size (nm): 10000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.95e-07
Sample chamber pressure: 3.79e-08
Initial position (nm): -2834487.000000,-920000.000000,-1000010.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3229991 -4829991
hori_res:10000
vert_range:1197500  -275500
vert_res:10000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.628262
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-275500,-4829991,9.6157e-11,65.9,21.25
-275500,-4819991,9.3278e-11,65.9,21.25
-275500,-4809991,9.2912e-11,65.9,21.25
-275500,-4799991,9.2213e-11,65.9,21.25
-275500,-4789991,9.2907e-11,65.9,21.25
-275500,-4779991,9.579e-11,65.9,21.25
-275500,-4769991,9.4549e-11,65.9,21.25
-275500,-4759991,9.2424e-11,65.9,21.25
-275500,-4749991,9.3712e-11,65.9,21.25
-275500,-4739991,9.5199e-11,65.9,21.25
-275500,-4729991,9.3506e-11,65.9,21.25
-275500,-4719991,9.447e-11,65.9,21.25
-275500,-4709991,9.4448e-11,65.9,21.25
-275500,-4699991,9.6819e-11,65.9,21.25
-275500,-4689991,9.2801e-11,65.9,21.25
-275500,-4679991,9.5831e-11,65.9,21.25
-275500,-4669991,9.5736e-11,65.9,21.25
-275500,-4659991,9.5124e-11,65.9,21.25
-275500,-4649991,9.4855e-11,65.9,21.25
-275500,-4639991,9.387e-11,65.9,21.25
-275500,-4629991,9.5736e-11,65.9,21.25
-275500,-4619991,9.3091e-11,65.9,21.25
-275500,-4609991,9.5463e-11,65.9,21.25
-275500,-4599991,9.419e-11,65.9,21.25
-275500,-4589991,9.5778e-11,65.9,21.25
-275500,-4579991,9.5103e-11,65.9,21.25
-275500,-4569991,9.3054e-11,65.9,21.25
-275500,-4559991,9.4919e-11,65.9,21.25
-275500,-4549991,9.3607e-11,65.9,21.25
-275500,-4539991,9.4309e-11,65.9,21.25
-275500,-4529991,9.4558e-11,65.9,21.25
-275500,-4519991,9.4207e-11,65.9,21.25
-275500,-4509991,9.4515e-11,65.9,21.25
-275500,-4499991,9.454e-11,65.9,21.25
-275500,-4489991,9.5694e-11,65.9,21.25
-275500,-4479991,9.3816e-11,65.9,21.25
-275500,-4469991,9.3633e-11,65.9,21.25
-275500,-4459991,9.3524e-11,65.9,21.25
-275500,-4449991,9.0972e-11,65.9,21.25
-275500,-4439991,9.356e-11,65.9,21.25
-275500,-4429991,9.3069e-11,65.9,21.25
-275500,-4419991,9.5101e-11,65.9,21.25
-275500,-4409991,9.4603e-11,65.9,21.25
-275500,-4399991,9.4066e-11,65.9,21.25
-275500,-4389991,9.2812e-11,65.9,21.25
-275500,-4379991,9.3699e-11,65.9,21.25
-275500,-4369991,9.4752e-11,65.9,21.25
-275500,-4359991,9.4842e-11,65.9,21.25
-275500,-4349991,9.307e-11,65.9,21.25
-275500,-4339991,9.5342e-11,65.9,21.25
-275500,-4329991,9.4428e-11,65.9,21.25
-275500,-4319991,9.2499e-11,65.9,21.25
-275500,-4309991,9.4551e-11,65.9,21.25
-275500,-4299991,9.4815e-11,65.9,21.25
-275500,-4289991,9.4234e-11,65.9,21.25
-275500,-4279991,9.5473e-11,65.9,21.25
-275500,-4269991,9.3727e-11,65.9,21.25
-275500,-4259991,9.4882e-11,65.9,21.25
-275500,-4249991,9.4927e-11,65.9,21.25
-275500,-4239991,9.3939e-11,65.9,21.25
-275500,-4229991,9.4267e-11,65.9,21.25
-275500,-4219991,9.4497e-11,65.9,21.25
-275500,-4209991,9.453e-11,65.9,21.25
-275500,-4199991,9.6457e-11,65.9,21.25
-275500,-4189991,9.7258e-11,65.9,21.25
-275500,-4179991,9.5269e-11,65.9,21.25
-275500,-4169991,9.5233e-11,65.9,21.25
-275500,-4159991,9.437e-11,65.9,21.25
-275500,-4149991,9.4337e-11,65.9,21.25
-275500,-4139991,9.4991e-11,65.9,21.25
-275500,-4129991,9.4507e-11,65.9,21.25
-275500,-4119991,9.2421e-11,65.9,21.25
-275500,-4109991,9.6343e-11,65.9,21.25
-275500,-4099991,9.5415e-11,65.9,21.25
-275500,-4089991,9.0825e-11,65.9,21.25
-275500,-4079991,9.4449e-11,65.9,21.25
-275500,-4069991,9.4887e-11,65.9,21.25
-275500,-4059991,9.4213e-11,65.9,21.25
-275500,-4049991,9.4103e-11,65.9,21.25
-275500,-4039991,9.4937e-11,65.9,21.25
-275500,-4029991,9.4561e-11,65.9,21.25
-275500,-4019991,9.3037e-11,65.9,21.25
-275500,-4009991,9.4888e-11,65.9,21.25
-275500,-3999991,9.3266e-11,65.9,21.25
-275500,-3989991,9.5821e-11,65.9,21.25
-275500,-3979991,9.5684e-11,65.9,21.25
-275500,-3969991,9.353e-11,65.9,21.25
-275500,-3959991,9.4318e-11,65.9,21.25
-275500,-3949991,9.5184e-11,65.9,21.25
-275500,-3939991,9.5546e-11,65.9,21.25
-275500,-3929991,9.3796e-11,65.9,21.25
-275500,-3919991,9.4642e-11,65.9,21.25
-275500,-3909991,9.3506e-11,65.9,21.25
-275500,-3899991,9.4419e-11,65.9,21.25
-275500,-3889991,9.4431e-11,65.9,21.25
-275500,-3879991,9.4275e-11,65.9,21.25
-275500,-3869991,9.42e-11,65.9,21.25
-275500,-3859991,9.4355e-11,65.9,21.25
-275500,-3849991,9.3273e-11,65.9,21.25
-275500,-3839991,9.6734e-11,65.9,21.25
-275500,-3829991,9.4254e-11,65.9,21.25
-275500,-3819991,9.2127e-11,65.9,21.25
-275500,-3809991,9.5381e-11,65.9,21.25
-275500,-3799991,9.5051e-11,65.9,21.25
-275500,-3789991,9.3001e-11,65.9,21.25
-275500,-3779991,9.4987e-11,65.9,21.25
-275500,-3769991,9.4522e-11,65.9,21.25
-275500,-3759991,9.6069e-11,65.9,21.25
-275500,-3749991,9.4e-11,65.9,21.25
-275500,-3739991,9.6397e-11,65.9,21.25
-275500,-3729991,9.3697e-11,65.9,21.25
-275500,-3719991,9.4966e-11,65.9,21.25
-275500,-3709991,9.4507e-11,65.9,21.25
-275500,-3699991,9.3146e-11,65.9,21.25
-275500,-3689991,9.5276e-11,65.9,21.25
-275500,-3679991,9.2658e-11,65.9,21.25
-275500,-3669991,9.4246e-11,65.9,21.25
-275500,-3659991,9.5412e-11,65.9,21.25
-275500,-3649991,9.3043e-11,65.9,21.25
-275500,-3639991,9.4403e-11,65.9,21.25
-275500,-3629991,9.3379e-11,65.9,21.25
-275500,-3619991,9.4527e-11,65.9,21.25
-275500,-3609991,9.3228e-11,65.9,21.25
-275500,-3599991,9.2851e-11,65.9,21.25
-275500,-3589991,9.3616e-11,65.9,21.25
-275500,-3579991,9.4172e-11,65.9,21.25
-275500,-3569991,9.2655e-11,65.9,21.25
-275500,-3559991,9.4558e-11,65.9,21.25
-275500,-3549991,9.4846e-11,65.9,21.25
-275500,-3539991,9.2982e-11,65.9,21.25
-275500,-3529991,9.3758e-11,65.9,21.25
-275500,-3519991,9.2667e-11,65.9,21.25
-275500,-3509991,9.3836e-11,65.9,21.25
-275500,-3499991,9.3127e-11,65.9,21.25
-275500,-3489991,9.4012e-11,65.9,21.25
-275500,-3479991,9.4303e-11,65.9,21.25
-275500,-3469991,9.1316e-11,65.9,21.25
-275500,-3459991,9.7234e-11,65.9,21.25
-275500,-3449991,9.4558e-11,65.9,21.25
-275500,-3439991,9.3907e-11,65.9,21.25
-275500,-3429991,9.2675e-11,65.9,21.25
-275500,-3419991,9.279e-11,65.9,21.25
-275500,-3409991,9.4593e-11,65.9,21.25
-275500,-3399991,9.5785e-11,65.9,21.25
-275500,-3389991,9.4221e-11,65.9,21.25
-275500,-3379991,9.3118e-11,65.9,21.25
-275500,-3369991,9.4142e-11,65.9,21.25
-275500,-3359991,9.3569e-11,65.9,21.25
-275500,-3349991,9.639e-11,65.9,21.25
-275500,-3339991,9.2315e-11,65.9,21.25
-275500,-3329991,9.6309e-11,65.9,21.25
-275500,-3319991,9.4327e-11,65.9,21.25
-275500,-3309991,9.4655e-11,65.9,21.25
-275500,-3299991,9.4319e-11,65.9,21.25
