General parameters:
Start time: 2023              8             14             10             51      27.285446
Finish time: 2023              8             14             10             58       5.679074
Raster type: raster_jump
Horizontal range (nm): -3825990.000000,-4275990.000000
Vertical range (nm): -33000.000000,-233000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.92e-07
Sample chamber pressure: 3.75e-08
Initial position (nm): -3230010.000000,1194500.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3825990 -4275990
hori_res:2500
vert_range:-33000 -233000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.646046
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-233000,-4275990,9.1503e-11,65.7,21.25
-233000,-4273490,9.2797e-11,65.7,21.25
-233000,-4270990,9.1021e-11,65.7,21.25
-233000,-4268490,9.4443e-11,65.7,21.25
-233000,-4265990,9.3125e-11,65.7,21.25
-233000,-4263490,9.2993e-11,65.7,21.25
-233000,-4260990,9.2567e-11,65.7,21.25
-233000,-4258490,9.2918e-11,65.7,21.25
-233000,-4255990,9.1831e-11,65.7,21.25
-233000,-4253490,9.4279e-11,65.7,21.25
-233000,-4250990,9.1501e-11,65.7,21.25
-233000,-4248490,9.3354e-11,65.7,21.25
-233000,-4245990,9.3037e-11,65.7,21.25
-233000,-4243490,9.3119e-11,65.7,21.25
-233000,-4240990,9.351e-11,65.7,21.25
-233000,-4238490,9.2185e-11,65.7,21.25
-233000,-4235990,9.227e-11,65.7,21.25
-233000,-4233490,9.3725e-11,65.7,21.25
-233000,-4230990,9.2278e-11,65.7,21.25
-233000,-4228490,9.2351e-11,65.7,21.25
-233000,-4225990,9.2718e-11,65.7,21.25
-233000,-4223490,9.3148e-11,65.7,21.25
-233000,-4220990,9.1161e-11,65.7,21.25
-233000,-4218490,9.4588e-11,65.7,21.25
-233000,-4215990,9.2672e-11,65.7,21.25
-233000,-4213490,9.0931e-11,65.7,21.25
-233000,-4210990,9.4155e-11,65.7,21.25
-233000,-4208490,9.1551e-11,65.7,21.25
-233000,-4205990,9.1255e-11,65.7,21.25
-233000,-4203490,9.3442e-11,65.7,21.25
-233000,-4200990,9.3382e-11,65.7,21.25
-233000,-4198490,9.1331e-11,65.7,21.25
-233000,-4195990,9.0755e-11,65.7,21.25
-233000,-4193490,9.1627e-11,65.7,21.25
-233000,-4190990,8.9961e-11,65.7,21.25
-233000,-4188490,9.0163e-11,65.7,21.25
-233000,-4185990,9.193e-11,65.7,21.25
-233000,-4183490,9.0487e-11,65.7,21.25
-233000,-4180990,9.2272e-11,65.7,21.25
-233000,-4178490,9.4666e-11,65.7,21.25
-233000,-4175990,9.2916e-11,65.7,21.25
-233000,-4173490,9.2616e-11,65.7,21.25
-233000,-4170990,9.3601e-11,65.7,21.25
-233000,-4168490,9.2418e-11,65.7,21.25
-233000,-4165990,9.1627e-11,65.7,21.25
-233000,-4163490,9.2643e-11,65.7,21.25
-233000,-4160990,9.3633e-11,65.7,21.25
-233000,-4158490,9.2496e-11,65.7,21.25
-233000,-4155990,8.9976e-11,65.7,21.25
-233000,-4153490,9.2322e-11,65.7,21.25
-233000,-4150990,9.2036e-11,65.7,21.25
-233000,-4148490,9.2606e-11,65.7,21.25
-233000,-4145990,9.383e-11,65.7,21.25
-233000,-4143490,9.4081e-11,65.7,21.25
-233000,-4140990,9.4331e-11,65.7,21.25
-233000,-4138490,9.3181e-11,65.7,21.25
-233000,-4135990,9.2169e-11,65.7,21.25
-233000,-4133490,9.3646e-11,65.7,21.25
-233000,-4130990,9.2884e-11,65.7,21.25
-233000,-4128490,9.2288e-11,65.7,21.25
-233000,-4125990,9.2437e-11,65.7,21.25
-233000,-4123490,9.3675e-11,65.7,21.25
-233000,-4120990,9.0357e-11,65.7,21.25
-233000,-4118490,9.3115e-11,65.7,21.25
-233000,-4115990,9.2778e-11,65.7,21.25
-233000,-4113490,9.2376e-11,65.7,21.25
-233000,-4110990,9.1454e-11,65.7,21.25
-233000,-4108490,9.3809e-11,65.7,21.25
-233000,-4105990,9.0176e-11,65.7,21.25
-233000,-4103490,9.3067e-11,65.7,21.25
-233000,-4100990,9.3439e-11,65.7,21.25
-233000,-4098490,9.0973e-11,65.7,21.25
-233000,-4095990,9.2581e-11,65.7,21.25
-233000,-4093490,9.2158e-11,65.7,21.25
-233000,-4090990,9.1609e-11,65.7,21.25
-233000,-4088490,9.3012e-11,65.7,21.25
-233000,-4085990,9.3078e-11,65.7,21.25
-233000,-4083490,9.299e-11,65.7,21.25
-233000,-4080990,9.1504e-11,65.7,21.25
-233000,-4078490,9.4585e-11,65.7,21.25
-233000,-4075990,9.2922e-11,65.7,21.25
-233000,-4073490,9.3813e-11,65.7,21.25
-233000,-4070990,9.0685e-11,65.7,21.25
-233000,-4068490,9.1915e-11,65.7,21.25
-233000,-4065990,9.0928e-11,65.7,21.25
-233000,-4063490,9.1252e-11,65.7,21.25
-233000,-4060990,9.2863e-11,65.7,21.25
-233000,-4058490,9.2204e-11,65.7,21.25
-233000,-4055990,8.9619e-11,65.7,21.25
-233000,-4053490,9.1093e-11,65.7,21.25
-233000,-4050990,9.1451e-11,65.7,21.25
-233000,-4048490,9.3803e-11,65.7,21.25
-233000,-4045990,9.0152e-11,65.7,21.25
-233000,-4043490,9.1516e-11,65.7,21.25
-233000,-4040990,9.0978e-11,65.7,21.25
-233000,-4038490,9.2164e-11,65.7,21.25
-233000,-4035990,9.1821e-11,65.7,21.25
-233000,-4033490,9.2593e-11,65.7,21.25
-233000,-4030990,9.2367e-11,65.7,21.25
-233000,-4028490,9.3876e-11,65.7,21.25
-233000,-4025990,9.4472e-11,65.7,21.25
-233000,-4023490,9.2437e-11,65.7,21.25
-233000,-4020990,9.266e-11,65.7,21.25
-233000,-4018490,9.1821e-11,65.7,21.25
-233000,-4015990,9.1143e-11,65.7,21.25
-233000,-4013490,9.0175e-11,65.7,21.25
-233000,-4010990,9.204e-11,65.7,21.25
-233000,-4008490,9.2939e-11,65.7,21.25
-233000,-4005990,9.1873e-11,65.7,21.25
-233000,-4003490,9.223e-11,65.7,21.25
-233000,-4000990,9.2609e-11,65.7,21.25
-233000,-3998490,9.3388e-11,65.7,21.25
-233000,-3995990,9.3116e-11,65.7,21.25
-233000,-3993490,9.3703e-11,65.7,21.25
-233000,-3990990,9.0313e-11,65.7,21.25
-233000,-3988490,8.9937e-11,65.7,21.25
-233000,-3985990,9.1619e-11,65.7,21.25
-233000,-3983490,9.1733e-11,65.7,21.25
-233000,-3980990,9.2528e-11,65.7,21.25
-233000,-3978490,9.0775e-11,65.7,21.25
-233000,-3975990,9.313e-11,65.7,21.25
-233000,-3973490,9.3528e-11,65.7,21.25
-233000,-3970990,9.1767e-11,65.7,21.25
-233000,-3968490,9.1269e-11,65.7,21.25
-233000,-3965990,9.0876e-11,65.7,21.25
-233000,-3963490,9.3788e-11,65.7,21.25
-233000,-3960990,9.0816e-11,65.7,21.25
-233000,-3958490,9.2366e-11,65.7,21.25
-233000,-3955990,8.9734e-11,NaN,21.25
-233000,-3953490,9.3664e-11,65.7,21.25
-233000,-3950990,9.129e-11,65.7,21.25
-233000,-3948490,9.0652e-11,65.7,21.25
-233000,-3945990,9.3963e-11,65.7,21.25
-233000,-3943490,9.3078e-11,65.7,21.25
-233000,-3940990,9.2787e-11,65.7,21.25
-233000,-3938490,9.3358e-11,65.7,21.25
-233000,-3935990,9.2206e-11,65.7,21.25
-233000,-3933490,9.3649e-11,65.7,21.25
-233000,-3930990,9.154e-11,65.7,21.25
-233000,-3928490,9.4318e-11,65.7,21.25
-233000,-3925990,9.2376e-11,65.7,21.25
-233000,-3923490,8.9222e-11,65.6,21.25
-233000,-3920990,9.1175e-11,65.6,21.25
-233000,-3918490,9.2187e-11,65.6,21.25
-233000,-3915990,9.2316e-11,65.6,21.25
-233000,-3913490,9.1664e-11,65.6,21.25
-233000,-3910990,9.0984e-11,65.6,21.25
-233000,-3908490,9.263e-11,65.6,21.25
-233000,-3905990,9.1355e-11,65.6,21.25
-233000,-3903490,9.1588e-11,65.6,21.25
-233000,-3900990,9.357e-11,65.6,21.25
-233000,-3898490,9.0418e-11,65.6,21.25
