General parameters:
Start time: 2023              8             14             10             59       9.782217
Finish time: 2023              8             14             12             43       28.12099
Raster type: raster_jump
Horizontal range (nm): -3418480.000000,-4069480.000000
Vertical range (nm): 701500.000000,168500.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.91e-07
Sample chamber pressure: 3.78e-08
Initial position (nm): -4063479.000000,-230500.000000,-1000002.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3418480 -4069480
hori_res:5000
vert_range:701500  168500
vert_res:5000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.644678
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
168500,-4069480,8.9639e-11,65.6,21.25
168500,-4064480,9.0828e-11,NaN,21.25
168500,-4059480,9.1169e-11,65.6,21.25
168500,-4054480,9.2176e-11,65.6,21.25
168500,-4049480,9.1113e-11,65.6,21.25
168500,-4044480,9.3645e-11,65.6,21.25
168500,-4039480,9.1534e-11,65.6,21.25
168500,-4034480,9.1788e-11,65.6,21.25
168500,-4029480,9.2918e-11,65.6,21.25
168500,-4024480,9.1118e-11,65.6,21.25
168500,-4019480,9.1012e-11,65.6,21.25
168500,-4014480,9.0142e-11,65.6,21.25
168500,-4009480,9.0148e-11,65.6,21.25
168500,-4004480,9.339e-11,65.6,21.25
168500,-3999480,9.3472e-11,65.6,21.25
168500,-3994480,9.0993e-11,65.6,21.25
168500,-3989480,9.2793e-11,65.6,21.25
168500,-3984480,9.3378e-11,65.6,21.25
168500,-3979480,9.324e-11,65.6,21.25
168500,-3974480,9.5167e-11,65.6,21.25
168500,-3969480,9.1907e-11,65.6,21.25
168500,-3964480,9.0885e-11,65.6,21.25
168500,-3959480,9.196e-11,65.6,21.25
168500,-3954480,9.2194e-11,65.6,21.25
168500,-3949480,9.3321e-11,65.6,21.25
168500,-3944480,9.0779e-11,65.6,21.25
168500,-3939480,9.3158e-11,65.6,21.25
168500,-3934480,9.3922e-11,65.6,21.25
168500,-3929480,9.2043e-11,65.6,21.25
168500,-3924480,9.1907e-11,65.6,21.25
168500,-3919480,9.3125e-11,65.6,21.25
168500,-3914480,9.4296e-11,65.5,21.25
168500,-3909480,9.253e-11,65.5,21.25
168500,-3904480,9.2575e-11,65.5,21.25
168500,-3899480,9.0936e-11,65.5,21.25
168500,-3894480,9.0884e-11,65.5,21.25
168500,-3889480,9.3916e-11,65.5,21.25
168500,-3884480,8.9775e-11,65.5,21.25
168500,-3879480,9.0506e-11,65.5,21.25
168500,-3874480,9.1669e-11,65.5,21.25
168500,-3869480,9.1099e-11,65.5,21.25
168500,-3864480,9.2216e-11,65.5,21.25
168500,-3859480,9.1869e-11,65.5,21.25
168500,-3854480,9.1506e-11,65.5,21.25
168500,-3849480,9.0948e-11,65.5,21.25
168500,-3844480,9.171e-11,65.5,21.25
168500,-3839480,9.4022e-11,65.5,21.25
168500,-3834480,9.1916e-11,65.5,21.25
168500,-3829480,9.4224e-11,65.5,21.25
168500,-3824480,9.2261e-11,65.5,21.25
168500,-3819480,9.337e-11,65.5,21.25
168500,-3814480,9.2536e-11,65.5,21.25
168500,-3809480,9.2222e-11,65.5,21.25
168500,-3804480,9.1296e-11,65.5,21.25
168500,-3799480,9.1809e-11,65.5,21.25
168500,-3794480,9.2427e-11,65.5,21.25
168500,-3789480,9.2127e-11,65.5,21.25
168500,-3784480,9.1006e-11,65.5,21.25
168500,-3779480,9.1734e-11,65.5,21.25
168500,-3774480,9.0934e-11,65.5,21.25
168500,-3769480,8.9496e-11,65.5,21.25
168500,-3764480,9.0333e-11,65.5,21.25
168500,-3759480,9.2449e-11,65.5,21.25
168500,-3754480,9.2496e-11,65.5,21.25
168500,-3749480,9.0927e-11,65.5,21.25
168500,-3744480,9.4754e-11,65.5,21.25
168500,-3739480,9.0042e-11,65.5,21.25
168500,-3734480,9.0712e-11,65.5,21.25
168500,-3729480,9.0858e-11,65.5,21.25
168500,-3724480,9.1937e-11,65.5,21.25
168500,-3719480,9.2942e-11,65.5,21.25
168500,-3714480,9.1599e-11,65.5,21.25
168500,-3709480,9.3375e-11,65.5,21.25
168500,-3704480,9.3776e-11,65.5,21.25
168500,-3699480,9.1404e-11,65.5,21.25
168500,-3694480,9.1076e-11,65.5,21.25
168500,-3689480,9.2733e-11,65.5,21.25
168500,-3684480,9.1767e-11,65.5,21.25
168500,-3679480,9.087e-11,65.5,21.25
168500,-3674480,9.1813e-11,NaN,21.25
168500,-3669480,9.2254e-11,NaN,21.25
168500,-3664480,9.3319e-11,65.5,21.25
168500,-3659480,9.1343e-11,65.5,21.25
168500,-3654480,9.099e-11,65.5,21.25
168500,-3649480,9.3182e-11,65.5,21.25
168500,-3644480,9.3813e-11,65.5,21.25
168500,-3639480,9.1466e-11,65.5,21.25
168500,-3634480,9.0934e-11,65.5,21.25
168500,-3629480,9.4067e-11,65.5,21.25
168500,-3624480,9.3431e-11,65.5,21.25
168500,-3619480,9.1819e-11,65.5,21.25
168500,-3614480,8.8496e-11,65.5,21.25
168500,-3609480,9.2661e-11,65.5,21.25
168500,-3604480,9.2569e-11,65.5,21.25
168500,-3599480,9.0694e-11,65.5,21.25
168500,-3594480,9.2452e-11,65.5,21.25
168500,-3589480,9.1315e-11,65.5,21.25
168500,-3584480,9.1696e-11,65.5,21.25
168500,-3579480,9.1981e-11,65.5,21.25
168500,-3574480,9.031e-11,65.5,21.25
168500,-3569480,9.1054e-11,65.5,21.25
168500,-3564480,9.3369e-11,65.5,21.25
168500,-3559480,9.3433e-11,65.5,21.25
168500,-3554480,8.9987e-11,65.5,21.25
168500,-3549480,9.1003e-11,65.5,21.25
168500,-3544480,9.3325e-11,65.5,21.25
168500,-3539480,9.3181e-11,65.5,21.25
168500,-3534480,9.2918e-11,65.5,21.25
168500,-3529480,9.3039e-11,65.5,21.25
168500,-3524480,9.0318e-11,65.5,21.25
168500,-3519480,9.1667e-11,65.5,21.25
168500,-3514480,9.277e-11,65.5,21.25
168500,-3509480,9.4724e-11,65.5,21.25
168500,-3504480,9.0563e-11,65.5,21.25
168500,-3499480,9.3231e-11,65.5,21.25
168500,-3494480,9.0869e-11,65.5,21.25
168500,-3489480,8.974e-11,65.5,21.25
168500,-3484480,8.8819e-11,65.5,21.25
168500,-3479480,9.2555e-11,65.5,21.25
168500,-3474480,9.1639e-11,65.5,21.25
168500,-3469480,9.28e-11,65.5,21.25
168500,-3464480,9.107e-11,65.5,21.25
168500,-3459480,9.1888e-11,65.5,21.25
168500,-3454480,8.9336e-11,65.5,21.25
168500,-3449480,9.2776e-11,65.5,21.25
168500,-3444480,9.0319e-11,65.5,21.25
168500,-3439480,9.3272e-11,65.5,21.25
168500,-3434480,9.0409e-11,65.5,21.25
168500,-3429480,9.153e-11,NaN,21.25
168500,-3424480,9.1258e-11,65.5,21.25
168500,-3419480,9.1454e-11,65.5,21.25
173500,-4069480,9.1321e-11,65.5,21.25
173500,-4064480,9.3515e-11,65.5,21.25
173500,-4059480,9.1013e-11,65.5,21.25
173500,-4054480,9.1309e-11,65.5,21.25
173500,-4049480,9.3982e-11,65.5,21.25
173500,-4044480,9.261e-11,65.5,21.25
173500,-4039480,9.1421e-11,NaN,21.25
173500,-4034480,9.3169e-11,65.5,21.25
173500,-4029480,9.2082e-11,65.5,21.25
173500,-4024480,9.487e-11,65.5,21.25
173500,-4019480,9.1907e-11,65.5,21.25
173500,-4014480,9.1152e-11,65.5,21.25
173500,-4009480,9.1303e-11,65.5,21.25
173500,-4004480,9.1551e-11,65.5,21.25
173500,-3999480,9.1975e-11,65.5,21.25
173500,-3994480,9.6078e-11,65.5,21.25
173500,-3989480,9.2148e-11,65.5,21.25
173500,-3984480,9.1937e-11,65.5,21.25
173500,-3979480,9.1487e-11,65.5,21.25
173500,-3974480,9.0879e-11,65.5,21.25
173500,-3969480,9.1169e-11,65.5,21.25
173500,-3964480,9.0255e-11,65.5,21.25
173500,-3959480,9.11e-11,65.5,21.25
173500,-3954480,9.2039e-11,65.5,21.25
173500,-3949480,9.4013e-11,65.5,21.25
173500,-3944480,9.4858e-11,65.5,21.25
173500,-3939480,9.1376e-11,65.5,21.25
173500,-3934480,9.2113e-11,65.5,21.25
173500,-3929480,9.2069e-11,NaN,21.25
173500,-3924480,9.2757e-11,65.5,21.25
173500,-3919480,9.1906e-11,65.5,21.25
173500,-3914480,9.2134e-11,65.5,21.25
173500,-3909480,9.0876e-11,65.5,21.25
173500,-3904480,9.3751e-11,65.5,21.25
173500,-3899480,9.0615e-11,65.5,21.25
173500,-3894480,9.2301e-11,65.5,21.25
173500,-3889480,9.0855e-11,65.5,21.25
173500,-3884480,9.2879e-11,65.5,21.25
173500,-3879480,9.1358e-11,65.5,21.25
173500,-3874480,9.1893e-11,65.5,21.25
173500,-3869480,9.211e-11,65.5,21.25
173500,-3864480,9.2755e-11,65.5,21.25
173500,-3859480,9.219e-11,65.5,21.25
173500,-3854480,9.2624e-11,65.5,21.25
173500,-3849480,9.0049e-11,65.5,21.25
173500,-3844480,9.0878e-11,65.5,21.25
173500,-3839480,9.2287e-11,65.5,21.25
173500,-3834480,9.2327e-11,65.5,21.25
173500,-3829480,9.0152e-11,65.5,21.25
173500,-3824480,9.4161e-11,65.5,21.25
173500,-3819480,9.1084e-11,65.5,21.25
173500,-3814480,9.4369e-11,65.5,21.25
173500,-3809480,9.4037e-11,65.5,21.25
173500,-3804480,9.3166e-11,65.5,21.25
173500,-3799480,9.2094e-11,65.5,21.25
173500,-3794480,9.1642e-11,65.5,21.25
173500,-3789480,9.0607e-11,65.5,21.25
173500,-3784480,9.0636e-11,65.5,21.25
173500,-3779480,9.2637e-11,65.5,21.25
173500,-3774480,9.0925e-11,65.5,21.25
173500,-3769480,9.2685e-11,65.5,21.25
173500,-3764480,9.2172e-11,65.5,21.25
173500,-3759480,9.3551e-11,65.5,21.25
173500,-3754480,9.2294e-11,65.5,21.25
173500,-3749480,9.1593e-11,65.5,21.25
173500,-3744480,9.2491e-11,65.5,21.25
173500,-3739480,9.2178e-11,65.5,21.25
173500,-3734480,9.1158e-11,65.5,21.25
173500,-3729480,9.0501e-11,65.5,21.25
173500,-3724480,9.2725e-11,65.5,21.25
173500,-3719480,9.2925e-11,65.5,21.25
173500,-3714480,9.0691e-11,65.5,21.25
173500,-3709480,9.2903e-11,65.5,21.25
173500,-3704480,9.2652e-11,65.5,21.25
173500,-3699480,9.1142e-11,65.5,21.25
173500,-3694480,9.1072e-11,65.5,21.25
173500,-3689480,9.0388e-11,65.5,21.25
173500,-3684480,9.1881e-11,65.5,21.25
173500,-3679480,9.1299e-11,65.5,21.25
173500,-3674480,9.336e-11,65.5,21.25
173500,-3669480,9.3257e-11,65.5,21.25
173500,-3664480,9.3148e-11,65.5,21.25
173500,-3659480,9.0627e-11,65.5,21.25
173500,-3654480,9.4185e-11,65.5,21.25
173500,-3649480,9.2252e-11,65.5,21.25
173500,-3644480,9.1931e-11,65.5,21.25
173500,-3639480,9.2461e-11,65.5,21.25
173500,-3634480,9.2363e-11,65.5,21.25
173500,-3629480,9.3966e-11,65.5,21.25
173500,-3624480,9.1815e-11,65.5,21.25
173500,-3619480,9.1909e-11,65.5,21.25
173500,-3614480,9.214e-11,65.5,21.25
173500,-3609480,9.2418e-11,65.5,21.25
173500,-3604480,9.3851e-11,65.5,21.25
173500,-3599480,9.1419e-11,65.5,21.25
173500,-3594480,9.0509e-11,65.5,21.25
173500,-3589480,9.0955e-11,65.5,21.25
173500,-3584480,9.1119e-11,65.5,21.25
173500,-3579480,9.2255e-11,65.5,21.25
173500,-3574480,9.1501e-11,65.5,21.25
173500,-3569480,9.4096e-11,65.5,21.25
173500,-3564480,9.1345e-11,65.5,21.25
173500,-3559480,9.2052e-11,65.5,21.25
173500,-3554480,9.0903e-11,65.5,21.25
173500,-3549480,9.2066e-11,65.5,21.25
173500,-3544480,8.9725e-11,65.5,21.25
173500,-3539480,9.0693e-11,65.5,21.25
173500,-3534480,9.3076e-11,65.5,21.25
