General parameters:
Start time: 2023              8             14             15             26      57.171912
Finish time: 2023              8             14             16             17       57.69188
Raster type: raster_jump
Horizontal range (nm): -1969996.000000,-2091996.000000
Vertical range (nm): 332500.000000,229500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.81e-07
Sample chamber pressure: 3.87e-08
Initial position (nm): -2051551.000000,-289830.000000,470017.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-1969996 -2091996
hori_res:2500
vert_range:332500  229500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.625526
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
229500,-2091996,7.857e-11,64.8,21.25
229500,-2089496,8.3788e-11,64.8,21.25
229500,-2086996,8.5139e-11,64.8,21.25
229500,-2084496,8.4869e-11,64.8,21.25
229500,-2081996,8.3149e-11,64.8,21.25
229500,-2079496,8.2691e-11,64.8,21.25
229500,-2076996,8.1857e-11,64.8,21.25
229500,-2074496,8.4275e-11,64.8,21.25
229500,-2071996,8.4048e-11,64.8,21.25
229500,-2069496,8.4094e-11,64.8,21.25
229500,-2066996,8.4025e-11,64.8,21.25
229500,-2064496,8.3884e-11,64.8,21.25
229500,-2061996,8.5372e-11,64.8,21.25
229500,-2059496,8.5288e-11,64.8,21.25
229500,-2056996,8.643e-11,64.8,21.25
229500,-2054496,8.5101e-11,64.8,21.25
229500,-2051996,8.4066e-11,64.8,21.25
229500,-2049496,8.4748e-11,64.8,21.25
229500,-2046996,8.4509e-11,64.8,21.25
229500,-2044496,8.379e-11,64.8,21.25
229500,-2041996,8.4684e-11,64.8,21.25
229500,-2039496,8.4843e-11,64.8,21.25
229500,-2036996,8.4772e-11,64.8,21.25
229500,-2034496,8.4669e-11,64.8,21.25
229500,-2031996,8.2272e-11,64.8,21.25
229500,-2029496,8.4427e-11,64.8,21.25
229500,-2026996,8.5467e-11,64.8,21.25
229500,-2024496,8.5375e-11,64.8,21.25
229500,-2021996,8.4806e-11,64.8,21.25
229500,-2019496,8.3251e-11,64.8,21.25
229500,-2016996,8.6834e-11,64.8,21.25
229500,-2014496,8.7172e-11,64.8,21.25
229500,-2011996,8.7015e-11,64.8,21.25
229500,-2009496,8.86e-11,64.8,21.25
229500,-2006996,8.7988e-11,64.8,21.25
229500,-2004496,8.7552e-11,64.8,21.25
229500,-2001996,8.7869e-11,64.8,21.25
229500,-1999496,8.5796e-11,64.8,21.25
229500,-1996996,8.5879e-11,64.8,21.25
229500,-1994496,8.48e-11,64.8,21.25
229500,-1991996,8.4012e-11,64.8,21.25
229500,-1989496,8.4903e-11,64.8,21.25
229500,-1986996,8.5051e-11,64.8,21.25
229500,-1984496,8.6601e-11,64.8,21.25
229500,-1981996,8.3973e-11,64.8,21.25
229500,-1979496,8.4596e-11,64.8,21.25
229500,-1976996,8.5024e-11,64.8,21.25
229500,-1974496,8.3304e-11,64.8,21.25
229500,-1971996,8.3136e-11,64.8,21.25
232000,-2091996,8.5009e-11,64.8,21.25
232000,-2089496,8.2869e-11,64.8,21.25
232000,-2086996,8.4128e-11,64.8,21.25
232000,-2084496,8.2628e-11,64.8,21.25
232000,-2081996,8.4055e-11,64.8,21.25
232000,-2079496,8.4143e-11,64.8,21.25
232000,-2076996,8.1993e-11,64.8,21.25
232000,-2074496,8.4979e-11,64.8,21.25
232000,-2071996,8.4166e-11,64.8,21.25
232000,-2069496,8.1093e-11,64.8,21.25
232000,-2066996,8.529e-11,64.8,21.25
232000,-2064496,8.3275e-11,64.8,21.25
232000,-2061996,8.4104e-11,64.8,21.25
232000,-2059496,8.5396e-11,64.8,21.25
232000,-2056996,8.4716e-11,64.8,21.25
232000,-2054496,8.3584e-11,NaN,21.25
232000,-2051996,8.5658e-11,64.8,21.25
232000,-2049496,8.4867e-11,64.8,21.25
232000,-2046996,8.5254e-11,64.8,21.25
232000,-2044496,8.2587e-11,64.8,21.25
232000,-2041996,8.3506e-11,64.8,21.25
232000,-2039496,8.7846e-11,64.8,21.25
232000,-2036996,8.497e-11,64.8,21.25
232000,-2034496,8.5449e-11,64.8,21.25
232000,-2031996,8.4675e-11,64.8,21.25
232000,-2029496,8.5387e-11,64.8,21.25
232000,-2026996,8.264e-11,64.8,21.25
232000,-2024496,8.5213e-11,64.8,21.25
232000,-2021996,8.4454e-11,64.8,21.25
232000,-2019496,8.5545e-11,64.8,21.25
232000,-2016996,8.7013e-11,64.8,21.25
232000,-2014496,8.7397e-11,64.8,21.25
232000,-2011996,8.8852e-11,64.8,21.25
232000,-2009496,8.6558e-11,64.8,21.25
232000,-2006996,8.8404e-11,64.8,21.25
232000,-2004496,8.7491e-11,64.9,21.25
232000,-2001996,8.7724e-11,64.9,21.25
232000,-1999496,8.4528e-11,64.9,21.25
232000,-1996996,8.5184e-11,64.9,21.25
232000,-1994496,8.3769e-11,64.9,21.25
232000,-1991996,8.4184e-11,64.9,21.25
232000,-1989496,8.3151e-11,64.9,21.25
232000,-1986996,8.599e-11,64.9,21.25
232000,-1984496,8.2872e-11,64.9,21.25
232000,-1981996,8.5313e-11,64.9,21.25
232000,-1979496,8.5555e-11,64.9,21.25
232000,-1976996,8.4863e-11,64.9,21.25
232000,-1974496,8.6303e-11,64.9,21.25
232000,-1971996,8.2755e-11,64.9,21.25
234500,-2091996,8.647e-11,64.9,21.25
234500,-2089496,8.4001e-11,64.9,21.25
234500,-2086996,8.5948e-11,64.9,21.25
234500,-2084496,8.4863e-11,64.9,21.25
234500,-2081996,8.4806e-11,64.9,21.25
234500,-2079496,8.6342e-11,64.9,21.25
234500,-2076996,8.3737e-11,64.9,21.25
234500,-2074496,8.2254e-11,NaN,21.25
234500,-2071996,8.5413e-11,64.9,21.25
234500,-2069496,8.569e-11,64.9,21.25
234500,-2066996,8.3852e-11,64.9,21.25
234500,-2064496,8.5631e-11,64.9,21.25
234500,-2061996,8.3054e-11,64.9,21.25
234500,-2059496,8.3118e-11,64.9,21.25
234500,-2056996,8.4184e-11,64.9,21.25
234500,-2054496,8.3942e-11,64.9,21.25
234500,-2051996,8.516e-11,64.9,21.25
234500,-2049496,8.406e-11,64.9,21.25
234500,-2046996,8.3022e-11,64.9,21.25
234500,-2044496,8.5318e-11,64.9,21.25
234500,-2041996,8.3376e-11,64.9,21.25
234500,-2039496,8.5888e-11,64.9,21.25
234500,-2036996,8.3373e-11,64.9,21.25
234500,-2034496,8.6997e-11,64.9,21.25
234500,-2031996,8.2424e-11,64.9,21.25
234500,-2029496,8.6088e-11,64.9,21.25
234500,-2026996,8.3764e-11,64.9,21.25
234500,-2024496,8.3854e-11,64.9,21.25
234500,-2021996,8.4842e-11,64.9,21.25
234500,-2019496,8.5024e-11,64.9,21.25
234500,-2016996,8.6248e-11,64.9,21.25
234500,-2014496,8.7227e-11,64.9,21.25
234500,-2011996,8.8599e-11,64.9,21.25
234500,-2009496,8.8001e-11,64.9,21.25
234500,-2006996,9.271e-11,64.9,21.25
234500,-2004496,8.8784e-11,64.9,21.25
234500,-2001996,8.5918e-11,64.9,21.25
234500,-1999496,8.6713e-11,64.9,21.25
234500,-1996996,8.4445e-11,64.9,21.25
234500,-1994496,8.4221e-11,64.9,21.25
234500,-1991996,8.4916e-11,64.9,21.25
234500,-1989496,8.3758e-11,64.9,21.25
234500,-1986996,8.4307e-11,64.9,21.25
234500,-1984496,8.3958e-11,64.9,21.25
234500,-1981996,8.2428e-11,64.9,21.25
234500,-1979496,8.6303e-11,64.9,21.25
234500,-1976996,8.434e-11,64.9,21.25
234500,-1974496,8.4561e-11,64.9,21.25
234500,-1971996,8.3981e-11,64.9,21.25
237000,-2091996,8.3678e-11,64.9,21.25
237000,-2089496,8.4255e-11,64.9,21.25
237000,-2086996,8.4072e-11,64.9,21.25
237000,-2084496,8.777e-11,64.9,21.25
237000,-2081996,8.4028e-11,64.9,21.25
237000,-2079496,8.4306e-11,64.9,21.25
237000,-2076996,8.5543e-11,64.9,21.25
237000,-2074496,8.5497e-11,64.9,21.25
237000,-2071996,8.387e-11,64.9,21.25
237000,-2069496,8.3137e-11,64.9,21.25
237000,-2066996,8.3587e-11,64.9,21.25
237000,-2064496,8.4464e-11,64.9,21.25
237000,-2061996,8.5269e-11,64.9,21.25
237000,-2059496,8.5572e-11,64.9,21.25
237000,-2056996,8.6663e-11,64.9,21.25
237000,-2054496,8.4281e-11,64.9,21.25
237000,-2051996,8.4815e-11,64.9,21.25
237000,-2049496,8.3715e-11,64.9,21.25
237000,-2046996,8.5252e-11,64.9,21.25
237000,-2044496,8.3566e-11,64.9,21.25
237000,-2041996,8.5151e-11,64.9,21.25
237000,-2039496,8.5181e-11,64.9,21.25
237000,-2036996,8.561e-11,64.9,21.25
237000,-2034496,8.5524e-11,64.9,21.25
237000,-2031996,8.619e-11,64.9,21.25
237000,-2029496,8.6239e-11,64.9,21.25
237000,-2026996,8.4304e-11,NaN,21.25
237000,-2024496,8.6534e-11,64.9,21.25
237000,-2021996,8.5366e-11,64.9,21.25
237000,-2019496,8.3672e-11,64.9,21.25
237000,-2016996,8.4407e-11,64.9,21.25
237000,-2014496,8.58e-11,64.9,21.25
237000,-2011996,8.7982e-11,64.9,21.25
237000,-2009496,8.5569e-11,64.9,21.25
237000,-2006996,8.8412e-11,64.9,21.25
237000,-2004496,8.9096e-11,64.9,21.25
237000,-2001996,8.694e-11,64.9,21.25
237000,-1999496,8.9185e-11,64.9,21.25
237000,-1996996,8.6452e-11,64.9,21.25
237000,-1994496,8.3552e-11,64.9,21.25
237000,-1991996,8.246e-11,64.9,21.25
237000,-1989496,8.3357e-11,64.9,21.25
237000,-1986996,8.5124e-11,64.9,21.25
237000,-1984496,8.2343e-11,64.9,21.25
237000,-1981996,8.5345e-11,64.9,21.25
237000,-1979496,8.3194e-11,64.9,21.25
237000,-1976996,8.4e-11,64.9,21.25
237000,-1974496,8.4163e-11,64.9,21.25
237000,-1971996,8.4955e-11,64.9,21.25
239500,-2091996,8.4242e-11,64.9,21.25
239500,-2089496,8.4731e-11,64.9,21.25
239500,-2086996,8.4379e-11,64.9,21.25
239500,-2084496,8.3828e-11,64.9,21.25
239500,-2081996,8.3449e-11,64.9,21.25
239500,-2079496,8.2061e-11,64.9,21.25
239500,-2076996,8.4739e-11,64.9,21.25
239500,-2074496,8.3193e-11,64.9,21.25
239500,-2071996,8.2967e-11,64.9,21.25
239500,-2069496,8.3901e-11,64.9,21.25
239500,-2066996,8.3503e-11,64.9,21.25
239500,-2064496,8.4561e-11,64.9,21.25
239500,-2061996,8.5501e-11,64.9,21.25
239500,-2059496,8.3719e-11,64.9,21.25
239500,-2056996,8.4482e-11,64.9,21.25
239500,-2054496,8.5282e-11,64.9,21.25
239500,-2051996,8.433e-11,64.9,21.25
239500,-2049496,8.4125e-11,64.9,21.25
239500,-2046996,8.3227e-11,64.9,21.25
239500,-2044496,8.6119e-11,64.9,21.25
239500,-2041996,8.2919e-11,64.9,21.25
239500,-2039496,8.5606e-11,64.9,21.25
239500,-2036996,8.4033e-11,64.9,21.25
239500,-2034496,8.5739e-11,64.9,21.25
239500,-2031996,8.5722e-11,64.9,21.25
239500,-2029496,8.5293e-11,64.9,21.25
239500,-2026996,8.4242e-11,64.9,21.25
239500,-2024496,8.3979e-11,64.9,21.25
239500,-2021996,8.4031e-11,64.9,21.25
239500,-2019496,8.5057e-11,64.9,21.25
239500,-2016996,8.5915e-11,64.9,21.25
239500,-2014496,8.4549e-11,64.9,21.25
239500,-2011996,8.756e-11,64.9,21.25
239500,-2009496,8.4487e-11,64.9,21.25
239500,-2006996,8.7973e-11,64.9,21.25
239500,-2004496,8.7497e-11,64.9,21.25
239500,-2001996,8.88e-11,64.9,21.25
239500,-1999496,8.739e-11,64.9,21.25
239500,-1996996,8.4137e-11,64.9,21.25
239500,-1994496,8.5148e-11,64.9,21.25
239500,-1991996,8.4713e-11,64.9,21.25
239500,-1989496,8.4115e-11,64.9,21.25
239500,-1986996,8.3704e-11,64.9,21.25
239500,-1984496,8.6364e-11,64.9,21.25
239500,-1981996,8.4934e-11,64.9,21.25
239500,-1979496,8.3872e-11,64.9,21.25
239500,-1976996,8.3616e-11,64.9,21.25
239500,-1974496,8.4013e-11,64.9,21.25
239500,-1971996,8.389e-11,64.9,21.25
242000,-2091996,8.5004e-11,64.9,21.25
242000,-2089496,8.423e-11,64.9,21.25
242000,-2086996,8.2863e-11,64.9,21.25
242000,-2084496,8.4372e-11,64.9,21.25
242000,-2081996,8.3924e-11,64.9,21.25
242000,-2079496,8.6379e-11,64.9,21.25
242000,-2076996,8.5984e-11,64.9,21.25
242000,-2074496,8.229e-11,64.9,21.25
