General parameters:
Start time: 2023              8             14             23             58      37.730923
Finish time: 2023              8             15              9             15      59.522662
Raster type: raster_jump
Horizontal range (nm): -3414988.000000,-3814988.000000
Vertical range (nm): 698000.000000,198000.000000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.97e-07
Sample chamber pressure: 7.30e-08
Initial position (nm): -1971989.000000,332000.000000,-999988.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3414988 -3814988
hori_res:3000
vert_range:698000  198000
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.505142
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
198000,-3814988,9.4201e-11,66.0,21.25
198000,-3811988,9.4387e-11,NaN,21.25
198000,-3808988,9.2833e-11,66.0,21.25
198000,-3805988,9.4752e-11,66.0,21.25
198000,-3802988,9.5106e-11,66.0,21.25
198000,-3799988,9.3231e-11,66.0,21.25
198000,-3796988,9.2996e-11,66.0,21.25
198000,-3793988,9.5427e-11,66.0,21.25
198000,-3790988,9.2743e-11,66.0,21.25
198000,-3787988,9.2458e-11,66.0,21.25
198000,-3784988,9.4458e-11,66.0,21.25
198000,-3781988,9.494e-11,66.0,21.25
198000,-3778988,9.3179e-11,66.0,21.25
198000,-3775988,9.2776e-11,66.0,21.25
198000,-3772988,9.4512e-11,66.0,21.25
198000,-3769988,9.3101e-11,66.0,21.25
198000,-3766988,9.3951e-11,66.0,21.25
198000,-3763988,9.2891e-11,66.0,21.25
198000,-3760988,9.2691e-11,66.0,21.25
198000,-3757988,9.2033e-11,66.0,21.25
198000,-3754988,9.2703e-11,66.0,21.25
198000,-3751988,9.327e-11,66.0,21.25
198000,-3748988,9.054e-11,66.0,21.25
198000,-3745988,9.5416e-11,66.0,21.25
198000,-3742988,9.5452e-11,66.0,21.25
198000,-3739988,9.3824e-11,66.0,21.25
198000,-3736988,9.3493e-11,66.0,21.25
198000,-3733988,9.3285e-11,66.0,21.25
198000,-3730988,9.6127e-11,66.0,21.25
198000,-3727988,9.2569e-11,66.0,21.25
198000,-3724988,9.604e-11,66.0,21.25
198000,-3721988,9.6775e-11,66.0,21.25
198000,-3718988,9.3484e-11,66.0,21.25
198000,-3715988,9.4096e-11,66.0,21.25
198000,-3712988,9.1748e-11,66.0,21.25
198000,-3709988,9.4421e-11,66.0,21.25
198000,-3706988,9.3306e-11,66.0,21.25
198000,-3703988,9.2781e-11,66.0,21.25
198000,-3700988,9.2521e-11,66.0,21.25
198000,-3697988,9.4124e-11,66.0,21.25
198000,-3694988,9.6036e-11,66.0,21.25
198000,-3691988,9.2422e-11,66.0,21.25
198000,-3688988,8.9052e-11,66.0,21.25
198000,-3685988,9.326e-11,66.0,21.25
198000,-3682988,9.4776e-11,66.0,21.25
198000,-3679988,9.1843e-11,66.0,21.25
198000,-3676988,9.3554e-11,66.0,21.25
198000,-3673988,9.1876e-11,66.0,21.25
198000,-3670988,9.4257e-11,66.0,21.25
198000,-3667988,9.3093e-11,66.0,21.25
198000,-3664988,9.2587e-11,66.0,21.25
198000,-3661988,9.4661e-11,66.0,21.25
198000,-3658988,8.8851e-11,66.0,21.25
198000,-3655988,9.2434e-11,66.0,21.25
198000,-3652988,9.381e-11,66.0,21.25
198000,-3649988,9.0654e-11,66.0,21.25
198000,-3646988,9.6764e-11,66.0,21.25
198000,-3643988,9.3091e-11,66.0,21.25
198000,-3640988,9.4518e-11,66.0,21.25
198000,-3637988,9.1479e-11,66.0,21.25
198000,-3634988,9.0764e-11,66.0,21.25
198000,-3631988,9.3372e-11,66.0,21.25
198000,-3628988,9.2679e-11,66.0,21.25
198000,-3625988,9.3555e-11,66.0,21.25
198000,-3622988,9.4157e-11,66.0,21.25
198000,-3619988,9.7615e-11,NaN,21.25
198000,-3616988,9.6057e-11,66.0,21.25
198000,-3613988,9.416e-11,66.0,21.25
198000,-3610988,9.291e-11,66.0,21.25
198000,-3607988,9.1028e-11,66.0,21.25
198000,-3604988,9.1501e-11,66.0,21.25
198000,-3601988,9.2609e-11,66.0,21.25
198000,-3598988,9.3087e-11,66.0,21.25
198000,-3595988,9.3101e-11,66.0,21.25
198000,-3592988,9.3469e-11,66.0,21.25
198000,-3589988,9.4127e-11,66.0,21.25
198000,-3586988,9.1449e-11,66.0,21.25
198000,-3583988,9.167e-11,66.0,21.25
198000,-3580988,9.1843e-11,66.0,21.25
198000,-3577988,9.3627e-11,66.0,21.25
198000,-3574988,9.3516e-11,66.0,21.25
198000,-3571988,9.2109e-11,66.0,21.25
198000,-3568988,9.1975e-11,66.0,21.25
198000,-3565988,9.3979e-11,66.0,21.25
198000,-3562988,9.3572e-11,66.0,21.25
198000,-3559988,9.1657e-11,66.0,21.25
198000,-3556988,9.3894e-11,66.0,21.25
198000,-3553988,9.3901e-11,66.0,21.25
198000,-3550988,9.2958e-11,66.0,21.25
198000,-3547988,9.2107e-11,66.0,21.25
198000,-3544988,9.3446e-11,66.0,21.25
198000,-3541988,9.3354e-11,66.0,21.25
198000,-3538988,9.1497e-11,66.0,21.25
198000,-3535988,9.1812e-11,66.0,21.25
198000,-3532988,9.1367e-11,66.0,21.25
198000,-3529988,9.131e-11,66.0,21.25
198000,-3526988,9.3224e-11,66.0,21.25
198000,-3523988,9.3612e-11,66.0,21.25
198000,-3520988,9.3536e-11,66.0,21.25
198000,-3517988,9.3287e-11,66.0,21.25
198000,-3514988,9.4069e-11,66.0,21.25
198000,-3511988,9.497e-11,66.0,21.25
198000,-3508988,9.2415e-11,66.0,21.25
198000,-3505988,9.3484e-11,66.0,21.25
198000,-3502988,9.2655e-11,NaN,21.25
198000,-3499988,9.2742e-11,66.0,21.25
198000,-3496988,9.1957e-11,66.0,21.25
198000,-3493988,9.2761e-11,66.0,21.25
198000,-3490988,9.1043e-11,66.0,21.25
198000,-3487988,9.2846e-11,66.0,21.25
198000,-3484988,9.2436e-11,66.0,21.25
198000,-3481988,9.3828e-11,66.0,21.25
198000,-3478988,9.2893e-11,66.0,21.25
198000,-3475988,9.441e-11,66.0,21.25
198000,-3472988,9.1422e-11,66.0,21.25
198000,-3469988,9.2415e-11,66.0,21.25
198000,-3466988,9.4379e-11,66.0,21.25
198000,-3463988,9.6852e-11,NaN,21.25
198000,-3460988,9.3579e-11,66.0,21.25
198000,-3457988,9.1984e-11,66.0,21.25
198000,-3454988,9.187e-11,66.0,21.25
198000,-3451988,9.3663e-11,66.0,21.25
198000,-3448988,9.3157e-11,66.0,21.25
198000,-3445988,9.4387e-11,66.0,21.25
198000,-3442988,9.399e-11,66.0,21.25
198000,-3439988,9.3451e-11,66.0,21.25
198000,-3436988,9.374e-11,66.0,21.25
198000,-3433988,9.2715e-11,66.0,21.25
198000,-3430988,9.48e-11,66.0,21.25
198000,-3427988,9.4942e-11,66.0,21.25
198000,-3424988,9.2485e-11,66.0,21.25
198000,-3421988,9.0828e-11,66.0,21.25
198000,-3418988,9.1016e-11,66.0,21.25
198000,-3415988,9.2181e-11,66.0,21.25
201000,-3814988,9.5422e-11,66.0,21.25
201000,-3811988,9.3146e-11,66.0,21.25
201000,-3808988,9.1291e-11,66.0,21.25
201000,-3805988,9.3784e-11,66.0,21.25
201000,-3802988,9.1979e-11,66.0,21.25
201000,-3799988,9.2251e-11,66.0,21.25
201000,-3796988,9.3381e-11,66.0,21.25
201000,-3793988,9.1239e-11,66.0,21.25
201000,-3790988,9.3488e-11,66.0,21.25
201000,-3787988,9.1754e-11,NaN,21.25
201000,-3784988,9.3737e-11,66.0,21.25
201000,-3781988,9.2493e-11,66.0,21.25
201000,-3778988,9.2612e-11,66.0,21.25
201000,-3775988,9.3633e-11,66.0,21.25
201000,-3772988,9.4797e-11,66.0,21.25
201000,-3769988,9.3001e-11,66.0,21.25
201000,-3766988,9.4773e-11,66.0,21.25
201000,-3763988,9.3424e-11,66.0,21.25
201000,-3760988,9.2946e-11,66.0,21.25
201000,-3757988,9.1322e-11,66.0,21.25
201000,-3754988,9.3903e-11,66.0,21.25
201000,-3751988,9.304e-11,66.0,21.25
201000,-3748988,9.3946e-11,66.0,21.25
201000,-3745988,9.4128e-11,NaN,21.25
201000,-3742988,9.4128e-11,66.0,21.25
201000,-3739988,9.3e-11,66.0,21.25
201000,-3736988,9.3636e-11,66.0,21.25
201000,-3733988,9.4094e-11,66.0,21.25
201000,-3730988,9.4496e-11,66.0,21.25
201000,-3727988,9.2849e-11,66.0,21.25
201000,-3724988,9.2018e-11,66.0,21.25
201000,-3721988,9.5542e-11,66.0,21.25
201000,-3718988,9.5418e-11,66.0,21.25
201000,-3715988,9.3185e-11,66.0,21.25
201000,-3712988,9.4984e-11,66.0,21.25
201000,-3709988,9.3407e-11,66.0,21.25
201000,-3706988,9.3627e-11,66.0,21.25
