General parameters:
Start time: 2023              8             15             23             39      14.829701
Finish time: 2023              8             15             23             39      23.958357
Raster type: raster_jump
Horizontal range (nm): -3425017.000000,-3547017.000000
Vertical range (nm): 334000.000000,222000.000000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.94e-07
Sample chamber pressure: 4.11e-08
Initial position (nm): -2050542.000000,274178.000000,469987.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3425017 -3547017
hori_res:3000
vert_range:334000  222000
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.587564
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
222000,-3547017,8.1069e-11,65.8,21.25
222000,-3544017,8.117e-11,65.8,21.25
222000,-3541017,8.0218e-11,65.8,21.25
222000,-3538017,7.9051e-11,65.8,21.25
222000,-3535017,8.1078e-11,65.8,21.25
222000,-3532017,NaN,NaN,NaN
222000,-3529017,NaN,NaN,NaN
222000,-3526017,NaN,NaN,NaN
222000,-3523017,NaN,NaN,NaN
222000,-3520017,NaN,NaN,NaN
222000,-3517017,NaN,NaN,NaN
222000,-3514017,NaN,NaN,NaN
222000,-3511017,NaN,NaN,NaN
222000,-3508017,NaN,NaN,NaN
222000,-3505017,NaN,NaN,NaN
222000,-3502017,NaN,NaN,NaN
222000,-3499017,NaN,NaN,NaN
222000,-3496017,NaN,NaN,NaN
222000,-3493017,NaN,NaN,NaN
222000,-3490017,NaN,NaN,NaN
222000,-3487017,NaN,NaN,NaN
222000,-3484017,NaN,NaN,NaN
222000,-3481017,NaN,NaN,NaN
222000,-3478017,NaN,NaN,NaN
222000,-3475017,NaN,NaN,NaN
222000,-3472017,NaN,NaN,NaN
222000,-3469017,NaN,NaN,NaN
222000,-3466017,NaN,NaN,NaN
222000,-3463017,NaN,NaN,NaN
222000,-3460017,NaN,NaN,NaN
222000,-3457017,NaN,NaN,NaN
222000,-3454017,NaN,NaN,NaN
222000,-3451017,NaN,NaN,NaN
222000,-3448017,NaN,NaN,NaN
222000,-3445017,NaN,NaN,NaN
222000,-3442017,NaN,NaN,NaN
222000,-3439017,NaN,NaN,NaN
222000,-3436017,NaN,NaN,NaN
222000,-3433017,NaN,NaN,NaN
222000,-3430017,NaN,NaN,NaN
222000,-3427017,NaN,NaN,NaN
225000,-3547017,NaN,NaN,NaN
225000,-3544017,NaN,NaN,NaN
225000,-3541017,NaN,NaN,NaN
225000,-3538017,NaN,NaN,NaN
225000,-3535017,NaN,NaN,NaN
225000,-3532017,NaN,NaN,NaN
225000,-3529017,NaN,NaN,NaN
225000,-3526017,NaN,NaN,NaN
225000,-3523017,NaN,NaN,NaN
225000,-3520017,NaN,NaN,NaN
225000,-3517017,NaN,NaN,NaN
225000,-3514017,NaN,NaN,NaN
225000,-3511017,NaN,NaN,NaN
225000,-3508017,NaN,NaN,NaN
225000,-3505017,NaN,NaN,NaN
225000,-3502017,NaN,NaN,NaN
225000,-3499017,NaN,NaN,NaN
225000,-3496017,NaN,NaN,NaN
225000,-3493017,NaN,NaN,NaN
225000,-3490017,NaN,NaN,NaN
225000,-3487017,NaN,NaN,NaN
225000,-3484017,NaN,NaN,NaN
225000,-3481017,NaN,NaN,NaN
225000,-3478017,NaN,NaN,NaN
225000,-3475017,NaN,NaN,NaN
225000,-3472017,NaN,NaN,NaN
225000,-3469017,NaN,NaN,NaN
225000,-3466017,NaN,NaN,NaN
225000,-3463017,NaN,NaN,NaN
225000,-3460017,NaN,NaN,NaN
225000,-3457017,NaN,NaN,NaN
225000,-3454017,NaN,NaN,NaN
225000,-3451017,NaN,NaN,NaN
225000,-3448017,NaN,NaN,NaN
225000,-3445017,NaN,NaN,NaN
225000,-3442017,NaN,NaN,NaN
225000,-3439017,NaN,NaN,NaN
225000,-3436017,NaN,NaN,NaN
225000,-3433017,NaN,NaN,NaN
225000,-3430017,NaN,NaN,NaN
225000,-3427017,NaN,NaN,NaN
228000,-3547017,NaN,NaN,NaN
228000,-3544017,NaN,NaN,NaN
228000,-3541017,NaN,NaN,NaN
228000,-3538017,NaN,NaN,NaN
228000,-3535017,NaN,NaN,NaN
228000,-3532017,NaN,NaN,NaN
228000,-3529017,NaN,NaN,NaN
228000,-3526017,NaN,NaN,NaN
228000,-3523017,NaN,NaN,NaN
228000,-3520017,NaN,NaN,NaN
228000,-3517017,NaN,NaN,NaN
228000,-3514017,NaN,NaN,NaN
228000,-3511017,NaN,NaN,NaN
228000,-3508017,NaN,NaN,NaN
228000,-3505017,NaN,NaN,NaN
228000,-3502017,NaN,NaN,NaN
228000,-3499017,NaN,NaN,NaN
228000,-3496017,NaN,NaN,NaN
228000,-3493017,NaN,NaN,NaN
228000,-3490017,NaN,NaN,NaN
228000,-3487017,NaN,NaN,NaN
228000,-3484017,NaN,NaN,NaN
228000,-3481017,NaN,NaN,NaN
228000,-3478017,NaN,NaN,NaN
228000,-3475017,NaN,NaN,NaN
228000,-3472017,NaN,NaN,NaN
228000,-3469017,NaN,NaN,NaN
228000,-3466017,NaN,NaN,NaN
228000,-3463017,NaN,NaN,NaN
228000,-3460017,NaN,NaN,NaN
228000,-3457017,NaN,NaN,NaN
228000,-3454017,NaN,NaN,NaN
228000,-3451017,NaN,NaN,NaN
228000,-3448017,NaN,NaN,NaN
228000,-3445017,NaN,NaN,NaN
228000,-3442017,NaN,NaN,NaN
228000,-3439017,NaN,NaN,NaN
228000,-3436017,NaN,NaN,NaN
228000,-3433017,NaN,NaN,NaN
228000,-3430017,NaN,NaN,NaN
228000,-3427017,NaN,NaN,NaN
231000,-3547017,NaN,NaN,NaN
231000,-3544017,NaN,NaN,NaN
231000,-3541017,NaN,NaN,NaN
231000,-3538017,NaN,NaN,NaN
231000,-3535017,NaN,NaN,NaN
231000,-3532017,NaN,NaN,NaN
231000,-3529017,NaN,NaN,NaN
231000,-3526017,NaN,NaN,NaN
231000,-3523017,NaN,NaN,NaN
231000,-3520017,NaN,NaN,NaN
231000,-3517017,NaN,NaN,NaN
231000,-3514017,NaN,NaN,NaN
231000,-3511017,NaN,NaN,NaN
231000,-3508017,NaN,NaN,NaN
231000,-3505017,NaN,NaN,NaN
231000,-3502017,NaN,NaN,NaN
231000,-3499017,NaN,NaN,NaN
231000,-3496017,NaN,NaN,NaN
231000,-3493017,NaN,NaN,NaN
231000,-3490017,NaN,NaN,NaN
231000,-3487017,NaN,NaN,NaN
231000,-3484017,NaN,NaN,NaN
231000,-3481017,NaN,NaN,NaN
231000,-3478017,NaN,NaN,NaN
231000,-3475017,NaN,NaN,NaN
231000,-3472017,NaN,NaN,NaN
231000,-3469017,NaN,NaN,NaN
231000,-3466017,NaN,NaN,NaN
231000,-3463017,NaN,NaN,NaN
231000,-3460017,NaN,NaN,NaN
231000,-3457017,NaN,NaN,NaN
231000,-3454017,NaN,NaN,NaN
231000,-3451017,NaN,NaN,NaN
231000,-3448017,NaN,NaN,NaN
231000,-3445017,NaN,NaN,NaN
231000,-3442017,NaN,NaN,NaN
231000,-3439017,NaN,NaN,NaN
231000,-3436017,NaN,NaN,NaN
231000,-3433017,NaN,NaN,NaN
231000,-3430017,NaN,NaN,NaN
231000,-3427017,NaN,NaN,NaN
234000,-3547017,NaN,NaN,NaN
234000,-3544017,NaN,NaN,NaN
234000,-3541017,NaN,NaN,NaN
234000,-3538017,NaN,NaN,NaN
234000,-3535017,NaN,NaN,NaN
234000,-3532017,NaN,NaN,NaN
234000,-3529017,NaN,NaN,NaN
234000,-3526017,NaN,NaN,NaN
