General parameters:
Start time: 2023              8             15             23             39      41.617728
Finish time: 2023              8             16              0              6      51.629623
Raster type: raster_jump
Horizontal range (nm): -1955002.000000,-2077002.000000
Vertical range (nm): 334000.000000,222000.000000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.94e-07
Sample chamber pressure: 4.11e-08
Initial position (nm): -3535009.000000,222000.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-1955002 -2077002
hori_res:3000
vert_range:334000  222000
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.586880
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
222000,-2077002,9.7431e-11,65.8,21.25
222000,-2074002,9.9737e-11,65.8,21.25
222000,-2071002,9.8413e-11,65.8,21.25
222000,-2068002,9.9381e-11,65.8,21.25
222000,-2065002,9.7873e-11,65.8,21.25
222000,-2062002,9.7728e-11,65.8,21.25
222000,-2059002,9.9373e-11,65.8,21.25
222000,-2056002,9.9858e-11,65.8,21.25
222000,-2053002,1.0027e-10,65.8,21.25
222000,-2050002,9.7501e-11,65.8,21.25
222000,-2047002,9.8754e-11,65.8,21.25
222000,-2044002,9.959e-11,65.8,21.25
222000,-2041002,9.8297e-11,65.8,21.25
222000,-2038002,9.6161e-11,65.8,21.25
222000,-2035002,9.9231e-11,65.8,21.25
222000,-2032002,9.837e-11,65.8,21.25
222000,-2029002,9.8736e-11,65.8,21.25
222000,-2026002,9.3455e-11,65.8,21.25
222000,-2023002,9.9434e-11,65.8,21.25
222000,-2020002,9.8252e-11,65.8,21.25
222000,-2017002,9.844e-11,65.8,21.25
222000,-2014002,9.9809e-11,65.8,21.25
222000,-2011002,9.8596e-11,65.8,21.25
222000,-2008002,1e-10,65.8,21.25
222000,-2005002,9.9006e-11,65.8,21.25
222000,-2002002,9.7628e-11,65.8,21.25
222000,-1999002,9.9707e-11,65.8,21.25
222000,-1996002,9.8478e-11,65.8,21.25
222000,-1993002,1.0105e-10,65.8,21.25
222000,-1990002,9.7452e-11,65.8,21.25
222000,-1987002,9.8109e-11,65.8,21.25
222000,-1984002,9.8852e-11,65.8,21.25
222000,-1981002,9.6236e-11,65.8,21.25
222000,-1978002,9.9072e-11,65.8,21.25
222000,-1975002,9.9048e-11,65.8,21.25
222000,-1972002,9.8875e-11,65.8,21.25
222000,-1969002,9.8616e-11,65.8,21.25
222000,-1966002,9.9994e-11,65.8,21.25
222000,-1963002,1.0124e-10,65.8,21.25
222000,-1960002,1.0177e-10,65.8,21.25
222000,-1957002,1.0006e-10,65.8,21.25
225000,-2077002,9.9367e-11,65.8,21.25
225000,-2074002,9.8997e-11,65.8,21.25
225000,-2071002,9.5176e-11,65.8,21.25
225000,-2068002,9.9045e-11,65.8,21.25
225000,-2065002,9.9506e-11,65.8,21.25
225000,-2062002,9.9764e-11,65.8,21.25
225000,-2059002,9.6713e-11,65.8,21.25
225000,-2056002,9.9203e-11,65.8,21.25
225000,-2053002,9.9254e-11,65.8,21.25
225000,-2050002,9.7758e-11,65.8,21.25
225000,-2047002,9.7351e-11,65.8,21.25
225000,-2044002,9.6907e-11,65.8,21.25
225000,-2041002,9.8206e-11,65.8,21.25
225000,-2038002,1.0211e-10,65.8,21.25
225000,-2035002,9.7619e-11,65.8,21.25
225000,-2032002,9.964e-11,65.8,21.25
225000,-2029002,1.0007e-10,65.8,21.25
225000,-2026002,9.7245e-11,65.8,21.25
225000,-2023002,1.0058e-10,65.8,21.25
225000,-2020002,9.9539e-11,65.8,21.25
225000,-2017002,9.891e-11,65.8,21.25
225000,-2014002,9.971e-11,65.8,21.25
225000,-2011002,9.9888e-11,65.8,21.25
225000,-2008002,1.0108e-10,65.8,21.25
225000,-2005002,9.7979e-11,65.8,21.25
225000,-2002002,9.9619e-11,65.8,21.25
225000,-1999002,9.831e-11,65.8,21.25
225000,-1996002,9.9601e-11,65.8,21.25
225000,-1993002,9.5797e-11,65.8,21.25
225000,-1990002,9.8964e-11,65.8,21.25
225000,-1987002,9.9636e-11,65.8,21.25
225000,-1984002,1.0009e-10,65.8,21.25
225000,-1981002,9.9558e-11,65.8,21.25
225000,-1978002,9.909e-11,65.8,21.25
225000,-1975002,9.9772e-11,65.8,21.25
225000,-1972002,9.7849e-11,65.8,21.25
225000,-1969002,9.8481e-11,65.8,21.25
225000,-1966002,1.0094e-10,65.8,21.25
225000,-1963002,9.9685e-11,65.8,21.25
225000,-1960002,9.7697e-11,65.8,21.25
225000,-1957002,9.9322e-11,65.8,21.25
228000,-2077002,9.8818e-11,65.8,21.25
228000,-2074002,9.6101e-11,65.8,21.25
228000,-2071002,1.0054e-10,65.8,21.25
228000,-2068002,9.8137e-11,65.8,21.25
228000,-2065002,9.8099e-11,65.8,21.25
228000,-2062002,9.8816e-11,65.8,21.25
228000,-2059002,9.7846e-11,65.8,21.25
228000,-2056002,1.0007e-10,65.8,21.25
228000,-2053002,9.8742e-11,65.8,21.25
228000,-2050002,9.9113e-11,65.8,21.25
228000,-2047002,9.6572e-11,65.8,21.25
228000,-2044002,9.9081e-11,65.8,21.25
228000,-2041002,9.8218e-11,65.8,21.25
228000,-2038002,9.7603e-11,65.8,21.25
228000,-2035002,9.7894e-11,65.8,21.25
228000,-2032002,9.824e-11,65.8,21.25
228000,-2029002,9.7761e-11,65.8,21.25
228000,-2026002,9.6351e-11,65.8,21.25
228000,-2023002,9.8943e-11,65.8,21.25
228000,-2020002,9.8881e-11,65.8,21.25
228000,-2017002,9.8057e-11,65.8,21.25
228000,-2014002,9.7799e-11,65.8,21.25
228000,-2011002,9.7888e-11,65.8,21.25
228000,-2008002,9.9633e-11,65.8,21.25
228000,-2005002,9.833e-11,65.8,21.25
228000,-2002002,9.9397e-11,65.8,21.25
228000,-1999002,9.8852e-11,65.8,21.25
228000,-1996002,9.9442e-11,65.8,21.25
228000,-1993002,9.7921e-11,65.8,21.25
228000,-1990002,9.9233e-11,65.8,21.25
228000,-1987002,9.8046e-11,65.8,21.25
228000,-1984002,9.8297e-11,65.8,21.25
228000,-1981002,1.004e-10,NaN,21.25
228000,-1978002,9.7351e-11,65.8,21.25
228000,-1975002,9.6206e-11,65.8,21.25
228000,-1972002,9.8145e-11,65.8,21.25
228000,-1969002,9.9707e-11,65.8,21.25
228000,-1966002,9.9964e-11,65.8,21.25
228000,-1963002,9.7878e-11,65.8,21.25
228000,-1960002,9.9981e-11,65.8,21.25
228000,-1957002,9.6573e-11,65.9,21.25
231000,-2077002,9.9943e-11,65.8,21.25
231000,-2074002,1.0016e-10,65.8,21.25
231000,-2071002,9.9406e-11,65.8,21.25
231000,-2068002,9.8069e-11,65.9,21.25
231000,-2065002,9.8881e-11,65.9,21.25
231000,-2062002,9.723e-11,65.9,21.25
231000,-2059002,9.5399e-11,65.9,21.25
231000,-2056002,1.0072e-10,65.9,21.25
231000,-2053002,1.003e-10,65.9,21.25
231000,-2050002,9.7848e-11,65.9,21.25
231000,-2047002,9.9121e-11,65.9,21.25
231000,-2044002,9.8433e-11,65.9,21.25
231000,-2041002,9.9599e-11,65.9,21.25
231000,-2038002,1.0027e-10,65.9,21.25
231000,-2035002,9.8294e-11,65.9,21.25
231000,-2032002,9.7984e-11,65.9,21.25
231000,-2029002,9.937e-11,65.9,21.25
231000,-2026002,9.7033e-11,65.9,21.25
231000,-2023002,9.784e-11,65.9,21.25
231000,-2020002,9.8825e-11,65.9,21.25
231000,-2017002,1.0006e-10,65.9,21.25
231000,-2014002,9.7131e-11,65.9,21.25
231000,-2011002,9.7379e-11,65.9,21.25
231000,-2008002,9.903e-11,65.9,21.25
231000,-2005002,9.5863e-11,65.9,21.25
231000,-2002002,9.9207e-11,65.9,21.25
231000,-1999002,1.0006e-10,65.9,21.25
231000,-1996002,9.8888e-11,65.9,21.25
231000,-1993002,9.7801e-11,65.9,21.25
231000,-1990002,9.9196e-11,65.9,21.25
231000,-1987002,9.8569e-11,65.9,21.25
231000,-1984002,9.6649e-11,65.9,21.25
231000,-1981002,9.8139e-11,65.9,21.25
231000,-1978002,1.0021e-10,65.9,21.25
231000,-1975002,9.6418e-11,65.9,21.25
231000,-1972002,9.844e-11,65.9,21.25
231000,-1969002,1.0013e-10,65.9,21.25
231000,-1966002,9.7727e-11,65.9,21.25
231000,-1963002,9.9179e-11,65.9,21.25
231000,-1960002,1.0095e-10,65.9,21.25
231000,-1957002,9.8378e-11,65.9,21.25
234000,-2077002,9.8345e-11,65.9,21.25
234000,-2074002,9.9269e-11,65.9,21.25
234000,-2071002,9.8803e-11,65.9,21.25
234000,-2068002,9.9331e-11,65.9,21.25
234000,-2065002,1.0187e-10,65.9,21.25
234000,-2062002,9.8515e-11,65.9,21.25
234000,-2059002,9.8648e-11,65.9,21.25
234000,-2056002,9.8715e-11,65.9,21.25
234000,-2053002,9.9885e-11,65.9,21.25
234000,-2050002,1.0019e-10,65.9,21.25
234000,-2047002,9.9745e-11,65.9,21.25
234000,-2044002,9.813e-11,65.9,21.25
234000,-2041002,9.9496e-11,65.9,21.25
234000,-2038002,9.7951e-11,65.9,21.25
234000,-2035002,9.9942e-11,65.9,21.25
234000,-2032002,9.9613e-11,65.9,21.25
234000,-2029002,9.9333e-11,65.9,21.25
234000,-2026002,9.609e-11,65.9,21.25
234000,-2023002,9.7873e-11,65.9,21.25
234000,-2020002,9.87e-11,65.9,21.25
234000,-2017002,1.0079e-10,65.9,21.25
234000,-2014002,9.8112e-11,65.9,21.25
234000,-2011002,9.9218e-11,65.9,21.25
234000,-2008002,9.6918e-11,65.9,21.25
234000,-2005002,9.7396e-11,65.9,21.25
234000,-2002002,9.8419e-11,65.9,21.25
234000,-1999002,9.7828e-11,65.9,21.25
234000,-1996002,9.8739e-11,65.9,21.25
234000,-1993002,9.9612e-11,65.9,21.25
234000,-1990002,1e-10,65.9,21.25
234000,-1987002,9.8309e-11,65.9,21.25
234000,-1984002,9.8158e-11,65.9,21.25
234000,-1981002,9.6655e-11,65.9,21.25
234000,-1978002,9.8707e-11,65.9,21.25
234000,-1975002,1.0126e-10,65.9,21.25
234000,-1972002,1.0092e-10,65.9,21.25
234000,-1969002,9.7963e-11,65.9,21.25
234000,-1966002,1.0045e-10,65.9,21.25
234000,-1963002,9.973e-11,65.9,21.25
234000,-1960002,9.9285e-11,65.9,21.25
234000,-1957002,9.7206e-11,65.9,21.25
237000,-2077002,9.9261e-11,65.9,21.25
237000,-2074002,9.7684e-11,65.9,21.25
237000,-2071002,9.9749e-11,65.9,21.25
237000,-2068002,9.6467e-11,65.9,21.25
237000,-2065002,9.9909e-11,65.9,21.25
237000,-2062002,9.9264e-11,65.9,21.25
237000,-2059002,1.0064e-10,65.9,21.25
237000,-2056002,9.9387e-11,65.9,21.25
237000,-2053002,9.7524e-11,65.9,21.25
237000,-2050002,1.0095e-10,65.9,21.25
237000,-2047002,9.829e-11,65.9,21.25
237000,-2044002,9.8912e-11,65.9,21.25
237000,-2041002,9.5303e-11,65.9,21.25
237000,-2038002,9.8594e-11,65.9,21.25
237000,-2035002,9.8958e-11,65.9,21.25
237000,-2032002,9.583e-11,65.9,21.25
237000,-2029002,9.9967e-11,65.9,21.25
237000,-2026002,9.8328e-11,65.9,21.25
237000,-2023002,9.8369e-11,65.9,21.25
237000,-2020002,9.9331e-11,65.9,21.25
237000,-2017002,9.9736e-11,65.9,21.25
237000,-2014002,9.8804e-11,65.9,21.25
237000,-2011002,1.0105e-10,65.9,21.25
237000,-2008002,9.7227e-11,65.9,21.25
237000,-2005002,9.9027e-11,65.9,21.25
237000,-2002002,9.7834e-11,65.9,21.25
237000,-1999002,9.764e-11,NaN,21.25
237000,-1996002,9.824e-11,65.9,21.25
237000,-1993002,9.6387e-11,65.9,21.25
237000,-1990002,9.8913e-11,65.9,21.25
237000,-1987002,9.603e-11,65.9,21.25
237000,-1984002,9.7596e-11,65.9,21.25
237000,-1981002,1.0021e-10,65.9,21.25
237000,-1978002,9.9334e-11,65.9,21.25
237000,-1975002,9.9354e-11,65.9,21.25
237000,-1972002,9.7946e-11,65.9,21.25
237000,-1969002,9.7837e-11,65.9,21.25
237000,-1966002,1.001e-10,65.9,21.25
237000,-1963002,9.9434e-11,65.9,21.25
237000,-1960002,9.8218e-11,65.9,21.25
237000,-1957002,9.7424e-11,65.9,21.25
240000,-2077002,9.8812e-11,65.9,21.25
240000,-2074002,9.8603e-11,65.9,21.25
240000,-2071002,1.0087e-10,65.9,21.25
240000,-2068002,9.6863e-11,65.9,21.25
240000,-2065002,9.893e-11,65.9,21.25
240000,-2062002,9.661e-11,65.9,21.25
240000,-2059002,9.8824e-11,65.9,21.25
240000,-2056002,1.013e-10,65.9,21.25
240000,-2053002,9.9266e-11,65.9,21.25
240000,-2050002,9.8728e-11,65.9,21.25
240000,-2047002,9.8761e-11,65.9,21.25
240000,-2044002,9.8425e-11,65.9,21.25
240000,-2041002,9.8079e-11,65.9,21.25
240000,-2038002,9.8813e-11,65.9,21.25
240000,-2035002,9.769e-11,65.9,21.25
240000,-2032002,9.7284e-11,65.9,21.25
240000,-2029002,9.969e-11,65.9,21.25
240000,-2026002,9.9036e-11,65.9,21.25
240000,-2023002,9.7319e-11,65.9,21.25
240000,-2020002,9.961e-11,65.9,21.25
240000,-2017002,9.844e-11,65.9,21.25
240000,-2014002,9.6806e-11,65.9,21.25
240000,-2011002,9.8703e-11,65.9,21.25
240000,-2008002,9.7673e-11,65.9,21.25
240000,-2005002,1.0021e-10,65.9,21.25
240000,-2002002,9.6285e-11,65.9,21.25
240000,-1999002,9.8487e-11,65.9,21.25
240000,-1996002,9.9436e-11,65.9,21.25
240000,-1993002,9.7867e-11,65.9,21.25
240000,-1990002,1.0073e-10,65.9,21.25
240000,-1987002,9.9164e-11,65.9,21.25
240000,-1984002,9.8975e-11,65.9,21.25
240000,-1981002,9.9169e-11,65.9,21.25
240000,-1978002,9.7137e-11,65.9,21.25
240000,-1975002,9.8803e-11,65.9,21.25
240000,-1972002,9.781e-11,65.9,21.25
240000,-1969002,9.6973e-11,65.9,21.25
240000,-1966002,9.9243e-11,65.9,21.25
240000,-1963002,9.7563e-11,65.9,21.25
240000,-1960002,9.8854e-11,65.9,21.25
240000,-1957002,9.7139e-11,65.9,21.25
243000,-2077002,9.7104e-11,65.9,21.25
243000,-2074002,9.7642e-11,65.9,21.25
243000,-2071002,9.8748e-11,65.9,21.25
243000,-2068002,9.993e-11,65.9,21.25
243000,-2065002,9.5409e-11,65.9,21.25
243000,-2062002,9.8894e-11,65.9,21.25
243000,-2059002,1.0003e-10,65.9,21.25
243000,-2056002,9.9201e-11,65.9,21.25
243000,-2053002,9.869e-11,65.9,21.25
243000,-2050002,9.7263e-11,65.9,21.25
243000,-2047002,1.0065e-10,65.9,21.25
243000,-2044002,9.7864e-11,65.9,21.25
243000,-2041002,9.7972e-11,65.9,21.25
243000,-2038002,9.8952e-11,65.9,21.25
243000,-2035002,9.6922e-11,65.9,21.25
243000,-2032002,9.79e-11,65.9,21.25
243000,-2029002,9.7278e-11,65.9,21.25
243000,-2026002,9.9288e-11,65.9,21.25
243000,-2023002,9.9873e-11,65.9,21.25
243000,-2020002,9.9496e-11,65.9,21.25
243000,-2017002,9.7697e-11,65.9,21.25
243000,-2014002,1.0044e-10,65.9,21.25
243000,-2011002,9.8599e-11,65.9,21.25
243000,-2008002,9.8358e-11,65.9,21.25
243000,-2005002,9.9209e-11,65.9,21.25
243000,-2002002,9.8578e-11,65.9,21.25
243000,-1999002,9.7885e-11,65.9,21.25
243000,-1996002,9.949e-11,65.9,21.25
243000,-1993002,9.9434e-11,65.9,21.25
243000,-1990002,9.7433e-11,65.9,21.25
243000,-1987002,9.7048e-11,65.9,21.25
243000,-1984002,1.0209e-10,65.9,21.25
243000,-1981002,9.731e-11,65.9,21.25
243000,-1978002,1.0054e-10,65.9,21.25
243000,-1975002,9.9234e-11,65.9,21.25
243000,-1972002,9.6463e-11,65.9,21.25
243000,-1969002,9.7615e-11,65.9,21.25
243000,-1966002,9.897e-11,65.9,21.25
243000,-1963002,9.8301e-11,65.9,21.25
243000,-1960002,9.764e-11,65.9,21.25
243000,-1957002,9.9306e-11,65.9,21.25
246000,-2077002,9.8522e-11,65.9,21.25
246000,-2074002,9.9993e-11,65.9,21.25
246000,-2071002,9.8288e-11,65.9,21.25
246000,-2068002,9.9961e-11,65.9,21.25
246000,-2065002,9.9696e-11,65.9,21.25
246000,-2062002,1.0072e-10,65.9,21.25
246000,-2059002,9.8654e-11,65.9,21.25
246000,-2056002,9.8572e-11,NaN,21.25
246000,-2053002,9.9378e-11,65.9,21.25
246000,-2050002,9.9445e-11,65.9,21.25
246000,-2047002,9.9794e-11,65.9,21.25
246000,-2044002,9.7142e-11,65.9,21.25
246000,-2041002,9.5861e-11,65.9,21.25
246000,-2038002,9.744e-11,65.9,21.25
246000,-2035002,9.7213e-11,65.9,21.25
246000,-2032002,9.9496e-11,65.9,21.25
246000,-2029002,9.917e-11,65.9,21.25
246000,-2026002,9.7046e-11,65.9,21.25
246000,-2023002,1.0191e-10,65.9,21.25
246000,-2020002,9.8204e-11,65.9,21.25
246000,-2017002,9.8158e-11,65.9,21.25
246000,-2014002,9.8551e-11,65.9,21.25
246000,-2011002,9.6945e-11,65.9,21.25
246000,-2008002,9.804e-11,65.9,21.25
246000,-2005002,9.9487e-11,65.9,21.25
246000,-2002002,9.7613e-11,65.9,21.25
246000,-1999002,9.7733e-11,65.9,21.25
246000,-1996002,9.8533e-11,65.9,21.25
246000,-1993002,9.6415e-11,65.9,21.25
246000,-1990002,9.8212e-11,65.9,21.25
246000,-1987002,9.8546e-11,65.9,21.25
246000,-1984002,9.9258e-11,65.9,21.25
246000,-1981002,9.7772e-11,65.9,21.25
246000,-1978002,9.801e-11,65.9,21.25
246000,-1975002,9.6678e-11,65.9,21.25
246000,-1972002,9.9276e-11,65.9,21.25
246000,-1969002,9.8636e-11,65.9,21.25
246000,-1966002,1.0099e-10,65.9,21.25
246000,-1963002,9.9201e-11,65.9,21.25
246000,-1960002,9.8518e-11,65.9,21.25
246000,-1957002,9.9697e-11,65.9,21.25
249000,-2077002,9.7424e-11,65.9,21.25
249000,-2074002,9.6803e-11,65.9,21.25
249000,-2071002,9.7996e-11,65.9,21.25
249000,-2068002,9.851e-11,65.9,21.25
249000,-2065002,1.0079e-10,65.9,21.25
249000,-2062002,9.9791e-11,65.9,21.25
249000,-2059002,1.0123e-10,65.9,21.25
249000,-2056002,9.7127e-11,65.9,21.25
249000,-2053002,1.0106e-10,65.9,21.25
249000,-2050002,9.7099e-11,65.9,21.25
249000,-2047002,9.8278e-11,65.9,21.25
249000,-2044002,9.7228e-11,65.9,21.25
249000,-2041002,9.6973e-11,65.9,21.25
249000,-2038002,9.9425e-11,65.9,21.25
249000,-2035002,9.9107e-11,65.9,21.25
249000,-2032002,9.9628e-11,65.9,21.25
249000,-2029002,9.9578e-11,65.9,21.25
249000,-2026002,9.949e-11,65.9,21.25
249000,-2023002,9.9248e-11,65.9,21.25
249000,-2020002,9.7245e-11,65.9,21.25
249000,-2017002,9.7575e-11,65.9,21.25
249000,-2014002,9.8672e-11,65.9,21.25
249000,-2011002,9.9757e-11,65.9,21.25
249000,-2008002,1.0022e-10,65.9,21.25
249000,-2005002,9.8834e-11,65.9,21.25
249000,-2002002,9.8215e-11,65.9,21.25
249000,-1999002,9.6167e-11,65.9,21.25
249000,-1996002,9.799e-11,65.9,21.25
249000,-1993002,9.5931e-11,65.9,21.25
249000,-1990002,9.7685e-11,65.9,21.25
249000,-1987002,9.8266e-11,65.9,21.25
249000,-1984002,9.8325e-11,65.9,21.25
249000,-1981002,9.7761e-11,65.9,21.25
249000,-1978002,9.9493e-11,65.9,21.25
249000,-1975002,9.9124e-11,65.9,21.25
249000,-1972002,1.0127e-10,65.9,21.25
249000,-1969002,9.786e-11,65.9,21.25
249000,-1966002,9.9796e-11,65.9,21.25
249000,-1963002,9.5793e-11,65.9,21.25
249000,-1960002,9.8966e-11,65.9,21.25
249000,-1957002,1.0003e-10,65.9,21.25
252000,-2077002,9.6591e-11,65.9,21.25
252000,-2074002,9.749e-11,65.9,21.25
252000,-2071002,9.8416e-11,65.9,21.25
252000,-2068002,9.671e-11,65.9,21.25
252000,-2065002,9.7893e-11,65.9,21.25
252000,-2062002,9.6631e-11,65.9,21.25
252000,-2059002,9.5767e-11,65.9,21.25
252000,-2056002,9.7572e-11,65.9,21.25
252000,-2053002,9.7361e-11,65.9,21.25
252000,-2050002,9.7309e-11,65.9,21.25
252000,-2047002,9.8403e-11,65.9,21.25
252000,-2044002,9.769e-11,65.9,21.25
252000,-2041002,9.7761e-11,65.9,21.25
252000,-2038002,9.9713e-11,65.9,21.25
252000,-2035002,9.9137e-11,65.9,21.25
252000,-2032002,9.7803e-11,65.9,21.25
252000,-2029002,1.0001e-10,65.9,21.25
252000,-2026002,1.0038e-10,65.9,21.25
252000,-2023002,9.8422e-11,65.9,21.25
252000,-2020002,9.9801e-11,65.9,21.25
252000,-2017002,9.8893e-11,65.9,21.25
252000,-2014002,9.7696e-11,65.9,21.25
252000,-2011002,9.9697e-11,65.9,21.25
252000,-2008002,9.8576e-11,65.9,21.25
252000,-2005002,9.7821e-11,65.9,21.25
252000,-2002002,9.6228e-11,65.9,21.25
252000,-1999002,1.0003e-10,65.9,21.25
252000,-1996002,9.8621e-11,65.9,21.25
252000,-1993002,9.9584e-11,65.9,21.25
252000,-1990002,9.624e-11,65.9,21.25
252000,-1987002,9.9804e-11,65.9,21.25
252000,-1984002,9.8819e-11,65.9,21.25
252000,-1981002,9.3996e-11,65.9,21.25
252000,-1978002,9.8428e-11,65.9,21.25
252000,-1975002,9.8519e-11,65.9,21.25
252000,-1972002,9.9331e-11,65.9,21.25
252000,-1969002,9.8521e-11,65.9,21.25
252000,-1966002,1.0065e-10,65.9,21.25
252000,-1963002,1.0082e-10,65.9,21.25
252000,-1960002,9.7309e-11,65.9,21.25
252000,-1957002,1.0005e-10,65.9,21.25
255000,-2077002,9.6703e-11,65.9,21.25
255000,-2074002,9.8928e-11,65.9,21.25
255000,-2071002,9.9542e-11,65.9,21.25
255000,-2068002,9.881e-11,65.9,21.25
255000,-2065002,1.0006e-10,65.9,21.25
255000,-2062002,9.7825e-11,65.9,21.25
255000,-2059002,9.734e-11,65.9,21.25
255000,-2056002,9.9652e-11,65.9,21.25
255000,-2053002,9.804e-11,65.9,21.25
255000,-2050002,1.001e-10,65.9,21.25
255000,-2047002,1.0158e-10,65.9,21.25
255000,-2044002,9.6721e-11,65.9,21.25
255000,-2041002,9.8239e-11,NaN,21.25
255000,-2038002,9.8278e-11,65.9,21.25
255000,-2035002,9.7978e-11,65.9,21.25
255000,-2032002,9.6121e-11,65.9,21.25
255000,-2029002,9.6628e-11,65.9,21.25
255000,-2026002,9.8851e-11,65.9,21.25
255000,-2023002,1.0012e-10,65.9,21.25
255000,-2020002,1.0029e-10,65.9,21.25
255000,-2017002,9.8301e-11,65.9,21.25
255000,-2014002,9.7285e-11,65.8,21.25
255000,-2011002,9.8887e-11,65.8,21.25
255000,-2008002,9.9219e-11,65.8,21.25
255000,-2005002,9.7481e-11,65.8,21.25
255000,-2002002,9.8809e-11,65.8,21.25
255000,-1999002,9.6878e-11,65.8,21.25
255000,-1996002,1.0165e-10,65.8,21.25
255000,-1993002,9.819e-11,65.8,21.25
255000,-1990002,9.8172e-11,65.8,21.25
255000,-1987002,9.5966e-11,65.8,21.25
255000,-1984002,9.7403e-11,65.8,21.25
255000,-1981002,9.6784e-11,65.8,21.25
255000,-1978002,1.0128e-10,65.8,21.25
255000,-1975002,9.9687e-11,65.8,21.25
255000,-1972002,1.0178e-10,65.8,21.25
255000,-1969002,9.9173e-11,65.8,21.25
255000,-1966002,9.889e-11,65.8,21.25
255000,-1963002,9.9552e-11,65.8,21.25
255000,-1960002,9.8685e-11,65.8,21.25
255000,-1957002,9.8045e-11,65.8,21.25
