General parameters:
Start time: 2023              8             16              0              6      54.139374
Finish time: 2023              8             16              0             45      34.193049
Raster type: raster_jump
Horizontal range (nm): -3425006.000000,-3547006.000000
Vertical range (nm): 334000.000000,222000.000000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.95e-07
Sample chamber pressure: 4.07e-08
Initial position (nm): -2005011.000000,300000.000000,-999996.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3425006 -3547006
hori_res:3000
vert_range:334000  222000
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.597482
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
222000,-3547006,9.889e-11,65.8,21.25
222000,-3544006,9.5228e-11,65.8,21.25
222000,-3541006,9.5593e-11,65.8,21.25
222000,-3538006,9.6393e-11,65.8,21.25
222000,-3535006,9.7322e-11,65.8,21.25
222000,-3532006,9.6334e-11,65.8,21.25
222000,-3529006,9.6845e-11,65.8,21.25
222000,-3526006,9.6678e-11,65.8,21.25
222000,-3523006,9.65e-11,65.8,21.25
222000,-3520006,9.6558e-11,65.8,21.25
222000,-3517006,9.7339e-11,65.8,21.25
222000,-3514006,9.7579e-11,65.8,21.25
222000,-3511006,9.7537e-11,65.8,21.25
222000,-3508006,9.6272e-11,65.8,21.25
222000,-3505006,9.5128e-11,65.8,21.25
222000,-3502006,9.5979e-11,65.8,21.25
222000,-3499006,9.7152e-11,65.8,21.25
222000,-3496006,9.6557e-11,65.8,21.25
222000,-3493006,9.7913e-11,65.8,21.25
222000,-3490006,9.6166e-11,65.8,21.25
222000,-3487006,9.9097e-11,65.8,21.25
222000,-3484006,9.6958e-11,65.8,21.25
222000,-3481006,9.713e-11,65.8,21.25
222000,-3478006,9.7945e-11,65.8,21.25
222000,-3475006,9.6364e-11,65.8,21.25
222000,-3472006,9.7146e-11,65.8,21.25
222000,-3469006,9.5987e-11,65.8,21.25
222000,-3466006,9.821e-11,65.8,21.25
222000,-3463006,9.7619e-11,65.8,21.25
222000,-3460006,9.8415e-11,65.8,21.25
222000,-3457006,9.931e-11,65.8,21.25
222000,-3454006,9.5473e-11,65.8,21.25
222000,-3451006,9.6297e-11,65.8,21.25
222000,-3448006,9.777e-11,65.8,21.25
222000,-3445006,9.6866e-11,65.8,21.25
222000,-3442006,9.5969e-11,65.8,21.25
222000,-3439006,9.6322e-11,65.8,21.25
222000,-3436006,9.7084e-11,65.8,21.25
222000,-3433006,9.3604e-11,65.8,21.25
222000,-3430006,9.6322e-11,65.8,21.25
222000,-3427006,9.4666e-11,65.8,21.25
225000,-3547006,9.6427e-11,65.8,21.25
225000,-3544006,9.6928e-11,65.8,21.25
225000,-3541006,9.6976e-11,65.8,21.25
225000,-3538006,9.7131e-11,65.8,21.25
225000,-3535006,9.5157e-11,65.8,21.25
225000,-3532006,9.8866e-11,65.8,21.25
225000,-3529006,9.7073e-11,65.8,21.25
225000,-3526006,9.5631e-11,65.8,21.25
225000,-3523006,9.6376e-11,65.8,21.25
225000,-3520006,9.5816e-11,65.8,21.25
225000,-3517006,9.4969e-11,65.8,21.25
225000,-3514006,9.9925e-11,65.8,21.25
225000,-3511006,9.6421e-11,65.8,21.25
225000,-3508006,9.6788e-11,65.8,21.25
225000,-3505006,9.9437e-11,65.8,21.25
225000,-3502006,9.553e-11,65.8,21.25
225000,-3499006,9.7251e-11,65.8,21.25
225000,-3496006,9.8148e-11,65.8,21.25
225000,-3493006,9.6093e-11,65.8,21.25
225000,-3490006,9.8066e-11,65.8,21.25
225000,-3487006,9.6331e-11,65.8,21.25
225000,-3484006,9.6369e-11,65.8,21.25
225000,-3481006,9.7501e-11,65.8,21.25
225000,-3478006,9.711e-11,65.8,21.25
225000,-3475006,9.6287e-11,65.8,21.25
225000,-3472006,9.6793e-11,65.8,21.25
225000,-3469006,9.6863e-11,65.8,21.25
225000,-3466006,9.6631e-11,65.8,21.25
225000,-3463006,9.6749e-11,65.8,21.25
225000,-3460006,9.9267e-11,65.8,21.25
225000,-3457006,9.8573e-11,NaN,21.25
225000,-3454006,9.961e-11,65.8,21.25
225000,-3451006,9.7284e-11,65.8,21.25
225000,-3448006,9.8122e-11,65.8,21.25
225000,-3445006,9.8169e-11,65.8,21.25
225000,-3442006,9.6542e-11,65.8,21.25
225000,-3439006,9.7746e-11,65.8,21.25
225000,-3436006,9.6776e-11,65.8,21.25
225000,-3433006,9.7279e-11,65.8,21.25
225000,-3430006,9.6578e-11,65.8,21.25
225000,-3427006,9.7315e-11,65.8,21.25
228000,-3547006,9.6082e-11,65.8,21.25
228000,-3544006,9.6152e-11,65.8,21.25
228000,-3541006,9.6785e-11,65.8,21.25
228000,-3538006,9.6745e-11,65.8,21.25
228000,-3535006,9.6157e-11,65.8,21.25
228000,-3532006,9.9818e-11,65.8,21.25
228000,-3529006,9.4767e-11,65.8,21.25
228000,-3526006,9.7996e-11,65.8,21.25
228000,-3523006,9.7331e-11,65.8,21.25
228000,-3520006,9.5793e-11,65.8,21.25
228000,-3517006,9.7927e-11,65.8,21.25
228000,-3514006,9.6513e-11,NaN,21.25
228000,-3511006,9.5967e-11,65.8,21.25
228000,-3508006,9.7587e-11,65.8,21.25
228000,-3505006,9.5388e-11,65.8,21.25
228000,-3502006,9.619e-11,65.8,21.25
228000,-3499006,9.5466e-11,65.8,21.25
228000,-3496006,9.9469e-11,65.8,21.25
228000,-3493006,9.7407e-11,65.8,21.25
