General parameters:
Start time: 2023              8             16             13             24      29.342952
Finish time: 2023              8             16             14             22        30.0781
Raster type: raster_jump
Horizontal range (nm): -3409017.000000,-3559017.000000
Vertical range (nm): 356000.000000,206000.000000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.89e-07
Sample chamber pressure: 3.98e-08
Initial position (nm): -3450009.000000,203000.000000,-1000004.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3409017 -3559017
hori_res:3000
vert_range:356000  206000
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.644336
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
206000,-3559017,9.328e-11,65.4,21.25
206000,-3556017,9.3333e-11,65.4,21.25
206000,-3553017,9.439e-11,65.4,21.25
206000,-3550017,9.4134e-11,65.4,21.25
206000,-3547017,9.3854e-11,65.4,21.25
206000,-3544017,9.3167e-11,65.4,21.25
206000,-3541017,9.4157e-11,65.4,21.25
206000,-3538017,9.28e-11,65.4,21.25
206000,-3535017,9.5819e-11,65.4,21.25
206000,-3532017,9.4804e-11,65.4,21.25
206000,-3529017,9.3969e-11,65.4,21.25
206000,-3526017,9.4604e-11,65.4,21.25
206000,-3523017,9.2854e-11,65.4,21.25
206000,-3520017,9.4179e-11,65.4,21.25
206000,-3517017,9.1912e-11,65.4,21.25
206000,-3514017,9.3937e-11,65.4,21.25
206000,-3511017,9.4631e-11,65.4,21.25
206000,-3508017,9.2725e-11,65.4,21.25
206000,-3505017,9.376e-11,65.4,21.25
206000,-3502017,9.1345e-11,65.4,21.25
206000,-3499017,9.3957e-11,65.4,21.25
206000,-3496017,9.4572e-11,65.4,21.25
206000,-3493017,9.4518e-11,65.4,21.25
206000,-3490017,9.4481e-11,65.4,21.25
206000,-3487017,9.5336e-11,65.4,21.25
206000,-3484017,9.4096e-11,65.4,21.25
206000,-3481017,9.5912e-11,65.4,21.25
206000,-3478017,9.2948e-11,65.4,21.25
206000,-3475017,9.5382e-11,65.4,21.25
206000,-3472017,9.4155e-11,65.4,21.25
206000,-3469017,9.3264e-11,NaN,21.25
206000,-3466017,9.5879e-11,65.4,21.25
206000,-3463017,9.3237e-11,65.4,21.25
206000,-3460017,9.3636e-11,65.4,21.25
206000,-3457017,9.3685e-11,65.4,21.25
206000,-3454017,9.4087e-11,65.4,21.25
206000,-3451017,9.3539e-11,65.4,21.25
206000,-3448017,9.579e-11,65.4,21.25
206000,-3445017,9.7349e-11,65.4,21.25
206000,-3442017,9.6033e-11,65.4,21.25
206000,-3439017,9.4624e-11,65.4,21.25
206000,-3436017,9.3431e-11,65.4,21.25
206000,-3433017,9.4328e-11,65.4,21.25
206000,-3430017,9.4358e-11,65.4,21.25
206000,-3427017,9.6154e-11,65.4,21.25
206000,-3424017,9.4818e-11,65.4,21.25
206000,-3421017,9.351e-11,65.4,21.25
206000,-3418017,9.31e-11,65.4,21.25
206000,-3415017,9.2652e-11,65.4,21.25
206000,-3412017,9.4113e-11,65.4,21.25
206000,-3409017,9.4275e-11,65.4,21.25
209000,-3559017,9.546e-11,65.4,21.25
209000,-3556017,9.2804e-11,65.4,21.25
209000,-3553017,9.4172e-11,65.4,21.25
209000,-3550017,9.3924e-11,65.4,21.25
209000,-3547017,9.4496e-11,65.4,21.25
209000,-3544017,9.3516e-11,65.4,21.25
209000,-3541017,9.7284e-11,65.4,21.25
209000,-3538017,9.6609e-11,65.4,21.25
209000,-3535017,9.2107e-11,65.4,21.25
209000,-3532017,9.3742e-11,65.4,21.25
209000,-3529017,9.4455e-11,65.4,21.25
209000,-3526017,9.5781e-11,65.4,21.25
209000,-3523017,9.3988e-11,65.4,21.25
209000,-3520017,9.536e-11,65.4,21.25
209000,-3517017,9.3512e-11,65.4,21.25
209000,-3514017,9.473e-11,65.4,21.25
209000,-3511017,9.4172e-11,65.4,21.25
209000,-3508017,9.4001e-11,65.4,21.25
209000,-3505017,9.2096e-11,65.4,21.25
209000,-3502017,9.5487e-11,65.4,21.25
209000,-3499017,9.7707e-11,65.4,21.25
209000,-3496017,9.3943e-11,65.4,21.25
209000,-3493017,9.4015e-11,65.4,21.25
209000,-3490017,9.5028e-11,65.4,21.25
209000,-3487017,9.4355e-11,65.4,21.25
209000,-3484017,9.3297e-11,65.4,21.25
209000,-3481017,9.3778e-11,65.4,21.25
209000,-3478017,9.294e-11,65.4,21.25
209000,-3475017,9.3037e-11,65.4,21.25
209000,-3472017,9.5006e-11,65.4,21.25
209000,-3469017,9.4979e-11,65.4,21.25
209000,-3466017,9.4503e-11,65.4,21.25
209000,-3463017,9.4082e-11,65.4,21.25
209000,-3460017,9.3606e-11,65.4,21.25
209000,-3457017,9.3858e-11,65.4,21.25
209000,-3454017,9.5185e-11,65.4,21.25
209000,-3451017,9.8622e-11,65.4,21.25
209000,-3448017,9.3704e-11,65.4,21.25
209000,-3445017,9.5912e-11,65.4,21.25
209000,-3442017,9.5925e-11,65.4,21.25
209000,-3439017,9.6525e-11,65.4,21.25
209000,-3436017,9.4555e-11,65.4,21.25
209000,-3433017,9.4701e-11,65.4,21.25
209000,-3430017,9.4581e-11,65.4,21.25
209000,-3427017,9.3387e-11,65.4,21.25
209000,-3424017,9.3376e-11,65.4,21.25
209000,-3421017,9.3733e-11,65.4,21.25
209000,-3418017,9.1548e-11,65.4,21.25
209000,-3415017,9.4555e-11,65.4,21.25
209000,-3412017,9.2845e-11,65.4,21.25
209000,-3409017,9.5103e-11,65.4,21.25
212000,-3559017,9.3739e-11,65.4,21.25
212000,-3556017,9.2516e-11,65.4,21.25
212000,-3553017,9.3752e-11,65.4,21.25
