General parameters:
Start time: 2023              8             16             18              1      27.795847
Finish time: 2023              8             16             19              6       2.119686
Raster type: raster_jump
Horizontal range (nm): -3039958.450000,-2889958.450000
Vertical range (nm): 202516.400000,352516.400000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.97e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -2035546.000000,273170.000000,-499996.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3039958.45       -2889958.45
hori_res:3000
vert_range:202516.4         352516.4
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.656648
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.025164e+05,-3.039958e+06,8.8772e-11,65.9,21.25
2.025164e+05,-3.036958e+06,8.9624e-11,65.9,21.25
2.025164e+05,-3.033958e+06,9.1354e-11,65.9,21.25
2.025164e+05,-3.030958e+06,8.9312e-11,65.9,21.25
2.025164e+05,-3.027958e+06,9.0476e-11,65.9,21.25
2.025164e+05,-3.024958e+06,9.0719e-11,65.9,21.25
2.025164e+05,-3.021958e+06,8.756e-11,65.9,21.25
2.025164e+05,-3.018958e+06,8.81e-11,65.9,21.25
2.025164e+05,-3.015958e+06,8.6139e-11,65.9,21.25
2.025164e+05,-3.012958e+06,8.6851e-11,65.9,21.25
2.025164e+05,-3.009958e+06,8.8973e-11,65.9,21.25
2.025164e+05,-3.006958e+06,9.0021e-11,65.9,21.25
2.025164e+05,-3.003958e+06,9.1431e-11,65.9,21.25
2.025164e+05,-3.000958e+06,8.9716e-11,65.9,21.25
2.025164e+05,-2.997958e+06,8.8355e-11,65.9,21.25
2.025164e+05,-2.994958e+06,8.9575e-11,65.9,21.25
2.025164e+05,-2.991958e+06,9.0619e-11,65.9,21.25
2.025164e+05,-2.988958e+06,9.1055e-11,65.9,21.25
2.025164e+05,-2.985958e+06,8.9207e-11,65.9,21.25
2.025164e+05,-2.982958e+06,8.7272e-11,65.9,21.25
2.025164e+05,-2.979958e+06,9.0543e-11,65.9,21.25
2.025164e+05,-2.976958e+06,9.0391e-11,65.9,21.25
2.025164e+05,-2.973958e+06,9.1146e-11,65.9,21.25
2.025164e+05,-2.970958e+06,8.844e-11,65.9,21.25
2.025164e+05,-2.967958e+06,9.1836e-11,65.9,21.25
2.025164e+05,-2.964958e+06,9.0964e-11,65.9,21.25
2.025164e+05,-2.961958e+06,9.1154e-11,65.9,21.25
2.025164e+05,-2.958958e+06,9.1843e-11,65.9,21.25
2.025164e+05,-2.955958e+06,9.1054e-11,65.9,21.25
2.025164e+05,-2.952958e+06,8.9069e-11,65.9,21.25
2.025164e+05,-2.949958e+06,9.0576e-11,65.9,21.25
2.025164e+05,-2.946958e+06,9.0022e-11,65.9,21.25
2.025164e+05,-2.943958e+06,9.1648e-11,65.9,21.25
2.025164e+05,-2.940958e+06,9.1613e-11,65.9,21.25
2.025164e+05,-2.937958e+06,9.2451e-11,65.9,21.25
2.025164e+05,-2.934958e+06,8.9827e-11,65.9,21.25
2.025164e+05,-2.931958e+06,8.8009e-11,65.9,21.25
2.025164e+05,-2.928958e+06,8.8101e-11,65.9,21.25
2.025164e+05,-2.925958e+06,9.0736e-11,65.9,21.25
2.025164e+05,-2.922958e+06,9.1987e-11,65.9,21.25
2.025164e+05,-2.919958e+06,8.7966e-11,65.9,21.25
2.025164e+05,-2.916958e+06,8.8085e-11,65.9,21.25
2.025164e+05,-2.913958e+06,9.0839e-11,65.9,21.25
2.025164e+05,-2.910958e+06,8.889e-11,65.9,21.25
2.025164e+05,-2.907958e+06,8.8566e-11,65.9,21.25
2.025164e+05,-2.904958e+06,8.8218e-11,65.9,21.25
2.025164e+05,-2.901958e+06,9.033e-11,65.9,21.25
2.025164e+05,-2.898958e+06,8.947e-11,65.9,21.25
2.025164e+05,-2.895958e+06,8.9193e-11,65.9,21.25
2.025164e+05,-2.892958e+06,8.8219e-11,65.9,21.25
2.025164e+05,-2.889958e+06,8.9434e-11,65.9,21.25
2.055164e+05,-3.039958e+06,8.9343e-11,65.9,21.25
2.055164e+05,-3.036958e+06,8.9066e-11,65.9,21.25
2.055164e+05,-3.033958e+06,9.0813e-11,65.9,21.25
2.055164e+05,-3.030958e+06,8.8158e-11,65.9,21.25
2.055164e+05,-3.027958e+06,8.8466e-11,65.9,21.25
2.055164e+05,-3.024958e+06,8.9179e-11,65.9,21.25
2.055164e+05,-3.021958e+06,8.6699e-11,65.9,21.25
2.055164e+05,-3.018958e+06,8.9882e-11,65.9,21.25
2.055164e+05,-3.015958e+06,9.0482e-11,65.9,21.25
2.055164e+05,-3.012958e+06,9.1036e-11,65.9,21.25
2.055164e+05,-3.009958e+06,8.8716e-11,65.9,21.25
2.055164e+05,-3.006958e+06,9.0576e-11,65.9,21.25
2.055164e+05,-3.003958e+06,9.0313e-11,65.9,21.25
2.055164e+05,-3.000958e+06,8.7615e-11,65.9,21.25
2.055164e+05,-2.997958e+06,8.8418e-11,65.9,21.25
2.055164e+05,-2.994958e+06,8.9918e-11,65.9,21.25
2.055164e+05,-2.991958e+06,8.9219e-11,65.9,21.25
2.055164e+05,-2.988958e+06,8.911e-11,65.9,21.25
2.055164e+05,-2.985958e+06,8.943e-11,65.9,21.25
2.055164e+05,-2.982958e+06,9.1878e-11,65.9,21.25
2.055164e+05,-2.979958e+06,8.853e-11,65.9,21.25
2.055164e+05,-2.976958e+06,8.8279e-11,65.9,21.25
2.055164e+05,-2.973958e+06,9.0613e-11,65.9,21.25
2.055164e+05,-2.970958e+06,8.967e-11,65.9,21.25
