General parameters:
Start time: 2023              8             16             19              6       4.613774
Finish time: 2023              8             16             20             10      42.465588
Raster type: raster_jump
Horizontal range (nm): -4030041.550000,-3880041.550000
Vertical range (nm): 209483.600000,359483.600000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.97e-07
Sample chamber pressure: 3.79e-08
Initial position (nm): -2889957.000000,352516.000000,-1500001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4030041.55       -3880041.55
hori_res:3000
vert_range:209483.6         359483.6
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.657332
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.094836e+05,-4.030042e+06,8.2022e-11,65.9,21.25
2.094836e+05,-4.027042e+06,8.2748e-11,65.9,21.25
2.094836e+05,-4.024042e+06,8.2549e-11,65.9,21.25
2.094836e+05,-4.021042e+06,8.3378e-11,65.9,21.25
2.094836e+05,-4.018042e+06,8.1278e-11,65.9,21.25
2.094836e+05,-4.015042e+06,8.2401e-11,65.9,21.25
2.094836e+05,-4.012042e+06,8.4018e-11,65.9,21.25
2.094836e+05,-4.009042e+06,8.2215e-11,65.9,21.25
2.094836e+05,-4.006042e+06,8.343e-11,65.9,21.25
2.094836e+05,-4.003042e+06,8.2091e-11,65.9,21.25
2.094836e+05,-4.000042e+06,8.3552e-11,65.9,21.25
2.094836e+05,-3.997042e+06,8.4013e-11,65.9,21.25
2.094836e+05,-3.994042e+06,8.3943e-11,65.9,21.25
2.094836e+05,-3.991042e+06,8.4363e-11,65.9,21.25
2.094836e+05,-3.988042e+06,8.2579e-11,65.9,21.25
2.094836e+05,-3.985042e+06,8.1919e-11,65.9,21.25
2.094836e+05,-3.982042e+06,8.2127e-11,65.9,21.25
2.094836e+05,-3.979042e+06,8.1343e-11,65.9,21.25
2.094836e+05,-3.976042e+06,8.3266e-11,65.9,21.25
2.094836e+05,-3.973042e+06,8.33e-11,65.9,21.25
2.094836e+05,-3.970042e+06,8.1151e-11,65.9,21.25
2.094836e+05,-3.967042e+06,8.2378e-11,65.9,21.25
2.094836e+05,-3.964042e+06,8.0264e-11,65.9,21.25
2.094836e+05,-3.961042e+06,8.0603e-11,65.9,21.25
2.094836e+05,-3.958042e+06,8.214e-11,65.9,21.25
2.094836e+05,-3.955042e+06,8.3646e-11,65.9,21.25
2.094836e+05,-3.952042e+06,7.8797e-11,65.9,21.25
2.094836e+05,-3.949042e+06,8.2928e-11,65.9,21.25
2.094836e+05,-3.946042e+06,8.29e-11,65.9,21.25
2.094836e+05,-3.943042e+06,8.5173e-11,65.9,21.25
2.094836e+05,-3.940042e+06,8.316e-11,65.9,21.25
2.094836e+05,-3.937042e+06,8.0651e-11,65.9,21.25
2.094836e+05,-3.934042e+06,8.1187e-11,65.9,21.25
2.094836e+05,-3.931042e+06,8.0354e-11,65.9,21.25
2.094836e+05,-3.928042e+06,8.1988e-11,65.9,21.25
2.094836e+05,-3.925042e+06,8.0297e-11,65.9,21.25
2.094836e+05,-3.922042e+06,8.0288e-11,65.9,21.25
2.094836e+05,-3.919042e+06,8.3709e-11,65.9,21.25
2.094836e+05,-3.916042e+06,8.3581e-11,65.9,21.25
2.094836e+05,-3.913042e+06,8.03e-11,65.9,21.25
2.094836e+05,-3.910042e+06,7.9655e-11,65.9,21.25
2.094836e+05,-3.907042e+06,8.1043e-11,65.9,21.25
2.094836e+05,-3.904042e+06,8.2564e-11,65.9,21.25
2.094836e+05,-3.901042e+06,8.3469e-11,65.9,21.25
2.094836e+05,-3.898042e+06,8.3681e-11,65.9,21.25
2.094836e+05,-3.895042e+06,8.2784e-11,65.9,21.25
2.094836e+05,-3.892042e+06,8.504e-11,65.9,21.25
2.094836e+05,-3.889042e+06,8.4616e-11,65.9,21.25
2.094836e+05,-3.886042e+06,7.9918e-11,65.9,21.25
2.094836e+05,-3.883042e+06,8.2884e-11,65.9,21.25
2.094836e+05,-3.880042e+06,8.1291e-11,65.9,21.25
2.124836e+05,-4.030042e+06,8.0928e-11,65.9,21.25
2.124836e+05,-4.027042e+06,8.3422e-11,65.9,21.25
2.124836e+05,-4.024042e+06,8.2399e-11,65.9,21.25
2.124836e+05,-4.021042e+06,8.3273e-11,65.9,21.25
2.124836e+05,-4.018042e+06,8.2685e-11,65.9,21.25
2.124836e+05,-4.015042e+06,8.1148e-11,65.9,21.25
2.124836e+05,-4.012042e+06,8.261e-11,65.9,21.25
2.124836e+05,-4.009042e+06,8.3252e-11,65.9,21.25
2.124836e+05,-4.006042e+06,8.3248e-11,65.9,21.25
2.124836e+05,-4.003042e+06,8.2254e-11,65.9,21.25
2.124836e+05,-4.000042e+06,8.2469e-11,65.9,21.25
2.124836e+05,-3.997042e+06,8.3134e-11,65.9,21.25
2.124836e+05,-3.994042e+06,8.1579e-11,65.9,21.25
2.124836e+05,-3.991042e+06,8.3593e-11,65.9,21.25
2.124836e+05,-3.988042e+06,8.2096e-11,65.9,21.25
2.124836e+05,-3.985042e+06,8.2958e-11,65.9,21.25
2.124836e+05,-3.982042e+06,8.2042e-11,65.9,21.25
2.124836e+05,-3.979042e+06,8.4557e-11,65.9,21.25
2.124836e+05,-3.976042e+06,8.2678e-11,65.9,21.25
2.124836e+05,-3.973042e+06,8.4687e-11,65.9,21.25
2.124836e+05,-3.970042e+06,8.1725e-11,65.9,21.25
2.124836e+05,-3.967042e+06,8.2321e-11,65.9,21.25
2.124836e+05,-3.964042e+06,8.371e-11,65.9,21.25
2.124836e+05,-3.961042e+06,8.2357e-11,65.9,21.25
2.124836e+05,-3.958042e+06,8.1601e-11,65.9,21.25
2.124836e+05,-3.955042e+06,8.2684e-11,65.9,21.25
2.124836e+05,-3.952042e+06,8.3243e-11,65.9,21.25
2.124836e+05,-3.949042e+06,8.2131e-11,65.9,21.25
2.124836e+05,-3.946042e+06,8.3575e-11,65.9,21.25
2.124836e+05,-3.943042e+06,8.4225e-11,65.9,21.25
2.124836e+05,-3.940042e+06,8.1758e-11,65.9,21.25
2.124836e+05,-3.937042e+06,8.1667e-11,65.9,21.25
2.124836e+05,-3.934042e+06,8.1337e-11,65.9,21.25
2.124836e+05,-3.931042e+06,8.0187e-11,65.9,21.25
2.124836e+05,-3.928042e+06,8.1985e-11,65.9,21.25
2.124836e+05,-3.925042e+06,8.2993e-11,65.9,21.25
2.124836e+05,-3.922042e+06,8.119e-11,65.9,21.25
2.124836e+05,-3.919042e+06,7.9594e-11,65.9,21.25
2.124836e+05,-3.916042e+06,8.1487e-11,65.9,21.25
2.124836e+05,-3.913042e+06,8.2699e-11,65.9,21.25
2.124836e+05,-3.910042e+06,8.1791e-11,65.9,21.25
2.124836e+05,-3.907042e+06,8.214e-11,65.9,21.25
2.124836e+05,-3.904042e+06,8.2752e-11,65.9,21.25
2.124836e+05,-3.901042e+06,8.2749e-11,65.9,21.25
2.124836e+05,-3.898042e+06,8.1051e-11,65.9,21.25
2.124836e+05,-3.895042e+06,8.3219e-11,65.9,21.25
2.124836e+05,-3.892042e+06,8.1943e-11,65.9,21.25
2.124836e+05,-3.889042e+06,8.1343e-11,65.9,21.25
2.124836e+05,-3.886042e+06,8.1636e-11,65.9,21.25
2.124836e+05,-3.883042e+06,8.3881e-11,65.9,21.25
2.124836e+05,-3.880042e+06,8.2387e-11,65.9,21.25
2.154836e+05,-4.030042e+06,8.0952e-11,65.9,21.25
2.154836e+05,-4.027042e+06,8.0409e-11,65.9,21.25
2.154836e+05,-4.024042e+06,8.1518e-11,65.9,21.25
2.154836e+05,-4.021042e+06,8.0775e-11,65.9,21.25
2.154836e+05,-4.018042e+06,8.0699e-11,65.9,21.25
2.154836e+05,-4.015042e+06,8.211e-11,65.9,21.25
2.154836e+05,-4.012042e+06,8.3167e-11,65.9,21.25
2.154836e+05,-4.009042e+06,8.0804e-11,65.9,21.25
2.154836e+05,-4.006042e+06,8.1772e-11,65.9,21.25
2.154836e+05,-4.003042e+06,8.3351e-11,65.9,21.25
2.154836e+05,-4.000042e+06,8.163e-11,65.9,21.25
2.154836e+05,-3.997042e+06,8.2651e-11,65.9,21.25
2.154836e+05,-3.994042e+06,8.2855e-11,65.9,21.25
2.154836e+05,-3.991042e+06,8.3749e-11,65.9,21.25
2.154836e+05,-3.988042e+06,8.3339e-11,65.9,21.25
2.154836e+05,-3.985042e+06,8.5373e-11,65.9,21.25
2.154836e+05,-3.982042e+06,9.6927e-11,65.9,21.25
2.154836e+05,-3.979042e+06,9.3812e-11,65.9,21.25
2.154836e+05,-3.976042e+06,9.4658e-11,65.9,21.25
2.154836e+05,-3.973042e+06,9.6336e-11,65.9,21.25
2.154836e+05,-3.970042e+06,9.431e-11,65.9,21.25
2.154836e+05,-3.967042e+06,9.6901e-11,65.9,21.25
2.154836e+05,-3.964042e+06,9.583e-11,65.9,21.25
2.154836e+05,-3.961042e+06,9.3784e-11,65.9,21.25
2.154836e+05,-3.958042e+06,9.4449e-11,65.9,21.25
2.154836e+05,-3.955042e+06,9.4437e-11,65.9,21.25
2.154836e+05,-3.952042e+06,9.5557e-11,66.0,21.25
2.154836e+05,-3.949042e+06,9.6709e-11,66.0,21.25
2.154836e+05,-3.946042e+06,9.5997e-11,66.0,21.25
2.154836e+05,-3.943042e+06,9.6181e-11,66.0,21.25
