General parameters:
Start time: 2023              8             16             20             10      44.932076
Finish time: 2023              8             16             21             15      21.841056
Raster type: raster_jump
Horizontal range (nm): -5020124.650000,-4870124.650000
Vertical range (nm): 216450.800000,366450.800000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.98e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -3880041.000000,359481.000000,-2499992.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-5020124.65       -4870124.65
hori_res:3000
vert_range:216450.8         366450.8
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.660752
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.164508e+05,-5.020125e+06,7.9349e-11,66.0,21.25
2.164508e+05,-5.017125e+06,7.8236e-11,66.0,21.25
2.164508e+05,-5.014125e+06,7.6773e-11,66.0,21.25
2.164508e+05,-5.011125e+06,7.7816e-11,66.0,21.25
2.164508e+05,-5.008125e+06,7.7364e-11,66.0,21.25
2.164508e+05,-5.005125e+06,7.8794e-11,66.0,21.25
2.164508e+05,-5.002125e+06,8.0245e-11,66.0,21.25
2.164508e+05,-4.999125e+06,7.6596e-11,66.0,21.25
2.164508e+05,-4.996125e+06,7.9764e-11,66.0,21.25
2.164508e+05,-4.993125e+06,7.6113e-11,66.0,21.25
2.164508e+05,-4.990125e+06,7.6867e-11,66.0,21.25
2.164508e+05,-4.987125e+06,7.5601e-11,66.0,21.25
2.164508e+05,-4.984125e+06,7.7924e-11,66.0,21.25
2.164508e+05,-4.981125e+06,7.8158e-11,66.0,21.25
2.164508e+05,-4.978125e+06,7.7761e-11,66.0,21.25
2.164508e+05,-4.975125e+06,7.834e-11,66.0,21.25
2.164508e+05,-4.972125e+06,7.9343e-11,66.0,21.25
2.164508e+05,-4.969125e+06,7.6187e-11,66.0,21.25
2.164508e+05,-4.966125e+06,7.8199e-11,66.0,21.25
2.164508e+05,-4.963125e+06,8.076e-11,66.0,21.25
2.164508e+05,-4.960125e+06,7.8945e-11,66.0,21.25
2.164508e+05,-4.957125e+06,7.8718e-11,66.0,21.25
2.164508e+05,-4.954125e+06,7.8167e-11,66.0,21.25
2.164508e+05,-4.951125e+06,7.8879e-11,66.0,21.25
2.164508e+05,-4.948125e+06,7.8287e-11,66.0,21.25
2.164508e+05,-4.945125e+06,7.8618e-11,66.0,21.25
2.164508e+05,-4.942125e+06,7.9152e-11,66.0,21.25
2.164508e+05,-4.939125e+06,7.8233e-11,66.0,21.25
2.164508e+05,-4.936125e+06,7.8234e-11,66.0,21.25
2.164508e+05,-4.933125e+06,7.8349e-11,66.0,21.25
2.164508e+05,-4.930125e+06,7.9009e-11,66.0,21.25
2.164508e+05,-4.927125e+06,7.9628e-11,66.0,21.25
2.164508e+05,-4.924125e+06,7.8516e-11,66.0,21.25
2.164508e+05,-4.921125e+06,8.0946e-11,66.0,21.25
2.164508e+05,-4.918125e+06,7.7958e-11,66.0,21.25
2.164508e+05,-4.915125e+06,7.7091e-11,66.0,21.25
2.164508e+05,-4.912125e+06,7.8736e-11,66.0,21.25
2.164508e+05,-4.909125e+06,7.756e-11,66.0,21.25
2.164508e+05,-4.906125e+06,7.9046e-11,66.0,21.25
2.164508e+05,-4.903125e+06,8.0778e-11,66.0,21.25
2.164508e+05,-4.900125e+06,7.9357e-11,66.0,21.25
2.164508e+05,-4.897125e+06,7.9696e-11,66.0,21.25
2.164508e+05,-4.894125e+06,7.8697e-11,66.0,21.25
2.164508e+05,-4.891125e+06,7.9879e-11,66.0,21.25
2.164508e+05,-4.888125e+06,7.7555e-11,66.0,21.25
2.164508e+05,-4.885125e+06,7.791e-11,66.0,21.25
2.164508e+05,-4.882125e+06,8.0324e-11,66.0,21.25
2.164508e+05,-4.879125e+06,8.0999e-11,66.0,21.25
2.164508e+05,-4.876125e+06,8.2239e-11,66.0,21.25
2.164508e+05,-4.873125e+06,8.0355e-11,66.0,21.25
2.164508e+05,-4.870125e+06,7.9219e-11,66.0,21.25
2.194508e+05,-5.020125e+06,7.9924e-11,66.0,21.25
2.194508e+05,-5.017125e+06,7.7793e-11,66.0,21.25
2.194508e+05,-5.014125e+06,7.8242e-11,66.0,21.25
2.194508e+05,-5.011125e+06,7.7766e-11,66.0,21.25
2.194508e+05,-5.008125e+06,7.9054e-11,66.0,21.25
2.194508e+05,-5.005125e+06,7.6421e-11,66.0,21.25
2.194508e+05,-5.002125e+06,7.7806e-11,66.0,21.25
2.194508e+05,-4.999125e+06,7.8945e-11,66.0,21.25
2.194508e+05,-4.996125e+06,7.9082e-11,66.0,21.25
2.194508e+05,-4.993125e+06,7.8922e-11,66.0,21.25
2.194508e+05,-4.990125e+06,7.9903e-11,66.0,21.25
2.194508e+05,-4.987125e+06,7.8816e-11,66.0,21.25
2.194508e+05,-4.984125e+06,7.9613e-11,66.0,21.25
2.194508e+05,-4.981125e+06,7.7907e-11,66.0,21.25
2.194508e+05,-4.978125e+06,7.8169e-11,66.0,21.25
2.194508e+05,-4.975125e+06,7.8169e-11,66.0,21.25
2.194508e+05,-4.972125e+06,7.8499e-11,66.0,21.25
2.194508e+05,-4.969125e+06,7.9012e-11,66.0,21.25
2.194508e+05,-4.966125e+06,7.8403e-11,66.0,21.25
2.194508e+05,-4.963125e+06,7.8179e-11,66.0,21.25
2.194508e+05,-4.960125e+06,7.7746e-11,66.0,21.25
2.194508e+05,-4.957125e+06,8.0182e-11,66.0,21.25
2.194508e+05,-4.954125e+06,7.6854e-11,66.0,21.25
2.194508e+05,-4.951125e+06,7.9043e-11,66.0,21.25
2.194508e+05,-4.948125e+06,7.8324e-11,66.0,21.25
2.194508e+05,-4.945125e+06,7.8001e-11,66.0,21.25
2.194508e+05,-4.942125e+06,7.8584e-11,66.0,21.25
2.194508e+05,-4.939125e+06,7.6375e-11,66.0,21.25
2.194508e+05,-4.936125e+06,7.9804e-11,66.0,21.25
2.194508e+05,-4.933125e+06,7.9264e-11,66.0,21.25
2.194508e+05,-4.930125e+06,7.8928e-11,66.0,21.25
2.194508e+05,-4.927125e+06,7.7548e-11,66.0,21.25
2.194508e+05,-4.924125e+06,8.0066e-11,66.0,21.25
2.194508e+05,-4.921125e+06,7.9131e-11,66.0,21.25
2.194508e+05,-4.918125e+06,7.7939e-11,66.0,21.25
2.194508e+05,-4.915125e+06,7.6555e-11,66.0,21.25
2.194508e+05,-4.912125e+06,7.7712e-11,66.0,21.25
2.194508e+05,-4.909125e+06,7.7916e-11,66.0,21.25
2.194508e+05,-4.906125e+06,7.9534e-11,66.0,21.25
2.194508e+05,-4.903125e+06,7.6522e-11,66.0,21.25
2.194508e+05,-4.900125e+06,7.8378e-11,66.0,21.25
2.194508e+05,-4.897125e+06,7.9107e-11,66.0,21.25
2.194508e+05,-4.894125e+06,8.0224e-11,66.0,21.25
2.194508e+05,-4.891125e+06,7.7858e-11,66.0,21.25
2.194508e+05,-4.888125e+06,7.7507e-11,66.0,21.25
2.194508e+05,-4.885125e+06,7.939e-11,66.0,21.25
2.194508e+05,-4.882125e+06,7.8957e-11,66.0,21.25
2.194508e+05,-4.879125e+06,8.1149e-11,66.0,21.25
2.194508e+05,-4.876125e+06,7.9424e-11,66.0,21.25
2.194508e+05,-4.873125e+06,7.8678e-11,66.0,21.25
2.194508e+05,-4.870125e+06,7.8827e-11,66.0,21.25
2.224508e+05,-5.020125e+06,7.924e-11,66.0,21.25
2.224508e+05,-5.017125e+06,8.0807e-11,66.0,21.25
2.224508e+05,-5.014125e+06,8.0987e-11,66.0,21.25
2.224508e+05,-5.011125e+06,7.6999e-11,66.0,21.25
2.224508e+05,-5.008125e+06,7.893e-11,66.0,21.25
2.224508e+05,-5.005125e+06,7.581e-11,66.0,21.25
2.224508e+05,-5.002125e+06,7.6955e-11,66.0,21.25
2.224508e+05,-4.999125e+06,7.8327e-11,66.0,21.25
2.224508e+05,-4.996125e+06,7.969e-11,66.0,21.25
2.224508e+05,-4.993125e+06,7.9003e-11,66.0,21.25
2.224508e+05,-4.990125e+06,7.8987e-11,66.0,21.25
2.224508e+05,-4.987125e+06,7.8166e-11,66.0,21.25
2.224508e+05,-4.984125e+06,7.7112e-11,66.0,21.25
2.224508e+05,-4.981125e+06,7.8485e-11,66.0,21.25
2.224508e+05,-4.978125e+06,8.0833e-11,66.0,21.25
