General parameters:
Start time: 2023              8             16             21             15      24.266175
Finish time: 2023              8             16             22             20       1.351218
Raster type: raster_jump
Horizontal range (nm): -6010207.750000,-5860207.750000
Vertical range (nm): 223418.000000,373418.000000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 8.00e-07
Sample chamber pressure: 3.79e-08
Initial position (nm): -4870132.000000,366450.000000,-3499995.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-6010207.75       -5860207.75
hori_res:3000
vert_range:223418  373418
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.665882
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
223418,-6.010208e+06,6.8073e-11,66.2,21.25
223418,-6.007208e+06,6.8436e-11,66.2,21.25
223418,-6.004208e+06,7.0155e-11,66.2,21.25
223418,-6.001208e+06,6.7955e-11,66.2,21.25
223418,-5.998208e+06,6.6173e-11,66.2,21.25
223418,-5.995208e+06,6.8615e-11,66.2,21.25
223418,-5.992208e+06,6.9016e-11,66.2,21.25
223418,-5.989208e+06,6.7849e-11,66.2,21.25
223418,-5.986208e+06,6.9036e-11,66.2,21.25
223418,-5.983208e+06,7.0403e-11,66.2,21.25
223418,-5.980208e+06,6.7633e-11,66.2,21.25
223418,-5.977208e+06,6.9124e-11,66.2,21.25
223418,-5.974208e+06,6.9412e-11,66.2,21.25
223418,-5.971208e+06,7.0067e-11,66.2,21.25
223418,-5.968208e+06,7.0369e-11,66.2,21.25
223418,-5.965208e+06,6.8884e-11,66.2,21.25
223418,-5.962208e+06,6.8682e-11,66.2,21.25
223418,-5.959208e+06,7.0096e-11,66.2,21.25
223418,-5.956208e+06,6.9875e-11,66.2,21.25
223418,-5.953208e+06,6.9393e-11,66.2,21.25
223418,-5.950208e+06,6.8597e-11,66.2,21.25
223418,-5.947208e+06,6.7969e-11,66.2,21.25
223418,-5.944208e+06,6.9087e-11,66.2,21.25
223418,-5.941208e+06,6.8816e-11,66.2,21.25
223418,-5.938208e+06,7.0482e-11,66.2,21.25
223418,-5.935208e+06,6.777e-11,66.2,21.25
223418,-5.932208e+06,6.9152e-11,66.2,21.25
223418,-5.929208e+06,7.1e-11,66.2,21.25
223418,-5.926208e+06,7.0791e-11,66.2,21.25
223418,-5.923208e+06,7.0107e-11,66.2,21.25
223418,-5.920208e+06,7.0188e-11,66.2,21.25
223418,-5.917208e+06,6.8488e-11,66.2,21.25
223418,-5.914208e+06,6.9272e-11,66.2,21.25
223418,-5.911208e+06,6.8513e-11,66.2,21.25
