General parameters:
Start time: 2023              8             17              0             29       28.31771
Finish time: 2023              8             17              1             34      12.326471
Raster type: raster_jump
Horizontal range (nm): -4525083.100000,-4375083.100000
Vertical range (nm): 212967.200000,362967.200000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 8.03e-07
Sample chamber pressure: 3.75e-08
Initial position (nm): -5365176.000000,369937.000000,-2000010.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4525083.1        -4375083.1
hori_res:3000
vert_range:212967.2         362967.2
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.680588
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.129672e+05,-4.525083e+06,4.3031e-11,66.3,21.25
2.129672e+05,-4.522083e+06,4.1987e-11,66.3,21.25
2.129672e+05,-4.519083e+06,4.4082e-11,66.3,21.25
2.129672e+05,-4.516083e+06,4.3966e-11,66.3,21.25
2.129672e+05,-4.513083e+06,4.2022e-11,66.3,21.25
2.129672e+05,-4.510083e+06,4.3978e-11,66.3,21.25
2.129672e+05,-4.507083e+06,4.431e-11,66.3,21.25
2.129672e+05,-4.504083e+06,4.3854e-11,66.3,21.25
2.129672e+05,-4.501083e+06,4.3758e-11,66.3,21.25
2.129672e+05,-4.498083e+06,4.2515e-11,66.3,21.25
2.129672e+05,-4.495083e+06,4.2697e-11,66.3,21.25
2.129672e+05,-4.492083e+06,4.3994e-11,66.3,21.25
2.129672e+05,-4.489083e+06,4.3018e-11,66.3,21.25
2.129672e+05,-4.486083e+06,4.3436e-11,66.3,21.25
2.129672e+05,-4.483083e+06,4.3458e-11,66.3,21.25
2.129672e+05,-4.480083e+06,4.4634e-11,66.3,21.25
2.129672e+05,-4.477083e+06,4.2176e-11,66.3,21.25
2.129672e+05,-4.474083e+06,4.3793e-11,66.3,21.25
2.129672e+05,-4.471083e+06,4.2281e-11,66.3,21.25
2.129672e+05,-4.468083e+06,4.4406e-11,66.3,21.25
2.129672e+05,-4.465083e+06,4.2675e-11,66.3,21.25
2.129672e+05,-4.462083e+06,4.254e-11,66.3,21.25
2.129672e+05,-4.459083e+06,4.3276e-11,66.3,21.25
2.129672e+05,-4.456083e+06,4.4672e-11,66.3,21.25
2.129672e+05,-4.453083e+06,4.3257e-11,66.3,21.25
2.129672e+05,-4.450083e+06,4.6904e-11,66.3,21.25
2.129672e+05,-4.447083e+06,4.3976e-11,66.3,21.25
2.129672e+05,-4.444083e+06,4.4625e-11,66.3,21.25
2.129672e+05,-4.441083e+06,4.4255e-11,66.3,21.25
2.129672e+05,-4.438083e+06,4.4306e-11,66.3,21.25
2.129672e+05,-4.435083e+06,4.4e-11,66.3,21.25
2.129672e+05,-4.432083e+06,4.3839e-11,66.3,21.25
2.129672e+05,-4.429083e+06,4.4306e-11,66.3,21.25
2.129672e+05,-4.426083e+06,4.3878e-11,66.3,21.25
2.129672e+05,-4.423083e+06,4.3722e-11,66.3,21.25
2.129672e+05,-4.420083e+06,4.3303e-11,66.3,21.25
2.129672e+05,-4.417083e+06,4.4739e-11,66.3,21.25
2.129672e+05,-4.414083e+06,4.2588e-11,66.3,21.25
2.129672e+05,-4.411083e+06,4.2646e-11,66.3,21.25
2.129672e+05,-4.408083e+06,4.1996e-11,66.3,21.25
2.129672e+05,-4.405083e+06,4.2412e-11,66.3,21.25
2.129672e+05,-4.402083e+06,4.3952e-11,66.3,21.25
2.129672e+05,-4.399083e+06,4.4467e-11,66.3,21.25
2.129672e+05,-4.396083e+06,4.5412e-11,66.3,21.25
2.129672e+05,-4.393083e+06,4.3694e-11,66.3,21.25
2.129672e+05,-4.390083e+06,4.319e-11,66.3,21.25
2.129672e+05,-4.387083e+06,4.4072e-11,66.3,21.25
2.129672e+05,-4.384083e+06,4.6584e-11,66.3,21.25
2.129672e+05,-4.381083e+06,4.5379e-11,66.3,21.25
2.129672e+05,-4.378083e+06,4.2024e-11,66.3,21.25
2.129672e+05,-4.375083e+06,4.3699e-11,66.3,21.25
2.159672e+05,-4.525083e+06,4.3233e-11,66.3,21.25
2.159672e+05,-4.522083e+06,4.3479e-11,66.3,21.25
2.159672e+05,-4.519083e+06,4.2293e-11,66.3,21.25
2.159672e+05,-4.516083e+06,4.3925e-11,66.3,21.25
2.159672e+05,-4.513083e+06,4.1909e-11,66.3,21.25
2.159672e+05,-4.510083e+06,4.3299e-11,66.3,21.25
2.159672e+05,-4.507083e+06,4.2006e-11,66.3,21.25
2.159672e+05,-4.504083e+06,4.3573e-11,66.3,21.25
2.159672e+05,-4.501083e+06,4.2733e-11,66.3,21.25
2.159672e+05,-4.498083e+06,4.277e-11,66.3,21.25
2.159672e+05,-4.495083e+06,4.2873e-11,66.3,21.25
2.159672e+05,-4.492083e+06,4.2903e-11,66.3,21.25
2.159672e+05,-4.489083e+06,4.1288e-11,66.3,21.25
2.159672e+05,-4.486083e+06,4.3318e-11,66.3,21.25
2.159672e+05,-4.483083e+06,4.2421e-11,66.3,21.25
2.159672e+05,-4.480083e+06,4.279e-11,66.3,21.25
2.159672e+05,-4.477083e+06,4.393e-11,66.3,21.25
2.159672e+05,-4.474083e+06,4.2833e-11,66.3,21.25
2.159672e+05,-4.471083e+06,4.4754e-11,66.3,21.25
2.159672e+05,-4.468083e+06,4.2615e-11,66.3,21.25
2.159672e+05,-4.465083e+06,4.1651e-11,66.3,21.25
2.159672e+05,-4.462083e+06,4.4806e-11,66.3,21.25
2.159672e+05,-4.459083e+06,4.3251e-11,66.3,21.25
2.159672e+05,-4.456083e+06,4.3487e-11,66.3,21.25
2.159672e+05,-4.453083e+06,4.2806e-11,66.3,21.25
2.159672e+05,-4.450083e+06,4.1909e-11,66.3,21.25
2.159672e+05,-4.447083e+06,4.3473e-11,66.3,21.25
2.159672e+05,-4.444083e+06,4.399e-11,66.3,21.25
2.159672e+05,-4.441083e+06,4.4345e-11,66.3,21.25
2.159672e+05,-4.438083e+06,4.5075e-11,66.3,21.25
2.159672e+05,-4.435083e+06,4.3718e-11,66.3,21.25
2.159672e+05,-4.432083e+06,4.4454e-11,66.3,21.25
2.159672e+05,-4.429083e+06,4.2843e-11,66.3,21.25
2.159672e+05,-4.426083e+06,4.4142e-11,66.3,21.25
2.159672e+05,-4.423083e+06,4.3967e-11,66.3,21.25
2.159672e+05,-4.420083e+06,4.2375e-11,66.3,21.25
2.159672e+05,-4.417083e+06,4.3955e-11,66.3,21.25
2.159672e+05,-4.414083e+06,4.3703e-11,66.3,21.25
2.159672e+05,-4.411083e+06,4.2906e-11,66.3,21.25
2.159672e+05,-4.408083e+06,4.4019e-11,66.3,21.25
2.159672e+05,-4.405083e+06,4.3307e-11,66.3,21.25
2.159672e+05,-4.402083e+06,4.1919e-11,66.3,21.25
2.159672e+05,-4.399083e+06,4.513e-11,66.3,21.25
2.159672e+05,-4.396083e+06,4.3358e-11,66.3,21.25
2.159672e+05,-4.393083e+06,4.3931e-11,66.3,21.25
2.159672e+05,-4.390083e+06,4.3319e-11,66.3,21.25
2.159672e+05,-4.387083e+06,4.3564e-11,66.3,21.25
2.159672e+05,-4.384083e+06,4.4776e-11,66.3,21.25
2.159672e+05,-4.381083e+06,4.3604e-11,66.3,21.25
2.159672e+05,-4.378083e+06,4.4419e-11,66.3,21.25
2.159672e+05,-4.375083e+06,4.2312e-11,66.3,21.25
2.189672e+05,-4.525083e+06,4.3279e-11,66.3,21.25
2.189672e+05,-4.522083e+06,4.4431e-11,66.3,21.25
2.189672e+05,-4.519083e+06,4.2384e-11,66.3,21.25
2.189672e+05,-4.516083e+06,4.2097e-11,66.3,21.25
2.189672e+05,-4.513083e+06,4.463e-11,66.3,21.25
2.189672e+05,-4.510083e+06,4.3839e-11,66.3,21.25
2.189672e+05,-4.507083e+06,4.1624e-11,66.3,21.25
2.189672e+05,-4.504083e+06,4.3504e-11,66.3,21.25
2.189672e+05,-4.501083e+06,4.3084e-11,66.4,21.25
2.189672e+05,-4.498083e+06,4.3007e-11,66.4,21.25
2.189672e+05,-4.495083e+06,4.2158e-11,66.4,21.25
2.189672e+05,-4.492083e+06,4.2464e-11,66.3,21.25
2.189672e+05,-4.489083e+06,4.4076e-11,66.4,21.25
2.189672e+05,-4.486083e+06,4.3755e-11,66.4,21.25
2.189672e+05,-4.483083e+06,4.5104e-11,66.4,21.25
2.189672e+05,-4.480083e+06,4.3096e-11,66.4,21.25
