General parameters:
Start time: 2023              8             17             18              6      28.036491
Finish time: 2023              8             17             21             18      38.640418
Raster type: raster_jump
Horizontal range (nm): -3473022.000000,-3757022.000000
Vertical range (nm): 623500.000000,474500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1200.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.89e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -2051848.000000,264336.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3473022 -3757022
hori_res:2500
vert_range:623500  474500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:80
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 80.000000
Filament current (A): 1.540000
Filament emission (mA): 1.650150
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
474500,-3757022,3.833e-11,65.3,21.25
474500,-3754522,3.7756e-11,65.3,21.25
474500,-3752022,3.787e-11,65.3,21.25
474500,-3749522,3.7775e-11,65.3,21.25
474500,-3747022,3.766e-11,65.3,21.25
474500,-3744522,3.8399e-11,65.3,21.25
474500,-3742022,3.8237e-11,65.3,21.25
474500,-3739522,3.6908e-11,65.3,21.25
474500,-3737022,3.8781e-11,65.3,21.25
474500,-3734522,3.8609e-11,NaN,21.25
474500,-3732022,3.8401e-11,65.3,21.25
474500,-3729522,3.7818e-11,65.3,21.25
474500,-3727022,3.7918e-11,65.3,21.25
474500,-3724522,3.7677e-11,65.3,21.25
474500,-3722022,3.7809e-11,65.3,21.25
474500,-3719522,3.8169e-11,65.3,21.25
474500,-3717022,3.7051e-11,65.3,21.25
474500,-3714522,3.9494e-11,65.3,21.25
474500,-3712022,3.8445e-11,65.3,21.25
474500,-3709522,3.7834e-11,65.3,21.25
474500,-3707022,3.7425e-11,65.3,21.25
474500,-3704522,3.858e-11,65.3,21.25
474500,-3702022,3.7873e-11,65.3,21.25
474500,-3699522,3.8241e-11,65.3,21.25
474500,-3697022,3.645e-11,65.3,21.25
474500,-3694522,3.9444e-11,65.3,21.25
474500,-3692022,3.6507e-11,65.3,21.25
474500,-3689522,3.7022e-11,65.3,21.25
474500,-3687022,3.7846e-11,65.3,21.25
474500,-3684522,3.7095e-11,65.3,21.25
474500,-3682022,3.6233e-11,65.3,21.25
474500,-3679522,3.7652e-11,65.3,21.25
474500,-3677022,3.7483e-11,65.3,21.25
474500,-3674522,3.7809e-11,65.3,21.25
474500,-3672022,3.7914e-11,65.3,21.25
474500,-3669522,3.6991e-11,65.3,21.25
474500,-3667022,3.7921e-11,65.3,21.25
474500,-3664522,3.8824e-11,65.3,21.25
474500,-3662022,3.6851e-11,65.3,21.25
474500,-3659522,3.75e-11,65.3,21.25
474500,-3657022,3.6298e-11,65.3,21.25
474500,-3654522,3.775e-11,65.3,21.25
474500,-3652022,3.6758e-11,65.3,21.25
474500,-3649522,3.7139e-11,65.3,21.25
474500,-3647022,3.789e-11,65.3,21.25
474500,-3644522,3.7368e-11,65.3,21.25
474500,-3642022,3.7839e-11,65.3,21.25
474500,-3639522,3.7483e-11,65.3,21.25
474500,-3637022,3.816e-11,65.3,21.25
474500,-3634522,3.7039e-11,65.3,21.25
474500,-3632022,3.8138e-11,65.3,21.25
474500,-3629522,3.7156e-11,65.3,21.25
474500,-3627022,3.9464e-11,65.3,21.25
474500,-3624522,3.8325e-11,65.3,21.25
474500,-3622022,3.6959e-11,65.3,21.25
474500,-3619522,3.695e-11,65.3,21.25
474500,-3617022,3.7272e-11,65.3,21.25
474500,-3614522,3.6728e-11,65.3,21.25
474500,-3612022,3.7391e-11,65.3,21.25
474500,-3609522,3.8056e-11,65.3,21.25
474500,-3607022,3.7966e-11,65.3,21.25
474500,-3604522,3.8536e-11,65.3,21.25
474500,-3602022,3.6777e-11,65.3,21.25
474500,-3599522,3.8018e-11,65.3,21.25
474500,-3597022,3.6993e-11,65.3,21.25
474500,-3594522,3.7125e-11,65.3,21.25
474500,-3592022,3.9135e-11,65.3,21.25
474500,-3589522,3.7234e-11,65.3,21.25
474500,-3587022,3.7805e-11,65.3,21.25
474500,-3584522,3.7714e-11,65.3,21.25
474500,-3582022,3.743e-11,65.3,21.25
474500,-3579522,3.7888e-11,65.3,21.25
474500,-3577022,3.8215e-11,65.3,21.25
474500,-3574522,3.683e-11,65.3,21.25
474500,-3572022,3.6133e-11,65.3,21.25
474500,-3569522,3.8193e-11,65.3,21.25
474500,-3567022,3.6534e-11,65.3,21.25
474500,-3564522,3.8099e-11,65.3,21.25
474500,-3562022,3.749e-11,65.3,21.25
474500,-3559522,3.8131e-11,65.3,21.25
474500,-3557022,3.8414e-11,65.3,21.25
474500,-3554522,3.6552e-11,65.3,21.25
474500,-3552022,3.8146e-11,65.3,21.25
474500,-3549522,3.7254e-11,65.3,21.25
474500,-3547022,3.7804e-11,65.3,21.25
474500,-3544522,3.6197e-11,65.3,21.25
474500,-3542022,3.8001e-11,65.3,21.25
474500,-3539522,3.691e-11,65.3,21.25
474500,-3537022,4.0208e-11,65.3,21.25
474500,-3534522,3.8715e-11,65.3,21.25
474500,-3532022,3.6747e-11,65.3,21.25
474500,-3529522,3.6975e-11,65.3,21.25
474500,-3527022,3.7289e-11,65.3,21.25
474500,-3524522,3.7543e-11,65.3,21.25
474500,-3522022,3.796e-11,65.3,21.25
474500,-3519522,3.7705e-11,65.3,21.25
474500,-3517022,3.6866e-11,65.3,21.25
474500,-3514522,3.7845e-11,65.3,21.25
474500,-3512022,3.7064e-11,65.3,21.25
474500,-3509522,3.7016e-11,65.3,21.25
474500,-3507022,3.8583e-11,65.3,21.25
474500,-3504522,3.7081e-11,65.3,21.25
474500,-3502022,3.7119e-11,65.3,21.25
474500,-3499522,3.6659e-11,65.3,21.25
474500,-3497022,3.8216e-11,65.3,21.25
474500,-3494522,3.8342e-11,65.3,21.25
474500,-3492022,3.8725e-11,65.3,21.25
474500,-3489522,3.8151e-11,65.3,21.25
474500,-3487022,3.7219e-11,65.3,21.25
474500,-3484522,3.6669e-11,65.3,21.25
474500,-3482022,3.7696e-11,65.3,21.25
474500,-3479522,3.9475e-11,65.3,21.25
474500,-3477022,3.6667e-11,65.3,21.25
474500,-3474522,3.7643e-11,65.3,21.25
477000,-3757022,3.7869e-11,65.3,21.25
