General parameters:
Start time: 2023              8             17             23             33       2.691158
Finish time: 2023              8             17             23             56      56.364182
Raster type: raster_jump
Horizontal range (nm): -3776799.244031,-3976799.244031
Vertical range (nm): 147672.107703,-52327.892297
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.94e-07
Sample chamber pressure: 3.79e-08
Initial position (nm): -3871801.000000,-37321.000000,-1000011.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3776799.244      -3976799.244
hori_res:5000
vert_range:147672.1077      -52327.8923
vert_res:5000
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.671354
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-5.232789e+04,-3.976799e+06,3.759e-11,65.7,21.25
-5.232789e+04,-3.971799e+06,4.2067e-11,65.7,21.25
-5.232789e+04,-3.966799e+06,4.0113e-11,65.7,21.25
-5.232789e+04,-3.961799e+06,4.0723e-11,65.7,21.25
-5.232789e+04,-3.956799e+06,4.0083e-11,65.7,21.25
-5.232789e+04,-3.951799e+06,4.1003e-11,65.7,21.25
-5.232789e+04,-3.946799e+06,3.9787e-11,65.7,21.25
-5.232789e+04,-3.941799e+06,4.1517e-11,65.7,21.25
-5.232789e+04,-3.936799e+06,4.1487e-11,65.7,21.25
-5.232789e+04,-3.931799e+06,4.112e-11,65.7,21.25
-5.232789e+04,-3.926799e+06,3.8597e-11,65.7,21.25
-5.232789e+04,-3.921799e+06,4.0327e-11,65.7,21.25
-5.232789e+04,-3.916799e+06,4.0083e-11,65.7,21.25
-5.232789e+04,-3.911799e+06,4.028e-11,65.7,21.25
-5.232789e+04,-3.906799e+06,4.0663e-11,65.7,21.25
-5.232789e+04,-3.901799e+06,4.028e-11,65.7,21.25
-5.232789e+04,-3.896799e+06,3.8703e-11,65.7,21.25
-5.232789e+04,-3.891799e+06,3.8017e-11,65.7,21.25
-5.232789e+04,-3.886799e+06,4.0813e-11,65.7,21.25
-5.232789e+04,-3.881799e+06,4.007e-11,65.7,21.25
-5.232789e+04,-3.876799e+06,3.836e-11,65.7,21.25
-5.232789e+04,-3.871799e+06,3.9307e-11,65.7,21.25
-5.232789e+04,-3.866799e+06,4.0587e-11,65.7,21.25
-5.232789e+04,-3.861799e+06,4.1803e-11,65.7,21.25
-5.232789e+04,-3.856799e+06,3.8953e-11,65.7,21.25
-5.232789e+04,-3.851799e+06,3.9857e-11,65.7,21.25
-5.232789e+04,-3.846799e+06,4.0447e-11,65.7,21.25
-5.232789e+04,-3.841799e+06,4.0657e-11,65.7,21.25
-5.232789e+04,-3.836799e+06,4.1853e-11,65.7,21.25
-5.232789e+04,-3.831799e+06,3.8813e-11,65.7,21.25
-5.232789e+04,-3.826799e+06,4.3253e-11,65.7,21.25
-5.232789e+04,-3.821799e+06,4.2197e-11,65.7,21.25
-5.232789e+04,-3.816799e+06,4.0707e-11,65.7,21.25
-5.232789e+04,-3.811799e+06,4.101e-11,65.7,21.25
-5.232789e+04,-3.806799e+06,3.9013e-11,65.7,21.25
-5.232789e+04,-3.801799e+06,4.0237e-11,65.7,21.25
-5.232789e+04,-3.796799e+06,3.94e-11,65.7,21.25
-5.232789e+04,-3.791799e+06,3.9537e-11,65.7,21.25
-5.232789e+04,-3.786799e+06,3.9567e-11,65.7,21.25
-5.232789e+04,-3.781799e+06,4.1077e-11,65.7,21.25
-5.232789e+04,-3.776799e+06,3.9053e-11,65.7,21.25
-4.732789e+04,-3.976799e+06,3.964e-11,65.7,21.25
-4.732789e+04,-3.971799e+06,4.1453e-11,65.7,21.25
-4.732789e+04,-3.966799e+06,4.1217e-11,65.7,21.25
-4.732789e+04,-3.961799e+06,3.7087e-11,65.7,21.25
-4.732789e+04,-3.956799e+06,4.0613e-11,65.7,21.25
-4.732789e+04,-3.951799e+06,4.175e-11,65.7,21.25
-4.732789e+04,-3.946799e+06,3.9337e-11,65.7,21.25
-4.732789e+04,-3.941799e+06,3.9467e-11,65.7,21.25
-4.732789e+04,-3.936799e+06,3.8977e-11,65.7,21.25
-4.732789e+04,-3.931799e+06,3.9023e-11,65.7,21.25
-4.732789e+04,-3.926799e+06,3.7577e-11,65.7,21.25
-4.732789e+04,-3.921799e+06,3.8537e-11,65.7,21.25
-4.732789e+04,-3.916799e+06,4.1403e-11,65.7,21.25
-4.732789e+04,-3.911799e+06,4.1707e-11,65.7,21.25
-4.732789e+04,-3.906799e+06,4.1027e-11,65.7,21.25
-4.732789e+04,-3.901799e+06,3.9037e-11,65.7,21.25
-4.732789e+04,-3.896799e+06,3.9517e-11,65.7,21.25
-4.732789e+04,-3.891799e+06,3.8057e-11,65.7,21.25
-4.732789e+04,-3.886799e+06,4.011e-11,65.7,21.25
-4.732789e+04,-3.881799e+06,4.154e-11,65.7,21.25
-4.732789e+04,-3.876799e+06,4.0857e-11,65.7,21.25
-4.732789e+04,-3.871799e+06,3.969e-11,65.7,21.25
-4.732789e+04,-3.866799e+06,4.1223e-11,65.7,21.25
-4.732789e+04,-3.861799e+06,3.8653e-11,65.7,21.25
-4.732789e+04,-3.856799e+06,3.8917e-11,65.7,21.25
-4.732789e+04,-3.851799e+06,3.943e-11,65.7,21.25
-4.732789e+04,-3.846799e+06,3.9793e-11,65.7,21.25
-4.732789e+04,-3.841799e+06,4.0447e-11,65.7,21.25
-4.732789e+04,-3.836799e+06,3.8207e-11,65.7,21.25
-4.732789e+04,-3.831799e+06,3.7987e-11,65.7,21.25
-4.732789e+04,-3.826799e+06,3.8003e-11,65.7,21.25
-4.732789e+04,-3.821799e+06,3.853e-11,65.7,21.25
-4.732789e+04,-3.816799e+06,4.009e-11,65.7,21.25
-4.732789e+04,-3.811799e+06,3.8693e-11,65.7,21.25
-4.732789e+04,-3.806799e+06,3.9977e-11,65.7,21.25
-4.732789e+04,-3.801799e+06,3.8493e-11,65.7,21.25
-4.732789e+04,-3.796799e+06,4.0563e-11,65.7,21.25
-4.732789e+04,-3.791799e+06,4.1313e-11,65.7,21.25
-4.732789e+04,-3.786799e+06,4.1627e-11,65.7,21.25
-4.732789e+04,-3.781799e+06,4.0697e-11,65.7,21.25
-4.732789e+04,-3.776799e+06,4.014e-11,65.7,21.25
-4.232789e+04,-3.976799e+06,3.8107e-11,65.7,21.25
-4.232789e+04,-3.971799e+06,3.8533e-11,65.7,21.25
-4.232789e+04,-3.966799e+06,4.0027e-11,65.7,21.25
-4.232789e+04,-3.961799e+06,3.8947e-11,65.7,21.25
-4.232789e+04,-3.956799e+06,3.9977e-11,65.7,21.25
-4.232789e+04,-3.951799e+06,3.9717e-11,65.7,21.25
-4.232789e+04,-3.946799e+06,4.07e-11,65.7,21.25
-4.232789e+04,-3.941799e+06,3.9663e-11,65.7,21.25
-4.232789e+04,-3.936799e+06,3.9497e-11,65.7,21.25
-4.232789e+04,-3.931799e+06,3.8297e-11,65.7,21.25
-4.232789e+04,-3.926799e+06,4.0413e-11,65.7,21.25
-4.232789e+04,-3.921799e+06,3.8677e-11,65.8,21.25
-4.232789e+04,-3.916799e+06,4.0273e-11,65.8,21.25
-4.232789e+04,-3.911799e+06,3.9283e-11,65.8,21.25
-4.232789e+04,-3.906799e+06,4.1263e-11,65.8,21.25
-4.232789e+04,-3.901799e+06,4.1003e-11,65.8,21.25
-4.232789e+04,-3.896799e+06,4.0307e-11,65.8,21.25
-4.232789e+04,-3.891799e+06,4.1643e-11,65.8,21.25
-4.232789e+04,-3.886799e+06,3.9497e-11,65.8,21.25
-4.232789e+04,-3.881799e+06,3.8237e-11,65.8,21.25
-4.232789e+04,-3.876799e+06,3.959e-11,65.8,21.25
-4.232789e+04,-3.871799e+06,3.9403e-11,65.8,21.25
-4.232789e+04,-3.866799e+06,3.8987e-11,65.8,21.25
-4.232789e+04,-3.861799e+06,4.1183e-11,65.8,21.25
-4.232789e+04,-3.856799e+06,4.2343e-11,65.8,21.25
-4.232789e+04,-3.851799e+06,4.124e-11,65.8,21.25
-4.232789e+04,-3.846799e+06,4.0467e-11,65.8,21.25
-4.232789e+04,-3.841799e+06,4.1157e-11,65.8,21.25
-4.232789e+04,-3.836799e+06,4.1627e-11,65.8,21.25
-4.232789e+04,-3.831799e+06,3.9697e-11,65.8,21.25
-4.232789e+04,-3.826799e+06,4.224e-11,65.8,21.25
-4.232789e+04,-3.821799e+06,3.9793e-11,65.8,21.25
-4.232789e+04,-3.816799e+06,4.0393e-11,65.8,21.25
-4.232789e+04,-3.811799e+06,3.812e-11,65.8,21.25
-4.232789e+04,-3.806799e+06,3.9693e-11,65.8,21.25
-4.232789e+04,-3.801799e+06,4.0213e-11,65.8,21.25
-4.232789e+04,-3.796799e+06,4.0117e-11,65.8,21.25
-4.232789e+04,-3.791799e+06,4.035e-11,65.8,21.25
-4.232789e+04,-3.786799e+06,3.9703e-11,65.8,21.25
-4.232789e+04,-3.781799e+06,4.1023e-11,65.8,21.25
-4.232789e+04,-3.776799e+06,4.104e-11,65.8,21.25
-3.732789e+04,-3.976799e+06,3.7837e-11,65.8,21.25
-3.732789e+04,-3.971799e+06,3.9983e-11,65.8,21.25
-3.732789e+04,-3.966799e+06,3.9917e-11,65.8,21.25
-3.732789e+04,-3.961799e+06,4.2213e-11,65.8,21.25
-3.732789e+04,-3.956799e+06,3.9823e-11,65.8,21.25
-3.732789e+04,-3.951799e+06,4.081e-11,65.8,21.25
-3.732789e+04,-3.946799e+06,4.0807e-11,65.8,21.25
-3.732789e+04,-3.941799e+06,4.029e-11,65.8,21.25
-3.732789e+04,-3.936799e+06,4.1623e-11,65.8,21.25
-3.732789e+04,-3.931799e+06,3.987e-11,65.8,21.25
-3.732789e+04,-3.926799e+06,4.034e-11,65.8,21.25
-3.732789e+04,-3.921799e+06,3.8947e-11,65.8,21.25
-3.732789e+04,-3.916799e+06,3.9373e-11,65.8,21.25
-3.732789e+04,-3.911799e+06,3.967e-11,65.8,21.25
-3.732789e+04,-3.906799e+06,3.7633e-11,65.8,21.25
-3.732789e+04,-3.901799e+06,4.1437e-11,65.8,21.25
-3.732789e+04,-3.896799e+06,3.9033e-11,65.8,21.25
-3.732789e+04,-3.891799e+06,3.9903e-11,65.8,21.25
-3.732789e+04,-3.886799e+06,4.1667e-11,65.8,21.25
-3.732789e+04,-3.881799e+06,3.9927e-11,65.8,21.25
-3.732789e+04,-3.876799e+06,3.9233e-11,65.8,21.25
-3.732789e+04,-3.871799e+06,4.0967e-11,65.8,21.25
-3.732789e+04,-3.866799e+06,4.0513e-11,65.8,21.25
-3.732789e+04,-3.861799e+06,3.813e-11,65.8,21.25
-3.732789e+04,-3.856799e+06,4.076e-11,65.8,21.25
-3.732789e+04,-3.851799e+06,4.323e-11,65.8,21.25
-3.732789e+04,-3.846799e+06,4.0043e-11,65.8,21.25
-3.732789e+04,-3.841799e+06,4.2633e-11,65.8,21.25
-3.732789e+04,-3.836799e+06,3.9323e-11,65.8,21.25
-3.732789e+04,-3.831799e+06,4.142e-11,65.8,21.25
-3.732789e+04,-3.826799e+06,4.075e-11,65.8,21.25
-3.732789e+04,-3.821799e+06,3.8977e-11,65.8,21.25
-3.732789e+04,-3.816799e+06,4.0983e-11,65.8,21.25
-3.732789e+04,-3.811799e+06,3.9847e-11,65.8,21.25
-3.732789e+04,-3.806799e+06,3.974e-11,65.8,21.25
-3.732789e+04,-3.801799e+06,3.995e-11,65.8,21.25
-3.732789e+04,-3.796799e+06,4.083e-11,65.8,21.25
-3.732789e+04,-3.791799e+06,4.1163e-11,65.8,21.25
-3.732789e+04,-3.786799e+06,4.1163e-11,65.8,21.25
-3.732789e+04,-3.781799e+06,4.005e-11,65.8,21.25
-3.732789e+04,-3.776799e+06,3.9603e-11,65.8,21.25
-3.232789e+04,-3.976799e+06,3.9257e-11,65.8,21.25
-3.232789e+04,-3.971799e+06,4.1263e-11,65.8,21.25
-3.232789e+04,-3.966799e+06,3.982e-11,65.8,21.25
-3.232789e+04,-3.961799e+06,4.1987e-11,65.8,21.25
-3.232789e+04,-3.956799e+06,4.18e-11,65.8,21.25
-3.232789e+04,-3.951799e+06,3.8087e-11,65.8,21.25
-3.232789e+04,-3.946799e+06,3.963e-11,65.8,21.25
-3.232789e+04,-3.941799e+06,4.0703e-11,65.8,21.25
-3.232789e+04,-3.936799e+06,4.0753e-11,65.8,21.25
-3.232789e+04,-3.931799e+06,4.137e-11,65.8,21.25
-3.232789e+04,-3.926799e+06,3.882e-11,65.8,21.25
-3.232789e+04,-3.921799e+06,4.0357e-11,65.8,21.25
-3.232789e+04,-3.916799e+06,4.1243e-11,65.8,21.25
-3.232789e+04,-3.911799e+06,4.0767e-11,65.8,21.25
-3.232789e+04,-3.906799e+06,4.0223e-11,65.8,21.25
-3.232789e+04,-3.901799e+06,4.096e-11,65.8,21.25
-3.232789e+04,-3.896799e+06,4.1577e-11,65.8,21.25
-3.232789e+04,-3.891799e+06,4.0263e-11,65.8,21.25
-3.232789e+04,-3.886799e+06,4.094e-11,65.8,21.25
-3.232789e+04,-3.881799e+06,3.7873e-11,65.8,21.25
-3.232789e+04,-3.876799e+06,3.8657e-11,65.8,21.25
-3.232789e+04,-3.871799e+06,4.0257e-11,65.8,21.25
-3.232789e+04,-3.866799e+06,3.9783e-11,65.8,21.25
-3.232789e+04,-3.861799e+06,3.84e-11,65.8,21.25
-3.232789e+04,-3.856799e+06,4.2357e-11,65.8,21.25
-3.232789e+04,-3.851799e+06,3.9513e-11,65.8,21.25
-3.232789e+04,-3.846799e+06,4.0417e-11,65.8,21.25
-3.232789e+04,-3.841799e+06,3.9557e-11,NaN,21.25
-3.232789e+04,-3.836799e+06,4.0543e-11,65.8,21.25
-3.232789e+04,-3.831799e+06,3.955e-11,65.8,21.25
-3.232789e+04,-3.826799e+06,4.168e-11,65.8,21.25
-3.232789e+04,-3.821799e+06,4.044e-11,65.8,21.25
-3.232789e+04,-3.816799e+06,3.865e-11,65.8,21.25
-3.232789e+04,-3.811799e+06,3.7613e-11,65.8,21.25
-3.232789e+04,-3.806799e+06,4.135e-11,65.8,21.25
-3.232789e+04,-3.801799e+06,3.76e-11,65.8,21.25
-3.232789e+04,-3.796799e+06,4.1993e-11,65.8,21.25
-3.232789e+04,-3.791799e+06,3.8437e-11,65.8,21.25
-3.232789e+04,-3.786799e+06,3.972e-11,65.8,21.25
-3.232789e+04,-3.781799e+06,3.888e-11,65.8,21.25
-3.232789e+04,-3.776799e+06,3.9637e-11,65.8,21.25
-2.732789e+04,-3.976799e+06,3.9033e-11,65.8,21.25
-2.732789e+04,-3.971799e+06,3.8077e-11,65.8,21.25
-2.732789e+04,-3.966799e+06,3.7757e-11,65.8,21.25
-2.732789e+04,-3.961799e+06,3.981e-11,65.8,21.25
-2.732789e+04,-3.956799e+06,3.9427e-11,65.8,21.25
-2.732789e+04,-3.951799e+06,4.0747e-11,65.8,21.25
-2.732789e+04,-3.946799e+06,4.0543e-11,65.8,21.25
-2.732789e+04,-3.941799e+06,4.0493e-11,65.8,21.25
-2.732789e+04,-3.936799e+06,4.097e-11,65.8,21.25
-2.732789e+04,-3.931799e+06,3.9137e-11,65.8,21.25
-2.732789e+04,-3.926799e+06,3.888e-11,65.8,21.25
