General parameters:
Start time: 2023              8             17             23             57       7.677668
Finish time: 2023              8             18              0             20      57.332886
Raster type: raster_jump
Horizontal range (nm): -3650875.037600,-3850875.037600
Vertical range (nm): 247608.157983,47608.157983
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.96e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -3776778.000000,147670.000000,-999997.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3650875.0376     -3850875.0376
hori_res:5000
vert_range:247608.158      47608.15798
vert_res:5000
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.671012
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
4.760816e+04,-3.850875e+06,4.15e-11,65.9,21.25
4.760816e+04,-3.845875e+06,3.9517e-11,65.8,21.25
4.760816e+04,-3.840875e+06,4.073e-11,65.9,21.25
4.760816e+04,-3.835875e+06,3.832e-11,65.9,21.25
4.760816e+04,-3.830875e+06,4.113e-11,65.9,21.25
4.760816e+04,-3.825875e+06,4.0123e-11,65.9,21.25
4.760816e+04,-3.820875e+06,4.0157e-11,65.9,21.25
4.760816e+04,-3.815875e+06,4.0463e-11,65.9,21.25
4.760816e+04,-3.810875e+06,3.945e-11,65.9,21.25
4.760816e+04,-3.805875e+06,4.0143e-11,65.9,21.25
4.760816e+04,-3.800875e+06,3.98e-11,65.9,21.25
4.760816e+04,-3.795875e+06,4.0253e-11,65.9,21.25
4.760816e+04,-3.790875e+06,3.7847e-11,65.9,21.25
4.760816e+04,-3.785875e+06,4.167e-11,65.9,21.25
4.760816e+04,-3.780875e+06,3.909e-11,65.9,21.25
4.760816e+04,-3.775875e+06,3.889e-11,65.9,21.25
4.760816e+04,-3.770875e+06,4.039e-11,65.9,21.25
4.760816e+04,-3.765875e+06,4.1057e-11,65.9,21.25
4.760816e+04,-3.760875e+06,4.163e-11,65.9,21.25
4.760816e+04,-3.755875e+06,3.915e-11,65.9,21.25
4.760816e+04,-3.750875e+06,3.954e-11,65.9,21.25
4.760816e+04,-3.745875e+06,4.1303e-11,65.9,21.25
4.760816e+04,-3.740875e+06,4.0523e-11,65.9,21.25
4.760816e+04,-3.735875e+06,4.1497e-11,65.9,21.25
4.760816e+04,-3.730875e+06,3.9747e-11,65.9,21.25
4.760816e+04,-3.725875e+06,4.2747e-11,65.9,21.25
4.760816e+04,-3.720875e+06,3.944e-11,65.9,21.25
4.760816e+04,-3.715875e+06,4.119e-11,65.9,21.25
4.760816e+04,-3.710875e+06,3.9887e-11,65.9,21.25
4.760816e+04,-3.705875e+06,4.0297e-11,65.9,21.25
4.760816e+04,-3.700875e+06,4.0237e-11,65.9,21.25
4.760816e+04,-3.695875e+06,3.8353e-11,65.9,21.25
4.760816e+04,-3.690875e+06,4.0543e-11,65.9,21.25
4.760816e+04,-3.685875e+06,4.1413e-11,65.9,21.25
4.760816e+04,-3.680875e+06,4.064e-11,65.9,21.25
4.760816e+04,-3.675875e+06,3.9653e-11,65.9,21.25
4.760816e+04,-3.670875e+06,4.1877e-11,65.9,21.25
