General parameters:
Start time: 2023              8             18              0             45      10.722156
Finish time: 2023              8             18              1              9       3.951163
Raster type: raster_jump
Horizontal range (nm): -3357000.000000,-3557000.000000
Vertical range (nm): 375000.000000,175000.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.95e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -3509507.000000,324160.000000,-999992.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3357000 -3557000
hori_res:5000
vert_range:375000  175000
vert_res:5000
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.671696
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
175000,-3557000,3.857e-11,65.8,21.25
175000,-3552000,4.1447e-11,65.8,21.25
175000,-3547000,4.2893e-11,65.8,21.25
175000,-3542000,4.2833e-11,65.8,21.25
175000,-3537000,4.303e-11,65.8,21.25
175000,-3532000,4.08e-11,65.8,21.25
175000,-3527000,4.0433e-11,65.8,21.25
175000,-3522000,4.0657e-11,65.8,21.25
175000,-3517000,4.2287e-11,65.8,21.25
175000,-3512000,4.2767e-11,65.8,21.25
175000,-3507000,3.9633e-11,65.8,21.25
175000,-3502000,4.1737e-11,65.8,21.25
175000,-3497000,4.1547e-11,65.8,21.25
175000,-3492000,4.2863e-11,65.8,21.25
175000,-3487000,4.043e-11,65.8,21.25
175000,-3482000,4.0613e-11,65.8,21.25
175000,-3477000,4.0837e-11,65.8,21.25
175000,-3472000,3.9517e-11,65.8,21.25
175000,-3467000,4.228e-11,65.8,21.25
175000,-3462000,4.197e-11,65.8,21.25
175000,-3457000,4.0693e-11,65.8,21.25
175000,-3452000,4.1433e-11,65.8,21.25
175000,-3447000,4.039e-11,65.8,21.25
175000,-3442000,4.069e-11,65.8,21.25
175000,-3437000,3.91e-11,65.8,21.25
175000,-3432000,4.342e-11,65.8,21.25
175000,-3427000,4.1217e-11,65.8,21.25
175000,-3422000,3.9623e-11,65.8,21.25
175000,-3417000,4.1513e-11,65.8,21.25
175000,-3412000,3.9863e-11,65.8,21.25
175000,-3407000,4.1257e-11,65.8,21.25
175000,-3402000,4.095e-11,65.8,21.25
175000,-3397000,4.0487e-11,65.8,21.25
175000,-3392000,4.3223e-11,65.8,21.25
175000,-3387000,4.1793e-11,65.8,21.25
175000,-3382000,4.105e-11,65.8,21.25
175000,-3377000,4.2687e-11,65.8,21.25
175000,-3372000,4.143e-11,65.8,21.25
175000,-3367000,4.232e-11,65.8,21.25
175000,-3362000,3.9967e-11,65.8,21.25
175000,-3357000,4.1943e-11,65.8,21.25
180000,-3557000,4.2357e-11,65.8,21.25
180000,-3552000,4.1587e-11,65.8,21.25
180000,-3547000,3.953e-11,65.8,21.25
180000,-3542000,4.179e-11,65.8,21.25
180000,-3537000,4.0603e-11,65.8,21.25
180000,-3532000,4.058e-11,65.8,21.25
180000,-3527000,4.196e-11,65.8,21.25
180000,-3522000,4.3877e-11,65.8,21.25
180000,-3517000,4.031e-11,65.8,21.25
180000,-3512000,4.1973e-11,65.8,21.25
180000,-3507000,4.241e-11,65.8,21.25
180000,-3502000,4.219e-11,65.8,21.25
180000,-3497000,4.0097e-11,65.8,21.25
180000,-3492000,3.9973e-11,65.8,21.25
180000,-3487000,4.3477e-11,65.8,21.25
180000,-3482000,4.11e-11,65.8,21.25
180000,-3477000,4.258e-11,65.8,21.25
180000,-3472000,4.0037e-11,65.8,21.25
180000,-3467000,4.1593e-11,65.8,21.25
180000,-3462000,4.25e-11,65.8,21.25
180000,-3457000,4.0187e-11,65.8,21.25
180000,-3452000,4.167e-11,65.8,21.25
180000,-3447000,4.207e-11,65.8,21.25
180000,-3442000,4.3e-11,65.8,21.25
180000,-3437000,4.0973e-11,65.8,21.25
180000,-3432000,3.9253e-11,65.8,21.25
180000,-3427000,4.2217e-11,65.8,21.25
180000,-3422000,3.9673e-11,65.8,21.25
180000,-3417000,4.1177e-11,65.8,21.25
180000,-3412000,4.3707e-11,65.8,21.25
180000,-3407000,4.0283e-11,65.8,21.25
180000,-3402000,4.1057e-11,65.8,21.25
180000,-3397000,4.123e-11,65.8,21.25
180000,-3392000,3.97e-11,65.8,21.25
180000,-3387000,4.2407e-11,65.8,21.25
180000,-3382000,4.048e-11,65.8,21.25
180000,-3377000,4.1153e-11,65.8,21.25
180000,-3372000,4.058e-11,65.8,21.25
180000,-3367000,4.1517e-11,65.8,21.25
180000,-3362000,4.0093e-11,65.8,21.25
180000,-3357000,3.974e-11,65.8,21.25
185000,-3557000,3.9233e-11,65.8,21.25
185000,-3552000,4.1773e-11,65.8,21.25
185000,-3547000,4.234e-11,65.8,21.25
185000,-3542000,4.052e-11,65.8,21.25
185000,-3537000,4.0277e-11,65.8,21.25
185000,-3532000,3.85e-11,65.8,21.25
185000,-3527000,4.2857e-11,65.8,21.25
185000,-3522000,4.1203e-11,65.8,21.25
185000,-3517000,4.083e-11,65.8,21.25
185000,-3512000,3.9743e-11,65.8,21.25
185000,-3507000,3.958e-11,65.8,21.25
185000,-3502000,4.0723e-11,65.8,21.25
185000,-3497000,4.0533e-11,65.8,21.25
185000,-3492000,4.1367e-11,65.8,21.25
185000,-3487000,4.0217e-11,65.8,21.25
185000,-3482000,4.161e-11,65.8,21.25
185000,-3477000,4.041e-11,65.8,21.25
185000,-3472000,4.1677e-11,65.8,21.25
185000,-3467000,4.2357e-11,65.8,21.25
185000,-3462000,4.0877e-11,65.8,21.25
185000,-3457000,4.193e-11,65.8,21.25
185000,-3452000,3.985e-11,65.8,21.25
185000,-3447000,4.1387e-11,65.8,21.25
185000,-3442000,4.0167e-11,65.8,21.25
185000,-3437000,4.0233e-11,65.8,21.25
185000,-3432000,4.1733e-11,65.8,21.25
185000,-3427000,4.3257e-11,65.8,21.25
185000,-3422000,3.9477e-11,65.8,21.25
185000,-3417000,3.961e-11,65.8,21.25
185000,-3412000,4.1033e-11,65.8,21.25
185000,-3407000,4.1787e-11,65.8,21.25
185000,-3402000,4.2073e-11,65.8,21.25
185000,-3397000,4.1417e-11,65.8,21.25
185000,-3392000,4.223e-11,65.8,21.25
185000,-3387000,4.0507e-11,65.8,21.25
185000,-3382000,4.2357e-11,65.8,21.25
185000,-3377000,4.2363e-11,65.8,21.25
185000,-3372000,4.1663e-11,65.8,21.25
185000,-3367000,4.283e-11,65.8,21.25
185000,-3362000,3.9287e-11,65.8,21.25
185000,-3357000,4.2863e-11,65.8,21.25
190000,-3557000,4.1963e-11,65.8,21.25
190000,-3552000,4.2207e-11,65.8,21.25
190000,-3547000,4.4353e-11,65.8,21.25
190000,-3542000,4.1043e-11,65.8,21.25
190000,-3537000,4.1423e-11,65.8,21.25
190000,-3532000,4.1127e-11,65.8,21.25
190000,-3527000,4.2597e-11,65.8,21.25
190000,-3522000,3.96e-11,65.8,21.25
190000,-3517000,4.3e-11,65.8,21.25
190000,-3512000,4.1683e-11,65.8,21.25
190000,-3507000,4.1173e-11,65.8,21.25
190000,-3502000,4.13e-11,65.8,21.25
190000,-3497000,4.0417e-11,65.8,21.25
190000,-3492000,4.032e-11,65.8,21.25
190000,-3487000,4.34e-11,65.8,21.25
190000,-3482000,4.14e-11,65.8,21.25
190000,-3477000,4.05e-11,65.8,21.25
190000,-3472000,3.976e-11,65.8,21.25
190000,-3467000,3.9873e-11,65.8,21.25
190000,-3462000,4.2377e-11,65.8,21.25
190000,-3457000,4.1267e-11,65.8,21.25
190000,-3452000,4.0153e-11,65.8,21.25
190000,-3447000,4.053e-11,65.8,21.25
190000,-3442000,4.1527e-11,65.8,21.25
190000,-3437000,4.2193e-11,65.8,21.25
