General parameters:
Start time: 2023              8             20             23             57      12.307837
Finish time: 2023              8             21              0             49       2.872874
Raster type: raster_jump
Horizontal range (nm): -3969055.875662,-4119055.875662
Vertical range (nm): -18921.743106,-168921.743106
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 8.02e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -4104052.000000,-168921.000000,-999991.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3969055.8757     -4119055.8757
hori_res:2500
vert_range:-18921.74311     -168921.7431
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.762326
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.689217e+05,-4.119056e+06,4.19e-11,66.2,21.25
-1.689217e+05,-4.116556e+06,4.325e-11,66.2,21.25
-1.689217e+05,-4.114056e+06,4.347e-11,66.2,21.25
-1.689217e+05,-4.111556e+06,4.0833e-11,66.2,21.25
-1.689217e+05,-4.109056e+06,4.3643e-11,66.2,21.25
-1.689217e+05,-4.106556e+06,4.1997e-11,66.2,21.25
-1.689217e+05,-4.104056e+06,4.1627e-11,66.2,21.25
-1.689217e+05,-4.101556e+06,4.1573e-11,66.2,21.25
-1.689217e+05,-4.099056e+06,4.2837e-11,66.2,21.25
-1.689217e+05,-4.096556e+06,4.2583e-11,66.2,21.25
-1.689217e+05,-4.094056e+06,4.1667e-11,66.2,21.25
-1.689217e+05,-4.091556e+06,4.1543e-11,66.2,21.25
-1.689217e+05,-4.089056e+06,4.4783e-11,66.2,21.25
-1.689217e+05,-4.086556e+06,4.4653e-11,66.2,21.25
-1.689217e+05,-4.084056e+06,4.3307e-11,66.2,21.25
-1.689217e+05,-4.081556e+06,4.4343e-11,66.2,21.25
-1.689217e+05,-4.079056e+06,4.2127e-11,66.2,21.25
-1.689217e+05,-4.076556e+06,4.1663e-11,66.2,21.25
-1.689217e+05,-4.074056e+06,4.222e-11,66.2,21.25
-1.689217e+05,-4.071556e+06,4.2373e-11,66.2,21.25
-1.689217e+05,-4.069056e+06,4.2007e-11,66.2,21.25
-1.689217e+05,-4.066556e+06,4.133e-11,66.2,21.25
-1.689217e+05,-4.064056e+06,4.282e-11,66.2,21.25
-1.689217e+05,-4.061556e+06,4.4143e-11,66.2,21.25
-1.689217e+05,-4.059056e+06,4.2277e-11,66.2,21.25
-1.689217e+05,-4.056556e+06,4.2243e-11,66.2,21.25
-1.689217e+05,-4.054056e+06,3.9157e-11,66.2,21.25
-1.689217e+05,-4.051556e+06,4.2663e-11,66.2,21.25
-1.689217e+05,-4.049056e+06,4.3657e-11,66.2,21.25
-1.689217e+05,-4.046556e+06,4.4327e-11,66.2,21.25
-1.689217e+05,-4.044056e+06,4.164e-11,66.2,21.25
-1.689217e+05,-4.041556e+06,4.193e-11,66.2,21.25
-1.689217e+05,-4.039056e+06,4.18e-11,66.2,21.25
-1.689217e+05,-4.036556e+06,4.145e-11,66.2,21.25
-1.689217e+05,-4.034056e+06,4.232e-11,66.2,21.25
-1.689217e+05,-4.031556e+06,4.2123e-11,66.2,21.25
