General parameters:
Start time: 2023              8             21              3             24      39.547803
Finish time: 2023              8             21              4             16      21.731288
Raster type: raster_jump
Horizontal range (nm): -3459261.149018,-3609261.149018
Vertical range (nm): 333371.243117,183371.243117
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.99e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -3608007.000000,280280.000000,-1000005.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3459261.149      -3609261.149
hori_res:2500
vert_range:333371.2431      183371.2431
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.770192
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.833712e+05,-3.609261e+06,4.2367e-11,65.9,21.25
1.833712e+05,-3.606761e+06,4.0767e-11,65.9,21.25
1.833712e+05,-3.604261e+06,4.179e-11,65.9,21.25
1.833712e+05,-3.601761e+06,4.18e-11,65.9,21.25
1.833712e+05,-3.599261e+06,4.1683e-11,65.9,21.25
1.833712e+05,-3.596761e+06,4.121e-11,65.9,21.25
1.833712e+05,-3.594261e+06,4.264e-11,65.9,21.25
1.833712e+05,-3.591761e+06,4.2977e-11,65.9,21.25
1.833712e+05,-3.589261e+06,3.9197e-11,65.9,21.25
1.833712e+05,-3.586761e+06,4.0373e-11,65.9,21.25
1.833712e+05,-3.584261e+06,4.1113e-11,65.9,21.25
1.833712e+05,-3.581761e+06,4.1173e-11,65.9,21.25
1.833712e+05,-3.579261e+06,4.225e-11,65.9,21.25
1.833712e+05,-3.576761e+06,4.272e-11,65.9,21.25
1.833712e+05,-3.574261e+06,4.312e-11,65.9,21.25
1.833712e+05,-3.571761e+06,4.262e-11,65.9,21.25
1.833712e+05,-3.569261e+06,4.3007e-11,65.9,21.25
1.833712e+05,-3.566761e+06,4.126e-11,65.9,21.25
1.833712e+05,-3.564261e+06,4.23e-11,65.9,21.25
1.833712e+05,-3.561761e+06,4.1773e-11,65.9,21.25
1.833712e+05,-3.559261e+06,4.3993e-11,65.9,21.25
1.833712e+05,-3.556761e+06,4.1983e-11,NaN,21.25
1.833712e+05,-3.554261e+06,3.8577e-11,65.9,21.25
1.833712e+05,-3.551761e+06,4.0047e-11,65.9,21.25
1.833712e+05,-3.549261e+06,4.3603e-11,65.9,21.25
1.833712e+05,-3.546761e+06,4.455e-11,65.9,21.25
1.833712e+05,-3.544261e+06,4.202e-11,65.9,21.25
1.833712e+05,-3.541761e+06,4.0573e-11,65.9,21.25
1.833712e+05,-3.539261e+06,4.3733e-11,65.9,21.25
1.833712e+05,-3.536761e+06,4.2657e-11,65.9,21.25
1.833712e+05,-3.534261e+06,4.2887e-11,65.9,21.25
1.833712e+05,-3.531761e+06,4.137e-11,65.9,21.25
1.833712e+05,-3.529261e+06,4.2697e-11,65.9,21.25
1.833712e+05,-3.526761e+06,4.39e-11,65.9,21.25
1.833712e+05,-3.524261e+06,4.263e-11,65.9,21.25
1.833712e+05,-3.521761e+06,3.8993e-11,65.9,21.25
1.833712e+05,-3.519261e+06,4.0193e-11,65.9,21.25
1.833712e+05,-3.516761e+06,4.2747e-11,65.9,21.25
1.833712e+05,-3.514261e+06,4.2283e-11,65.9,21.25
1.833712e+05,-3.511761e+06,4.2487e-11,65.9,21.25
1.833712e+05,-3.509261e+06,4.228e-11,65.9,21.25
1.833712e+05,-3.506761e+06,4.1093e-11,65.9,21.25
1.833712e+05,-3.504261e+06,4.108e-11,65.9,21.25
1.833712e+05,-3.501761e+06,4.1113e-11,65.9,21.25
1.833712e+05,-3.499261e+06,4.0687e-11,65.9,21.25
1.833712e+05,-3.496761e+06,4.1467e-11,65.9,21.25
1.833712e+05,-3.494261e+06,4.3617e-11,65.9,21.25
1.833712e+05,-3.491761e+06,3.9533e-11,65.9,21.25
1.833712e+05,-3.489261e+06,4.188e-11,65.9,21.25
1.833712e+05,-3.486761e+06,4.2597e-11,65.9,21.25
1.833712e+05,-3.484261e+06,4.2207e-11,65.9,21.25
1.833712e+05,-3.481761e+06,4.3427e-11,65.9,21.25
1.833712e+05,-3.479261e+06,4.2507e-11,65.9,21.25
1.833712e+05,-3.476761e+06,4.217e-11,65.9,21.25
1.833712e+05,-3.474261e+06,4.2997e-11,65.9,21.25
