General parameters:
Start time: 2023              8             21              4             16      33.305583
Finish time: 2023              8             21              5              8      11.104677
Raster type: raster_jump
Horizontal range (nm): -3303583.561322,-3453583.561322
Vertical range (nm): 359831.726615,209831.726615
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.98e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -3459290.000000,333370.000000,-999994.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3303583.5613     -3453583.5613
hori_res:2500
vert_range:359831.7266      209831.7266
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.771560
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.098317e+05,-3.453584e+06,3.8707e-11,65.9,21.25
2.098317e+05,-3.451084e+06,4.1027e-11,65.9,21.25
2.098317e+05,-3.448584e+06,3.929e-11,65.9,21.25
2.098317e+05,-3.446084e+06,4.2403e-11,65.9,21.25
2.098317e+05,-3.443584e+06,4.2823e-11,65.9,21.25
2.098317e+05,-3.441084e+06,4.025e-11,65.9,21.25
2.098317e+05,-3.438584e+06,4.393e-11,65.9,21.25
2.098317e+05,-3.436084e+06,3.9613e-11,65.9,21.25
2.098317e+05,-3.433584e+06,4.111e-11,65.9,21.25
2.098317e+05,-3.431084e+06,4.1547e-11,65.9,21.25
2.098317e+05,-3.428584e+06,4.2227e-11,65.9,21.25
2.098317e+05,-3.426084e+06,4.0433e-11,65.9,21.25
2.098317e+05,-3.423584e+06,4.213e-11,65.9,21.25
2.098317e+05,-3.421084e+06,4.2723e-11,65.9,21.25
2.098317e+05,-3.418584e+06,4.3627e-11,65.9,21.25
2.098317e+05,-3.416084e+06,4.245e-11,65.9,21.25
2.098317e+05,-3.413584e+06,4.0877e-11,65.9,21.25
2.098317e+05,-3.411084e+06,4.158e-11,65.9,21.25
2.098317e+05,-3.408584e+06,4.1897e-11,65.9,21.25
2.098317e+05,-3.406084e+06,4.3393e-11,65.9,21.25
2.098317e+05,-3.403584e+06,4.316e-11,65.9,21.25
2.098317e+05,-3.401084e+06,4.3127e-11,65.9,21.25
2.098317e+05,-3.398584e+06,4.227e-11,65.9,21.25
2.098317e+05,-3.396084e+06,4.2617e-11,65.9,21.25
2.098317e+05,-3.393584e+06,4.1283e-11,65.9,21.25
2.098317e+05,-3.391084e+06,4.3603e-11,65.9,21.25
2.098317e+05,-3.388584e+06,4.2887e-11,65.9,21.25
2.098317e+05,-3.386084e+06,4.252e-11,65.9,21.25
2.098317e+05,-3.383584e+06,4.2133e-11,65.9,21.25
2.098317e+05,-3.381084e+06,4.2933e-11,65.9,21.25
2.098317e+05,-3.378584e+06,4.2273e-11,65.9,21.25
2.098317e+05,-3.376084e+06,4.2507e-11,65.9,21.25
2.098317e+05,-3.373584e+06,3.946e-11,65.9,21.25
2.098317e+05,-3.371084e+06,4.4027e-11,65.9,21.25
2.098317e+05,-3.368584e+06,4.255e-11,65.9,21.25
2.098317e+05,-3.366084e+06,4.1247e-11,65.9,21.25
2.098317e+05,-3.363584e+06,4.241e-11,65.9,21.25
2.098317e+05,-3.361084e+06,4.2607e-11,65.9,21.25
2.098317e+05,-3.358584e+06,4.1787e-11,65.9,21.25
2.098317e+05,-3.356084e+06,4.4863e-11,65.9,21.25
2.098317e+05,-3.353584e+06,4.3057e-11,65.9,21.25
2.098317e+05,-3.351084e+06,4.156e-11,65.9,21.25
2.098317e+05,-3.348584e+06,4.065e-11,65.9,21.25
2.098317e+05,-3.346084e+06,4.2363e-11,65.9,21.25
2.098317e+05,-3.343584e+06,4.264e-11,65.9,21.25
2.098317e+05,-3.341084e+06,4.284e-11,65.9,21.25
2.098317e+05,-3.338584e+06,4.0847e-11,65.9,21.25
2.098317e+05,-3.336084e+06,4.193e-11,65.9,21.25
2.098317e+05,-3.333584e+06,4.0447e-11,65.9,21.25
2.098317e+05,-3.331084e+06,4.2467e-11,65.9,21.25
2.098317e+05,-3.328584e+06,4.3087e-11,65.9,21.25
2.098317e+05,-3.326084e+06,4.2623e-11,65.9,21.25
2.098317e+05,-3.323584e+06,4.0537e-11,65.9,21.25
2.098317e+05,-3.321084e+06,4.122e-11,65.9,21.25
2.098317e+05,-3.318584e+06,4.185e-11,65.9,21.25
2.098317e+05,-3.316084e+06,3.9927e-11,65.9,21.25
2.098317e+05,-3.313584e+06,4.2663e-11,65.9,21.25
2.098317e+05,-3.311084e+06,4.153e-11,65.9,21.25
2.098317e+05,-3.308584e+06,4.099e-11,65.9,21.25
2.098317e+05,-3.306084e+06,4.391e-11,65.9,21.25
2.098317e+05,-3.303584e+06,4.1653e-11,65.9,21.25
2.123317e+05,-3.453584e+06,4.3027e-11,65.9,21.25
2.123317e+05,-3.451084e+06,4.1317e-11,65.9,21.25
2.123317e+05,-3.448584e+06,4.1827e-11,65.9,21.25
2.123317e+05,-3.446084e+06,4.091e-11,65.9,21.25
2.123317e+05,-3.443584e+06,4.2843e-11,65.9,21.25
2.123317e+05,-3.441084e+06,4.2717e-11,65.9,21.25
2.123317e+05,-3.438584e+06,4.428e-11,65.9,21.25
2.123317e+05,-3.436084e+06,4.1913e-11,65.9,21.25
2.123317e+05,-3.433584e+06,4.324e-11,65.9,21.25
2.123317e+05,-3.431084e+06,4.3103e-11,65.9,21.25
2.123317e+05,-3.428584e+06,4.129e-11,65.9,21.25
2.123317e+05,-3.426084e+06,4.418e-11,65.9,21.25
2.123317e+05,-3.423584e+06,4.0843e-11,65.9,21.25
2.123317e+05,-3.421084e+06,4.1333e-11,65.9,21.25
2.123317e+05,-3.418584e+06,4.1967e-11,65.9,21.25
2.123317e+05,-3.416084e+06,4.1637e-11,65.9,21.25
2.123317e+05,-3.413584e+06,4.0847e-11,65.9,21.25
2.123317e+05,-3.411084e+06,4.1137e-11,65.9,21.25
2.123317e+05,-3.408584e+06,4.1513e-11,65.9,21.25
2.123317e+05,-3.406084e+06,4.3077e-11,65.9,21.25
2.123317e+05,-3.403584e+06,4.299e-11,65.9,21.25
2.123317e+05,-3.401084e+06,4.1737e-11,65.9,21.25
2.123317e+05,-3.398584e+06,4.3273e-11,65.9,21.25
2.123317e+05,-3.396084e+06,4.2123e-11,65.9,21.25
2.123317e+05,-3.393584e+06,4.2907e-11,65.9,21.25
2.123317e+05,-3.391084e+06,4.4387e-11,65.9,21.25
2.123317e+05,-3.388584e+06,3.918e-11,65.9,21.25
2.123317e+05,-3.386084e+06,4.088e-11,65.9,21.25
2.123317e+05,-3.383584e+06,4.4373e-11,65.9,21.25
2.123317e+05,-3.381084e+06,4.1917e-11,65.9,21.25
2.123317e+05,-3.378584e+06,4.0787e-11,65.9,21.25
2.123317e+05,-3.376084e+06,4.1577e-11,65.9,21.25
2.123317e+05,-3.373584e+06,3.9903e-11,65.9,21.25
2.123317e+05,-3.371084e+06,4.0973e-11,65.9,21.25
2.123317e+05,-3.368584e+06,4.2817e-11,65.9,21.25
2.123317e+05,-3.366084e+06,4.2783e-11,65.9,21.25
