General parameters:
Start time: 2023              8             21              5              8      22.738321
Finish time: 2023              8             21              6              0       1.151334
Raster type: raster_jump
Horizontal range (nm): -3145676.251250,-3295676.251250
Vertical range (nm): 358857.086505,208857.086505
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 8.00e-07
Sample chamber pressure: 3.66e-08
Initial position (nm): -3303570.000000,359830.000000,-1000017.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3145676.2512     -3295676.2512
hori_res:2500
vert_range:358857.0865      208857.0865
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.776006
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.088571e+05,-3.295676e+06,4.2013e-11,66.0,21.25
2.088571e+05,-3.293176e+06,4.3393e-11,66.0,21.25
2.088571e+05,-3.290676e+06,4.2103e-11,66.0,21.25
2.088571e+05,-3.288176e+06,4.398e-11,66.0,21.25
2.088571e+05,-3.285676e+06,4.2587e-11,66.0,21.25
2.088571e+05,-3.283176e+06,4.111e-11,66.0,21.25
2.088571e+05,-3.280676e+06,4.142e-11,66.0,21.25
2.088571e+05,-3.278176e+06,4.3673e-11,66.0,21.25
2.088571e+05,-3.275676e+06,4.0773e-11,66.0,21.25
2.088571e+05,-3.273176e+06,4.0773e-11,66.0,21.25
2.088571e+05,-3.270676e+06,4.1913e-11,66.0,21.25
2.088571e+05,-3.268176e+06,4.382e-11,66.0,21.25
2.088571e+05,-3.265676e+06,4.178e-11,66.0,21.25
2.088571e+05,-3.263176e+06,4.3703e-11,66.0,21.25
2.088571e+05,-3.260676e+06,4.326e-11,66.0,21.25
2.088571e+05,-3.258176e+06,4.3193e-11,66.0,21.25
2.088571e+05,-3.255676e+06,4.2267e-11,66.0,21.25
2.088571e+05,-3.253176e+06,4.2077e-11,66.0,21.25
2.088571e+05,-3.250676e+06,4.277e-11,66.0,21.25
2.088571e+05,-3.248176e+06,4.3573e-11,66.0,21.25
2.088571e+05,-3.245676e+06,4.2513e-11,66.0,21.25
2.088571e+05,-3.243176e+06,4.12e-11,66.0,21.25
2.088571e+05,-3.240676e+06,4.0157e-11,66.0,21.25
2.088571e+05,-3.238176e+06,4.255e-11,66.0,21.25
2.088571e+05,-3.235676e+06,4.101e-11,66.0,21.25
2.088571e+05,-3.233176e+06,4.363e-11,66.0,21.25
2.088571e+05,-3.230676e+06,4.169e-11,66.0,21.25
2.088571e+05,-3.228176e+06,4.1693e-11,66.0,21.25
2.088571e+05,-3.225676e+06,4.328e-11,66.0,21.25
2.088571e+05,-3.223176e+06,4.3663e-11,66.0,21.25
2.088571e+05,-3.220676e+06,4.03e-11,66.0,21.25
2.088571e+05,-3.218176e+06,4.1723e-11,66.0,21.25
2.088571e+05,-3.215676e+06,4.1597e-11,66.0,21.25
2.088571e+05,-3.213176e+06,4.2037e-11,66.0,21.25
2.088571e+05,-3.210676e+06,4.2583e-11,66.0,21.25
2.088571e+05,-3.208176e+06,4.377e-11,66.0,21.25
2.088571e+05,-3.205676e+06,4.1457e-11,66.0,21.25
2.088571e+05,-3.203176e+06,4.2483e-11,66.0,21.25
2.088571e+05,-3.200676e+06,4.171e-11,66.0,21.25
2.088571e+05,-3.198176e+06,4.2877e-11,66.0,21.25
2.088571e+05,-3.195676e+06,4.2353e-11,66.0,21.25
2.088571e+05,-3.193176e+06,3.9623e-11,66.0,21.25
2.088571e+05,-3.190676e+06,4.2697e-11,66.0,21.25
2.088571e+05,-3.188176e+06,4.0433e-11,66.0,21.25
