General parameters:
Start time: 2023              8             21              6             52       8.782934
Finish time: 2023              8             21              7             43      46.568653
Raster type: raster_jump
Horizontal range (nm): -2842286.165018,-2992286.165018
Vertical range (nm): 275553.593793,125553.593793
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.99e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -2990338.000000,330477.000000,-1000010.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2842286.165      -2992286.165
hori_res:2500
vert_range:275553.5938      125553.5938
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.783188
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.255536e+05,-2.992286e+06,4.2003e-11,66.0,21.25
1.255536e+05,-2.989786e+06,4.1457e-11,66.0,21.25
1.255536e+05,-2.987286e+06,4.3953e-11,65.9,21.25
1.255536e+05,-2.984786e+06,4.251e-11,65.9,21.25
1.255536e+05,-2.982286e+06,4.206e-11,65.9,21.25
1.255536e+05,-2.979786e+06,4.1207e-11,65.9,21.25
1.255536e+05,-2.977286e+06,4.1193e-11,65.9,21.25
1.255536e+05,-2.974786e+06,4.2813e-11,65.9,21.25
1.255536e+05,-2.972286e+06,4.1287e-11,65.9,21.25
1.255536e+05,-2.969786e+06,4.2937e-11,65.9,21.25
1.255536e+05,-2.967286e+06,4.423e-11,65.9,21.25
1.255536e+05,-2.964786e+06,4.0017e-11,65.9,21.25
1.255536e+05,-2.962286e+06,4.3577e-11,65.9,21.25
1.255536e+05,-2.959786e+06,4.0747e-11,65.9,21.25
1.255536e+05,-2.957286e+06,4.1677e-11,65.9,21.25
1.255536e+05,-2.954786e+06,4.315e-11,65.9,21.25
1.255536e+05,-2.952286e+06,4.1863e-11,65.9,21.25
1.255536e+05,-2.949786e+06,4.01e-11,65.9,21.25
1.255536e+05,-2.947286e+06,4.1557e-11,65.9,21.25
1.255536e+05,-2.944786e+06,4.4693e-11,65.9,21.25
1.255536e+05,-2.942286e+06,4.2007e-11,65.9,21.25
