General parameters:
Start time: 2023              8             21             17             51      23.689426
Finish time: 2023              8             21             19             38      21.869848
Raster type: raster_jump
Horizontal range (nm): -3391981.000000,-3531981.000000
Vertical range (nm): 338000.000000,218000.000000
Horizontal pixel size (nm): 2000.000000
Vertical pixel size (nm): 2000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.99e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -1705927.000000,141420.000000,-1000004.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3391981 -3531981
hori_res:2000
vert_range:338000  218000
vert_res:2000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.736334
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
218000,-3531981,4.7463e-11,66.0,21.25
218000,-3529981,4.7863e-11,66.0,21.25
218000,-3527981,4.7491e-11,66.0,21.25
218000,-3525981,4.789e-11,66.0,21.25
218000,-3523981,4.8119e-11,66.0,21.25
218000,-3521981,4.7788e-11,66.0,21.25
218000,-3519981,4.757e-11,66.0,21.25
218000,-3517981,4.7546e-11,66.0,21.25
218000,-3515981,4.8461e-11,66.0,21.25
218000,-3513981,4.6842e-11,66.0,21.25
218000,-3511981,4.6624e-11,66.0,21.25
218000,-3509981,4.756e-11,66.0,21.25
218000,-3507981,4.773e-11,66.0,21.25
218000,-3505981,4.8081e-11,66.0,21.25
218000,-3503981,4.7906e-11,66.0,21.25
218000,-3501981,4.6694e-11,66.0,21.25
218000,-3499981,4.8222e-11,66.0,21.25
218000,-3497981,4.8136e-11,66.0,21.25
218000,-3495981,4.8157e-11,66.0,21.25
218000,-3493981,4.7324e-11,66.0,21.25
218000,-3491981,4.7188e-11,66.0,21.25
218000,-3489981,4.8219e-11,66.0,21.25
218000,-3487981,4.7357e-11,66.0,21.25
218000,-3485981,4.7882e-11,66.0,21.25
218000,-3483981,4.8212e-11,66.0,21.25
218000,-3481981,4.7184e-11,66.0,21.25
218000,-3479981,4.6451e-11,66.0,21.25
218000,-3477981,4.6872e-11,66.0,21.25
