General parameters:
Start time: 2023              8             22             16             22      11.276563
Finish time: 2023              8             22             18              9       5.550421
Raster type: raster_jump
Horizontal range (nm): -3391977.000000,-3531977.000000
Vertical range (nm): 338000.000000,218000.000000
Horizontal pixel size (nm): 2000.000000
Vertical pixel size (nm): 2000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.98e-07
Sample chamber pressure: 3.88e-08
Initial position (nm): -1701684.000000,80610.000000,-1000010.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3391977 -3531977
hori_res:2000
vert_range:338000  218000
vert_res:2000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.727100
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
218000,-3531977,4.7363e-11,65.8,21.25
218000,-3529977,4.7896e-11,65.8,21.25
218000,-3527977,4.6942e-11,65.8,21.25
218000,-3525977,4.9321e-11,65.8,21.25
218000,-3523977,4.9128e-11,65.8,21.25
218000,-3521977,4.8234e-11,65.8,21.25
218000,-3519977,4.8904e-11,65.8,21.25
218000,-3517977,4.8318e-11,65.8,21.25
218000,-3515977,4.8196e-11,65.8,21.25
218000,-3513977,4.7769e-11,65.8,21.25
218000,-3511977,4.9355e-11,65.8,21.25
218000,-3509977,4.8325e-11,65.8,21.25
218000,-3507977,4.8648e-11,65.8,21.25
218000,-3505977,4.7239e-11,65.8,21.25
218000,-3503977,4.7201e-11,65.8,21.25
218000,-3501977,4.7766e-11,65.8,21.25
218000,-3499977,4.9345e-11,65.8,21.25
218000,-3497977,4.7715e-11,65.8,21.25
218000,-3495977,4.9381e-11,65.8,21.25
218000,-3493977,4.8204e-11,65.8,21.25
218000,-3491977,4.7428e-11,65.8,21.25
218000,-3489977,4.983e-11,65.8,21.25
218000,-3487977,4.85e-11,65.8,21.25
218000,-3485977,4.8155e-11,65.8,21.25
218000,-3483977,4.9334e-11,65.8,21.25
218000,-3481977,4.8669e-11,65.8,21.25
218000,-3479977,4.9596e-11,65.8,21.25
218000,-3477977,4.8888e-11,65.8,21.25
218000,-3475977,4.8921e-11,65.8,21.25
218000,-3473977,4.6949e-11,65.8,21.25
218000,-3471977,5.0078e-11,65.8,21.25
218000,-3469977,4.9479e-11,65.8,21.25
218000,-3467977,5.0051e-11,65.8,21.25
218000,-3465977,4.92e-11,65.8,21.25
218000,-3463977,4.8455e-11,65.8,21.25
218000,-3461977,4.7934e-11,65.8,21.25
218000,-3459977,4.8687e-11,65.8,21.25
218000,-3457977,4.9499e-11,65.8,21.25
218000,-3455977,4.8728e-11,65.8,21.25
218000,-3453977,4.8915e-11,65.8,21.25
218000,-3451977,4.8061e-11,65.8,21.25
218000,-3449977,4.8851e-11,65.8,21.25
218000,-3447977,5.0582e-11,65.8,21.25
218000,-3445977,4.9799e-11,65.8,21.25
218000,-3443977,4.9767e-11,65.8,21.25
218000,-3441977,4.9197e-11,65.8,21.25
218000,-3439977,4.8864e-11,65.8,21.25
218000,-3437977,4.7837e-11,65.8,21.25
218000,-3435977,4.8379e-11,65.8,21.25
218000,-3433977,4.8352e-11,65.8,21.25
218000,-3431977,4.8427e-11,65.8,21.25
218000,-3429977,4.7224e-11,65.8,21.25
218000,-3427977,4.8599e-11,65.8,21.25
218000,-3425977,4.8954e-11,65.8,21.25
218000,-3423977,4.7351e-11,65.8,21.25
218000,-3421977,4.7861e-11,65.8,21.25
218000,-3419977,4.9191e-11,65.8,21.25
218000,-3417977,4.867e-11,65.8,21.25
218000,-3415977,4.8454e-11,65.8,21.25
218000,-3413977,4.714e-11,65.8,21.25
218000,-3411977,4.8893e-11,65.8,21.25
218000,-3409977,4.6336e-11,65.8,21.25
218000,-3407977,4.7754e-11,65.8,21.25
218000,-3405977,4.9794e-11,65.8,21.25
218000,-3403977,4.8294e-11,65.8,21.25
218000,-3401977,4.9567e-11,65.8,21.25
218000,-3399977,4.8688e-11,65.8,21.25
218000,-3397977,4.8328e-11,65.8,21.25
218000,-3395977,4.8828e-11,65.8,21.25
218000,-3393977,5.3385e-11,65.8,21.25
218000,-3391977,5.0124e-11,65.8,21.25
220000,-3531977,4.8328e-11,65.8,21.25
220000,-3529977,4.8142e-11,65.8,21.25
220000,-3527977,4.7787e-11,65.8,21.25
220000,-3525977,4.9543e-11,65.8,21.25
220000,-3523977,4.9175e-11,65.8,21.25
220000,-3521977,4.7378e-11,65.8,21.25
220000,-3519977,4.8104e-11,65.8,21.25
220000,-3517977,4.9907e-11,65.8,21.25
220000,-3515977,4.7937e-11,65.8,21.25
220000,-3513977,4.9296e-11,65.8,21.25
220000,-3511977,4.9801e-11,65.8,21.25
220000,-3509977,4.8288e-11,65.8,21.25
220000,-3507977,4.9364e-11,65.8,21.25
220000,-3505977,4.7007e-11,65.8,21.25
220000,-3503977,4.8585e-11,65.8,21.25
220000,-3501977,4.6628e-11,65.8,21.25
220000,-3499977,4.796e-11,65.8,21.25
220000,-3497977,4.8046e-11,65.8,21.25
220000,-3495977,4.9116e-11,65.8,21.25
220000,-3493977,4.8142e-11,65.8,21.25
220000,-3491977,4.98e-11,65.8,21.25
220000,-3489977,4.79e-11,65.8,21.25
220000,-3487977,4.8755e-11,65.8,21.25
220000,-3485977,4.7652e-11,65.8,21.25
220000,-3483977,4.7346e-11,65.8,21.25
220000,-3481977,4.8158e-11,65.8,21.25
220000,-3479977,4.761e-11,65.8,21.25
220000,-3477977,4.8494e-11,65.8,21.25
220000,-3475977,5.0158e-11,65.8,21.25
220000,-3473977,4.9304e-11,65.8,21.25
220000,-3471977,4.7757e-11,65.8,21.25
220000,-3469977,4.7482e-11,65.8,21.25
220000,-3467977,4.8873e-11,65.8,21.25
220000,-3465977,4.666e-11,65.8,21.25
220000,-3463977,4.9345e-11,65.8,21.25
220000,-3461977,4.7566e-11,65.8,21.25
220000,-3459977,4.8503e-11,65.8,21.25
220000,-3457977,4.8588e-11,65.8,21.25
220000,-3455977,4.7503e-11,65.8,21.25
220000,-3453977,4.8058e-11,65.8,21.25
220000,-3451977,4.7713e-11,65.8,21.25
220000,-3449977,4.8409e-11,65.8,21.25
220000,-3447977,4.8869e-11,65.8,21.25
220000,-3445977,4.8957e-11,65.8,21.25
220000,-3443977,5.0233e-11,65.8,21.25
220000,-3441977,4.8479e-11,65.8,21.25
220000,-3439977,4.9452e-11,65.8,21.25
220000,-3437977,4.8287e-11,65.8,21.25
220000,-3435977,4.9367e-11,65.8,21.25
220000,-3433977,4.8922e-11,65.8,21.25
220000,-3431977,4.7303e-11,65.8,21.25
220000,-3429977,4.8513e-11,65.8,21.25
220000,-3427977,5.0013e-11,65.8,21.25
220000,-3425977,4.7321e-11,65.8,21.25
220000,-3423977,4.6907e-11,65.8,21.25
220000,-3421977,4.9155e-11,65.8,21.25
220000,-3419977,4.8093e-11,65.8,21.25
220000,-3417977,4.8336e-11,65.8,21.25
220000,-3415977,4.951e-11,65.8,21.25
220000,-3413977,5.0321e-11,65.8,21.25
220000,-3411977,4.8155e-11,65.8,21.25
220000,-3409977,4.6619e-11,65.8,21.25
220000,-3407977,4.9293e-11,65.8,21.25
220000,-3405977,4.8727e-11,65.8,21.25
220000,-3403977,4.7916e-11,65.8,21.25
220000,-3401977,4.7478e-11,65.8,21.25
220000,-3399977,4.8709e-11,65.8,21.25
220000,-3397977,4.9342e-11,65.8,21.25
220000,-3395977,5.2543e-11,65.8,21.25
220000,-3393977,5.444e-11,65.8,21.25
220000,-3391977,5.3419e-11,65.8,21.25
222000,-3531977,4.5893e-11,65.8,21.25
222000,-3529977,4.8542e-11,65.8,21.25
222000,-3527977,4.8182e-11,65.8,21.25
222000,-3525977,4.9481e-11,65.8,21.25
222000,-3523977,4.7788e-11,65.8,21.25
222000,-3521977,4.7307e-11,65.8,21.25
222000,-3519977,4.7906e-11,65.8,21.25
222000,-3517977,4.9969e-11,65.8,21.25
222000,-3515977,4.9645e-11,65.8,21.25
222000,-3513977,4.9175e-11,65.8,21.25
222000,-3511977,4.8625e-11,65.8,21.25
222000,-3509977,4.7815e-11,65.8,21.25
222000,-3507977,4.7876e-11,65.8,21.25
222000,-3505977,4.7181e-11,65.8,21.25
222000,-3503977,4.7006e-11,65.8,21.25
222000,-3501977,4.9422e-11,65.8,21.25
222000,-3499977,4.7573e-11,65.8,21.25
222000,-3497977,4.9113e-11,65.8,21.25
222000,-3495977,4.7122e-11,65.8,21.25
222000,-3493977,4.7816e-11,65.8,21.25
222000,-3491977,5.039e-11,65.8,21.25
222000,-3489977,4.8679e-11,65.8,21.25
222000,-3487977,4.6501e-11,65.8,21.25
222000,-3485977,4.8191e-11,65.8,21.25
222000,-3483977,4.5937e-11,65.8,21.25
222000,-3481977,4.8561e-11,65.8,21.25
222000,-3479977,4.8816e-11,65.8,21.25
222000,-3477977,4.7525e-11,65.8,21.25
222000,-3475977,4.6285e-11,65.8,21.25
222000,-3473977,4.6469e-11,65.8,21.25
222000,-3471977,4.9254e-11,65.8,21.25
222000,-3469977,4.8882e-11,65.8,21.25
222000,-3467977,4.7119e-11,65.8,21.25
222000,-3465977,4.76e-11,65.8,21.25
222000,-3463977,4.6079e-11,65.8,21.25
222000,-3461977,4.9378e-11,65.8,21.25
222000,-3459977,4.7507e-11,65.8,21.25
222000,-3457977,4.6791e-11,65.8,21.25
222000,-3455977,4.8281e-11,65.8,21.25
222000,-3453977,4.7467e-11,65.8,21.25
222000,-3451977,4.8775e-11,65.8,21.25
222000,-3449977,5.0037e-11,65.8,21.25
222000,-3447977,5.0172e-11,65.8,21.25
222000,-3445977,5.0724e-11,65.8,21.25
222000,-3443977,4.9957e-11,65.8,21.25
222000,-3441977,4.8967e-11,65.8,21.25
222000,-3439977,5.0919e-11,65.8,21.25
222000,-3437977,4.7718e-11,65.8,21.25
222000,-3435977,4.721e-11,65.8,21.25
222000,-3433977,4.8194e-11,65.8,21.25
222000,-3431977,4.7846e-11,65.8,21.25
222000,-3429977,4.9112e-11,65.8,21.25
222000,-3427977,4.8307e-11,65.8,21.25
222000,-3425977,4.8272e-11,65.8,21.25
222000,-3423977,4.6842e-11,65.8,21.25
222000,-3421977,4.8551e-11,65.8,21.25
222000,-3419977,5.0096e-11,65.8,21.25
222000,-3417977,4.9107e-11,65.8,21.25
222000,-3415977,4.8613e-11,65.8,21.25
222000,-3413977,4.9682e-11,65.8,21.25
