General parameters:
Start time: 2023              8             23             15             19      46.666902
Finish time: 2023              8             23             16             11      25.022572
Raster type: raster_jump
Horizontal range (nm): -4057417.556962,-4207417.556962
Vertical range (nm): -143059.135517,-293059.135517
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.73e-07
Sample chamber pressure: 3.83e-08
Initial position (nm): -1538036.000000,900.000000,-999987.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4057417.557      -4207417.557
hori_res:2500
vert_range:-143059.1355     -293059.1355
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.762668
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-2.930591e+05,-4.207418e+06,4.1293e-11,63.7,21.25
-2.930591e+05,-4.204918e+06,4.1677e-11,63.7,21.25
-2.930591e+05,-4.202418e+06,3.978e-11,63.7,21.25
-2.930591e+05,-4.199918e+06,4.057e-11,63.7,21.25
-2.930591e+05,-4.197418e+06,3.9213e-11,63.7,21.25
-2.930591e+05,-4.194918e+06,4.017e-11,63.7,21.25
-2.930591e+05,-4.192418e+06,3.8063e-11,63.7,21.25
-2.930591e+05,-4.189918e+06,4.0003e-11,63.7,21.25
-2.930591e+05,-4.187418e+06,4.1737e-11,63.7,21.25
-2.930591e+05,-4.184918e+06,4.3137e-11,63.7,21.25
-2.930591e+05,-4.182418e+06,4.1073e-11,63.7,21.25
-2.930591e+05,-4.179918e+06,4.2033e-11,63.7,21.25
-2.930591e+05,-4.177418e+06,4.0417e-11,63.7,21.25
-2.930591e+05,-4.174918e+06,3.9007e-11,63.7,21.25
-2.930591e+05,-4.172418e+06,4.1457e-11,63.7,21.25
-2.930591e+05,-4.169918e+06,4.0223e-11,63.7,21.25
-2.930591e+05,-4.167418e+06,4.1413e-11,63.7,21.25
-2.930591e+05,-4.164918e+06,4.2673e-11,63.7,21.25
-2.930591e+05,-4.162418e+06,4.0437e-11,63.7,21.25
-2.930591e+05,-4.159918e+06,4.2977e-11,63.7,21.25
-2.930591e+05,-4.157418e+06,4.0087e-11,63.7,21.25
-2.930591e+05,-4.154918e+06,4.089e-11,63.7,21.25
-2.930591e+05,-4.152418e+06,3.891e-11,63.7,21.25
-2.930591e+05,-4.149918e+06,4.1e-11,63.7,21.25
-2.930591e+05,-4.147418e+06,3.9427e-11,63.7,21.25
-2.930591e+05,-4.144918e+06,3.9143e-11,63.7,21.25
-2.930591e+05,-4.142418e+06,4.0907e-11,63.7,21.25
-2.930591e+05,-4.139918e+06,4.1637e-11,63.7,21.25
-2.930591e+05,-4.137418e+06,3.863e-11,63.7,21.25
-2.930591e+05,-4.134918e+06,4.0163e-11,63.7,21.25
-2.930591e+05,-4.132418e+06,3.8807e-11,63.7,21.25
-2.930591e+05,-4.129918e+06,4.2453e-11,63.7,21.25
-2.930591e+05,-4.127418e+06,4.1687e-11,63.7,21.25
-2.930591e+05,-4.124918e+06,3.8587e-11,63.7,21.25
-2.930591e+05,-4.122418e+06,4.0507e-11,63.7,21.25
-2.930591e+05,-4.119918e+06,4.1353e-11,63.7,21.25
-2.930591e+05,-4.117418e+06,3.869e-11,63.7,21.25
-2.930591e+05,-4.114918e+06,4.0133e-11,63.7,21.25
-2.930591e+05,-4.112418e+06,4.125e-11,63.7,21.25
-2.930591e+05,-4.109918e+06,4.0867e-11,63.7,21.25
-2.930591e+05,-4.107418e+06,4.059e-11,63.7,21.25
-2.930591e+05,-4.104918e+06,4.0863e-11,63.7,21.25
-2.930591e+05,-4.102418e+06,3.91e-11,63.7,21.25
-2.930591e+05,-4.099918e+06,4.1467e-11,63.7,21.25
-2.930591e+05,-4.097418e+06,4.1123e-11,63.7,21.25
-2.930591e+05,-4.094918e+06,3.9697e-11,63.7,21.25
-2.930591e+05,-4.092418e+06,4.2e-11,63.7,21.25
-2.930591e+05,-4.089918e+06,3.9513e-11,63.7,21.25
-2.930591e+05,-4.087418e+06,4.0067e-11,63.7,21.25
-2.930591e+05,-4.084918e+06,3.9107e-11,63.7,21.25
