General parameters:
Start time: 2023              8             23             17              3       27.44876
Finish time: 2023              8             23             17             55       5.924645
Raster type: raster_jump
Horizontal range (nm): -3904673.178845,-4054673.178845
Vertical range (nm): 109915.550178,-40084.449822
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.71e-07
Sample chamber pressure: 3.78e-08
Initial position (nm): -3992118.000000,-9886.000000,-1000005.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3904673.1788     -4054673.1788
hori_res:2500
vert_range:109915.5502     -40084.44982
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.763352
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-4.008445e+04,-4.054673e+06,6.0817e-11,63.6,21.25
-4.008445e+04,-4.052173e+06,6.6327e-11,63.6,21.25
-4.008445e+04,-4.049673e+06,1.0364e-10,63.6,21.25
-4.008445e+04,-4.047173e+06,1.5276e-10,63.6,21.25
-4.008445e+04,-4.044673e+06,1.8067e-10,63.6,21.25
-4.008445e+04,-4.042173e+06,1.6924e-10,63.6,21.25
-4.008445e+04,-4.039673e+06,1.7733e-10,63.6,21.25
-4.008445e+04,-4.037173e+06,1.8892e-10,63.6,21.25
-4.008445e+04,-4.034673e+06,1.9936e-10,63.6,21.25
-4.008445e+04,-4.032173e+06,2.0133e-10,63.6,21.25
-4.008445e+04,-4.029673e+06,2.014e-10,63.6,21.25
-4.008445e+04,-4.027173e+06,1.801e-10,63.6,21.25
-4.008445e+04,-4.024673e+06,1.4084e-10,63.6,21.25
-4.008445e+04,-4.022173e+06,1.1933e-10,63.6,21.25
-4.008445e+04,-4.019673e+06,1.1082e-10,63.6,21.25
-4.008445e+04,-4.017173e+06,1.0223e-10,63.6,21.25
-4.008445e+04,-4.014673e+06,8.1523e-11,63.6,21.25
-4.008445e+04,-4.012173e+06,6.0837e-11,63.6,21.25
-4.008445e+04,-4.009673e+06,5.1297e-11,63.6,21.25
-4.008445e+04,-4.007173e+06,4.9457e-11,63.6,21.25
-4.008445e+04,-4.004673e+06,4.988e-11,63.6,21.25
-4.008445e+04,-4.002173e+06,5.1797e-11,63.6,21.25
-4.008445e+04,-3.999673e+06,5.0013e-11,63.6,21.25
-4.008445e+04,-3.997173e+06,4.5093e-11,63.6,21.25
-4.008445e+04,-3.994673e+06,4.3953e-11,63.6,21.25
-4.008445e+04,-3.992173e+06,4.7147e-11,63.6,21.25
-4.008445e+04,-3.989673e+06,4.3123e-11,63.6,21.25
-4.008445e+04,-3.987173e+06,4.1313e-11,63.6,21.25
-4.008445e+04,-3.984673e+06,4.327e-11,63.6,21.25
-4.008445e+04,-3.982173e+06,3.959e-11,63.6,21.25
-4.008445e+04,-3.979673e+06,4.0483e-11,63.6,21.25
