General parameters:
Start time: 2023              8             23             19             38      35.075453
Finish time: 2023              8             23             20             30       9.613385
Raster type: raster_jump
Horizontal range (nm): -3538991.280935,-3688991.280935
Vertical range (nm): 355427.872230,205427.872230
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.72e-07
Sample chamber pressure: 3.74e-08
Initial position (nm): -3674620.000000,295390.000000,-999990.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3538991.2809     -3688991.2809
hori_res:2500
vert_range:355427.8722      205427.8722
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.772586
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.054279e+05,-3.688991e+06,4.116e-11,63.6,21.25
2.054279e+05,-3.686491e+06,4.0723e-11,63.6,21.25
2.054279e+05,-3.683991e+06,4.2413e-11,63.6,21.25
2.054279e+05,-3.681491e+06,4.1453e-11,63.6,21.25
2.054279e+05,-3.678991e+06,4.2933e-11,63.6,21.25
2.054279e+05,-3.676491e+06,4.247e-11,63.6,21.25
2.054279e+05,-3.673991e+06,4.241e-11,63.6,21.25
2.054279e+05,-3.671491e+06,4.0477e-11,63.6,21.25
2.054279e+05,-3.668991e+06,3.9797e-11,63.6,21.25
2.054279e+05,-3.666491e+06,4.109e-11,63.6,21.25
2.054279e+05,-3.663991e+06,4.1427e-11,63.6,21.25
2.054279e+05,-3.661491e+06,4.1363e-11,63.6,21.25
2.054279e+05,-3.658991e+06,4.096e-11,63.6,21.25
2.054279e+05,-3.656491e+06,3.935e-11,63.6,21.25
2.054279e+05,-3.653991e+06,4.0573e-11,63.6,21.25
2.054279e+05,-3.651491e+06,4.1417e-11,63.6,21.25
2.054279e+05,-3.648991e+06,4.038e-11,63.6,21.25
2.054279e+05,-3.646491e+06,4.3123e-11,63.6,21.25
2.054279e+05,-3.643991e+06,4.1483e-11,63.6,21.25
2.054279e+05,-3.641491e+06,3.962e-11,63.6,21.25
2.054279e+05,-3.638991e+06,4.1833e-11,63.6,21.25
2.054279e+05,-3.636491e+06,4.1173e-11,63.6,21.25
2.054279e+05,-3.633991e+06,4.3017e-11,63.6,21.25
2.054279e+05,-3.631491e+06,4.119e-11,63.6,21.25
2.054279e+05,-3.628991e+06,3.97e-11,63.6,21.25
2.054279e+05,-3.626491e+06,4.0607e-11,63.6,21.25
2.054279e+05,-3.623991e+06,4.0387e-11,63.6,21.25
2.054279e+05,-3.621491e+06,4.1297e-11,63.6,21.25
2.054279e+05,-3.618991e+06,4.0357e-11,63.6,21.25
2.054279e+05,-3.616491e+06,4.1443e-11,63.6,21.25
2.054279e+05,-3.613991e+06,4.0413e-11,63.6,21.25
2.054279e+05,-3.611491e+06,4.0797e-11,63.6,21.25
2.054279e+05,-3.608991e+06,4.163e-11,63.6,21.25
2.054279e+05,-3.606491e+06,3.975e-11,63.6,21.25
2.054279e+05,-3.603991e+06,4.1447e-11,63.6,21.25
2.054279e+05,-3.601491e+06,3.9863e-11,63.6,21.25
2.054279e+05,-3.598991e+06,4.192e-11,63.6,21.25
2.054279e+05,-3.596491e+06,4.2797e-11,63.6,21.25
2.054279e+05,-3.593991e+06,4.2143e-11,63.6,21.25
2.054279e+05,-3.591491e+06,4.082e-11,63.6,21.25
2.054279e+05,-3.588991e+06,3.9597e-11,63.6,21.25
2.054279e+05,-3.586491e+06,4.042e-11,63.6,21.25
2.054279e+05,-3.583991e+06,4.1247e-11,63.6,21.25
2.054279e+05,-3.581491e+06,4.2737e-11,63.6,21.25
2.054279e+05,-3.578991e+06,4.027e-11,63.6,21.25
2.054279e+05,-3.576491e+06,4.118e-11,63.6,21.25
2.054279e+05,-3.573991e+06,3.9627e-11,63.6,21.25
2.054279e+05,-3.571491e+06,4.069e-11,63.6,21.25
2.054279e+05,-3.568991e+06,3.9037e-11,63.6,21.25
2.054279e+05,-3.566491e+06,4.244e-11,63.6,21.25
2.054279e+05,-3.563991e+06,4.191e-11,63.6,21.25
2.054279e+05,-3.561491e+06,4.0203e-11,63.6,21.25
2.054279e+05,-3.558991e+06,4.0603e-11,63.6,21.25
2.054279e+05,-3.556491e+06,4.1853e-11,63.6,21.25
2.054279e+05,-3.553991e+06,4.1653e-11,63.6,21.25
2.054279e+05,-3.551491e+06,4.022e-11,63.6,21.25
2.054279e+05,-3.548991e+06,4.0953e-11,63.6,21.25
2.054279e+05,-3.546491e+06,4.086e-11,63.6,21.25
2.054279e+05,-3.543991e+06,4.1967e-11,63.6,21.25
2.054279e+05,-3.541491e+06,4.1367e-11,63.6,21.25
2.054279e+05,-3.538991e+06,4.2047e-11,63.6,21.25
2.079279e+05,-3.688991e+06,3.8993e-11,63.6,21.25
2.079279e+05,-3.686491e+06,4.212e-11,63.6,21.25
2.079279e+05,-3.683991e+06,4.255e-11,63.6,21.25
2.079279e+05,-3.681491e+06,4.223e-11,63.6,21.25
2.079279e+05,-3.678991e+06,4.074e-11,63.6,21.25
2.079279e+05,-3.676491e+06,4.03e-11,63.6,21.25
2.079279e+05,-3.673991e+06,3.8443e-11,63.6,21.25
2.079279e+05,-3.671491e+06,3.983e-11,63.6,21.25
2.079279e+05,-3.668991e+06,4.163e-11,63.6,21.25
2.079279e+05,-3.666491e+06,3.9813e-11,63.6,21.25
2.079279e+05,-3.663991e+06,4.1617e-11,63.6,21.25
2.079279e+05,-3.661491e+06,4.0037e-11,63.6,21.25
2.079279e+05,-3.658991e+06,4.04e-11,63.6,21.25
2.079279e+05,-3.656491e+06,4.189e-11,63.6,21.25
2.079279e+05,-3.653991e+06,4.0893e-11,63.6,21.25
2.079279e+05,-3.651491e+06,4.0607e-11,63.6,21.25
2.079279e+05,-3.648991e+06,4.1267e-11,63.6,21.25
2.079279e+05,-3.646491e+06,4.0737e-11,63.6,21.25
2.079279e+05,-3.643991e+06,4.0613e-11,63.6,21.25
2.079279e+05,-3.641491e+06,4.0843e-11,63.6,21.25
2.079279e+05,-3.638991e+06,4.081e-11,63.6,21.25
2.079279e+05,-3.636491e+06,3.8847e-11,63.6,21.25
2.079279e+05,-3.633991e+06,4.056e-11,63.6,21.25
2.079279e+05,-3.631491e+06,3.8363e-11,63.6,21.25
2.079279e+05,-3.628991e+06,4.0533e-11,63.6,21.25
2.079279e+05,-3.626491e+06,4.055e-11,63.6,21.25
2.079279e+05,-3.623991e+06,4.1767e-11,63.6,21.25
2.079279e+05,-3.621491e+06,4.2353e-11,63.6,21.25
2.079279e+05,-3.618991e+06,4.1537e-11,63.6,21.25
2.079279e+05,-3.616491e+06,4.2353e-11,63.6,21.25
2.079279e+05,-3.613991e+06,4.0657e-11,63.6,21.25
2.079279e+05,-3.611491e+06,4.0757e-11,63.6,21.25
