General parameters:
Start time: 2023              8             23             20             30      21.102937
Finish time: 2023              8             23             21             21      56.683805
Raster type: raster_jump
Horizontal range (nm): -3395000.000000,-3545000.000000
Vertical range (nm): 391000.000000,241000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.72e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -3538997.000000,355430.000000,-999996.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3395000 -3545000
hori_res:2500
vert_range:391000  241000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.780452
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
241000,-3545000,3.891e-11,63.6,21.25
241000,-3542500,3.957e-11,63.6,21.25
241000,-3540000,4.097e-11,63.6,21.25
241000,-3537500,3.8487e-11,63.6,21.25
241000,-3535000,4.007e-11,63.6,21.25
241000,-3532500,3.8677e-11,63.6,21.25
241000,-3530000,4.0053e-11,63.6,21.25
241000,-3527500,3.869e-11,63.6,21.25
241000,-3525000,3.8893e-11,63.6,21.25
241000,-3522500,3.862e-11,63.6,21.25
241000,-3520000,3.8777e-11,63.6,21.25
241000,-3517500,4.001e-11,63.6,21.25
241000,-3515000,4.03e-11,63.6,21.25
241000,-3512500,3.769e-11,63.6,21.25
241000,-3510000,3.9033e-11,63.6,21.25
241000,-3507500,3.8393e-11,63.6,21.25
241000,-3505000,3.9923e-11,63.6,21.25
241000,-3502500,3.8227e-11,63.6,21.25
241000,-3500000,3.8363e-11,63.6,21.25
241000,-3497500,3.8903e-11,63.6,21.25
241000,-3495000,3.9787e-11,63.6,21.25
241000,-3492500,4.0233e-11,63.6,21.25
241000,-3490000,3.828e-11,63.6,21.25
241000,-3487500,3.923e-11,63.6,21.25
241000,-3485000,4.0393e-11,63.6,21.25
241000,-3482500,3.9197e-11,63.6,21.25
241000,-3480000,3.8517e-11,63.6,21.25
241000,-3477500,3.952e-11,63.6,21.25
