General parameters:
Start time: 2023              8             23             21             22       8.113264
Finish time: 2023              8             23             22             13      44.702399
Raster type: raster_jump
Horizontal range (nm): -3247019.235006,-3397019.235006
Vertical range (nm): 401027.883685,251027.883685
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.71e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -3395000.000000,391000.000000,-1000010.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3247019.235      -3397019.235
hori_res:2500
vert_range:401027.8837      251027.8837
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.789686
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.510279e+05,-3.397019e+06,3.7963e-11,63.5,21.25
2.510279e+05,-3.394519e+06,3.6627e-11,63.5,21.25
2.510279e+05,-3.392019e+06,3.9673e-11,63.5,21.25
2.510279e+05,-3.389519e+06,3.8483e-11,63.5,21.25
2.510279e+05,-3.387019e+06,3.9867e-11,63.5,21.25
2.510279e+05,-3.384519e+06,3.7043e-11,63.5,21.25
2.510279e+05,-3.382019e+06,3.7043e-11,63.5,21.25
2.510279e+05,-3.379519e+06,3.9897e-11,63.5,21.25
2.510279e+05,-3.377019e+06,3.751e-11,63.5,21.25
2.510279e+05,-3.374519e+06,3.853e-11,63.5,21.25
2.510279e+05,-3.372019e+06,3.8697e-11,63.5,21.25
2.510279e+05,-3.369519e+06,3.532e-11,63.5,21.25
2.510279e+05,-3.367019e+06,3.9193e-11,63.5,21.25
2.510279e+05,-3.364519e+06,3.9563e-11,63.5,21.25
2.510279e+05,-3.362019e+06,3.676e-11,63.5,21.25
2.510279e+05,-3.359519e+06,3.687e-11,63.5,21.25
2.510279e+05,-3.357019e+06,3.6053e-11,63.5,21.25
2.510279e+05,-3.354519e+06,3.7507e-11,63.5,21.25
2.510279e+05,-3.352019e+06,3.7693e-11,63.5,21.25
2.510279e+05,-3.349519e+06,3.8723e-11,63.5,21.25
2.510279e+05,-3.347019e+06,3.703e-11,63.5,21.25
