General parameters:
Start time: 2023              8             23             22             13      56.167661
Finish time: 2023              8             23             23              5      31.178617
Raster type: raster_jump
Horizontal range (nm): -3099545.306615,-3249545.306615
Vertical range (nm): 385206.831113,235206.831113
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.71e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -3247036.000000,401024.000000,-1000010.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3099545.3066     -3249545.3066
hori_res:2500
vert_range:385206.8311      235206.8311
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.798920
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.352068e+05,-3.249545e+06,3.6523e-11,63.5,21.25
2.352068e+05,-3.247045e+06,3.6643e-11,63.5,21.25
2.352068e+05,-3.244545e+06,3.6753e-11,63.5,21.25
2.352068e+05,-3.242045e+06,3.5987e-11,63.5,21.25
2.352068e+05,-3.239545e+06,3.5647e-11,63.5,21.25
2.352068e+05,-3.237045e+06,3.4927e-11,63.5,21.25
2.352068e+05,-3.234545e+06,3.6083e-11,63.5,21.25
2.352068e+05,-3.232045e+06,3.785e-11,63.5,21.25
2.352068e+05,-3.229545e+06,3.6813e-11,63.5,21.25
2.352068e+05,-3.227045e+06,3.8207e-11,63.5,21.25
2.352068e+05,-3.224545e+06,4.0357e-11,63.5,21.25
2.352068e+05,-3.222045e+06,3.8923e-11,63.5,21.25
2.352068e+05,-3.219545e+06,3.633e-11,63.5,21.25
2.352068e+05,-3.217045e+06,3.6383e-11,63.5,21.25
2.352068e+05,-3.214545e+06,3.6e-11,63.5,21.25
2.352068e+05,-3.212045e+06,3.617e-11,63.5,21.25
2.352068e+05,-3.209545e+06,3.6977e-11,63.5,21.25
2.352068e+05,-3.207045e+06,3.6213e-11,63.5,21.25
2.352068e+05,-3.204545e+06,3.728e-11,63.5,21.25
2.352068e+05,-3.202045e+06,3.7283e-11,63.5,21.25
2.352068e+05,-3.199545e+06,3.893e-11,63.5,21.25
2.352068e+05,-3.197045e+06,3.6017e-11,63.5,21.25
2.352068e+05,-3.194545e+06,3.8307e-11,63.5,21.25
2.352068e+05,-3.192045e+06,3.6523e-11,63.5,21.25
2.352068e+05,-3.189545e+06,3.963e-11,63.5,21.25
2.352068e+05,-3.187045e+06,3.6373e-11,63.5,21.25
