General parameters:
Start time: 2023              8             23             23             45       3.510789
Finish time: 2023              8             24              0             36      42.164378
Raster type: raster_jump
Horizontal range (nm): -4121554.329675,-4271554.329675
Vertical range (nm): -218770.986544,-368770.986544
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.70e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -2987027.000000,306510.000000,-1000005.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4121554.3297     -4271554.3297
hori_res:2500
vert_range:-218770.9865     -368770.9865
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.809864
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-3.687710e+05,-4.271554e+06,3.875e-11,63.4,21.25
-3.687710e+05,-4.269054e+06,3.527e-11,63.4,21.25
-3.687710e+05,-4.266554e+06,3.33e-11,63.4,21.25
-3.687710e+05,-4.264054e+06,3.4073e-11,63.4,21.25
-3.687710e+05,-4.261554e+06,3.361e-11,63.4,21.25
-3.687710e+05,-4.259054e+06,3.449e-11,63.4,21.25
-3.687710e+05,-4.256554e+06,3.312e-11,63.4,21.25
-3.687710e+05,-4.254054e+06,3.2263e-11,63.4,21.25
-3.687710e+05,-4.251554e+06,3.4043e-11,63.4,21.25
-3.687710e+05,-4.249054e+06,3.3383e-11,63.4,21.25
-3.687710e+05,-4.246554e+06,3.443e-11,63.4,21.25
-3.687710e+05,-4.244054e+06,3.3317e-11,63.4,21.25
-3.687710e+05,-4.241554e+06,3.4233e-11,63.4,21.25
-3.687710e+05,-4.239054e+06,3.475e-11,63.4,21.25
-3.687710e+05,-4.236554e+06,3.4883e-11,63.4,21.25
-3.687710e+05,-4.234054e+06,3.5633e-11,63.4,21.25
-3.687710e+05,-4.231554e+06,3.312e-11,63.4,21.25
-3.687710e+05,-4.229054e+06,3.3413e-11,63.4,21.25
-3.687710e+05,-4.226554e+06,3.2997e-11,63.4,21.25
-3.687710e+05,-4.224054e+06,3.3997e-11,63.4,21.25
