General parameters:
Start time: 2023              8             24              1             28      43.358163
Finish time: 2023              8             24              2             20      23.964505
Raster type: raster_jump
Horizontal range (nm): -3956872.030434,-4106872.030434
Vertical range (nm): 66530.716241,-83469.283759
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.68e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -4051691.000000,-68920.000000,-999997.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3956872.0304     -4106872.0304
hori_res:2500
vert_range:66530.7162     -83469.2838
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.818756
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-8.346928e+04,-4.106872e+06,3.266e-11,63.2,21.25
-8.346928e+04,-4.104372e+06,3.4803e-11,63.2,21.25
-8.346928e+04,-4.101872e+06,3.5313e-11,63.2,21.25
-8.346928e+04,-4.099372e+06,3.5303e-11,63.2,21.25
-8.346928e+04,-4.096872e+06,3.4787e-11,63.2,21.25
-8.346928e+04,-4.094372e+06,3.276e-11,63.2,21.25
-8.346928e+04,-4.091872e+06,3.4843e-11,63.2,21.25
-8.346928e+04,-4.089372e+06,3.376e-11,63.2,21.25
-8.346928e+04,-4.086872e+06,3.3147e-11,63.2,21.25
-8.346928e+04,-4.084372e+06,3.4127e-11,63.2,21.25
-8.346928e+04,-4.081872e+06,3.4647e-11,63.2,21.25
-8.346928e+04,-4.079372e+06,3.367e-11,63.2,21.25
-8.346928e+04,-4.076872e+06,3.3857e-11,63.2,21.25
-8.346928e+04,-4.074372e+06,3.391e-11,63.2,21.25
-8.346928e+04,-4.071872e+06,3.4517e-11,63.2,21.25
-8.346928e+04,-4.069372e+06,3.4383e-11,63.2,21.25
-8.346928e+04,-4.066872e+06,3.4207e-11,63.2,21.25
-8.346928e+04,-4.064372e+06,3.4157e-11,63.2,21.25
-8.346928e+04,-4.061872e+06,3.3623e-11,63.2,21.25
-8.346928e+04,-4.059372e+06,3.3657e-11,63.2,21.25
