General parameters:
Start time: 2023              8             24              2             20      35.431141
Finish time: 2023              8             24              3             12      10.270122
Raster type: raster_jump
Horizontal range (nm): -3839970.986544,-3989970.986544
Vertical range (nm): 183454.329675,33454.329675
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.66e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -3956874.000000,66530.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3839970.9865     -3989970.9865
hori_res:2500
vert_range:183454.3297      33454.32968
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.820466
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
3.345433e+04,-3.989971e+06,3.4193e-11,63.0,21.25
3.345433e+04,-3.987471e+06,3.2783e-11,63.0,21.25
3.345433e+04,-3.984971e+06,3.362e-11,63.0,21.25
3.345433e+04,-3.982471e+06,3.5447e-11,63.0,21.25
3.345433e+04,-3.979971e+06,3.5123e-11,63.0,21.25
3.345433e+04,-3.977471e+06,3.5443e-11,63.0,21.25
3.345433e+04,-3.974971e+06,3.592e-11,63.0,21.25
3.345433e+04,-3.972471e+06,3.398e-11,63.0,21.25
3.345433e+04,-3.969971e+06,3.5287e-11,63.0,21.25
3.345433e+04,-3.967471e+06,3.4463e-11,63.0,21.25
3.345433e+04,-3.964971e+06,3.481e-11,63.0,21.25
3.345433e+04,-3.962471e+06,3.217e-11,63.0,21.25
3.345433e+04,-3.959971e+06,3.534e-11,63.0,21.25
3.345433e+04,-3.957471e+06,3.425e-11,63.0,21.25
3.345433e+04,-3.954971e+06,3.7143e-11,63.0,21.25
3.345433e+04,-3.952471e+06,3.5077e-11,63.0,21.25
3.345433e+04,-3.949971e+06,3.5157e-11,63.0,21.25
3.345433e+04,-3.947471e+06,3.627e-11,63.0,21.25
3.345433e+04,-3.944971e+06,3.6877e-11,63.0,21.25
3.345433e+04,-3.942471e+06,3.5053e-11,63.0,21.25
3.345433e+04,-3.939971e+06,3.3603e-11,63.0,21.25
3.345433e+04,-3.937471e+06,3.377e-11,63.0,21.25
3.345433e+04,-3.934971e+06,3.5187e-11,63.0,21.25
