General parameters:
Start time: 2023              8             24              3             12       21.73312
Finish time: 2023              8             24              4              3      54.022185
Raster type: raster_jump
Horizontal range (nm): -3704542.359786,-3854542.359786
Vertical range (nm): 278301.957456,128301.957456
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.66e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -3839971.000000,183460.000000,-999982.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3704542.3598     -3854542.3598
hori_res:2500
vert_range:278301.9575      128301.9575
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.824570
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.283020e+05,-3.854542e+06,3.69e-11,63.0,21.25
1.283020e+05,-3.852042e+06,3.6187e-11,63.0,21.25
1.283020e+05,-3.849542e+06,3.565e-11,63.0,21.25
1.283020e+05,-3.847042e+06,3.799e-11,63.0,21.25
1.283020e+05,-3.844542e+06,3.8937e-11,63.0,21.25
1.283020e+05,-3.842042e+06,3.6663e-11,63.0,21.25
1.283020e+05,-3.839542e+06,3.7893e-11,63.0,21.25
1.283020e+05,-3.837042e+06,3.6083e-11,63.0,21.25
1.283020e+05,-3.834542e+06,3.5847e-11,63.0,21.25
1.283020e+05,-3.832042e+06,3.6667e-11,63.0,21.25
1.283020e+05,-3.829542e+06,3.7257e-11,63.0,21.25
1.283020e+05,-3.827042e+06,3.663e-11,63.0,21.25
1.283020e+05,-3.824542e+06,3.6007e-11,63.0,21.25
1.283020e+05,-3.822042e+06,3.689e-11,63.0,21.25
1.283020e+05,-3.819542e+06,3.7153e-11,63.0,21.25
1.283020e+05,-3.817042e+06,3.7177e-11,63.0,21.25
1.283020e+05,-3.814542e+06,3.729e-11,63.0,21.25
1.283020e+05,-3.812042e+06,3.4613e-11,63.0,21.25
1.283020e+05,-3.809542e+06,3.7047e-11,63.0,21.25
1.283020e+05,-3.807042e+06,3.4983e-11,63.0,21.25
1.283020e+05,-3.804542e+06,3.4687e-11,63.0,21.25
