General parameters:
Start time: 2023              8             24              4              4       5.518585
Finish time: 2023              8             24              4             55      41.066153
Raster type: raster_jump
Horizontal range (nm): -3554701.080455,-3704701.080455
Vertical range (nm): 348191.702409,198191.702409
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.64e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -3704532.000000,278300.000000,-1000001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3554701.0805     -3704701.0805
hori_res:2500
vert_range:348191.7024      198191.7024
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.827306
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.981917e+05,-3.704701e+06,3.8163e-11,62.8,21.25
1.981917e+05,-3.702201e+06,3.931e-11,62.8,21.25
1.981917e+05,-3.699701e+06,3.707e-11,62.8,21.25
1.981917e+05,-3.697201e+06,4.064e-11,62.8,21.25
1.981917e+05,-3.694701e+06,3.7573e-11,62.8,21.25
1.981917e+05,-3.692201e+06,3.7767e-11,62.8,21.25
1.981917e+05,-3.689701e+06,3.8487e-11,62.8,21.25
1.981917e+05,-3.687201e+06,3.595e-11,62.8,21.25
1.981917e+05,-3.684701e+06,3.915e-11,62.8,21.25
1.981917e+05,-3.682201e+06,3.608e-11,62.8,21.25
1.981917e+05,-3.679701e+06,3.862e-11,62.8,21.25
1.981917e+05,-3.677201e+06,3.776e-11,62.8,21.25
1.981917e+05,-3.674701e+06,3.7897e-11,62.8,21.25
1.981917e+05,-3.672201e+06,3.7643e-11,62.8,21.25
1.981917e+05,-3.669701e+06,3.8173e-11,62.8,21.25
1.981917e+05,-3.667201e+06,3.7377e-11,62.8,21.25
1.981917e+05,-3.664701e+06,3.9217e-11,62.8,21.25
1.981917e+05,-3.662201e+06,3.7663e-11,62.8,21.25
1.981917e+05,-3.659701e+06,3.9593e-11,62.8,21.25
1.981917e+05,-3.657201e+06,3.7933e-11,62.8,21.25
1.981917e+05,-3.654701e+06,3.4683e-11,62.8,21.25
1.981917e+05,-3.652201e+06,3.7397e-11,62.8,21.25
1.981917e+05,-3.649701e+06,3.903e-11,62.8,21.25
1.981917e+05,-3.647201e+06,3.7133e-11,62.8,21.25
1.981917e+05,-3.644701e+06,3.6437e-11,62.8,21.25
1.981917e+05,-3.642201e+06,3.684e-11,62.8,21.25
1.981917e+05,-3.639701e+06,3.7617e-11,62.8,21.25
1.981917e+05,-3.637201e+06,4.0337e-11,62.8,21.25
1.981917e+05,-3.634701e+06,3.8413e-11,62.8,21.25
1.981917e+05,-3.632201e+06,3.8127e-11,62.8,21.25
1.981917e+05,-3.629701e+06,3.9603e-11,62.8,21.25
1.981917e+05,-3.627201e+06,3.7863e-11,62.8,21.25
1.981917e+05,-3.624701e+06,3.842e-11,62.8,21.25
1.981917e+05,-3.622201e+06,3.8563e-11,62.8,21.25
1.981917e+05,-3.619701e+06,3.8613e-11,62.8,21.25
1.981917e+05,-3.617201e+06,3.631e-11,62.8,21.25
1.981917e+05,-3.614701e+06,3.881e-11,62.8,21.25
1.981917e+05,-3.612201e+06,3.7787e-11,62.8,21.25
1.981917e+05,-3.609701e+06,3.8303e-11,62.8,21.25
1.981917e+05,-3.607201e+06,3.798e-11,62.8,21.25
1.981917e+05,-3.604701e+06,3.9523e-11,62.8,21.25
1.981917e+05,-3.602201e+06,3.9653e-11,62.8,21.25
1.981917e+05,-3.599701e+06,3.6853e-11,62.8,21.25
1.981917e+05,-3.597201e+06,3.8117e-11,62.8,21.25
1.981917e+05,-3.594701e+06,3.6167e-11,62.8,21.25
1.981917e+05,-3.592201e+06,3.7717e-11,62.8,21.25
1.981917e+05,-3.589701e+06,3.676e-11,62.8,21.25
1.981917e+05,-3.587201e+06,3.6867e-11,62.8,21.25
1.981917e+05,-3.584701e+06,3.738e-11,62.8,21.25
1.981917e+05,-3.582201e+06,3.9253e-11,62.8,21.25
1.981917e+05,-3.579701e+06,3.606e-11,62.8,21.25
1.981917e+05,-3.577201e+06,3.7563e-11,62.8,21.25
1.981917e+05,-3.574701e+06,3.8753e-11,62.8,21.25
1.981917e+05,-3.572201e+06,3.823e-11,62.8,21.25
1.981917e+05,-3.569701e+06,3.7867e-11,62.8,21.25
1.981917e+05,-3.567201e+06,4.0353e-11,62.8,21.25
1.981917e+05,-3.564701e+06,3.6877e-11,62.8,21.25
1.981917e+05,-3.562201e+06,3.6403e-11,62.8,21.25
1.981917e+05,-3.559701e+06,4.0103e-11,62.8,21.25
1.981917e+05,-3.557201e+06,3.884e-11,62.8,21.25
1.981917e+05,-3.554701e+06,3.9977e-11,62.8,21.25
2.006917e+05,-3.704701e+06,3.777e-11,62.8,21.25
2.006917e+05,-3.702201e+06,3.8563e-11,62.8,21.25
2.006917e+05,-3.699701e+06,3.744e-11,62.8,21.25
2.006917e+05,-3.697201e+06,3.8763e-11,62.8,21.25
2.006917e+05,-3.694701e+06,3.7923e-11,62.8,21.25
2.006917e+05,-3.692201e+06,3.8087e-11,62.8,21.25
2.006917e+05,-3.689701e+06,3.772e-11,62.8,21.25
2.006917e+05,-3.687201e+06,3.8337e-11,62.8,21.25
2.006917e+05,-3.684701e+06,3.7667e-11,62.8,21.25
2.006917e+05,-3.682201e+06,3.708e-11,62.8,21.25
2.006917e+05,-3.679701e+06,3.6583e-11,62.8,21.25
2.006917e+05,-3.677201e+06,3.614e-11,62.8,21.25
2.006917e+05,-3.674701e+06,3.8533e-11,62.8,21.25
2.006917e+05,-3.672201e+06,3.8923e-11,62.8,21.25
2.006917e+05,-3.669701e+06,3.751e-11,62.8,21.25
2.006917e+05,-3.667201e+06,3.5477e-11,62.8,21.25
2.006917e+05,-3.664701e+06,3.7557e-11,62.8,21.25
2.006917e+05,-3.662201e+06,3.777e-11,62.8,21.25
2.006917e+05,-3.659701e+06,3.525e-11,62.8,21.25
2.006917e+05,-3.657201e+06,3.7003e-11,62.8,21.25
2.006917e+05,-3.654701e+06,3.8507e-11,62.8,21.25
2.006917e+05,-3.652201e+06,3.838e-11,62.8,21.25
2.006917e+05,-3.649701e+06,3.7193e-11,62.8,21.25
2.006917e+05,-3.647201e+06,3.5583e-11,62.8,21.25
2.006917e+05,-3.644701e+06,3.625e-11,62.8,21.25
2.006917e+05,-3.642201e+06,3.7597e-11,62.8,21.25
2.006917e+05,-3.639701e+06,3.7777e-11,62.8,21.25
2.006917e+05,-3.637201e+06,3.837e-11,62.8,21.25
2.006917e+05,-3.634701e+06,3.7347e-11,62.8,21.25
2.006917e+05,-3.632201e+06,3.892e-11,62.8,21.25
2.006917e+05,-3.629701e+06,3.857e-11,62.8,21.25
2.006917e+05,-3.627201e+06,3.9857e-11,62.8,21.25
2.006917e+05,-3.624701e+06,3.826e-11,62.8,21.25
2.006917e+05,-3.622201e+06,3.944e-11,62.8,21.25
2.006917e+05,-3.619701e+06,3.6723e-11,62.8,21.25
2.006917e+05,-3.617201e+06,3.5253e-11,62.8,21.25
2.006917e+05,-3.614701e+06,3.579e-11,62.8,21.25
2.006917e+05,-3.612201e+06,3.822e-11,62.8,21.25
2.006917e+05,-3.609701e+06,3.65e-11,62.8,21.25
2.006917e+05,-3.607201e+06,3.8217e-11,62.8,21.25
2.006917e+05,-3.604701e+06,3.7577e-11,62.8,21.25
2.006917e+05,-3.602201e+06,3.7793e-11,62.8,21.25
2.006917e+05,-3.599701e+06,3.72e-11,62.8,21.25
2.006917e+05,-3.597201e+06,4.2143e-11,62.8,21.25
2.006917e+05,-3.594701e+06,3.7897e-11,62.8,21.25
2.006917e+05,-3.592201e+06,3.988e-11,62.8,21.25
2.006917e+05,-3.589701e+06,3.908e-11,62.8,21.25
2.006917e+05,-3.587201e+06,3.9387e-11,62.8,21.25
2.006917e+05,-3.584701e+06,4.0747e-11,62.8,21.25
2.006917e+05,-3.582201e+06,3.73e-11,62.8,21.25
2.006917e+05,-3.579701e+06,3.6393e-11,62.8,21.25
2.006917e+05,-3.577201e+06,3.636e-11,62.8,21.25
2.006917e+05,-3.574701e+06,3.98e-11,62.8,21.25
2.006917e+05,-3.572201e+06,3.666e-11,62.8,21.25
2.006917e+05,-3.569701e+06,3.87e-11,62.8,21.25
2.006917e+05,-3.567201e+06,3.619e-11,62.8,21.25
2.006917e+05,-3.564701e+06,3.7577e-11,62.8,21.25
2.006917e+05,-3.562201e+06,3.8707e-11,62.8,21.25
2.006917e+05,-3.559701e+06,3.7977e-11,62.8,21.25
2.006917e+05,-3.557201e+06,3.9667e-11,62.8,21.25
2.006917e+05,-3.554701e+06,3.8223e-11,62.8,21.25
2.031917e+05,-3.704701e+06,3.703e-11,62.8,21.25
2.031917e+05,-3.702201e+06,3.4367e-11,62.8,21.25
2.031917e+05,-3.699701e+06,3.6687e-11,62.8,21.25
2.031917e+05,-3.697201e+06,3.814e-11,62.8,21.25
2.031917e+05,-3.694701e+06,3.807e-11,62.8,21.25
2.031917e+05,-3.692201e+06,3.727e-11,62.8,21.25
2.031917e+05,-3.689701e+06,3.765e-11,62.8,21.25
2.031917e+05,-3.687201e+06,3.8657e-11,62.8,21.25
2.031917e+05,-3.684701e+06,3.8733e-11,62.8,21.25
2.031917e+05,-3.682201e+06,3.734e-11,62.8,21.25
2.031917e+05,-3.679701e+06,3.8897e-11,62.8,21.25
2.031917e+05,-3.677201e+06,3.561e-11,62.8,21.25
2.031917e+05,-3.674701e+06,3.861e-11,62.8,21.25
2.031917e+05,-3.672201e+06,3.6823e-11,62.8,21.25
2.031917e+05,-3.669701e+06,3.7107e-11,62.8,21.25
2.031917e+05,-3.667201e+06,3.8257e-11,62.8,21.25
2.031917e+05,-3.664701e+06,3.8443e-11,62.8,21.25
2.031917e+05,-3.662201e+06,3.7223e-11,62.8,21.25
2.031917e+05,-3.659701e+06,3.9073e-11,62.8,21.25
2.031917e+05,-3.657201e+06,3.8067e-11,62.8,21.25
2.031917e+05,-3.654701e+06,4.059e-11,62.8,21.25
2.031917e+05,-3.652201e+06,3.6027e-11,62.8,21.25
2.031917e+05,-3.649701e+06,3.7647e-11,62.8,21.25
2.031917e+05,-3.647201e+06,3.7927e-11,62.8,21.25
2.031917e+05,-3.644701e+06,3.7403e-11,62.8,21.25
2.031917e+05,-3.642201e+06,3.6423e-11,62.8,21.25
2.031917e+05,-3.639701e+06,3.9113e-11,62.8,21.25
2.031917e+05,-3.637201e+06,3.7407e-11,62.8,21.25
2.031917e+05,-3.634701e+06,3.743e-11,62.8,21.25
2.031917e+05,-3.632201e+06,3.7117e-11,62.8,21.25
2.031917e+05,-3.629701e+06,3.9097e-11,62.8,21.25
2.031917e+05,-3.627201e+06,4.0463e-11,62.8,21.25
2.031917e+05,-3.624701e+06,4.003e-11,62.8,21.25
2.031917e+05,-3.622201e+06,3.833e-11,62.8,21.25
2.031917e+05,-3.619701e+06,3.7287e-11,62.8,21.25
2.031917e+05,-3.617201e+06,3.7823e-11,62.8,21.25
2.031917e+05,-3.614701e+06,3.9953e-11,62.8,21.25
2.031917e+05,-3.612201e+06,4.0263e-11,62.8,21.25
