General parameters:
Start time: 2023              8             24              4             55      52.596604
Finish time: 2023              8             24              5             47      29.916068
Raster type: raster_jump
Horizontal range (nm): -3395000.000000,-3545000.000000
Vertical range (nm): 391000.000000,241000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.63e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -3554688.000000,348190.000000,-1000011.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3395000 -3545000
hori_res:2500
vert_range:391000  241000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.827648
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
241000,-3545000,3.865e-11,62.7,21.25
241000,-3542500,3.759e-11,62.7,21.25
241000,-3540000,3.9e-11,62.7,21.25
241000,-3537500,3.921e-11,62.7,21.25
241000,-3535000,3.9623e-11,62.7,21.25
241000,-3532500,3.9823e-11,62.7,21.25
241000,-3530000,3.8413e-11,62.7,21.25
241000,-3527500,3.725e-11,62.7,21.25
241000,-3525000,4.0043e-11,62.7,21.25
241000,-3522500,3.9523e-11,62.7,21.25
241000,-3520000,3.7187e-11,62.7,21.25
241000,-3517500,3.7857e-11,62.7,21.25
241000,-3515000,3.739e-11,62.7,21.25
241000,-3512500,3.978e-11,62.7,21.25
241000,-3510000,3.928e-11,62.7,21.25
241000,-3507500,3.9973e-11,62.7,21.25
241000,-3505000,4.0413e-11,62.7,21.25
241000,-3502500,3.8553e-11,62.7,21.25
241000,-3500000,3.9433e-11,62.7,21.25
241000,-3497500,3.6777e-11,62.7,21.25
241000,-3495000,3.9513e-11,62.7,21.25
241000,-3492500,3.8303e-11,62.7,21.25
241000,-3490000,3.8033e-11,62.7,21.25
241000,-3487500,3.8623e-11,62.7,21.25
241000,-3485000,3.9017e-11,62.7,21.25
241000,-3482500,4.0713e-11,62.7,21.25
241000,-3480000,3.8897e-11,62.7,21.25
241000,-3477500,3.7807e-11,62.7,21.25
241000,-3475000,4.0177e-11,62.7,21.25
241000,-3472500,3.7653e-11,62.7,21.25
241000,-3470000,4.083e-11,62.7,21.25
241000,-3467500,3.68e-11,62.7,21.25
241000,-3465000,3.854e-11,62.7,21.25
241000,-3462500,3.865e-11,62.7,21.25
241000,-3460000,3.9707e-11,62.7,21.25
241000,-3457500,4.068e-11,62.7,21.25
241000,-3455000,3.9677e-11,62.7,21.25
241000,-3452500,3.985e-11,62.7,21.25
241000,-3450000,4.0003e-11,62.7,21.25
241000,-3447500,4.0043e-11,62.7,21.25
241000,-3445000,4.039e-11,62.7,21.25
241000,-3442500,3.9553e-11,62.7,21.25
241000,-3440000,3.9573e-11,62.7,21.25
241000,-3437500,3.9743e-11,62.7,21.25
241000,-3435000,4.1157e-11,62.7,21.25
241000,-3432500,3.7733e-11,62.7,21.25
241000,-3430000,3.839e-11,62.7,21.25
241000,-3427500,3.806e-11,62.7,21.25
241000,-3425000,3.9443e-11,62.7,21.25
241000,-3422500,4.1223e-11,62.7,21.25
241000,-3420000,3.9097e-11,62.7,21.25
241000,-3417500,3.8997e-11,62.7,21.25
241000,-3415000,3.951e-11,62.7,21.25
241000,-3412500,3.9883e-11,62.7,21.25
241000,-3410000,3.7377e-11,62.7,21.25
241000,-3407500,4.0807e-11,62.7,21.25
241000,-3405000,3.803e-11,62.7,21.25
241000,-3402500,3.9037e-11,62.7,21.25
241000,-3400000,3.7373e-11,62.7,21.25
241000,-3397500,3.7587e-11,62.7,21.25
241000,-3395000,3.905e-11,62.7,21.25
243500,-3545000,3.855e-11,62.7,21.25
243500,-3542500,3.8487e-11,62.7,21.25
243500,-3540000,3.975e-11,62.7,21.25
243500,-3537500,4.0053e-11,62.7,21.25
243500,-3535000,3.9427e-11,62.7,21.25
243500,-3532500,3.8377e-11,62.7,21.25
243500,-3530000,3.8767e-11,62.7,21.25
243500,-3527500,3.9797e-11,62.7,21.25
243500,-3525000,3.942e-11,62.7,21.25
243500,-3522500,3.9243e-11,62.7,21.25
243500,-3520000,3.845e-11,62.7,21.25
243500,-3517500,3.9547e-11,62.7,21.25
243500,-3515000,3.891e-11,62.7,21.25
243500,-3512500,3.9187e-11,62.7,21.25
243500,-3510000,4.0063e-11,62.7,21.25
243500,-3507500,3.8993e-11,62.7,21.25
243500,-3505000,3.903e-11,62.7,21.25
243500,-3502500,3.8163e-11,62.7,21.25
243500,-3500000,3.728e-11,62.7,21.25
243500,-3497500,3.6583e-11,62.7,21.25
243500,-3495000,3.849e-11,62.7,21.25
243500,-3492500,3.841e-11,62.7,21.25
243500,-3490000,3.719e-11,62.7,21.25
243500,-3487500,3.8297e-11,62.7,21.25
243500,-3485000,4.183e-11,62.7,21.25
243500,-3482500,4.1817e-11,62.7,21.25
243500,-3480000,3.971e-11,62.7,21.25
243500,-3477500,3.9347e-11,62.7,21.25
243500,-3475000,3.9423e-11,62.7,21.25
243500,-3472500,3.894e-11,62.7,21.25
243500,-3470000,3.808e-11,62.7,21.25
243500,-3467500,3.7273e-11,62.7,21.25
243500,-3465000,3.8877e-11,62.7,21.25
243500,-3462500,4.1277e-11,62.7,21.25
243500,-3460000,3.8933e-11,62.7,21.25
243500,-3457500,3.6563e-11,62.7,21.25
243500,-3455000,3.8643e-11,62.7,21.25
243500,-3452500,3.871e-11,62.7,21.25
243500,-3450000,3.6963e-11,62.7,21.25
243500,-3447500,3.8003e-11,62.7,21.25
243500,-3445000,3.9373e-11,62.7,21.25
243500,-3442500,4.0253e-11,62.7,21.25
243500,-3440000,3.918e-11,62.7,21.25
243500,-3437500,3.8557e-11,62.7,21.25
243500,-3435000,3.6913e-11,62.7,21.25
243500,-3432500,3.9823e-11,62.7,21.25
243500,-3430000,3.7733e-11,62.7,21.25
243500,-3427500,3.992e-11,62.7,21.25
243500,-3425000,3.7763e-11,62.7,21.25
243500,-3422500,4.0893e-11,62.7,21.25
243500,-3420000,3.9247e-11,62.7,21.25
243500,-3417500,4.0453e-11,62.7,21.25
243500,-3415000,3.778e-11,62.7,21.25
243500,-3412500,3.7303e-11,62.7,21.25
243500,-3410000,3.8263e-11,62.7,21.25
243500,-3407500,3.931e-11,62.7,21.25
243500,-3405000,3.89e-11,62.7,21.25
243500,-3402500,3.9663e-11,62.7,21.25
243500,-3400000,3.967e-11,62.7,21.25
243500,-3397500,3.934e-11,62.7,21.25
243500,-3395000,3.9577e-11,62.7,21.25
246000,-3545000,3.8783e-11,62.7,21.25
246000,-3542500,3.7817e-11,62.7,21.25
246000,-3540000,3.681e-11,62.7,21.25
246000,-3537500,4.0187e-11,62.7,21.25
246000,-3535000,3.9067e-11,62.7,21.25
246000,-3532500,3.83e-11,62.7,21.25
246000,-3530000,3.81e-11,62.7,21.25
246000,-3527500,3.9353e-11,62.7,21.25
246000,-3525000,3.9333e-11,62.7,21.25
246000,-3522500,3.8183e-11,62.7,21.25
246000,-3520000,3.809e-11,62.7,21.25
246000,-3517500,3.9887e-11,62.7,21.25
246000,-3515000,3.788e-11,62.7,21.25
246000,-3512500,3.848e-11,62.7,21.25
246000,-3510000,3.9077e-11,62.7,21.25
246000,-3507500,3.9167e-11,62.7,21.25
246000,-3505000,3.7247e-11,62.7,21.25
246000,-3502500,3.8437e-11,62.7,21.25
246000,-3500000,4.1177e-11,62.7,21.25
246000,-3497500,3.8053e-11,62.7,21.25
246000,-3495000,3.9843e-11,62.7,21.25
246000,-3492500,3.81e-11,62.7,21.25
246000,-3490000,3.7353e-11,62.7,21.25
246000,-3487500,3.797e-11,62.7,21.25
246000,-3485000,4.1817e-11,62.7,21.25
246000,-3482500,4.2767e-11,62.7,21.25
246000,-3480000,3.9327e-11,62.7,21.25
246000,-3477500,4.1987e-11,62.7,21.25
246000,-3475000,4.0187e-11,62.7,21.25
246000,-3472500,3.951e-11,62.7,21.25
246000,-3470000,3.8753e-11,62.7,21.25
