General parameters:
Start time: 2023              8             24              6             39      33.094949
Finish time: 2023              8             24              7             31       9.674077
Raster type: raster_jump
Horizontal range (nm): -3065580.328025,-3215580.328025
Vertical range (nm): 391031.796696,241031.796696
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.59e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -3230297.000000,405430.000000,-1000013.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3065580.328      -3215580.328
hori_res:2500
vert_range:391031.7967      241031.7967
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.830384
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.410318e+05,-3.215580e+06,4.1593e-11,62.4,21.25
2.410318e+05,-3.213080e+06,4.3743e-11,62.4,21.25
2.410318e+05,-3.210580e+06,4.3577e-11,62.4,21.25
2.410318e+05,-3.208080e+06,3.9923e-11,62.4,21.25
2.410318e+05,-3.205580e+06,4.2777e-11,62.4,21.25
2.410318e+05,-3.203080e+06,4.0253e-11,62.4,21.25
2.410318e+05,-3.200580e+06,4.1643e-11,62.4,21.25
2.410318e+05,-3.198080e+06,4.1927e-11,62.4,21.25
2.410318e+05,-3.195580e+06,4.1947e-11,62.4,21.25
2.410318e+05,-3.193080e+06,4.1733e-11,62.4,21.25
2.410318e+05,-3.190580e+06,4.237e-11,62.4,21.25
2.410318e+05,-3.188080e+06,4.194e-11,62.4,21.25
2.410318e+05,-3.185580e+06,4.1437e-11,62.4,21.25
2.410318e+05,-3.183080e+06,4.2263e-11,62.4,21.25
2.410318e+05,-3.180580e+06,4.3003e-11,62.4,21.25
2.410318e+05,-3.178080e+06,3.9737e-11,62.4,21.25
2.410318e+05,-3.175580e+06,4.4503e-11,62.4,21.25
2.410318e+05,-3.173080e+06,4.102e-11,62.4,21.25
2.410318e+05,-3.170580e+06,4.2373e-11,62.4,21.25
2.410318e+05,-3.168080e+06,4.1247e-11,62.4,21.25
2.410318e+05,-3.165580e+06,3.9747e-11,62.4,21.25
2.410318e+05,-3.163080e+06,4.2553e-11,62.4,21.25
2.410318e+05,-3.160580e+06,4.062e-11,62.4,21.25
2.410318e+05,-3.158080e+06,4.0953e-11,62.4,21.25
2.410318e+05,-3.155580e+06,4.109e-11,62.4,21.25
