General parameters:
Start time: 2023              8             24              7             31      21.301756
Finish time: 2023              8             24              8             22          57.15
Raster type: raster_jump
Horizontal range (nm): -2905870.986544,-3055870.986544
Vertical range (nm): 348254.329675,198254.329675
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.59e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -3065595.000000,391035.000000,-1000008.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2905870.9865     -3055870.9865
hori_res:2500
vert_range:348254.3297      198254.3297
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.831752
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.982543e+05,-3.055871e+06,4.105e-11,62.4,21.25
1.982543e+05,-3.053371e+06,4.4207e-11,62.4,21.25
1.982543e+05,-3.050871e+06,4.0587e-11,62.4,21.25
1.982543e+05,-3.048371e+06,4.1977e-11,62.4,21.25
1.982543e+05,-3.045871e+06,4.305e-11,62.4,21.25
1.982543e+05,-3.043371e+06,4.1833e-11,62.4,21.25
1.982543e+05,-3.040871e+06,4.0803e-11,62.4,21.25
1.982543e+05,-3.038371e+06,4.2473e-11,62.4,21.25
1.982543e+05,-3.035871e+06,4.0597e-11,62.4,21.25
1.982543e+05,-3.033371e+06,4.141e-11,62.4,21.25
1.982543e+05,-3.030871e+06,4.0847e-11,62.4,21.25
1.982543e+05,-3.028371e+06,4.2577e-11,62.4,21.25
1.982543e+05,-3.025871e+06,4.269e-11,62.4,21.25
1.982543e+05,-3.023371e+06,4.27e-11,62.4,21.25
1.982543e+05,-3.020871e+06,4.2527e-11,62.4,21.25
1.982543e+05,-3.018371e+06,3.941e-11,62.4,21.25
1.982543e+05,-3.015871e+06,4.081e-11,62.4,21.25
1.982543e+05,-3.013371e+06,4.0353e-11,62.4,21.25
1.982543e+05,-3.010871e+06,4.1183e-11,62.4,21.25
1.982543e+05,-3.008371e+06,4.2207e-11,62.4,21.25
1.982543e+05,-3.005871e+06,4.173e-11,62.4,21.25
1.982543e+05,-3.003371e+06,4.289e-11,62.4,21.25
1.982543e+05,-3.000871e+06,4.184e-11,62.4,21.25
1.982543e+05,-2.998371e+06,4.3353e-11,62.4,21.25
1.982543e+05,-2.995871e+06,4.1853e-11,62.4,21.25
1.982543e+05,-2.993371e+06,4.1493e-11,62.4,21.25
1.982543e+05,-2.990871e+06,4.3563e-11,62.4,21.25
1.982543e+05,-2.988371e+06,4.364e-11,62.4,21.25
1.982543e+05,-2.985871e+06,4.2877e-11,62.4,21.25
1.982543e+05,-2.983371e+06,4.269e-11,62.4,21.25
1.982543e+05,-2.980871e+06,4.3423e-11,62.4,21.25
1.982543e+05,-2.978371e+06,4.2193e-11,62.4,21.25
1.982543e+05,-2.975871e+06,4.239e-11,62.4,21.25
1.982543e+05,-2.973371e+06,4.1433e-11,62.4,21.25
1.982543e+05,-2.970871e+06,4.112e-11,62.4,21.25
1.982543e+05,-2.968371e+06,4.3163e-11,62.4,21.25
1.982543e+05,-2.965871e+06,4.3167e-11,62.4,21.25
1.982543e+05,-2.963371e+06,4.3297e-11,62.4,21.25
1.982543e+05,-2.960871e+06,4.5503e-11,62.4,21.25
1.982543e+05,-2.958371e+06,5.9173e-11,62.4,21.25
1.982543e+05,-2.955871e+06,7.6513e-11,62.4,21.25
1.982543e+05,-2.953371e+06,8.2653e-11,62.4,21.25
1.982543e+05,-2.950871e+06,6.3643e-11,62.4,21.25
1.982543e+05,-2.948371e+06,4.8843e-11,62.4,21.25
1.982543e+05,-2.945871e+06,4.631e-11,62.4,21.25
1.982543e+05,-2.943371e+06,4.279e-11,62.4,21.25
1.982543e+05,-2.940871e+06,4.1917e-11,62.4,21.25
1.982543e+05,-2.938371e+06,4.3837e-11,62.4,21.25
1.982543e+05,-2.935871e+06,4.356e-11,62.4,21.25
1.982543e+05,-2.933371e+06,4.1867e-11,62.4,21.25
1.982543e+05,-2.930871e+06,4.2813e-11,62.4,21.25
1.982543e+05,-2.928371e+06,4.1487e-11,62.4,21.25
1.982543e+05,-2.925871e+06,4.0987e-11,62.4,21.25
1.982543e+05,-2.923371e+06,4.291e-11,62.4,21.25
1.982543e+05,-2.920871e+06,4.1617e-11,62.4,21.25
1.982543e+05,-2.918371e+06,4.0807e-11,62.4,21.25
1.982543e+05,-2.915871e+06,4.126e-11,62.4,21.25
1.982543e+05,-2.913371e+06,4.144e-11,62.4,21.25
1.982543e+05,-2.910871e+06,4.153e-11,62.4,21.25
1.982543e+05,-2.908371e+06,4.3003e-11,62.4,21.25
1.982543e+05,-2.905871e+06,4.2467e-11,62.4,21.25
2.007543e+05,-3.055871e+06,4.4537e-11,62.4,21.25
2.007543e+05,-3.053371e+06,4.382e-11,62.4,21.25
2.007543e+05,-3.050871e+06,4.3843e-11,62.4,21.25
2.007543e+05,-3.048371e+06,4.2237e-11,62.4,21.25
2.007543e+05,-3.045871e+06,4.2113e-11,62.4,21.25
2.007543e+05,-3.043371e+06,4.3133e-11,62.4,21.25
2.007543e+05,-3.040871e+06,4.0843e-11,62.4,21.25
2.007543e+05,-3.038371e+06,4.2933e-11,62.4,21.25
2.007543e+05,-3.035871e+06,4.31e-11,62.4,21.25
2.007543e+05,-3.033371e+06,4.337e-11,62.4,21.25
2.007543e+05,-3.030871e+06,4.1967e-11,62.4,21.25
2.007543e+05,-3.028371e+06,4.2237e-11,62.4,21.25
2.007543e+05,-3.025871e+06,4.363e-11,62.4,21.25
2.007543e+05,-3.023371e+06,4.3127e-11,62.4,21.25
2.007543e+05,-3.020871e+06,4.2973e-11,62.4,21.25
2.007543e+05,-3.018371e+06,4.2067e-11,62.4,21.25
2.007543e+05,-3.015871e+06,4.2237e-11,62.4,21.25
2.007543e+05,-3.013371e+06,4.184e-11,62.4,21.25
2.007543e+05,-3.010871e+06,4.1363e-11,62.4,21.25
2.007543e+05,-3.008371e+06,4.0397e-11,62.4,21.25
2.007543e+05,-3.005871e+06,4.0273e-11,62.4,21.25
2.007543e+05,-3.003371e+06,4.0827e-11,62.4,21.25
2.007543e+05,-3.000871e+06,4.002e-11,62.4,21.25
2.007543e+05,-2.998371e+06,4.287e-11,62.4,21.25
2.007543e+05,-2.995871e+06,4.372e-11,62.4,21.25
2.007543e+05,-2.993371e+06,4.1523e-11,62.4,21.25
2.007543e+05,-2.990871e+06,4.1377e-11,62.4,21.25
2.007543e+05,-2.988371e+06,4.2087e-11,62.4,21.25
2.007543e+05,-2.985871e+06,4.3683e-11,62.4,21.25
2.007543e+05,-2.983371e+06,4.293e-11,62.4,21.25
2.007543e+05,-2.980871e+06,4.143e-11,62.4,21.25
2.007543e+05,-2.978371e+06,4.3097e-11,62.4,21.25
2.007543e+05,-2.975871e+06,4.098e-11,62.4,21.25
2.007543e+05,-2.973371e+06,4.156e-11,62.4,21.25
2.007543e+05,-2.970871e+06,4.3623e-11,62.4,21.25
2.007543e+05,-2.968371e+06,4.077e-11,62.4,21.25
2.007543e+05,-2.965871e+06,4.267e-11,62.4,21.25
2.007543e+05,-2.963371e+06,4.4877e-11,62.4,21.25
2.007543e+05,-2.960871e+06,5.3867e-11,62.4,21.25
2.007543e+05,-2.958371e+06,7.4303e-11,62.4,21.25
2.007543e+05,-2.955871e+06,9.5877e-11,62.4,21.25
2.007543e+05,-2.953371e+06,1.0062e-10,62.4,21.25
2.007543e+05,-2.950871e+06,8.6477e-11,62.4,21.25
2.007543e+05,-2.948371e+06,7.1713e-11,62.4,21.25
2.007543e+05,-2.945871e+06,5.6973e-11,62.4,21.25
2.007543e+05,-2.943371e+06,4.5213e-11,62.4,21.25
2.007543e+05,-2.940871e+06,4.472e-11,62.4,21.25
2.007543e+05,-2.938371e+06,4.293e-11,62.4,21.25
2.007543e+05,-2.935871e+06,4.4163e-11,62.4,21.25
2.007543e+05,-2.933371e+06,4.3453e-11,62.4,21.25
2.007543e+05,-2.930871e+06,4.522e-11,62.4,21.25
2.007543e+05,-2.928371e+06,4.365e-11,62.4,21.25
2.007543e+05,-2.925871e+06,4.1453e-11,62.4,21.25
2.007543e+05,-2.923371e+06,4.0923e-11,62.4,21.25
2.007543e+05,-2.920871e+06,4.044e-11,62.4,21.25
2.007543e+05,-2.918371e+06,4.0887e-11,62.4,21.25
2.007543e+05,-2.915871e+06,4.135e-11,62.4,21.25
2.007543e+05,-2.913371e+06,4.1083e-11,62.4,21.25
2.007543e+05,-2.910871e+06,4.1423e-11,62.4,21.25
2.007543e+05,-2.908371e+06,4.3367e-11,62.4,21.25
2.007543e+05,-2.905871e+06,4.4433e-11,62.4,21.25
2.032543e+05,-3.055871e+06,4.165e-11,62.4,21.25
2.032543e+05,-3.053371e+06,4.1363e-11,62.4,21.25
2.032543e+05,-3.050871e+06,4.1173e-11,62.4,21.25
2.032543e+05,-3.048371e+06,4.344e-11,62.4,21.25
2.032543e+05,-3.045871e+06,4.1557e-11,62.4,21.25
2.032543e+05,-3.043371e+06,4.3487e-11,62.4,21.25
2.032543e+05,-3.040871e+06,4.258e-11,62.4,21.25
2.032543e+05,-3.038371e+06,4.4183e-11,62.4,21.25
2.032543e+05,-3.035871e+06,4.3617e-11,62.4,21.25
2.032543e+05,-3.033371e+06,4.093e-11,62.4,21.25
2.032543e+05,-3.030871e+06,4.242e-11,62.4,21.25
2.032543e+05,-3.028371e+06,4.3533e-11,62.4,21.25
2.032543e+05,-3.025871e+06,4.2383e-11,62.4,21.25
2.032543e+05,-3.023371e+06,4.1363e-11,62.4,21.25
2.032543e+05,-3.020871e+06,3.9453e-11,62.4,21.25
2.032543e+05,-3.018371e+06,4.0497e-11,62.4,21.25
2.032543e+05,-3.015871e+06,4.1463e-11,62.4,21.25
2.032543e+05,-3.013371e+06,4.2137e-11,62.4,21.25
2.032543e+05,-3.010871e+06,4.084e-11,62.4,21.25
2.032543e+05,-3.008371e+06,4.1753e-11,62.4,21.25
2.032543e+05,-3.005871e+06,4.2953e-11,62.4,21.25
2.032543e+05,-3.003371e+06,4.1283e-11,62.4,21.25
2.032543e+05,-3.000871e+06,4.332e-11,62.4,21.25
2.032543e+05,-2.998371e+06,4.2027e-11,62.4,21.25
2.032543e+05,-2.995871e+06,4.2853e-11,62.4,21.25
2.032543e+05,-2.993371e+06,4.1283e-11,62.4,21.25
2.032543e+05,-2.990871e+06,4.2027e-11,62.4,21.25
2.032543e+05,-2.988371e+06,3.9887e-11,62.4,21.25
2.032543e+05,-2.985871e+06,4.1813e-11,62.4,21.25
2.032543e+05,-2.983371e+06,4.2153e-11,62.4,21.25
2.032543e+05,-2.980871e+06,4.36e-11,62.4,21.25
2.032543e+05,-2.978371e+06,4.2383e-11,62.4,21.25
2.032543e+05,-2.975871e+06,4.2447e-11,62.4,21.25
2.032543e+05,-2.973371e+06,4.2137e-11,62.4,21.25
2.032543e+05,-2.970871e+06,4.3113e-11,62.4,21.25
2.032543e+05,-2.968371e+06,4.4193e-11,62.4,21.25
2.032543e+05,-2.965871e+06,4.4373e-11,62.4,21.25
2.032543e+05,-2.963371e+06,5.4923e-11,62.4,21.25
2.032543e+05,-2.960871e+06,7.0033e-11,62.4,21.25
2.032543e+05,-2.958371e+06,9.1753e-11,62.4,21.25
2.032543e+05,-2.955871e+06,9.8507e-11,62.4,21.25
2.032543e+05,-2.953371e+06,1.036e-10,62.4,21.25
2.032543e+05,-2.950871e+06,1.0221e-10,62.4,21.25
2.032543e+05,-2.948371e+06,8.9187e-11,62.4,21.25
2.032543e+05,-2.945871e+06,7.2173e-11,62.4,21.25
2.032543e+05,-2.943371e+06,5.698e-11,62.4,21.25
2.032543e+05,-2.940871e+06,4.6343e-11,62.4,21.25
2.032543e+05,-2.938371e+06,4.4273e-11,62.4,21.25
2.032543e+05,-2.935871e+06,4.3247e-11,62.4,21.25
2.032543e+05,-2.933371e+06,4.3473e-11,62.4,21.25
2.032543e+05,-2.930871e+06,4.3617e-11,62.4,21.25
2.032543e+05,-2.928371e+06,4.2683e-11,62.4,21.25
2.032543e+05,-2.925871e+06,4.2453e-11,62.4,21.25
2.032543e+05,-2.923371e+06,4.4037e-11,62.4,21.25
2.032543e+05,-2.920871e+06,4.112e-11,62.4,21.25
2.032543e+05,-2.918371e+06,4.058e-11,62.4,21.25
2.032543e+05,-2.915871e+06,4.4067e-11,62.4,21.25
2.032543e+05,-2.913371e+06,4.0393e-11,62.4,21.25
2.032543e+05,-2.910871e+06,4.2447e-11,62.4,21.25
2.032543e+05,-2.908371e+06,4.1833e-11,62.4,21.25
2.032543e+05,-2.905871e+06,4.0313e-11,62.4,21.25
2.057543e+05,-3.055871e+06,4.341e-11,62.4,21.25
2.057543e+05,-3.053371e+06,4.3493e-11,62.4,21.25
2.057543e+05,-3.050871e+06,4.1517e-11,62.4,21.25
2.057543e+05,-3.048371e+06,4.2787e-11,62.4,21.25
2.057543e+05,-3.045871e+06,4.1047e-11,62.4,21.25
2.057543e+05,-3.043371e+06,4.264e-11,62.4,21.25
2.057543e+05,-3.040871e+06,4.3527e-11,62.4,21.25
2.057543e+05,-3.038371e+06,4.1007e-11,62.4,21.25
2.057543e+05,-3.035871e+06,4.245e-11,62.4,21.25
2.057543e+05,-3.033371e+06,4.216e-11,62.4,21.25
2.057543e+05,-3.030871e+06,4.2687e-11,62.4,21.25
2.057543e+05,-3.028371e+06,4.282e-11,62.4,21.25
2.057543e+05,-3.025871e+06,4.1137e-11,62.4,21.25
2.057543e+05,-3.023371e+06,4.3993e-11,62.4,21.25
2.057543e+05,-3.020871e+06,4.1427e-11,62.4,21.25
2.057543e+05,-3.018371e+06,4.0867e-11,62.4,21.25
2.057543e+05,-3.015871e+06,4.2607e-11,62.4,21.25
2.057543e+05,-3.013371e+06,4.1307e-11,62.4,21.25
2.057543e+05,-3.010871e+06,4.3307e-11,62.4,21.25
2.057543e+05,-3.008371e+06,4.342e-11,62.4,21.25
2.057543e+05,-3.005871e+06,4.1797e-11,62.4,21.25
2.057543e+05,-3.003371e+06,4.0733e-11,62.4,21.25
2.057543e+05,-3.000871e+06,4.2183e-11,62.4,21.25
