General parameters:
Start time: 2023              8             24              9             14      55.339357
Finish time: 2023              8             24             10              6      33.314897
Raster type: raster_jump
Horizontal range (nm): -2620569.283759,-2770569.283759
Vertical range (nm): 183572.030434,33572.030434
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.56e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -2756007.000000,278391.000000,-1000010.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2620569.2838     -2770569.2838
hori_res:2500
vert_range:183572.0304      33572.03043
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.833120
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
3.357203e+04,-2.770569e+06,4.2973e-11,62.1,21.25
3.357203e+04,-2.768069e+06,4.2637e-11,62.1,21.25
3.357203e+04,-2.765569e+06,4.2783e-11,62.1,21.25
3.357203e+04,-2.763069e+06,4.2587e-11,62.1,21.25
3.357203e+04,-2.760569e+06,4.453e-11,62.1,21.25
3.357203e+04,-2.758069e+06,4.3617e-11,62.1,21.25
3.357203e+04,-2.755569e+06,4.2513e-11,62.1,21.25
3.357203e+04,-2.753069e+06,4.208e-11,62.1,21.25
3.357203e+04,-2.750569e+06,4.2457e-11,62.1,21.25
3.357203e+04,-2.748069e+06,4.4013e-11,62.1,21.25
3.357203e+04,-2.745569e+06,4.4497e-11,62.1,21.25
3.357203e+04,-2.743069e+06,4.414e-11,62.1,21.25
3.357203e+04,-2.740569e+06,4.0713e-11,62.1,21.25
3.357203e+04,-2.738069e+06,4.17e-11,62.1,21.25
3.357203e+04,-2.735569e+06,4.2973e-11,62.1,21.25
3.357203e+04,-2.733069e+06,4.366e-11,62.1,21.25
3.357203e+04,-2.730569e+06,4.2403e-11,62.1,21.25
3.357203e+04,-2.728069e+06,4.2293e-11,62.1,21.25
3.357203e+04,-2.725569e+06,4.361e-11,62.1,21.25
3.357203e+04,-2.723069e+06,4.2717e-11,62.1,21.25
3.357203e+04,-2.720569e+06,4.5007e-11,62.1,21.25
