General parameters:
Start time: 2023              8             24             10              6      44.812427
Finish time: 2023              8             24             10             58      23.545848
Raster type: raster_jump
Horizontal range (nm): -2503645.670325,-2653645.670325
Vertical range (nm): 66670.986544,-83329.013456
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.55e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -2620568.000000,183571.000000,-1000016.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2503645.6703     -2653645.6703
hori_res:2500
vert_range:66670.9865     -83329.0135
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.827648
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-8.332901e+04,-2.653646e+06,4.0217e-11,62.0,21.25
-8.332901e+04,-2.651146e+06,4.006e-11,62.0,21.25
-8.332901e+04,-2.648646e+06,3.9427e-11,62.0,21.25
-8.332901e+04,-2.646146e+06,4.109e-11,62.0,21.25
-8.332901e+04,-2.643646e+06,3.8923e-11,62.0,21.25
-8.332901e+04,-2.641146e+06,3.9817e-11,62.0,21.25
-8.332901e+04,-2.638646e+06,4.0293e-11,62.0,21.25
-8.332901e+04,-2.636146e+06,4.113e-11,62.0,21.25
-8.332901e+04,-2.633646e+06,4.0767e-11,62.0,21.25
-8.332901e+04,-2.631146e+06,4.0507e-11,62.0,21.25
-8.332901e+04,-2.628646e+06,4.1017e-11,62.0,21.25
-8.332901e+04,-2.626146e+06,4.0517e-11,62.0,21.25
-8.332901e+04,-2.623646e+06,4.115e-11,62.0,21.25
-8.332901e+04,-2.621146e+06,3.8983e-11,62.0,21.25
-8.332901e+04,-2.618646e+06,4.0237e-11,62.0,21.25
-8.332901e+04,-2.616146e+06,4.0917e-11,62.0,21.25
-8.332901e+04,-2.613646e+06,4.0697e-11,62.0,21.25
-8.332901e+04,-2.611146e+06,3.9893e-11,62.0,21.25
-8.332901e+04,-2.608646e+06,4.184e-11,62.0,21.25
-8.332901e+04,-2.606146e+06,4.0103e-11,62.0,21.25
-8.332901e+04,-2.603646e+06,4.0997e-11,62.0,21.25
-8.332901e+04,-2.601146e+06,4.1463e-11,62.0,21.25
-8.332901e+04,-2.598646e+06,4.488e-11,62.0,21.25
-8.332901e+04,-2.596146e+06,3.981e-11,62.0,21.25
-8.332901e+04,-2.593646e+06,3.8247e-11,62.0,21.25
-8.332901e+04,-2.591146e+06,3.9943e-11,62.0,21.25
-8.332901e+04,-2.588646e+06,4.115e-11,62.0,21.25
-8.332901e+04,-2.586146e+06,3.8853e-11,62.0,21.25
-8.332901e+04,-2.583646e+06,4.021e-11,62.0,21.25
-8.332901e+04,-2.581146e+06,3.7643e-11,62.0,21.25
-8.332901e+04,-2.578646e+06,4.051e-11,62.0,21.25
-8.332901e+04,-2.576146e+06,3.796e-11,62.0,21.25
-8.332901e+04,-2.573646e+06,4.135e-11,62.0,21.25
-8.332901e+04,-2.571146e+06,4.0753e-11,62.0,21.25
-8.332901e+04,-2.568646e+06,4.0963e-11,62.0,21.25
-8.332901e+04,-2.566146e+06,4.7177e-11,62.0,21.25
-8.332901e+04,-2.563646e+06,5.5403e-11,62.0,21.25
-8.332901e+04,-2.561146e+06,6.1007e-11,62.0,21.25
-8.332901e+04,-2.558646e+06,5.9193e-11,62.0,21.25
-8.332901e+04,-2.556146e+06,5.87e-11,62.0,21.25
-8.332901e+04,-2.553646e+06,5.558e-11,62.0,21.25
-8.332901e+04,-2.551146e+06,5.9077e-11,62.0,21.25
-8.332901e+04,-2.548646e+06,7.6287e-11,62.0,21.25
-8.332901e+04,-2.546146e+06,8.6993e-11,62.0,21.25
-8.332901e+04,-2.543646e+06,8.063e-11,62.0,21.25
-8.332901e+04,-2.541146e+06,6.1833e-11,62.0,21.25
-8.332901e+04,-2.538646e+06,4.7273e-11,62.0,21.25
-8.332901e+04,-2.536146e+06,4.3643e-11,62.0,21.25
-8.332901e+04,-2.533646e+06,3.973e-11,62.0,21.25
-8.332901e+04,-2.531146e+06,4.2343e-11,62.0,21.25
-8.332901e+04,-2.528646e+06,4.1277e-11,62.0,21.25
-8.332901e+04,-2.526146e+06,3.868e-11,62.0,21.25
-8.332901e+04,-2.523646e+06,4.1593e-11,62.0,21.25
-8.332901e+04,-2.521146e+06,4.069e-11,62.0,21.25
-8.332901e+04,-2.518646e+06,4.196e-11,62.0,21.25
-8.332901e+04,-2.516146e+06,4.06e-11,62.0,21.25
-8.332901e+04,-2.513646e+06,4.0343e-11,62.0,21.25
-8.332901e+04,-2.511146e+06,4.1483e-11,62.0,21.25
-8.332901e+04,-2.508646e+06,4.1527e-11,62.0,21.25
