General parameters:
Start time: 2023              8             25             14             39      41.663106
Finish time: 2023              8             25             15             26      55.677776
Raster type: raster_jump
Horizontal range (nm): -4096554.329675,-4296554.329675
Vertical range (nm): -193770.986544,-393770.986544
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.12e-07
Sample chamber pressure: 3.79e-08
Initial position (nm): -2503637.000000,66670.000000,-1000006.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4096554.3297     -4296554.3297
hori_res:3500
vert_range:-193770.9865     -393770.9865
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.793448
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-3.937710e+05,-4.296554e+06,3.498e-11,58.5,21.25
-3.937710e+05,-4.293054e+06,3.2123e-11,58.5,21.25
-3.937710e+05,-4.289554e+06,3.3357e-11,58.5,21.25
-3.937710e+05,-4.286054e+06,3.384e-11,58.5,21.25
-3.937710e+05,-4.282554e+06,3.2017e-11,58.5,21.25
-3.937710e+05,-4.279054e+06,3.3243e-11,58.5,21.25
-3.937710e+05,-4.275554e+06,3.1477e-11,58.5,21.25
-3.937710e+05,-4.272054e+06,3.3037e-11,58.5,21.25
-3.937710e+05,-4.268554e+06,3.3943e-11,58.5,21.25
-3.937710e+05,-4.265054e+06,3.4677e-11,58.5,21.25
-3.937710e+05,-4.261554e+06,3.2593e-11,58.5,21.25
-3.937710e+05,-4.258054e+06,3.457e-11,58.5,21.25
-3.937710e+05,-4.254554e+06,3.3637e-11,58.5,21.25
-3.937710e+05,-4.251054e+06,3.294e-11,58.5,21.25
-3.937710e+05,-4.247554e+06,3.411e-11,58.5,21.25
-3.937710e+05,-4.244054e+06,3.403e-11,58.5,21.25
-3.937710e+05,-4.240554e+06,3.354e-11,58.5,21.25
-3.937710e+05,-4.237054e+06,3.4607e-11,58.5,21.25
-3.937710e+05,-4.233554e+06,3.4803e-11,58.5,21.25
-3.937710e+05,-4.230054e+06,3.2743e-11,58.5,21.25
-3.937710e+05,-4.226554e+06,3.4783e-11,58.5,21.25
-3.937710e+05,-4.223054e+06,3.6997e-11,58.5,21.25
-3.937710e+05,-4.219554e+06,3.3823e-11,58.5,21.25
-3.937710e+05,-4.216054e+06,3.5253e-11,58.5,21.25
-3.937710e+05,-4.212554e+06,3.2657e-11,58.5,21.25
-3.937710e+05,-4.209054e+06,3.317e-11,58.5,21.25
-3.937710e+05,-4.205554e+06,3.3263e-11,58.5,21.25
-3.937710e+05,-4.202054e+06,3.366e-11,58.5,21.25
-3.937710e+05,-4.198554e+06,3.2897e-11,58.5,21.25
-3.937710e+05,-4.195054e+06,3.2593e-11,58.5,21.25
-3.937710e+05,-4.191554e+06,3.4583e-11,58.5,21.25
-3.937710e+05,-4.188054e+06,3.4313e-11,58.5,21.25
-3.937710e+05,-4.184554e+06,3.198e-11,58.5,21.25
-3.937710e+05,-4.181054e+06,3.3287e-11,58.5,21.25
-3.937710e+05,-4.177554e+06,3.5483e-11,58.5,21.25
-3.937710e+05,-4.174054e+06,3.3893e-11,58.5,21.25
-3.937710e+05,-4.170554e+06,3.643e-11,58.5,21.25
-3.937710e+05,-4.167054e+06,3.492e-11,58.5,21.25
-3.937710e+05,-4.163554e+06,3.5107e-11,58.5,21.25
-3.937710e+05,-4.160054e+06,3.48e-11,58.5,21.25
-3.937710e+05,-4.156554e+06,3.3053e-11,58.5,21.25
-3.937710e+05,-4.153054e+06,3.2533e-11,58.5,21.25
-3.937710e+05,-4.149554e+06,3.41e-11,58.5,21.25
-3.937710e+05,-4.146054e+06,3.339e-11,58.5,21.25
-3.937710e+05,-4.142554e+06,3.4397e-11,58.5,21.25
-3.937710e+05,-4.139054e+06,3.279e-11,58.5,21.25
-3.937710e+05,-4.135554e+06,3.4417e-11,58.5,21.25
-3.937710e+05,-4.132054e+06,3.2553e-11,58.5,21.25
-3.937710e+05,-4.128554e+06,3.461e-11,58.5,21.25
-3.937710e+05,-4.125054e+06,3.602e-11,58.5,21.25
-3.937710e+05,-4.121554e+06,3.521e-11,58.5,21.25
-3.937710e+05,-4.118054e+06,3.2563e-11,58.5,21.25
-3.937710e+05,-4.114554e+06,3.4403e-11,58.5,21.25
-3.937710e+05,-4.111054e+06,3.434e-11,58.5,21.25
-3.937710e+05,-4.107554e+06,3.1687e-11,58.5,21.25
-3.937710e+05,-4.104054e+06,3.4943e-11,58.5,21.25
-3.937710e+05,-4.100554e+06,3.4323e-11,58.5,21.25
-3.937710e+05,-4.097054e+06,3.431e-11,58.5,21.25
-3.902710e+05,-4.296554e+06,3.423e-11,58.5,21.25
-3.902710e+05,-4.293054e+06,3.261e-11,58.5,21.25
-3.902710e+05,-4.289554e+06,3.4903e-11,58.5,21.25
-3.902710e+05,-4.286054e+06,3.4297e-11,58.5,21.25
-3.902710e+05,-4.282554e+06,3.2727e-11,58.5,21.25
-3.902710e+05,-4.279054e+06,3.453e-11,58.5,21.25
-3.902710e+05,-4.275554e+06,3.2793e-11,58.5,21.25
-3.902710e+05,-4.272054e+06,3.3083e-11,58.5,21.25
-3.902710e+05,-4.268554e+06,3.4307e-11,58.5,21.25
-3.902710e+05,-4.265054e+06,3.259e-11,58.5,21.25
-3.902710e+05,-4.261554e+06,3.5207e-11,58.5,21.25
-3.902710e+05,-4.258054e+06,3.56e-11,58.5,21.25
-3.902710e+05,-4.254554e+06,3.486e-11,58.5,21.25
-3.902710e+05,-4.251054e+06,3.4133e-11,58.5,21.25
-3.902710e+05,-4.247554e+06,3.1887e-11,58.5,21.25
-3.902710e+05,-4.244054e+06,3.2163e-11,58.5,21.25
-3.902710e+05,-4.240554e+06,3.4677e-11,58.5,21.25
-3.902710e+05,-4.237054e+06,3.4283e-11,58.5,21.25
-3.902710e+05,-4.233554e+06,3.384e-11,58.5,21.25
-3.902710e+05,-4.230054e+06,3.2967e-11,58.5,21.25
-3.902710e+05,-4.226554e+06,3.2383e-11,58.5,21.25
-3.902710e+05,-4.223054e+06,3.3603e-11,58.5,21.25
-3.902710e+05,-4.219554e+06,3.396e-11,58.5,21.25
-3.902710e+05,-4.216054e+06,3.3547e-11,58.5,21.25
-3.902710e+05,-4.212554e+06,3.4327e-11,58.5,21.25
-3.902710e+05,-4.209054e+06,3.3847e-11,58.5,21.25
-3.902710e+05,-4.205554e+06,3.4853e-11,58.5,21.25
-3.902710e+05,-4.202054e+06,3.379e-11,58.5,21.25
-3.902710e+05,-4.198554e+06,3.5233e-11,58.5,21.25
-3.902710e+05,-4.195054e+06,3.2577e-11,58.5,21.25
-3.902710e+05,-4.191554e+06,3.3973e-11,58.5,21.25
-3.902710e+05,-4.188054e+06,3.273e-11,58.5,21.25
-3.902710e+05,-4.184554e+06,3.2597e-11,58.5,21.25
-3.902710e+05,-4.181054e+06,3.6157e-11,58.5,21.25
-3.902710e+05,-4.177554e+06,4.3257e-11,58.5,21.25
-3.902710e+05,-4.174054e+06,6.1433e-11,58.5,21.25
-3.902710e+05,-4.170554e+06,5.2397e-11,58.5,21.25
-3.902710e+05,-4.167054e+06,3.8903e-11,58.5,21.25
-3.902710e+05,-4.163554e+06,3.3823e-11,58.5,21.25
-3.902710e+05,-4.160054e+06,3.208e-11,58.5,21.25
-3.902710e+05,-4.156554e+06,3.325e-11,58.5,21.25
-3.902710e+05,-4.153054e+06,3.3943e-11,58.5,21.25
-3.902710e+05,-4.149554e+06,3.4147e-11,58.5,21.25
-3.902710e+05,-4.146054e+06,3.453e-11,58.5,21.25
-3.902710e+05,-4.142554e+06,3.194e-11,58.5,21.25
-3.902710e+05,-4.139054e+06,3.435e-11,58.5,21.25
-3.902710e+05,-4.135554e+06,3.3383e-11,58.5,21.25
-3.902710e+05,-4.132054e+06,3.195e-11,58.5,21.25
-3.902710e+05,-4.128554e+06,3.3197e-11,58.5,21.25
-3.902710e+05,-4.125054e+06,3.3353e-11,58.5,21.25
-3.902710e+05,-4.121554e+06,3.239e-11,58.5,21.25
-3.902710e+05,-4.118054e+06,3.445e-11,58.5,21.25
-3.902710e+05,-4.114554e+06,3.1483e-11,58.5,21.25
-3.902710e+05,-4.111054e+06,3.2847e-11,58.5,21.25
-3.902710e+05,-4.107554e+06,3.2693e-11,58.5,21.25
-3.902710e+05,-4.104054e+06,3.204e-11,58.5,21.25
-3.902710e+05,-4.100554e+06,3.377e-11,58.5,21.25
-3.902710e+05,-4.097054e+06,3.294e-11,58.5,21.25
-3.867710e+05,-4.296554e+06,3.5043e-11,58.5,21.25
-3.867710e+05,-4.293054e+06,3.272e-11,58.5,21.25
-3.867710e+05,-4.289554e+06,3.2857e-11,58.5,21.25
-3.867710e+05,-4.286054e+06,3.2503e-11,58.5,21.25
-3.867710e+05,-4.282554e+06,3.309e-11,58.5,21.25
-3.867710e+05,-4.279054e+06,3.391e-11,58.5,21.25
-3.867710e+05,-4.275554e+06,3.2267e-11,58.5,21.25
-3.867710e+05,-4.272054e+06,3.3207e-11,58.5,21.25
-3.867710e+05,-4.268554e+06,3.0523e-11,58.5,21.25
-3.867710e+05,-4.265054e+06,3.1723e-11,58.5,21.25
-3.867710e+05,-4.261554e+06,3.3737e-11,58.5,21.25
-3.867710e+05,-4.258054e+06,3.4093e-11,58.5,21.25
-3.867710e+05,-4.254554e+06,3.3867e-11,58.5,21.25
-3.867710e+05,-4.251054e+06,3.1587e-11,58.5,21.25
-3.867710e+05,-4.247554e+06,3.2647e-11,58.5,21.25
-3.867710e+05,-4.244054e+06,3.4657e-11,58.5,21.25
-3.867710e+05,-4.240554e+06,3.324e-11,58.5,21.25
-3.867710e+05,-4.237054e+06,3.4797e-11,58.5,21.25
-3.867710e+05,-4.233554e+06,3.3577e-11,58.5,21.25
-3.867710e+05,-4.230054e+06,3.4797e-11,58.5,21.25
-3.867710e+05,-4.226554e+06,3.2647e-11,58.5,21.25
-3.867710e+05,-4.223054e+06,3.697e-11,58.5,21.25
-3.867710e+05,-4.219554e+06,3.4497e-11,58.5,21.25
-3.867710e+05,-4.216054e+06,3.2207e-11,58.5,21.25
-3.867710e+05,-4.212554e+06,3.3273e-11,58.5,21.25
-3.867710e+05,-4.209054e+06,3.3507e-11,58.5,21.25
-3.867710e+05,-4.205554e+06,3.52e-11,58.5,21.25
-3.867710e+05,-4.202054e+06,3.2053e-11,58.5,21.25
-3.867710e+05,-4.198554e+06,3.476e-11,58.5,21.25
-3.867710e+05,-4.195054e+06,3.5807e-11,58.5,21.25
-3.867710e+05,-4.191554e+06,3.326e-11,58.5,21.25
-3.867710e+05,-4.188054e+06,3.4713e-11,58.5,21.25
-3.867710e+05,-4.184554e+06,3.5297e-11,58.5,21.25
-3.867710e+05,-4.181054e+06,3.96e-11,58.5,21.25
-3.867710e+05,-4.177554e+06,7.3857e-11,58.5,21.25
-3.867710e+05,-4.174054e+06,1.1416e-10,58.5,21.25
-3.867710e+05,-4.170554e+06,1.1306e-10,58.5,21.25
-3.867710e+05,-4.167054e+06,7.4283e-11,58.5,21.25
-3.867710e+05,-4.163554e+06,4.386e-11,58.5,21.25
-3.867710e+05,-4.160054e+06,3.5933e-11,58.5,21.25
-3.867710e+05,-4.156554e+06,3.2063e-11,58.5,21.25
-3.867710e+05,-4.153054e+06,3.1277e-11,58.5,21.25
-3.867710e+05,-4.149554e+06,3.2707e-11,58.5,21.25
-3.867710e+05,-4.146054e+06,3.4957e-11,58.5,21.25
-3.867710e+05,-4.142554e+06,3.445e-11,58.5,21.25
-3.867710e+05,-4.139054e+06,3.339e-11,58.5,21.25
-3.867710e+05,-4.135554e+06,3.3457e-11,58.5,21.25
-3.867710e+05,-4.132054e+06,3.2833e-11,58.5,21.25
-3.867710e+05,-4.128554e+06,3.501e-11,58.5,21.25
-3.867710e+05,-4.125054e+06,3.2977e-11,58.5,21.25
-3.867710e+05,-4.121554e+06,3.507e-11,58.5,21.25
-3.867710e+05,-4.118054e+06,3.415e-11,58.5,21.25
-3.867710e+05,-4.114554e+06,3.5007e-11,58.5,21.25
-3.867710e+05,-4.111054e+06,3.3757e-11,58.5,21.25
-3.867710e+05,-4.107554e+06,3.5283e-11,58.5,21.25
-3.867710e+05,-4.104054e+06,3.2447e-11,58.5,21.25
-3.867710e+05,-4.100554e+06,3.2263e-11,58.5,21.25
-3.867710e+05,-4.097054e+06,3.5323e-11,58.5,21.25
-3.832710e+05,-4.296554e+06,3.417e-11,58.5,21.25
-3.832710e+05,-4.293054e+06,3.1843e-11,58.5,21.25
-3.832710e+05,-4.289554e+06,3.395e-11,58.5,21.25
-3.832710e+05,-4.286054e+06,3.328e-11,58.5,21.25
-3.832710e+05,-4.282554e+06,3.3997e-11,58.5,21.25
-3.832710e+05,-4.279054e+06,3.4203e-11,58.5,21.25
-3.832710e+05,-4.275554e+06,3.4047e-11,58.5,21.25
-3.832710e+05,-4.272054e+06,3.2293e-11,58.5,21.25
-3.832710e+05,-4.268554e+06,3.429e-11,58.5,21.25
-3.832710e+05,-4.265054e+06,3.2423e-11,58.5,21.25
-3.832710e+05,-4.261554e+06,3.279e-11,58.5,21.25
-3.832710e+05,-4.258054e+06,3.2773e-11,58.5,21.25
-3.832710e+05,-4.254554e+06,3.493e-11,58.5,21.25
-3.832710e+05,-4.251054e+06,3.627e-11,58.5,21.25
-3.832710e+05,-4.247554e+06,3.337e-11,58.5,21.25
-3.832710e+05,-4.244054e+06,3.4497e-11,58.5,21.25
-3.832710e+05,-4.240554e+06,3.4013e-11,58.5,21.25
-3.832710e+05,-4.237054e+06,3.2397e-11,58.5,21.25
-3.832710e+05,-4.233554e+06,3.2373e-11,58.5,21.25
-3.832710e+05,-4.230054e+06,3.6677e-11,58.5,21.25
-3.832710e+05,-4.226554e+06,3.3683e-11,58.5,21.25
-3.832710e+05,-4.223054e+06,3.3183e-11,58.5,21.25
-3.832710e+05,-4.219554e+06,3.3323e-11,58.5,21.25
-3.832710e+05,-4.216054e+06,3.3593e-11,58.5,21.25
-3.832710e+05,-4.212554e+06,3.2557e-11,58.5,21.25
-3.832710e+05,-4.209054e+06,3.5503e-11,58.5,21.25
-3.832710e+05,-4.205554e+06,3.324e-11,58.5,21.25
-3.832710e+05,-4.202054e+06,3.6953e-11,58.5,21.25
-3.832710e+05,-4.198554e+06,3.395e-11,58.5,21.25
-3.832710e+05,-4.195054e+06,3.304e-11,58.5,21.25
-3.832710e+05,-4.191554e+06,3.292e-11,58.5,21.25
-3.832710e+05,-4.188054e+06,3.562e-11,58.5,21.25
-3.832710e+05,-4.184554e+06,3.6133e-11,58.5,21.25
-3.832710e+05,-4.181054e+06,6.5397e-11,58.5,21.25
-3.832710e+05,-4.177554e+06,1.0945e-10,58.5,21.25
-3.832710e+05,-4.174054e+06,1.3715e-10,58.5,21.25
-3.832710e+05,-4.170554e+06,1.3401e-10,58.5,21.25
-3.832710e+05,-4.167054e+06,1.2211e-10,58.5,21.25
-3.832710e+05,-4.163554e+06,8.696e-11,58.5,21.25
-3.832710e+05,-4.160054e+06,5.175e-11,58.5,21.25
-3.832710e+05,-4.156554e+06,3.5897e-11,58.5,21.25
-3.832710e+05,-4.153054e+06,3.512e-11,58.5,21.25
-3.832710e+05,-4.149554e+06,3.3167e-11,58.5,21.25
-3.832710e+05,-4.146054e+06,3.451e-11,58.5,21.25
-3.832710e+05,-4.142554e+06,3.351e-11,58.5,21.25
-3.832710e+05,-4.139054e+06,3.3497e-11,58.5,21.25
-3.832710e+05,-4.135554e+06,3.2953e-11,58.5,21.25
-3.832710e+05,-4.132054e+06,3.2247e-11,58.5,21.25
-3.832710e+05,-4.128554e+06,3.3007e-11,58.5,21.25
-3.832710e+05,-4.125054e+06,3.3877e-11,58.5,21.25
-3.832710e+05,-4.121554e+06,3.2083e-11,58.5,21.25
-3.832710e+05,-4.118054e+06,3.341e-11,58.5,21.25
-3.832710e+05,-4.114554e+06,3.423e-11,58.5,21.25
-3.832710e+05,-4.111054e+06,3.345e-11,58.5,21.25
-3.832710e+05,-4.107554e+06,3.4353e-11,58.5,21.25
-3.832710e+05,-4.104054e+06,3.3853e-11,58.5,21.25
-3.832710e+05,-4.100554e+06,3.1867e-11,58.5,21.25
-3.832710e+05,-4.097054e+06,3.3483e-11,58.5,21.25
-3.797710e+05,-4.296554e+06,3.4387e-11,58.5,21.25
-3.797710e+05,-4.293054e+06,3.3427e-11,58.5,21.25
-3.797710e+05,-4.289554e+06,3.4557e-11,58.5,21.25
-3.797710e+05,-4.286054e+06,3.3503e-11,58.5,21.25
-3.797710e+05,-4.282554e+06,3.327e-11,58.5,21.25
-3.797710e+05,-4.279054e+06,3.3617e-11,58.5,21.25
-3.797710e+05,-4.275554e+06,3.3477e-11,58.5,21.25
-3.797710e+05,-4.272054e+06,3.382e-11,58.5,21.25
-3.797710e+05,-4.268554e+06,3.4563e-11,58.5,21.25
