General parameters:
Start time: 2023              8             25             15             27       7.140128
Finish time: 2023              8             25             16             14      20.849972
Raster type: raster_jump
Horizontal range (nm): -4026693.512394,-4226693.512394
Vertical range (nm): -43916.218018,-243916.218018
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.11e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -4097051.000000,-194270.000000,-999992.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4026693.5124     -4226693.5124
hori_res:3500
vert_range:-43916.21802      -243916.218
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.783530
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-2.439162e+05,-4.226694e+06,4.229e-11,58.4,21.25
-2.439162e+05,-4.223194e+06,3.45e-11,58.4,21.25
-2.439162e+05,-4.219694e+06,3.368e-11,58.4,21.25
-2.439162e+05,-4.216194e+06,3.346e-11,58.4,21.25
-2.439162e+05,-4.212694e+06,3.5643e-11,58.4,21.25
-2.439162e+05,-4.209194e+06,3.285e-11,58.4,21.25
-2.439162e+05,-4.205694e+06,3.4637e-11,58.4,21.25
-2.439162e+05,-4.202194e+06,3.386e-11,58.4,21.25
-2.439162e+05,-4.198694e+06,3.4843e-11,58.4,21.25
-2.439162e+05,-4.195194e+06,3.4473e-11,58.4,21.25
-2.439162e+05,-4.191694e+06,3.3753e-11,58.4,21.25
-2.439162e+05,-4.188194e+06,3.3287e-11,58.4,21.25
-2.439162e+05,-4.184694e+06,3.253e-11,58.4,21.25
-2.439162e+05,-4.181194e+06,3.4567e-11,58.4,21.25
-2.439162e+05,-4.177694e+06,3.255e-11,58.4,21.25
-2.439162e+05,-4.174194e+06,3.363e-11,58.4,21.25
-2.439162e+05,-4.170694e+06,3.4483e-11,58.4,21.25
-2.439162e+05,-4.167194e+06,3.391e-11,58.4,21.25
-2.439162e+05,-4.163694e+06,3.6123e-11,58.4,21.25
-2.439162e+05,-4.160194e+06,3.409e-11,58.4,21.25
-2.439162e+05,-4.156694e+06,3.581e-11,58.4,21.25
-2.439162e+05,-4.153194e+06,3.4703e-11,58.4,21.25
-2.439162e+05,-4.149694e+06,3.3177e-11,58.4,21.25
-2.439162e+05,-4.146194e+06,3.1957e-11,58.4,21.25
-2.439162e+05,-4.142694e+06,3.5433e-11,58.4,21.25
-2.439162e+05,-4.139194e+06,3.349e-11,58.4,21.25
-2.439162e+05,-4.135694e+06,3.359e-11,58.4,21.25
-2.439162e+05,-4.132194e+06,3.7033e-11,58.4,21.25
-2.439162e+05,-4.128694e+06,3.4753e-11,58.4,21.25
-2.439162e+05,-4.125194e+06,3.5237e-11,58.4,21.25
-2.439162e+05,-4.121694e+06,3.2777e-11,58.4,21.25
-2.439162e+05,-4.118194e+06,3.5197e-11,58.4,21.25
-2.439162e+05,-4.114694e+06,3.2603e-11,58.4,21.25
-2.439162e+05,-4.111194e+06,3.3527e-11,58.4,21.25
-2.439162e+05,-4.107694e+06,3.381e-11,58.4,21.25
-2.439162e+05,-4.104194e+06,3.4777e-11,58.4,21.25
-2.439162e+05,-4.100694e+06,3.4647e-11,58.4,21.25
-2.439162e+05,-4.097194e+06,3.5873e-11,58.4,21.25
-2.439162e+05,-4.093694e+06,3.437e-11,58.4,21.25
-2.439162e+05,-4.090194e+06,3.36e-11,58.4,21.25
-2.439162e+05,-4.086694e+06,3.3007e-11,58.4,21.25
-2.439162e+05,-4.083194e+06,3.3457e-11,58.4,21.25
-2.439162e+05,-4.079694e+06,3.2103e-11,58.4,21.25
-2.439162e+05,-4.076194e+06,3.3967e-11,58.4,21.25
-2.439162e+05,-4.072694e+06,3.5397e-11,58.4,21.25
-2.439162e+05,-4.069194e+06,3.442e-11,58.4,21.25
-2.439162e+05,-4.065694e+06,3.3573e-11,58.4,21.25
-2.439162e+05,-4.062194e+06,3.4797e-11,58.4,21.25
-2.439162e+05,-4.058694e+06,3.38e-11,58.4,21.25
-2.439162e+05,-4.055194e+06,3.4713e-11,58.4,21.25
-2.439162e+05,-4.051694e+06,3.4903e-11,58.4,21.25
-2.439162e+05,-4.048194e+06,3.4657e-11,58.4,21.25
-2.439162e+05,-4.044694e+06,3.3543e-11,58.4,21.25
-2.439162e+05,-4.041194e+06,3.3127e-11,58.4,21.25
-2.439162e+05,-4.037694e+06,3.3603e-11,58.4,21.25
-2.439162e+05,-4.034194e+06,3.6217e-11,58.4,21.25
-2.439162e+05,-4.030694e+06,3.1697e-11,58.4,21.25
-2.439162e+05,-4.027194e+06,3.398e-11,58.4,21.25
-2.404162e+05,-4.226694e+06,3.4167e-11,58.4,21.25
-2.404162e+05,-4.223194e+06,3.3253e-11,58.4,21.25
-2.404162e+05,-4.219694e+06,3.3417e-11,58.4,21.25
-2.404162e+05,-4.216194e+06,3.4403e-11,58.4,21.25
-2.404162e+05,-4.212694e+06,3.398e-11,58.4,21.25
-2.404162e+05,-4.209194e+06,3.6267e-11,58.4,21.25
-2.404162e+05,-4.205694e+06,3.5203e-11,58.4,21.25
-2.404162e+05,-4.202194e+06,3.53e-11,58.4,21.25
-2.404162e+05,-4.198694e+06,3.5507e-11,58.4,21.25
-2.404162e+05,-4.195194e+06,3.416e-11,58.4,21.25
-2.404162e+05,-4.191694e+06,3.5047e-11,58.4,21.25
-2.404162e+05,-4.188194e+06,3.419e-11,58.4,21.25
-2.404162e+05,-4.184694e+06,3.4053e-11,58.4,21.25
-2.404162e+05,-4.181194e+06,3.335e-11,58.4,21.25
-2.404162e+05,-4.177694e+06,3.849e-11,58.4,21.25
-2.404162e+05,-4.174194e+06,3.4783e-11,58.4,21.25
-2.404162e+05,-4.170694e+06,3.5153e-11,58.4,21.25
-2.404162e+05,-4.167194e+06,3.4783e-11,58.4,21.25
-2.404162e+05,-4.163694e+06,3.5457e-11,58.4,21.25
-2.404162e+05,-4.160194e+06,3.416e-11,58.4,21.25
-2.404162e+05,-4.156694e+06,3.479e-11,58.4,21.25
-2.404162e+05,-4.153194e+06,3.655e-11,58.4,21.25
-2.404162e+05,-4.149694e+06,3.5553e-11,58.4,21.25
-2.404162e+05,-4.146194e+06,3.2447e-11,58.4,21.25
-2.404162e+05,-4.142694e+06,3.5397e-11,58.4,21.25
-2.404162e+05,-4.139194e+06,3.4913e-11,58.4,21.25
-2.404162e+05,-4.135694e+06,3.3477e-11,58.4,21.25
-2.404162e+05,-4.132194e+06,3.4667e-11,58.4,21.25
-2.404162e+05,-4.128694e+06,3.4123e-11,58.4,21.25
-2.404162e+05,-4.125194e+06,3.4287e-11,58.4,21.25
-2.404162e+05,-4.121694e+06,3.5033e-11,58.4,21.25
-2.404162e+05,-4.118194e+06,3.285e-11,58.4,21.25
-2.404162e+05,-4.114694e+06,3.3167e-11,58.4,21.25
-2.404162e+05,-4.111194e+06,3.648e-11,58.4,21.25
-2.404162e+05,-4.107694e+06,3.2847e-11,58.4,21.25
-2.404162e+05,-4.104194e+06,3.316e-11,58.4,21.25
-2.404162e+05,-4.100694e+06,3.4397e-11,58.4,21.25
-2.404162e+05,-4.097194e+06,3.5297e-11,58.4,21.25
