General parameters:
Start time: 2023              8             25             16             14       32.34557
Finish time: 2023              8             25             17              1      47.036293
Raster type: raster_jump
Horizontal range (nm): -3931872.030434,-4131872.030434
Vertical range (nm): 91530.716241,-108469.283759
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.10e-07
Sample chamber pressure: 3.78e-08
Initial position (nm): -4027191.000000,-44420.000000,-1000015.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3931872.0304     -4131872.0304
hori_res:3500
vert_range:91530.71624     -108469.2838
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.780452
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.084693e+05,-4.131872e+06,6.9407e-11,58.3,21.25
-1.084693e+05,-4.128372e+06,3.617e-11,58.3,21.25
-1.084693e+05,-4.124872e+06,3.7667e-11,58.3,21.25
-1.084693e+05,-4.121372e+06,3.715e-11,58.3,21.25
-1.084693e+05,-4.117872e+06,3.585e-11,58.3,21.25
-1.084693e+05,-4.114372e+06,3.6617e-11,58.3,21.25
-1.084693e+05,-4.110872e+06,3.605e-11,58.3,21.25
-1.084693e+05,-4.107372e+06,3.4397e-11,58.4,21.25
-1.084693e+05,-4.103872e+06,3.605e-11,58.4,21.25
-1.084693e+05,-4.100372e+06,3.597e-11,58.4,21.25
-1.084693e+05,-4.096872e+06,3.5363e-11,58.3,21.25
-1.084693e+05,-4.093372e+06,3.5707e-11,58.4,21.25
-1.084693e+05,-4.089872e+06,3.5267e-11,58.4,21.25
-1.084693e+05,-4.086372e+06,3.602e-11,58.4,21.25
-1.084693e+05,-4.082872e+06,3.5023e-11,58.4,21.25
-1.084693e+05,-4.079372e+06,3.5213e-11,58.4,21.25
-1.084693e+05,-4.075872e+06,3.5487e-11,58.4,21.25
-1.084693e+05,-4.072372e+06,3.6303e-11,58.4,21.25
-1.084693e+05,-4.068872e+06,3.505e-11,58.4,21.25
-1.084693e+05,-4.065372e+06,3.3737e-11,58.4,21.25
