General parameters:
Start time: 2023              8             25             17              1      58.503589
Finish time: 2023              8             25             17             49       11.31197
Raster type: raster_jump
Horizontal range (nm): -3814970.986544,-4014970.986544
Vertical range (nm): 208454.329675,8454.329675
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.08e-07
Sample chamber pressure: 3.79e-08
Initial position (nm): -3932372.000000,91030.000000,-1000008.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3814970.9865     -4014970.9865
hori_res:3500
vert_range:208454.3297      8454.329675
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.782162
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
8.454330e+03,-4.014971e+06,5.801e-11,58.2,21.25
8.454330e+03,-4.011471e+06,3.3903e-11,58.2,21.25
8.454330e+03,-4.007971e+06,3.5107e-11,58.2,21.25
8.454330e+03,-4.004471e+06,3.6e-11,58.2,21.25
8.454330e+03,-4.000971e+06,3.5467e-11,58.2,21.25
8.454330e+03,-3.997471e+06,3.455e-11,58.2,21.25
8.454330e+03,-3.993971e+06,3.73e-11,58.2,21.25
8.454330e+03,-3.990471e+06,3.3947e-11,58.2,21.25
8.454330e+03,-3.986971e+06,3.5987e-11,58.2,21.25
8.454330e+03,-3.983471e+06,3.3803e-11,58.2,21.25
8.454330e+03,-3.979971e+06,3.755e-11,58.2,21.25
8.454330e+03,-3.976471e+06,3.6297e-11,58.2,21.25
8.454330e+03,-3.972971e+06,3.5307e-11,58.2,21.25
8.454330e+03,-3.969471e+06,3.3617e-11,58.2,21.25
8.454330e+03,-3.965971e+06,3.2667e-11,58.2,21.25
8.454330e+03,-3.962471e+06,3.7047e-11,58.2,21.25
8.454330e+03,-3.958971e+06,3.436e-11,58.2,21.25
8.454330e+03,-3.955471e+06,3.4317e-11,58.2,21.25
8.454330e+03,-3.951971e+06,3.532e-11,58.2,21.25
8.454330e+03,-3.948471e+06,3.5357e-11,58.2,21.25
8.454330e+03,-3.944971e+06,3.5107e-11,58.2,21.25
8.454330e+03,-3.941471e+06,3.32e-11,58.2,21.25
8.454330e+03,-3.937971e+06,3.6333e-11,58.2,21.25
8.454330e+03,-3.934471e+06,3.5427e-11,58.2,21.25
8.454330e+03,-3.930971e+06,3.6687e-11,58.2,21.25
8.454330e+03,-3.927471e+06,3.3113e-11,58.2,21.25
8.454330e+03,-3.923971e+06,3.654e-11,58.2,21.25
8.454330e+03,-3.920471e+06,3.61e-11,58.2,21.25
8.454330e+03,-3.916971e+06,3.4707e-11,58.2,21.25
8.454330e+03,-3.913471e+06,3.8813e-11,58.2,21.25
8.454330e+03,-3.909971e+06,3.6633e-11,58.2,21.25
8.454330e+03,-3.906471e+06,3.4507e-11,58.2,21.25
8.454330e+03,-3.902971e+06,3.4283e-11,58.2,21.25
8.454330e+03,-3.899471e+06,3.4703e-11,58.2,21.25
8.454330e+03,-3.895971e+06,3.5637e-11,58.2,21.25
8.454330e+03,-3.892471e+06,3.496e-11,58.2,21.25
8.454330e+03,-3.888971e+06,3.3303e-11,58.2,21.25
8.454330e+03,-3.885471e+06,3.611e-11,58.2,21.25
8.454330e+03,-3.881971e+06,3.366e-11,58.2,21.25
8.454330e+03,-3.878471e+06,3.605e-11,58.2,21.25
8.454330e+03,-3.874971e+06,3.3957e-11,58.2,21.25
8.454330e+03,-3.871471e+06,3.5373e-11,58.2,21.25
8.454330e+03,-3.867971e+06,3.5217e-11,58.2,21.25
