General parameters:
Start time: 2023              8             25             17             49      22.756916
Finish time: 2023              8             25             18             36      30.530609
Raster type: raster_jump
Horizontal range (nm): -3679542.359786,-3879542.359786
Vertical range (nm): 303301.957456,103301.957456
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.07e-07
Sample chamber pressure: 3.79e-08
Initial position (nm): -3815473.000000,207956.000000,-1000020.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3679542.3598     -3879542.3598
hori_res:3500
vert_range:303301.9575      103301.9575
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.776690
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.033020e+05,-3.879542e+06,3.5997e-11,58.1,21.25
1.033020e+05,-3.876042e+06,3.556e-11,58.1,21.25
1.033020e+05,-3.872542e+06,3.5503e-11,58.1,21.25
1.033020e+05,-3.869042e+06,3.6117e-11,58.1,21.25
1.033020e+05,-3.865542e+06,3.9437e-11,58.1,21.25
1.033020e+05,-3.862042e+06,3.8053e-11,58.1,21.25
1.033020e+05,-3.858542e+06,3.5257e-11,58.1,21.25
1.033020e+05,-3.855042e+06,3.699e-11,58.1,21.25
1.033020e+05,-3.851542e+06,3.748e-11,58.1,21.25
1.033020e+05,-3.848042e+06,3.5097e-11,58.1,21.25
1.033020e+05,-3.844542e+06,3.5247e-11,58.1,21.25
1.033020e+05,-3.841042e+06,3.6033e-11,58.1,21.25
1.033020e+05,-3.837542e+06,3.51e-11,58.1,21.25
1.033020e+05,-3.834042e+06,3.5247e-11,58.1,21.25
1.033020e+05,-3.830542e+06,3.5073e-11,58.1,21.25
1.033020e+05,-3.827042e+06,3.5307e-11,58.1,21.25
1.033020e+05,-3.823542e+06,3.602e-11,58.1,21.25
1.033020e+05,-3.820042e+06,3.5377e-11,58.1,21.25
1.033020e+05,-3.816542e+06,3.839e-11,58.1,21.25
1.033020e+05,-3.813042e+06,3.5563e-11,58.1,21.25
1.033020e+05,-3.809542e+06,3.704e-11,58.1,21.25
1.033020e+05,-3.806042e+06,3.6677e-11,58.1,21.25
1.033020e+05,-3.802542e+06,3.4937e-11,58.1,21.25
1.033020e+05,-3.799042e+06,3.5663e-11,58.1,21.25
1.033020e+05,-3.795542e+06,3.4457e-11,58.1,21.25
1.033020e+05,-3.792042e+06,3.5803e-11,58.1,21.25
1.033020e+05,-3.788542e+06,3.4397e-11,58.1,21.25
1.033020e+05,-3.785042e+06,3.6767e-11,58.1,21.25
1.033020e+05,-3.781542e+06,3.4787e-11,58.1,21.25
1.033020e+05,-3.778042e+06,3.6273e-11,58.1,21.25
1.033020e+05,-3.774542e+06,3.663e-11,58.1,21.25
1.033020e+05,-3.771042e+06,3.5787e-11,58.1,21.25
1.033020e+05,-3.767542e+06,3.5007e-11,58.1,21.25
1.033020e+05,-3.764042e+06,3.7087e-11,58.1,21.25
1.033020e+05,-3.760542e+06,3.4967e-11,58.1,21.25
1.033020e+05,-3.757042e+06,3.6137e-11,58.1,21.25
1.033020e+05,-3.753542e+06,3.5737e-11,58.1,21.25
1.033020e+05,-3.750042e+06,3.7063e-11,58.1,21.25
1.033020e+05,-3.746542e+06,3.6793e-11,58.1,21.25
1.033020e+05,-3.743042e+06,3.4903e-11,58.1,21.25
1.033020e+05,-3.739542e+06,3.7287e-11,58.1,21.25
1.033020e+05,-3.736042e+06,3.492e-11,58.1,21.25
1.033020e+05,-3.732542e+06,3.594e-11,58.1,21.25
1.033020e+05,-3.729042e+06,3.5693e-11,58.1,21.25
1.033020e+05,-3.725542e+06,3.5793e-11,58.1,21.25
1.033020e+05,-3.722042e+06,3.4483e-11,58.1,21.25
1.033020e+05,-3.718542e+06,3.668e-11,58.1,21.25
1.033020e+05,-3.715042e+06,3.4803e-11,58.1,21.25
1.033020e+05,-3.711542e+06,3.665e-11,58.1,21.25
1.033020e+05,-3.708042e+06,3.7743e-11,58.1,21.25
1.033020e+05,-3.704542e+06,3.602e-11,58.1,21.25
1.033020e+05,-3.701042e+06,3.714e-11,58.1,21.25
1.033020e+05,-3.697542e+06,3.4253e-11,58.1,21.25
1.033020e+05,-3.694042e+06,3.5943e-11,58.1,21.25
1.033020e+05,-3.690542e+06,3.6263e-11,58.1,21.25
1.033020e+05,-3.687042e+06,3.5523e-11,58.1,21.25
1.033020e+05,-3.683542e+06,3.538e-11,58.1,21.25
1.033020e+05,-3.680042e+06,3.587e-11,58.1,21.25
1.068020e+05,-3.879542e+06,3.3913e-11,58.1,21.25
1.068020e+05,-3.876042e+06,3.6813e-11,58.1,21.25
1.068020e+05,-3.872542e+06,3.5987e-11,58.1,21.25
1.068020e+05,-3.869042e+06,3.6533e-11,58.1,21.25
1.068020e+05,-3.865542e+06,3.8267e-11,58.1,21.25
1.068020e+05,-3.862042e+06,3.5457e-11,58.1,21.25
1.068020e+05,-3.858542e+06,3.608e-11,58.1,21.25
1.068020e+05,-3.855042e+06,3.4903e-11,58.1,21.25
1.068020e+05,-3.851542e+06,3.6273e-11,58.1,21.25
1.068020e+05,-3.848042e+06,3.6893e-11,58.1,21.25
1.068020e+05,-3.844542e+06,3.5083e-11,58.1,21.25
1.068020e+05,-3.841042e+06,3.548e-11,58.1,21.25
1.068020e+05,-3.837542e+06,3.6457e-11,58.1,21.25
1.068020e+05,-3.834042e+06,3.4253e-11,58.1,21.25
1.068020e+05,-3.830542e+06,3.4683e-11,58.1,21.25
1.068020e+05,-3.827042e+06,3.5957e-11,58.1,21.25
1.068020e+05,-3.823542e+06,3.654e-11,58.1,21.25
1.068020e+05,-3.820042e+06,3.6767e-11,58.1,21.25
1.068020e+05,-3.816542e+06,3.6303e-11,58.1,21.25
1.068020e+05,-3.813042e+06,3.278e-11,58.1,21.25
1.068020e+05,-3.809542e+06,3.6413e-11,58.1,21.25
1.068020e+05,-3.806042e+06,3.5147e-11,58.1,21.25
1.068020e+05,-3.802542e+06,3.5703e-11,58.1,21.25
1.068020e+05,-3.799042e+06,3.5973e-11,58.1,21.25
1.068020e+05,-3.795542e+06,3.5017e-11,58.1,21.25
