General parameters:
Start time: 2023              8             25             18             36       41.96371
Finish time: 2023              8             25             19             23      54.813805
Raster type: raster_jump
Horizontal range (nm): -3529701.080455,-3729701.080455
Vertical range (nm): 373191.702409,173191.702409
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.06e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -3680027.000000,302800.000000,-999990.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3529701.0805     -3729701.0805
hori_res:3500
vert_range:373191.7024      173191.7024
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.770534
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.731917e+05,-3.729701e+06,3.828e-11,58.1,21.25
1.731917e+05,-3.726201e+06,3.5793e-11,58.1,21.25
1.731917e+05,-3.722701e+06,3.8677e-11,58.1,21.25
1.731917e+05,-3.719201e+06,3.8567e-11,58.1,21.25
1.731917e+05,-3.715701e+06,3.5533e-11,58.1,21.25
1.731917e+05,-3.712201e+06,3.6527e-11,58.1,21.25
1.731917e+05,-3.708701e+06,3.7253e-11,58.1,21.25
1.731917e+05,-3.705201e+06,3.8317e-11,58.1,21.25
1.731917e+05,-3.701701e+06,3.801e-11,58.1,21.25
1.731917e+05,-3.698201e+06,3.7613e-11,58.1,21.25
1.731917e+05,-3.694701e+06,3.8543e-11,58.1,21.25
1.731917e+05,-3.691201e+06,3.8083e-11,58.1,21.25
1.731917e+05,-3.687701e+06,3.7297e-11,58.1,21.25
1.731917e+05,-3.684201e+06,3.6413e-11,58.1,21.25
1.731917e+05,-3.680701e+06,3.767e-11,58.1,21.25
1.731917e+05,-3.677201e+06,3.8447e-11,58.1,21.25
1.731917e+05,-3.673701e+06,3.715e-11,58.1,21.25
1.731917e+05,-3.670201e+06,3.8427e-11,58.1,21.25
1.731917e+05,-3.666701e+06,3.737e-11,58.1,21.25
1.731917e+05,-3.663201e+06,3.7433e-11,58.1,21.25
1.731917e+05,-3.659701e+06,3.554e-11,58.1,21.25
1.731917e+05,-3.656201e+06,3.951e-11,58.1,21.25
1.731917e+05,-3.652701e+06,3.6493e-11,58.1,21.25
1.731917e+05,-3.649201e+06,3.669e-11,58.1,21.25
1.731917e+05,-3.645701e+06,3.8293e-11,58.1,21.25
1.731917e+05,-3.642201e+06,3.7317e-11,58.1,21.25
1.731917e+05,-3.638701e+06,3.7647e-11,58.1,21.25
1.731917e+05,-3.635201e+06,3.7677e-11,58.1,21.25
1.731917e+05,-3.631701e+06,3.6397e-11,58.1,21.25
1.731917e+05,-3.628201e+06,3.6993e-11,58.1,21.25
1.731917e+05,-3.624701e+06,3.6337e-11,58.1,21.25
1.731917e+05,-3.621201e+06,3.823e-11,58.1,21.25
1.731917e+05,-3.617701e+06,3.8267e-11,58.1,21.25
1.731917e+05,-3.614201e+06,3.737e-11,58.1,21.25
1.731917e+05,-3.610701e+06,3.804e-11,58.1,21.25
1.731917e+05,-3.607201e+06,3.6357e-11,58.1,21.25
1.731917e+05,-3.603701e+06,3.76e-11,58.1,21.25
1.731917e+05,-3.600201e+06,3.6787e-11,58.1,21.25
1.731917e+05,-3.596701e+06,3.8e-11,58.1,21.25
1.731917e+05,-3.593201e+06,3.7057e-11,58.1,21.25
1.731917e+05,-3.589701e+06,3.7037e-11,58.1,21.25
1.731917e+05,-3.586201e+06,3.732e-11,58.1,21.25
1.731917e+05,-3.582701e+06,3.9567e-11,58.1,21.25
1.731917e+05,-3.579201e+06,3.785e-11,58.1,21.25
1.731917e+05,-3.575701e+06,3.855e-11,58.1,21.25
1.731917e+05,-3.572201e+06,3.6303e-11,58.1,21.25
1.731917e+05,-3.568701e+06,3.6987e-11,58.1,21.25
1.731917e+05,-3.565201e+06,3.7927e-11,58.1,21.25
1.731917e+05,-3.561701e+06,4.0087e-11,58.1,21.25
1.731917e+05,-3.558201e+06,3.757e-11,58.1,21.25
1.731917e+05,-3.554701e+06,3.7393e-11,58.1,21.25
1.731917e+05,-3.551201e+06,3.656e-11,58.1,21.25
1.731917e+05,-3.547701e+06,3.7873e-11,58.1,21.25
1.731917e+05,-3.544201e+06,3.834e-11,58.1,21.25
1.731917e+05,-3.540701e+06,3.7817e-11,58.1,21.25
1.731917e+05,-3.537201e+06,3.8503e-11,58.1,21.25
1.731917e+05,-3.533701e+06,3.6583e-11,58.1,21.25
1.731917e+05,-3.530201e+06,3.766e-11,58.1,21.25
1.766917e+05,-3.729701e+06,3.6797e-11,58.1,21.25
1.766917e+05,-3.726201e+06,3.743e-11,58.1,21.25
1.766917e+05,-3.722701e+06,3.8193e-11,58.1,21.25
1.766917e+05,-3.719201e+06,3.7973e-11,58.1,21.25
1.766917e+05,-3.715701e+06,3.8503e-11,58.1,21.25
1.766917e+05,-3.712201e+06,3.785e-11,58.1,21.25
1.766917e+05,-3.708701e+06,3.793e-11,58.1,21.25
1.766917e+05,-3.705201e+06,3.8093e-11,58.1,21.25
1.766917e+05,-3.701701e+06,3.7527e-11,58.1,21.25
1.766917e+05,-3.698201e+06,3.8533e-11,58.1,21.25
1.766917e+05,-3.694701e+06,3.7403e-11,58.1,21.25
1.766917e+05,-3.691201e+06,3.726e-11,58.1,21.25
1.766917e+05,-3.687701e+06,3.7687e-11,58.1,21.25
1.766917e+05,-3.684201e+06,3.8853e-11,58.1,21.25
1.766917e+05,-3.680701e+06,3.7293e-11,58.1,21.25
1.766917e+05,-3.677201e+06,3.752e-11,58.1,21.25
1.766917e+05,-3.673701e+06,3.9347e-11,58.1,21.25
1.766917e+05,-3.670201e+06,4.1517e-11,58.1,21.25
1.766917e+05,-3.666701e+06,3.4753e-11,58.1,21.25
1.766917e+05,-3.663201e+06,3.702e-11,58.1,21.25
1.766917e+05,-3.659701e+06,3.7713e-11,58.1,21.25
1.766917e+05,-3.656201e+06,3.7633e-11,58.1,21.25
1.766917e+05,-3.652701e+06,3.675e-11,58.1,21.25
1.766917e+05,-3.649201e+06,3.5897e-11,58.1,21.25
1.766917e+05,-3.645701e+06,3.6697e-11,58.1,21.25
1.766917e+05,-3.642201e+06,3.615e-11,58.1,21.25
1.766917e+05,-3.638701e+06,3.8933e-11,58.1,21.25
1.766917e+05,-3.635201e+06,3.727e-11,58.1,21.25
1.766917e+05,-3.631701e+06,3.904e-11,58.1,21.25
1.766917e+05,-3.628201e+06,3.712e-11,58.1,21.25
1.766917e+05,-3.624701e+06,3.579e-11,58.1,21.25
1.766917e+05,-3.621201e+06,3.7083e-11,58.1,21.25
1.766917e+05,-3.617701e+06,3.671e-11,58.1,21.25
1.766917e+05,-3.614201e+06,3.946e-11,58.1,21.25
1.766917e+05,-3.610701e+06,3.701e-11,58.1,21.25
1.766917e+05,-3.607201e+06,3.6213e-11,58.1,21.25
1.766917e+05,-3.603701e+06,3.8153e-11,58.1,21.25
1.766917e+05,-3.600201e+06,3.7043e-11,58.1,21.25
1.766917e+05,-3.596701e+06,4.1727e-11,58.1,21.25
1.766917e+05,-3.593201e+06,3.8577e-11,58.1,21.25
1.766917e+05,-3.589701e+06,3.7013e-11,58.1,21.25
1.766917e+05,-3.586201e+06,4.0263e-11,58.1,21.25
1.766917e+05,-3.582701e+06,4.34e-11,58.1,21.25
1.766917e+05,-3.579201e+06,3.8723e-11,58.1,21.25
1.766917e+05,-3.575701e+06,3.7567e-11,58.1,21.25
1.766917e+05,-3.572201e+06,3.7257e-11,58.1,21.25
1.766917e+05,-3.568701e+06,3.7737e-11,58.1,21.25
1.766917e+05,-3.565201e+06,3.6553e-11,58.1,21.25
1.766917e+05,-3.561701e+06,3.6773e-11,58.1,21.25
1.766917e+05,-3.558201e+06,3.789e-11,58.1,21.25
1.766917e+05,-3.554701e+06,3.7057e-11,58.1,21.25
1.766917e+05,-3.551201e+06,3.6833e-11,58.1,21.25
1.766917e+05,-3.547701e+06,3.7203e-11,58.1,21.25
