General parameters:
Start time: 2023              8             25             19             24       6.331592
Finish time: 2023              8             25             20             11      19.082084
Raster type: raster_jump
Horizontal range (nm): -3370000.000000,-3570000.000000
Vertical range (nm): 416000.000000,216000.000000
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.06e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -3530190.000000,372690.000000,-999990.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3370000 -3570000
hori_res:3500
vert_range:416000  216000
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.772244
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
216000,-3570000,3.856e-11,58.0,21.25
216000,-3566500,3.968e-11,58.0,21.25
216000,-3563000,3.9263e-11,58.0,21.25
216000,-3559500,4.024e-11,58.0,21.25
216000,-3556000,3.872e-11,58.0,21.25
216000,-3552500,3.9583e-11,58.0,21.25
216000,-3549000,3.9673e-11,58.0,21.25
216000,-3545500,4.116e-11,58.0,21.25
216000,-3542000,3.7863e-11,58.0,21.25
216000,-3538500,3.8457e-11,58.0,21.25
216000,-3535000,3.8977e-11,58.0,21.25
216000,-3531500,3.789e-11,58.0,21.25
216000,-3528000,3.959e-11,58.0,21.25
216000,-3524500,3.7243e-11,58.0,21.25
216000,-3521000,3.8543e-11,58.0,21.25
216000,-3517500,3.9077e-11,58.0,21.25
216000,-3514000,3.8253e-11,58.0,21.25
216000,-3510500,3.8583e-11,58.0,21.25
216000,-3507000,3.913e-11,58.0,21.25
216000,-3503500,3.8823e-11,58.0,21.25
216000,-3500000,3.799e-11,58.0,21.25
216000,-3496500,3.7447e-11,58.0,21.25
216000,-3493000,3.9507e-11,58.0,21.25
216000,-3489500,3.878e-11,58.0,21.25
216000,-3486000,4.0207e-11,58.0,21.25
216000,-3482500,4.002e-11,58.0,21.25
216000,-3479000,3.997e-11,58.0,21.25
216000,-3475500,3.9587e-11,58.0,21.25
216000,-3472000,4.0307e-11,58.0,21.25
216000,-3468500,3.6893e-11,58.0,21.25
216000,-3465000,3.6717e-11,58.0,21.25
216000,-3461500,3.99e-11,58.0,21.25
216000,-3458000,3.6677e-11,58.0,21.25
216000,-3454500,4.0347e-11,58.0,21.25
216000,-3451000,3.891e-11,58.0,21.25
216000,-3447500,4.3853e-11,58.0,21.25
216000,-3444000,4.1117e-11,58.0,21.25
216000,-3440500,4.1683e-11,58.0,21.25
216000,-3437000,3.7497e-11,58.0,21.25
216000,-3433500,3.9137e-11,58.0,21.25
216000,-3430000,3.8037e-11,58.0,21.25
216000,-3426500,3.8123e-11,58.0,21.25
216000,-3423000,4.12e-11,58.0,21.25
216000,-3419500,4.0523e-11,58.0,21.25
216000,-3416000,3.789e-11,58.0,21.25
216000,-3412500,3.9103e-11,58.0,21.25
216000,-3409000,3.876e-11,58.0,21.25
216000,-3405500,4.141e-11,58.0,21.25
216000,-3402000,4.0747e-11,58.0,21.25
216000,-3398500,3.8753e-11,58.0,21.25
216000,-3395000,3.9893e-11,58.0,21.25
216000,-3391500,3.982e-11,58.0,21.25
216000,-3388000,3.9343e-11,58.0,21.25
216000,-3384500,3.834e-11,58.0,21.25
216000,-3381000,3.7717e-11,58.0,21.25
216000,-3377500,3.9813e-11,58.0,21.25
216000,-3374000,3.68e-11,58.0,21.25
216000,-3370500,3.8107e-11,58.0,21.25
219500,-3570000,3.9357e-11,58.0,21.25
219500,-3566500,3.7277e-11,58.0,21.25
219500,-3563000,4.032e-11,58.0,21.25
219500,-3559500,3.7207e-11,58.0,21.25
219500,-3556000,3.7827e-11,58.0,21.25
