General parameters:
Start time: 2023              8             25             20             58      50.833831
Finish time: 2023              8             25             21             46        1.44183
Raster type: raster_jump
Horizontal range (nm): -3040580.328025,-3240580.328025
Vertical range (nm): 416031.796696,216031.796696
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.06e-07
Sample chamber pressure: 3.74e-08
Initial position (nm): -3205788.000000,429922.000000,-999989.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3040580.328      -3240580.328
hori_res:3500
vert_range:416031.7967      216031.7967
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.790028
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.160318e+05,-3.240580e+06,3.5663e-11,57.9,21.25
2.160318e+05,-3.237080e+06,3.3403e-11,57.9,21.25
2.160318e+05,-3.233580e+06,3.49e-11,57.9,21.25
2.160318e+05,-3.230080e+06,3.5403e-11,57.9,21.25
2.160318e+05,-3.226580e+06,3.51e-11,57.9,21.25
2.160318e+05,-3.223080e+06,3.522e-11,57.9,21.25
2.160318e+05,-3.219580e+06,3.79e-11,57.9,21.25
2.160318e+05,-3.216080e+06,3.4323e-11,57.9,21.25
2.160318e+05,-3.212580e+06,3.6597e-11,57.9,21.25
2.160318e+05,-3.209080e+06,3.742e-11,57.9,21.25
2.160318e+05,-3.205580e+06,3.5863e-11,57.9,21.25
2.160318e+05,-3.202080e+06,3.6187e-11,57.9,21.25
2.160318e+05,-3.198580e+06,3.5383e-11,57.9,21.25
2.160318e+05,-3.195080e+06,3.4887e-11,57.9,21.25
2.160318e+05,-3.191580e+06,3.5647e-11,57.9,21.25
2.160318e+05,-3.188080e+06,3.72e-11,57.9,21.25
2.160318e+05,-3.184580e+06,3.4637e-11,57.9,21.25
2.160318e+05,-3.181080e+06,3.3103e-11,57.9,21.25
2.160318e+05,-3.177580e+06,3.5327e-11,57.9,21.25
2.160318e+05,-3.174080e+06,3.4807e-11,57.9,21.25
2.160318e+05,-3.170580e+06,3.3277e-11,57.9,21.25
2.160318e+05,-3.167080e+06,3.5e-11,57.9,21.25
2.160318e+05,-3.163580e+06,3.5453e-11,57.9,21.25
2.160318e+05,-3.160080e+06,3.7297e-11,57.9,21.25
2.160318e+05,-3.156580e+06,3.5077e-11,57.9,21.25
2.160318e+05,-3.153080e+06,3.522e-11,57.9,21.25
2.160318e+05,-3.149580e+06,3.628e-11,57.9,21.25
2.160318e+05,-3.146080e+06,3.4227e-11,57.9,21.25
2.160318e+05,-3.142580e+06,3.4923e-11,57.9,21.25
2.160318e+05,-3.139080e+06,3.6347e-11,57.9,21.25
2.160318e+05,-3.135580e+06,4.0033e-11,57.9,21.25
2.160318e+05,-3.132080e+06,4.03e-11,57.9,21.25
2.160318e+05,-3.128580e+06,3.8607e-11,57.9,21.25
2.160318e+05,-3.125080e+06,3.6067e-11,57.9,21.25
2.160318e+05,-3.121580e+06,3.465e-11,57.9,21.25
2.160318e+05,-3.118080e+06,3.506e-11,57.9,21.25
2.160318e+05,-3.114580e+06,3.867e-11,57.9,21.25
