General parameters:
Start time: 2023              8             25             22             33      36.171098
Finish time: 2023              8             25             23             20      50.686642
Raster type: raster_jump
Horizontal range (nm): -2731016.218018,-2931016.218018
Vertical range (nm): 303393.512394,103393.512394
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.04e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -2881369.000000,372757.000000,-999981.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2731016.218      -2931016.218
hori_res:3500
vert_range:303393.5124      103393.5124
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.812600
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.033935e+05,-2.931016e+06,3.4333e-11,57.7,21.25
1.033935e+05,-2.927516e+06,3.2257e-11,57.7,21.25
1.033935e+05,-2.924016e+06,3.3203e-11,57.7,21.25
1.033935e+05,-2.920516e+06,3.39e-11,57.7,21.25
1.033935e+05,-2.917016e+06,3.3983e-11,57.7,21.25
1.033935e+05,-2.913516e+06,3.346e-11,57.7,21.25
1.033935e+05,-2.910016e+06,3.5853e-11,57.7,21.25
1.033935e+05,-2.906516e+06,3.18e-11,57.7,21.25
1.033935e+05,-2.903016e+06,3.2927e-11,57.7,21.25
1.033935e+05,-2.899516e+06,3.3583e-11,57.7,21.25
1.033935e+05,-2.896016e+06,3.2887e-11,57.7,21.25
1.033935e+05,-2.892516e+06,3.4343e-11,57.7,21.25
1.033935e+05,-2.889016e+06,3.4687e-11,57.7,21.25
1.033935e+05,-2.885516e+06,3.3703e-11,57.7,21.25
1.033935e+05,-2.882016e+06,3.505e-11,57.7,21.25
1.033935e+05,-2.878516e+06,3.224e-11,57.7,21.25
1.033935e+05,-2.875016e+06,3.441e-11,57.7,21.25
1.033935e+05,-2.871516e+06,3.4833e-11,57.7,21.25
1.033935e+05,-2.868016e+06,3.1103e-11,57.7,21.25
1.033935e+05,-2.864516e+06,3.297e-11,57.7,21.25
1.033935e+05,-2.861016e+06,3.2443e-11,57.7,21.25
1.033935e+05,-2.857516e+06,3.1637e-11,57.7,21.25
1.033935e+05,-2.854016e+06,3.421e-11,57.7,21.25
1.033935e+05,-2.850516e+06,3.6153e-11,57.7,21.25
1.033935e+05,-2.847016e+06,3.516e-11,57.7,21.25
1.033935e+05,-2.843516e+06,3.2927e-11,57.7,21.25
1.033935e+05,-2.840016e+06,3.3137e-11,57.7,21.25
1.033935e+05,-2.836516e+06,3.253e-11,57.7,21.25
1.033935e+05,-2.833016e+06,3.448e-11,57.7,21.25
1.033935e+05,-2.829516e+06,3.2853e-11,57.7,21.25
1.033935e+05,-2.826016e+06,3.5057e-11,57.7,21.25
1.033935e+05,-2.822516e+06,3.4493e-11,57.7,21.25
1.033935e+05,-2.819016e+06,3.37e-11,57.7,21.25
1.033935e+05,-2.815516e+06,3.3607e-11,57.7,21.25
1.033935e+05,-2.812016e+06,3.3257e-11,57.7,21.25
1.033935e+05,-2.808516e+06,3.448e-11,57.7,21.25
1.033935e+05,-2.805016e+06,3.3467e-11,57.7,21.25
1.033935e+05,-2.801516e+06,3.3717e-11,57.7,21.25
1.033935e+05,-2.798016e+06,3.4483e-11,57.7,21.25
1.033935e+05,-2.794516e+06,3.4123e-11,57.7,21.25
