General parameters:
Start time: 2023              8             25             23             21       2.171714
Finish time: 2023              8             26              0              8      14.693107
Raster type: raster_jump
Horizontal range (nm): -2595569.283759,-2795569.283759
Vertical range (nm): 208572.030434,8572.030434
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.02e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -2731516.000000,302890.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2595569.2838     -2795569.2838
hori_res:3500
vert_range:208572.0304      8572.030434
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.821834
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
8.572030e+03,-2.795569e+06,3.7067e-11,57.6,21.25
8.572030e+03,-2.792069e+06,3.8483e-11,57.6,21.25
8.572030e+03,-2.788569e+06,3.535e-11,57.6,21.25
8.572030e+03,-2.785069e+06,3.562e-11,57.6,21.25
8.572030e+03,-2.781569e+06,3.3773e-11,57.6,21.25
8.572030e+03,-2.778069e+06,3.522e-11,57.6,21.25
8.572030e+03,-2.774569e+06,3.6063e-11,57.6,21.25
8.572030e+03,-2.771069e+06,3.5477e-11,57.6,21.25
8.572030e+03,-2.767569e+06,3.6023e-11,57.6,21.25
8.572030e+03,-2.764069e+06,3.265e-11,57.6,21.25
8.572030e+03,-2.760569e+06,3.5583e-11,57.6,21.25
8.572030e+03,-2.757069e+06,3.573e-11,57.6,21.25
8.572030e+03,-2.753569e+06,3.4933e-11,57.6,21.25
8.572030e+03,-2.750069e+06,3.4583e-11,57.6,21.25
8.572030e+03,-2.746569e+06,3.4827e-11,57.6,21.25
8.572030e+03,-2.743069e+06,3.4423e-11,57.6,21.25
8.572030e+03,-2.739569e+06,3.6147e-11,57.6,21.25
8.572030e+03,-2.736069e+06,3.5663e-11,57.6,21.25
8.572030e+03,-2.732569e+06,3.5907e-11,57.6,21.25
8.572030e+03,-2.729069e+06,3.612e-11,57.6,21.25
8.572030e+03,-2.725569e+06,3.5253e-11,57.6,21.25
8.572030e+03,-2.722069e+06,3.341e-11,57.6,21.25
8.572030e+03,-2.718569e+06,3.5953e-11,57.6,21.25
8.572030e+03,-2.715069e+06,3.6063e-11,57.6,21.25
8.572030e+03,-2.711569e+06,3.508e-11,57.6,21.25
