General parameters:
Start time: 2023              8             29             13             34      54.932469
Finish time: 2023              8             29             13             38      56.221567
Raster type: raster_jump
Horizontal range (nm): -3391996.000000,-3531996.000000
Vertical range (nm): 338000.000000,218000.000000
Horizontal pixel size (nm): 2000.000000
Vertical pixel size (nm): 2000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.93e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -1487788.000000,-960.000000,-999983.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3391996 -3531996
hori_res:2000
vert_range:338000  218000
vert_res:2000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.887498
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
218000,-3531996,4.7231e-11,48.4,21.25
218000,-3529996,4.3649e-11,48.4,21.25
218000,-3527996,4.6916e-11,48.4,21.25
218000,-3525996,4.3969e-11,48.4,21.25
218000,-3523996,4.6161e-11,48.4,21.25
218000,-3521996,4.4369e-11,48.4,21.25
218000,-3519996,4.6281e-11,48.4,21.25
218000,-3517996,4.404e-11,48.4,21.25
218000,-3515996,4.4836e-11,48.4,21.25
218000,-3513996,4.3661e-11,48.4,21.25
218000,-3511996,4.3612e-11,48.4,21.25
218000,-3509996,4.4564e-11,48.4,21.25
218000,-3507996,4.4164e-11,48.4,21.25
218000,-3505996,4.4094e-11,48.4,21.25
218000,-3503996,4.4772e-11,48.4,21.25
218000,-3501996,4.3609e-11,48.4,21.25
218000,-3499996,4.4479e-11,48.4,21.25
218000,-3497996,4.491e-11,48.4,21.25
218000,-3495996,4.4813e-11,48.4,21.25
218000,-3493996,4.2818e-11,48.4,21.25
218000,-3491996,4.4167e-11,48.4,21.25
218000,-3489996,4.516e-11,48.4,21.25
218000,-3487996,4.5412e-11,48.4,21.25
218000,-3485996,4.4516e-11,48.4,21.25
218000,-3483996,4.5378e-11,48.4,21.25
218000,-3481996,4.3818e-11,48.4,21.25
218000,-3479996,4.5654e-11,48.4,21.25
218000,-3477996,4.3525e-11,48.4,21.25
218000,-3475996,4.3242e-11,48.4,21.25
218000,-3473996,4.4076e-11,48.4,21.25
218000,-3471996,4.5175e-11,48.4,21.25
218000,-3469996,4.4421e-11,48.4,21.25
218000,-3467996,4.5082e-11,48.4,21.25
218000,-3465996,4.416e-11,48.4,21.25
218000,-3463996,4.4655e-11,48.4,21.25
218000,-3461996,4.424e-11,48.4,21.25
218000,-3459996,4.4543e-11,48.4,21.25
218000,-3457996,4.4118e-11,48.4,21.25
218000,-3455996,4.4607e-11,48.4,21.25
218000,-3453996,4.5485e-11,48.4,21.25
218000,-3451996,4.4557e-11,48.4,21.25
218000,-3449996,5.4493e-11,48.4,21.25
218000,-3447996,7.399e-11,48.4,21.25
218000,-3445996,9.6699e-11,48.4,21.25
218000,-3443996,1.1597e-10,48.4,21.25
218000,-3441996,1.2075e-10,48.4,21.25
