General parameters:
Start time: 2023              8             29             23             14      49.305067
Finish time: 2023              8             30              0              1      56.400751
Raster type: raster_jump
Horizontal range (nm): -4099883.048383,-4299883.048383
Vertical range (nm): -185284.968542,-385284.968542
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.83e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -3364005.000000,376000.000000,-1000001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4099883.0484     -4299883.0484
hori_res:3500
vert_range:-185284.9685     -385284.9685
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.903230
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-3.852850e+05,-4.299883e+06,4.686e-11,47.5,21.25
-3.852850e+05,-4.296383e+06,4.586e-11,47.5,21.25
-3.852850e+05,-4.292883e+06,4.7693e-11,47.5,21.25
-3.852850e+05,-4.289383e+06,4.43e-11,47.5,21.25
-3.852850e+05,-4.285883e+06,4.514e-11,47.5,21.25
-3.852850e+05,-4.282383e+06,4.762e-11,47.5,21.25
-3.852850e+05,-4.278883e+06,4.653e-11,47.5,21.25
-3.852850e+05,-4.275383e+06,4.6833e-11,47.5,21.25
-3.852850e+05,-4.271883e+06,4.4723e-11,47.5,21.25
-3.852850e+05,-4.268383e+06,4.5967e-11,47.5,21.25
-3.852850e+05,-4.264883e+06,4.3473e-11,47.5,21.25
-3.852850e+05,-4.261383e+06,4.7703e-11,47.5,21.25
-3.852850e+05,-4.257883e+06,4.76e-11,47.5,21.25
-3.852850e+05,-4.254383e+06,4.496e-11,47.5,21.25
-3.852850e+05,-4.250883e+06,4.563e-11,47.5,21.25
-3.852850e+05,-4.247383e+06,4.7683e-11,47.5,21.25
-3.852850e+05,-4.243883e+06,4.5737e-11,47.5,21.25
-3.852850e+05,-4.240383e+06,4.546e-11,47.5,21.25
-3.852850e+05,-4.236883e+06,4.6197e-11,47.5,21.25
-3.852850e+05,-4.233383e+06,4.566e-11,47.5,21.25
