General parameters:
Start time: 2023              8             30              0             49      28.211157
Finish time: 2023              8             30              1             36      40.476532
Raster type: raster_jump
Horizontal range (nm): -3927348.479015,-4127348.479015
Vertical range (nm): 91977.135055,-108022.864945
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.81e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -4026246.000000,-39610.000000,-999981.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3927348.479      -4127348.479
hori_res:3500
vert_range:91977.13506     -108022.8649
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.912464
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.080229e+05,-4.127348e+06,1.2956e-10,47.4,21.25
-1.080229e+05,-4.123848e+06,5.239e-11,47.4,21.25
-1.080229e+05,-4.120348e+06,4.843e-11,47.4,21.25
-1.080229e+05,-4.116848e+06,5.0027e-11,47.4,21.25
-1.080229e+05,-4.113348e+06,5.014e-11,47.4,21.25
-1.080229e+05,-4.109848e+06,5.2033e-11,47.4,21.25
-1.080229e+05,-4.106348e+06,5.016e-11,47.4,21.25
-1.080229e+05,-4.102848e+06,4.8837e-11,47.4,21.25
-1.080229e+05,-4.099348e+06,5.0403e-11,47.4,21.25
-1.080229e+05,-4.095848e+06,4.917e-11,47.4,21.25
-1.080229e+05,-4.092348e+06,5.1167e-11,47.4,21.25
-1.080229e+05,-4.088848e+06,4.951e-11,47.4,21.25
-1.080229e+05,-4.085348e+06,5.0753e-11,47.4,21.25
-1.080229e+05,-4.081848e+06,5.158e-11,47.4,21.25
-1.080229e+05,-4.078348e+06,5.205e-11,47.4,21.25
-1.080229e+05,-4.074848e+06,5.2087e-11,47.4,21.25
-1.080229e+05,-4.071348e+06,4.9453e-11,47.4,21.25
-1.080229e+05,-4.067848e+06,4.688e-11,47.4,21.25
-1.080229e+05,-4.064348e+06,5.1323e-11,47.4,21.25
-1.080229e+05,-4.060848e+06,5.0853e-11,47.4,21.25
-1.080229e+05,-4.057348e+06,4.8967e-11,47.4,21.25
-1.080229e+05,-4.053848e+06,4.937e-11,47.4,21.25
-1.080229e+05,-4.050348e+06,5.0787e-11,47.4,21.25
-1.080229e+05,-4.046848e+06,5.1473e-11,47.4,21.25
-1.080229e+05,-4.043348e+06,5.0753e-11,47.4,21.25
-1.080229e+05,-4.039848e+06,5.277e-11,47.4,21.25
-1.080229e+05,-4.036348e+06,5.0013e-11,47.4,21.25
-1.080229e+05,-4.032848e+06,4.831e-11,47.4,21.25
-1.080229e+05,-4.029348e+06,5.2053e-11,47.4,21.25
-1.080229e+05,-4.025848e+06,4.975e-11,47.4,21.25
-1.080229e+05,-4.022348e+06,5.0713e-11,47.4,21.25
-1.080229e+05,-4.018848e+06,5.085e-11,47.4,21.25
-1.080229e+05,-4.015348e+06,5.063e-11,47.4,21.25
-1.080229e+05,-4.011848e+06,5.0277e-11,47.4,21.25
-1.080229e+05,-4.008348e+06,5.0547e-11,47.4,21.25
-1.080229e+05,-4.004848e+06,5.021e-11,47.4,21.25
-1.080229e+05,-4.001348e+06,4.9507e-11,47.4,21.25
-1.080229e+05,-3.997848e+06,4.8973e-11,47.4,21.25
-1.080229e+05,-3.994348e+06,5.0483e-11,47.4,21.25
-1.080229e+05,-3.990848e+06,5.125e-11,47.4,21.25
-1.080229e+05,-3.987348e+06,5.223e-11,47.4,21.25
-1.080229e+05,-3.983848e+06,5.0783e-11,47.4,21.25
-1.080229e+05,-3.980348e+06,5.253e-11,47.4,21.25
-1.080229e+05,-3.976848e+06,4.8663e-11,47.4,21.25
-1.080229e+05,-3.973348e+06,5.249e-11,47.4,21.25
-1.080229e+05,-3.969848e+06,4.9537e-11,47.4,21.25
-1.080229e+05,-3.966348e+06,4.9993e-11,47.4,21.25
-1.080229e+05,-3.962848e+06,5.0063e-11,47.4,21.25
-1.080229e+05,-3.959348e+06,5.0293e-11,47.4,21.25
-1.080229e+05,-3.955848e+06,5.09e-11,47.4,21.25
-1.080229e+05,-3.952348e+06,4.8303e-11,47.4,21.25
-1.080229e+05,-3.948848e+06,5.0223e-11,47.4,21.25
-1.080229e+05,-3.945348e+06,4.9137e-11,47.4,21.25
-1.080229e+05,-3.941848e+06,5.0553e-11,47.4,21.25
-1.080229e+05,-3.938348e+06,5.1893e-11,47.4,21.25
-1.080229e+05,-3.934848e+06,5.0913e-11,47.4,21.25
-1.080229e+05,-3.931348e+06,5.11e-11,47.4,21.25
-1.080229e+05,-3.927848e+06,5.1367e-11,47.4,21.25
-1.045229e+05,-4.127348e+06,5.0017e-11,47.4,21.25
-1.045229e+05,-4.123848e+06,5.0577e-11,47.4,21.25
-1.045229e+05,-4.120348e+06,5.193e-11,47.4,21.25
-1.045229e+05,-4.116848e+06,5.328e-11,47.4,21.25
-1.045229e+05,-4.113348e+06,4.824e-11,47.4,21.25
-1.045229e+05,-4.109848e+06,5.0053e-11,47.4,21.25
-1.045229e+05,-4.106348e+06,4.873e-11,47.4,21.25
-1.045229e+05,-4.102848e+06,5.0067e-11,47.4,21.25
-1.045229e+05,-4.099348e+06,5.2093e-11,47.4,21.25
-1.045229e+05,-4.095848e+06,5.086e-11,47.4,21.25
-1.045229e+05,-4.092348e+06,5.1617e-11,47.4,21.25
-1.045229e+05,-4.088848e+06,5.0967e-11,47.4,21.25
-1.045229e+05,-4.085348e+06,5.0157e-11,47.4,21.25
-1.045229e+05,-4.081848e+06,5.3107e-11,47.4,21.25
-1.045229e+05,-4.078348e+06,5.3567e-11,47.4,21.25
-1.045229e+05,-4.074848e+06,5.1403e-11,47.4,21.25
-1.045229e+05,-4.071348e+06,5.4027e-11,47.4,21.25
-1.045229e+05,-4.067848e+06,4.81e-11,47.4,21.25
-1.045229e+05,-4.064348e+06,4.9433e-11,47.4,21.25
-1.045229e+05,-4.060848e+06,5.1547e-11,47.4,21.25
-1.045229e+05,-4.057348e+06,5.0953e-11,47.4,21.25
-1.045229e+05,-4.053848e+06,4.985e-11,47.4,21.25
-1.045229e+05,-4.050348e+06,5.0303e-11,47.4,21.25
-1.045229e+05,-4.046848e+06,5.1073e-11,47.4,21.25
-1.045229e+05,-4.043348e+06,5.038e-11,47.4,21.25
-1.045229e+05,-4.039848e+06,5.236e-11,47.4,21.25
-1.045229e+05,-4.036348e+06,5.0543e-11,47.4,21.25
-1.045229e+05,-4.032848e+06,5.1887e-11,47.4,21.25
-1.045229e+05,-4.029348e+06,5.0977e-11,47.4,21.25
-1.045229e+05,-4.025848e+06,4.9717e-11,47.4,21.25
-1.045229e+05,-4.022348e+06,5.0393e-11,47.4,21.25
-1.045229e+05,-4.018848e+06,5.154e-11,47.4,21.25
-1.045229e+05,-4.015348e+06,4.932e-11,47.4,21.25
-1.045229e+05,-4.011848e+06,5.1017e-11,47.4,21.25
-1.045229e+05,-4.008348e+06,4.9783e-11,47.4,21.25
-1.045229e+05,-4.004848e+06,4.99e-11,47.4,21.25
-1.045229e+05,-4.001348e+06,5.0873e-11,47.4,21.25
-1.045229e+05,-3.997848e+06,5.1387e-11,47.4,21.25
-1.045229e+05,-3.994348e+06,5.069e-11,47.4,21.25
-1.045229e+05,-3.990848e+06,4.9257e-11,47.4,21.25
-1.045229e+05,-3.987348e+06,5.3013e-11,47.4,21.25
-1.045229e+05,-3.983848e+06,5.2107e-11,47.4,21.25
-1.045229e+05,-3.980348e+06,5.0923e-11,47.4,21.25
-1.045229e+05,-3.976848e+06,5.0637e-11,47.4,21.25
-1.045229e+05,-3.973348e+06,5.11e-11,47.4,21.25
-1.045229e+05,-3.969848e+06,4.8003e-11,47.4,21.25
-1.045229e+05,-3.966348e+06,5.0477e-11,47.4,21.25
-1.045229e+05,-3.962848e+06,5.1387e-11,47.4,21.25
-1.045229e+05,-3.959348e+06,5.0793e-11,47.4,21.25
-1.045229e+05,-3.955848e+06,4.9763e-11,47.4,21.25
-1.045229e+05,-3.952348e+06,4.9433e-11,47.4,21.25
-1.045229e+05,-3.948848e+06,4.8693e-11,47.4,21.25
-1.045229e+05,-3.945348e+06,4.914e-11,47.4,21.25
-1.045229e+05,-3.941848e+06,5.3107e-11,47.4,21.25
-1.045229e+05,-3.938348e+06,5.5817e-11,47.4,21.25
-1.045229e+05,-3.934848e+06,5.5613e-11,47.4,21.25
-1.045229e+05,-3.931348e+06,5.3013e-11,47.4,21.25
-1.045229e+05,-3.927848e+06,5.1447e-11,47.4,21.25
-1.010229e+05,-4.127348e+06,5.2797e-11,47.4,21.25
-1.010229e+05,-4.123848e+06,4.994e-11,47.4,21.25
-1.010229e+05,-4.120348e+06,5.113e-11,47.4,21.25
-1.010229e+05,-4.116848e+06,5.058e-11,47.4,21.25
-1.010229e+05,-4.113348e+06,5.024e-11,47.4,21.25
-1.010229e+05,-4.109848e+06,5.121e-11,47.4,21.25
-1.010229e+05,-4.106348e+06,5.076e-11,47.4,21.25
-1.010229e+05,-4.102848e+06,5.293e-11,47.4,21.25
-1.010229e+05,-4.099348e+06,5.2447e-11,47.4,21.25
-1.010229e+05,-4.095848e+06,5.206e-11,47.4,21.25
-1.010229e+05,-4.092348e+06,5.3087e-11,47.4,21.25
-1.010229e+05,-4.088848e+06,5.0937e-11,47.4,21.25
-1.010229e+05,-4.085348e+06,5.1797e-11,47.4,21.25
-1.010229e+05,-4.081848e+06,5.2227e-11,47.4,21.25
-1.010229e+05,-4.078348e+06,4.9383e-11,47.4,21.25
-1.010229e+05,-4.074848e+06,5.293e-11,47.4,21.25
-1.010229e+05,-4.071348e+06,4.917e-11,47.4,21.25
-1.010229e+05,-4.067848e+06,5.3597e-11,47.4,21.25
-1.010229e+05,-4.064348e+06,4.882e-11,47.4,21.25
-1.010229e+05,-4.060848e+06,5.031e-11,47.4,21.25
-1.010229e+05,-4.057348e+06,4.8027e-11,47.4,21.25
-1.010229e+05,-4.053848e+06,4.9083e-11,47.4,21.25
-1.010229e+05,-4.050348e+06,5.1513e-11,47.4,21.25
-1.010229e+05,-4.046848e+06,5.18e-11,47.4,21.25
-1.010229e+05,-4.043348e+06,5.0277e-11,47.4,21.25
-1.010229e+05,-4.039848e+06,5.011e-11,47.4,21.25
-1.010229e+05,-4.036348e+06,4.8763e-11,47.4,21.25
-1.010229e+05,-4.032848e+06,4.984e-11,47.4,21.25
-1.010229e+05,-4.029348e+06,4.8033e-11,47.4,21.25
-1.010229e+05,-4.025848e+06,4.959e-11,47.4,21.25
-1.010229e+05,-4.022348e+06,5.1807e-11,47.4,21.25
-1.010229e+05,-4.018848e+06,5.0237e-11,47.4,21.25
-1.010229e+05,-4.015348e+06,4.985e-11,47.4,21.25
-1.010229e+05,-4.011848e+06,4.9167e-11,47.4,21.25
-1.010229e+05,-4.008348e+06,4.9997e-11,47.4,21.25
-1.010229e+05,-4.004848e+06,5.0427e-11,47.4,21.25
