General parameters:
Start time: 2023              8             30              1             36      52.031643
Finish time: 2023              8             30              2             24       3.136251
Raster type: raster_jump
Horizontal range (nm): -3807684.968542,-4007684.968542
Vertical range (nm): 203983.048383,3983.048383
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.80e-07
Sample chamber pressure: 3.58e-08
Initial position (nm): -3927830.000000,91472.000000,-1000015.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3807684.9685     -4007684.9685
hori_res:3500
vert_range:203983.0484      3983.048383
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.912464
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
3.983048e+03,-4.007685e+06,1.219e-10,47.2,21.25
3.983048e+03,-4.004185e+06,5.616e-11,47.2,21.25
3.983048e+03,-4.000685e+06,5.3393e-11,47.2,21.25
3.983048e+03,-3.997185e+06,5.3247e-11,47.2,21.25
3.983048e+03,-3.993685e+06,5.251e-11,47.2,21.25
3.983048e+03,-3.990185e+06,5.2663e-11,47.2,21.25
3.983048e+03,-3.986685e+06,5.3297e-11,47.2,21.25
3.983048e+03,-3.983185e+06,5.09e-11,47.2,21.25
3.983048e+03,-3.979685e+06,5.2037e-11,47.2,21.25
3.983048e+03,-3.976185e+06,5.3823e-11,47.2,21.25
3.983048e+03,-3.972685e+06,5.007e-11,47.2,21.25
3.983048e+03,-3.969185e+06,5.3833e-11,47.2,21.25
3.983048e+03,-3.965685e+06,5.231e-11,47.2,21.25
3.983048e+03,-3.962185e+06,5.3237e-11,47.2,21.25
3.983048e+03,-3.958685e+06,5.0267e-11,47.2,21.25
3.983048e+03,-3.955185e+06,5.3733e-11,47.2,21.25
3.983048e+03,-3.951685e+06,5.0527e-11,47.2,21.25
3.983048e+03,-3.948185e+06,5.15e-11,47.2,21.25
3.983048e+03,-3.944685e+06,5.243e-11,47.2,21.25
3.983048e+03,-3.941185e+06,5.2763e-11,47.2,21.25
3.983048e+03,-3.937685e+06,5.029e-11,47.2,21.25
3.983048e+03,-3.934185e+06,5.293e-11,47.2,21.25
3.983048e+03,-3.930685e+06,5.0117e-11,47.2,21.25
3.983048e+03,-3.927185e+06,5.0817e-11,47.2,21.25
3.983048e+03,-3.923685e+06,5.294e-11,47.2,21.25
3.983048e+03,-3.920185e+06,5.2597e-11,47.2,21.25
3.983048e+03,-3.916685e+06,5.1143e-11,47.2,21.25
3.983048e+03,-3.913185e+06,5.0143e-11,47.2,21.25
3.983048e+03,-3.909685e+06,5.3877e-11,47.2,21.25
3.983048e+03,-3.906185e+06,5.1213e-11,47.2,21.25
3.983048e+03,-3.902685e+06,5.132e-11,47.2,21.25
3.983048e+03,-3.899185e+06,5.3343e-11,47.2,21.25
3.983048e+03,-3.895685e+06,5.3547e-11,47.2,21.25
3.983048e+03,-3.892185e+06,5.3087e-11,47.2,21.25
3.983048e+03,-3.888685e+06,5.3467e-11,47.2,21.25
3.983048e+03,-3.885185e+06,5.195e-11,47.2,21.25
3.983048e+03,-3.881685e+06,5.2027e-11,47.2,21.25
3.983048e+03,-3.878185e+06,5.1237e-11,47.2,21.25
3.983048e+03,-3.874685e+06,5.189e-11,47.2,21.25
3.983048e+03,-3.871185e+06,5.1933e-11,47.2,21.25
3.983048e+03,-3.867685e+06,5.3533e-11,47.2,21.25
3.983048e+03,-3.864185e+06,5.1443e-11,47.2,21.25
3.983048e+03,-3.860685e+06,5.3077e-11,47.2,21.25
3.983048e+03,-3.857185e+06,5.006e-11,47.2,21.25
3.983048e+03,-3.853685e+06,5.3943e-11,47.2,21.25
3.983048e+03,-3.850185e+06,5.3497e-11,47.2,21.25
3.983048e+03,-3.846685e+06,5.3877e-11,47.2,21.25
3.983048e+03,-3.843185e+06,5.181e-11,47.2,21.25
3.983048e+03,-3.839685e+06,5.146e-11,47.2,21.25
3.983048e+03,-3.836185e+06,5.1567e-11,47.2,21.25
3.983048e+03,-3.832685e+06,5.6237e-11,47.2,21.25
3.983048e+03,-3.829185e+06,5.1397e-11,47.2,21.25
3.983048e+03,-3.825685e+06,5.2203e-11,47.2,21.25
3.983048e+03,-3.822185e+06,5.224e-11,47.2,21.25
3.983048e+03,-3.818685e+06,5.3777e-11,47.2,21.25
3.983048e+03,-3.815185e+06,5.3983e-11,47.2,21.25
3.983048e+03,-3.811685e+06,5.2427e-11,47.2,21.25
3.983048e+03,-3.808185e+06,5.149e-11,47.2,21.25
7.483048e+03,-4.007685e+06,5.2253e-11,47.2,21.25
7.483048e+03,-4.004185e+06,5.0757e-11,47.2,21.25
7.483048e+03,-4.000685e+06,5.4717e-11,47.2,21.25
7.483048e+03,-3.997185e+06,5.3847e-11,47.2,21.25
7.483048e+03,-3.993685e+06,5.1723e-11,47.2,21.25
7.483048e+03,-3.990185e+06,5.053e-11,47.2,21.25
7.483048e+03,-3.986685e+06,5.3087e-11,47.2,21.25
7.483048e+03,-3.983185e+06,5.15e-11,47.2,21.25
7.483048e+03,-3.979685e+06,5.496e-11,47.2,21.25
7.483048e+03,-3.976185e+06,5.271e-11,47.2,21.25
7.483048e+03,-3.972685e+06,5.1977e-11,47.2,21.25
7.483048e+03,-3.969185e+06,5.4323e-11,47.2,21.25
7.483048e+03,-3.965685e+06,5.168e-11,47.2,21.25
7.483048e+03,-3.962185e+06,5.1207e-11,47.2,21.25
7.483048e+03,-3.958685e+06,5.2203e-11,47.2,21.25
7.483048e+03,-3.955185e+06,5.3833e-11,47.2,21.25
7.483048e+03,-3.951685e+06,5.131e-11,47.2,21.25
7.483048e+03,-3.948185e+06,5.225e-11,47.2,21.25
7.483048e+03,-3.944685e+06,5.3423e-11,47.2,21.25
7.483048e+03,-3.941185e+06,5.147e-11,47.2,21.25
7.483048e+03,-3.937685e+06,5.6423e-11,47.2,21.25
7.483048e+03,-3.934185e+06,5.4237e-11,47.2,21.25
7.483048e+03,-3.930685e+06,5.4257e-11,47.2,21.25
7.483048e+03,-3.927185e+06,5.199e-11,47.2,21.25
7.483048e+03,-3.923685e+06,5.3133e-11,47.2,21.25
7.483048e+03,-3.920185e+06,5.3823e-11,47.2,21.25
7.483048e+03,-3.916685e+06,5.3873e-11,47.2,21.25
7.483048e+03,-3.913185e+06,5.2063e-11,47.2,21.25
7.483048e+03,-3.909685e+06,5.3517e-11,47.2,21.25
7.483048e+03,-3.906185e+06,5.315e-11,47.2,21.25
7.483048e+03,-3.902685e+06,5.282e-11,47.2,21.25
7.483048e+03,-3.899185e+06,5.372e-11,47.2,21.25
7.483048e+03,-3.895685e+06,5.305e-11,47.2,21.25
7.483048e+03,-3.892185e+06,5.382e-11,47.2,21.25
7.483048e+03,-3.888685e+06,5.3143e-11,47.2,21.25
7.483048e+03,-3.885185e+06,5.288e-11,47.2,21.25
7.483048e+03,-3.881685e+06,5.102e-11,47.2,21.25
7.483048e+03,-3.878185e+06,5.1933e-11,47.2,21.25
7.483048e+03,-3.874685e+06,5.211e-11,47.2,21.25
7.483048e+03,-3.871185e+06,5.257e-11,47.2,21.25
7.483048e+03,-3.867685e+06,5.4517e-11,47.2,21.25
7.483048e+03,-3.864185e+06,5.2367e-11,47.2,21.25
7.483048e+03,-3.860685e+06,5.5273e-11,47.2,21.25
7.483048e+03,-3.857185e+06,5.1883e-11,47.2,21.25
7.483048e+03,-3.853685e+06,5.3687e-11,47.2,21.25
7.483048e+03,-3.850185e+06,5.2473e-11,47.2,21.25
7.483048e+03,-3.846685e+06,5.1783e-11,47.2,21.25
7.483048e+03,-3.843185e+06,5.0547e-11,47.2,21.25
7.483048e+03,-3.839685e+06,5.3457e-11,47.2,21.25
7.483048e+03,-3.836185e+06,5.3967e-11,47.2,21.25
