General parameters:
Start time: 2023              8             30              3             58      54.423706
Finish time: 2023              8             30              4             46       4.012774
Raster type: raster_jump
Horizontal range (nm): -3360000.000000,-3560000.000000
Vertical range (nm): 395000.000000,195000.000000
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.78e-07
Sample chamber pressure: 3.58e-08
Initial position (nm): -3520131.000000,357334.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3360000 -3560000
hori_res:3500
vert_range:395000  195000
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.923408
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
195000,-3560000,6.2247e-11,47.0,21.25
195000,-3556500,6.1813e-11,47.0,21.25
195000,-3553000,6.123e-11,47.0,21.25
195000,-3549500,6.2947e-11,47.0,21.25
195000,-3546000,6.034e-11,47.0,21.25
195000,-3542500,5.884e-11,47.0,21.25
195000,-3539000,5.9983e-11,47.0,21.25
195000,-3535500,6.0797e-11,47.0,21.25
195000,-3532000,6.053e-11,47.0,21.25
195000,-3528500,6.1347e-11,47.0,21.25
195000,-3525000,6.2257e-11,47.0,21.25
195000,-3521500,6.2443e-11,47.0,21.25
195000,-3518000,6.2223e-11,47.0,21.25
195000,-3514500,6.1497e-11,47.0,21.25
195000,-3511000,6.1807e-11,47.0,21.25
195000,-3507500,6.1007e-11,47.0,21.25
195000,-3504000,6.1893e-11,47.0,21.25
195000,-3500500,6.054e-11,47.0,21.25
195000,-3497000,6.3943e-11,47.0,21.25
195000,-3493500,6.0353e-11,47.0,21.25
195000,-3490000,5.927e-11,47.0,21.25
195000,-3486500,6.3813e-11,47.0,21.25
195000,-3483000,6.0383e-11,47.0,21.25
195000,-3479500,5.8443e-11,47.0,21.25
195000,-3476000,6.0933e-11,47.0,21.25
195000,-3472500,6.2277e-11,47.0,21.25
195000,-3469000,6.1437e-11,47.0,21.25
195000,-3465500,5.905e-11,47.0,21.25
195000,-3462000,6.384e-11,47.0,21.25
195000,-3458500,6.1587e-11,47.0,21.25
195000,-3455000,6.228e-11,47.0,21.25
195000,-3451500,6.0157e-11,47.0,21.25
195000,-3448000,5.8457e-11,47.0,21.25
195000,-3444500,6.1387e-11,47.0,21.25
195000,-3441000,6.01e-11,47.0,21.25
195000,-3437500,5.8027e-11,47.0,21.25
195000,-3434000,6.3253e-11,47.0,21.25
195000,-3430500,6.078e-11,47.0,21.25
195000,-3427000,6.289e-11,47.0,21.25
195000,-3423500,6.2757e-11,47.0,21.25
195000,-3420000,6.115e-11,47.0,21.25
195000,-3416500,6.2793e-11,47.0,21.25
195000,-3413000,6.201e-11,47.0,21.25
195000,-3409500,5.9643e-11,47.0,21.25
195000,-3406000,5.8127e-11,47.0,21.25
195000,-3402500,6.3423e-11,47.0,21.25
195000,-3399000,5.982e-11,47.0,21.25
195000,-3395500,5.938e-11,47.0,21.25
195000,-3392000,6.076e-11,47.0,21.25
195000,-3388500,5.9547e-11,47.0,21.25
195000,-3385000,6.227e-11,47.0,21.25
195000,-3381500,6.0197e-11,47.0,21.25
195000,-3378000,6.2213e-11,47.0,21.25
195000,-3374500,6.0623e-11,47.0,21.25
195000,-3371000,6.0213e-11,47.0,21.25
195000,-3367500,6.1873e-11,47.0,21.25
195000,-3364000,6.1823e-11,47.0,21.25
195000,-3360500,6.298e-11,47.0,21.25
198500,-3560000,6.1133e-11,47.0,21.25
198500,-3556500,6.1297e-11,47.0,21.25
198500,-3553000,6.093e-11,47.0,21.25
198500,-3549500,6.1173e-11,47.0,21.25
198500,-3546000,6.313e-11,47.0,21.25
198500,-3542500,6.0747e-11,47.0,21.25
198500,-3539000,6.125e-11,47.0,21.25
198500,-3535500,5.9683e-11,47.0,21.25
198500,-3532000,5.8007e-11,47.0,21.25
198500,-3528500,6.3113e-11,47.0,21.25
198500,-3525000,6.187e-11,47.0,21.25
198500,-3521500,6.1157e-11,47.0,21.25
198500,-3518000,6.1877e-11,47.0,21.25
198500,-3514500,6.25e-11,47.0,21.25
198500,-3511000,6.0847e-11,47.0,21.25
198500,-3507500,6.2813e-11,47.0,21.25
198500,-3504000,6.049e-11,47.0,21.25
198500,-3500500,6.085e-11,47.0,21.25
198500,-3497000,5.823e-11,47.0,21.25
198500,-3493500,6.1273e-11,47.0,21.25
198500,-3490000,5.9913e-11,47.0,21.25
198500,-3486500,6.1327e-11,47.0,21.25
198500,-3483000,6.3777e-11,47.0,21.25
198500,-3479500,5.8843e-11,47.0,21.25
198500,-3476000,6.1813e-11,47.0,21.25
198500,-3472500,6.13e-11,47.0,21.25
198500,-3469000,6.0167e-11,47.0,21.25
198500,-3465500,5.9987e-11,47.0,21.25
198500,-3462000,6.131e-11,47.0,21.25
198500,-3458500,6.204e-11,47.0,21.25
198500,-3455000,6.202e-11,47.0,21.25
