General parameters:
Start time: 2023              8             30              6             20      56.505586
Finish time: 2023              8             30              7              8        7.30773
Raster type: raster_jump
Horizontal range (nm): -2876784.968542,-3076784.968542
Vertical range (nm): 336583.048383,136583.048383
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.75e-07
Sample chamber pressure: 3.52e-08
Initial position (nm): -3034118.000000,383714.000000,-1000010.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2876784.9685     -3076784.9685
hori_res:3500
vert_range:336583.0484      136583.0484
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.927170
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.365830e+05,-3.076785e+06,6.503e-11,46.8,21.25
1.365830e+05,-3.073285e+06,6.6007e-11,46.8,21.25
1.365830e+05,-3.069785e+06,6.6023e-11,46.8,21.25
1.365830e+05,-3.066285e+06,6.4387e-11,46.8,21.25
1.365830e+05,-3.062785e+06,6.1147e-11,46.8,21.25
1.365830e+05,-3.059285e+06,6.6193e-11,46.8,21.25
1.365830e+05,-3.055785e+06,6.428e-11,46.8,21.25
1.365830e+05,-3.052285e+06,6.5863e-11,46.8,21.25
1.365830e+05,-3.048785e+06,6.6833e-11,46.8,21.25
1.365830e+05,-3.045285e+06,6.3517e-11,46.8,21.25
1.365830e+05,-3.041785e+06,6.228e-11,46.8,21.25
1.365830e+05,-3.038285e+06,6.6787e-11,46.8,21.25
1.365830e+05,-3.034785e+06,6.434e-11,46.8,21.25
1.365830e+05,-3.031285e+06,6.4157e-11,46.8,21.25
1.365830e+05,-3.027785e+06,6.5137e-11,46.8,21.25
1.365830e+05,-3.024285e+06,6.6677e-11,46.8,21.25
1.365830e+05,-3.020785e+06,6.2397e-11,46.8,21.25
1.365830e+05,-3.017285e+06,6.4457e-11,46.8,21.25
1.365830e+05,-3.013785e+06,6.4567e-11,46.8,21.25
1.365830e+05,-3.010285e+06,6.6977e-11,46.8,21.25
1.365830e+05,-3.006785e+06,6.5437e-11,46.8,21.25
1.365830e+05,-3.003285e+06,6.5827e-11,46.8,21.25
1.365830e+05,-2.999785e+06,6.56e-11,46.8,21.25
1.365830e+05,-2.996285e+06,6.604e-11,46.8,21.25
1.365830e+05,-2.992785e+06,6.539e-11,46.8,21.25
1.365830e+05,-2.989285e+06,6.5543e-11,46.8,21.25
1.365830e+05,-2.985785e+06,6.4013e-11,46.8,21.25
1.365830e+05,-2.982285e+06,6.407e-11,46.8,21.25
1.365830e+05,-2.978785e+06,6.7283e-11,46.8,21.25
1.365830e+05,-2.975285e+06,6.44e-11,46.8,21.25
1.365830e+05,-2.971785e+06,6.4003e-11,46.8,21.25
1.365830e+05,-2.968285e+06,6.419e-11,46.8,21.25
1.365830e+05,-2.964785e+06,6.3853e-11,46.8,21.25
1.365830e+05,-2.961285e+06,6.4437e-11,46.8,21.25
1.365830e+05,-2.957785e+06,6.6443e-11,46.8,21.25
1.365830e+05,-2.954285e+06,6.3297e-11,46.8,21.25
1.365830e+05,-2.950785e+06,6.701e-11,46.8,21.25
1.365830e+05,-2.947285e+06,6.513e-11,46.8,21.25
1.365830e+05,-2.943785e+06,6.501e-11,46.8,21.25
1.365830e+05,-2.940285e+06,6.504e-11,46.8,21.25
1.365830e+05,-2.936785e+06,6.362e-11,46.8,21.25
1.365830e+05,-2.933285e+06,6.6693e-11,46.8,21.25
1.365830e+05,-2.929785e+06,6.323e-11,46.8,21.25
1.365830e+05,-2.926285e+06,6.4663e-11,46.8,21.25
1.365830e+05,-2.922785e+06,6.345e-11,46.8,21.25
1.365830e+05,-2.919285e+06,6.6087e-11,46.8,21.25
1.365830e+05,-2.915785e+06,6.6173e-11,46.8,21.25
1.365830e+05,-2.912285e+06,6.61e-11,46.8,21.25
1.365830e+05,-2.908785e+06,6.6367e-11,46.8,21.25
1.365830e+05,-2.905285e+06,6.687e-11,46.8,21.25
1.365830e+05,-2.901785e+06,6.5673e-11,46.8,21.25
1.365830e+05,-2.898285e+06,7.8997e-11,46.8,21.25
1.365830e+05,-2.894785e+06,9.4977e-11,46.8,21.25
1.365830e+05,-2.891285e+06,8.0193e-11,46.8,21.25
1.365830e+05,-2.887785e+06,7.0843e-11,46.8,21.25
1.365830e+05,-2.884285e+06,6.4557e-11,46.8,21.25
1.365830e+05,-2.880785e+06,6.594e-11,46.8,21.25
1.365830e+05,-2.877285e+06,6.6153e-11,46.8,21.25
1.400830e+05,-3.076785e+06,6.475e-11,46.8,21.25
1.400830e+05,-3.073285e+06,6.4867e-11,46.8,21.25
1.400830e+05,-3.069785e+06,6.3367e-11,46.8,21.25
1.400830e+05,-3.066285e+06,6.4597e-11,46.8,21.25
1.400830e+05,-3.062785e+06,6.411e-11,46.8,21.25
