General parameters:
Start time: 2023              8             30              7              8      18.715275
Finish time: 2023              8             30              7             55      30.314517
Raster type: raster_jump
Horizontal range (nm): -2730606.507300,-2930606.507300
Vertical range (nm): 262444.409144,62444.409144
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.73e-07
Sample chamber pressure: 3.58e-08
Initial position (nm): -2877318.000000,336080.000000,-1000010.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2730606.5073     -2930606.5073
hori_res:3500
vert_range:262444.4091      62444.40914
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.930248
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
6.244441e+04,-2.930607e+06,6.501e-11,46.7,21.25
6.244441e+04,-2.927107e+06,6.448e-11,46.7,21.25
6.244441e+04,-2.923607e+06,6.46e-11,46.7,21.25
6.244441e+04,-2.920107e+06,6.56e-11,46.7,21.25
6.244441e+04,-2.916607e+06,6.4333e-11,46.7,21.25
6.244441e+04,-2.913107e+06,6.4053e-11,46.7,21.25
6.244441e+04,-2.909607e+06,6.4677e-11,46.7,21.25
6.244441e+04,-2.906107e+06,6.5047e-11,46.7,21.25
6.244441e+04,-2.902607e+06,6.4637e-11,46.7,21.25
6.244441e+04,-2.899107e+06,6.5947e-11,46.7,21.25
6.244441e+04,-2.895607e+06,6.6087e-11,46.7,21.25
6.244441e+04,-2.892107e+06,6.5433e-11,46.7,21.25
6.244441e+04,-2.888607e+06,6.7237e-11,46.7,21.25
6.244441e+04,-2.885107e+06,6.5203e-11,46.7,21.25
6.244441e+04,-2.881607e+06,6.57e-11,46.7,21.25
6.244441e+04,-2.878107e+06,6.4937e-11,46.7,21.25
6.244441e+04,-2.874607e+06,6.744e-11,46.7,21.25
6.244441e+04,-2.871107e+06,6.6127e-11,46.7,21.25
6.244441e+04,-2.867607e+06,6.71e-11,46.7,21.25
6.244441e+04,-2.864107e+06,6.7213e-11,46.7,21.25
6.244441e+04,-2.860607e+06,6.8163e-11,46.7,21.25
6.244441e+04,-2.857107e+06,6.777e-11,46.7,21.25
6.244441e+04,-2.853607e+06,6.4493e-11,46.7,21.25
6.244441e+04,-2.850107e+06,6.4747e-11,46.7,21.25
6.244441e+04,-2.846607e+06,6.585e-11,46.7,21.25
6.244441e+04,-2.843107e+06,6.5623e-11,46.7,21.25
6.244441e+04,-2.839607e+06,6.6723e-11,46.7,21.25
6.244441e+04,-2.836107e+06,6.6583e-11,46.7,21.25
6.244441e+04,-2.832607e+06,6.9227e-11,46.7,21.25
